"sample_id","well_id","time_of_max_rate_OD","max_rate_OD","doubling_time_OD","AUC_OD","time_of_max_OD","max_OD","time_of_min_OD","min_OD","end_point_OD","end_point_timepoint_OD","experiment","well","plate","replicate","sd","outlier_sd","outlier_mad","outlier_tukey","proportion_outlier_sd","proportion_outlier_mad","proportion_outlier_tukey","outlier_curve","strain_group","ST","mecA","mortality","intrahost_index","included","unrelated_to_index","mut_count","scv","vanco_difference","persister_type","intrahost_sampledelay","sample_type","genes"
"BPH2700","exp191116_1_D07",270,0.0271171840383229,25.5611784608744,125.226733333,930,6.03936041950621,60,-0.00635993636197179,6.03936041950621,930,"exp191116","D07","1",2,0.0459526488909649,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-001","78",1,"Survived",1,FALSE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2700","exp191116_1_A03",270,0.0254884893010862,27.1945179791572,117.763,750,5.62658214810846,60,0.0259945079109461,5.46117997869017,930,"exp191116","A03","1",1,0.0459526488909649,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-001","78",1,"Survived",1,FALSE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2701","exp191116_1_H07",240,0.0317596557427121,21.824769958944,131.474,690,5.95631108887882,30,0.0198387943696166,5.91558459752977,930,"exp191116","H07","1",2,0.0174737898961082,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-001","22",1,NA,0,FALSE,1,NA,FALSE,0,NA,1,"paired-colonising",NA
"BPH2701","exp191116_1_H09",240,0.0456822047832846,15.1732427068313,130.141,930,6.20727370789875,60,0.00840562233933721,6.20727370789875,930,"exp191116","H09","1",1,0.0174737898961082,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-001","22",1,NA,0,FALSE,1,NA,FALSE,0,NA,1,"paired-colonising",NA
"BPH2702","exp191116_1_G03",240,0.0272430000322928,25.4431296016707,129.725,930,5.90700418130406,30,0.0105072299717326,5.90700418130406,930,"exp191116","G03","1",3,0.0122493236342378,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-002","15",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2702","exp191116_1_B02",210,0.0269558790841388,25.7141374761472,129.020933333,930,5.92408953822873,30,-0.00285362172291541,5.92408953822873,930,"exp191116","B02","1",1,0.0122493236342378,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-002","15",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2702","exp191116_1_H03",270,0.0264982746297178,26.1582004959138,120.295,930,5.67063680825391,60,0.00275920857672502,5.67063680825391,930,"exp191116","H03","1",2,0.0122493236342378,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-002","15",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2703","exp191116_1_E08",240,0.0290985062968943,23.8207134581999,130.596733333,930,6.34235154001534,60,-0.00988174221337592,6.34235154001534,930,"exp191116","E08","1",2,0.0167431578064992,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-003","8",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2703","exp191116_1_F08",240,0.02832439072185,24.4717419473118,125.494,930,5.97252517883624,90,-0.000741760280183996,5.97252517883624,930,"exp191116","F08","1",3,0.0167431578064992,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-003","8",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2703","exp191116_1_G08",210,0.0286889712990149,24.1607540868412,132.777,930,6.02597357188074,60,0.010773714140565,6.02597357188074,930,"exp191116","G08","1",1,0.0167431578064992,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-003","8",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
