"sample_id","well_id","AUC_death","time_of_max_death","max_death","time_of_min_death","min_death","time_of_max_rate_death","max_rate_death","doubling_time_death","end_point_death","end_point_timepoint_death","experiment","well","well_row","well_col","cell_number","plate","replicate","strain_group","sd","outlier_sd","outlier_mad","outlier_tukey","proportion_outlier_sd","proportion_outlier_mad","proportion_outlier_tukey","outlier_curve","ST","mecA","mortality","intrahost_index","included","unrelated_to_index","mut_count","scv","vanco_difference","persister_type","intrahost_sampledelay","sample_type","genes"
"BPH2700","exp191115_1_A03",173.535542947576,1102,1.6248680584877,130,0.00846406314496501,432,0.00334185999503502,215.753123298696,1.62015903021083,1152,"exp191115","A03","A",7,40000,"1",2,"VAN-001",0.038666743923165,FALSE,FALSE,FALSE,0,0,0,FALSE,"78",1,"Survived",1,FALSE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2701","exp191115_1_C10",26.3480783110892,1152,0.406758937237949,196,0.0338476800563084,1086,0.000916937653209337,1411.59191809644,0.406758937237949,1152,"exp191115","C10","C",8.66666666666667,40000,"1",2,"VAN-001",0.0468254517490918,FALSE,FALSE,FALSE,0,0.00345423143350605,0.00863557858376511,FALSE,"22",1,NA,0,FALSE,1,NA,FALSE,0,NA,1,"paired-colonising",NA
"BPH2702","exp191115_1_B02",29.7467188989541,1152,0.302817964493176,171,-0.0406551272077376,365,0.000911755397451669,873.595907343198,0.302817964493176,1152,"exp191115","B02","B",2.66666666666667,40000,"1",2,"VAN-002",0.0520143897564365,FALSE,FALSE,FALSE,0,0,0,FALSE,"15",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2703","exp191115_1_E08",55.1396392140412,1152,0.82697777592205,195,-0.066430589699853,734,0.0015841564748862,459.117315087679,0.82697777592205,1152,"exp191115","E08","E",8,40000,"1",2,"VAN-003",0.0325245087141762,FALSE,FALSE,FALSE,0,0.0233160621761658,0,FALSE,"8",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2704","exp191115_1_A07",83.5234498740591,1152,0.868802242132529,160,-0.0269881110306342,491,0.00178310198132531,401.890302008011,0.868802242132529,1152,"exp191115","A07","A",7.33333333333333,40000,"1",2,"VAN-004",0.0569460748564595,FALSE,FALSE,FALSE,0,0,0,FALSE,"93",1,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2705","exp191115_1_D09",123.707740521089,945,1.15869097899797,155,-0.0674599497884399,445,0.00302506248868855,231.048701258583,1.11581004970566,1152,"exp191115","D09","D",9,40000,"1",2,"VAN-004",0.0632171453236028,FALSE,FALSE,FALSE,0,0,0,FALSE,"93",1,NA,0,TRUE,0,0,FALSE,0,"Persistent",10,"paired-invasive",NA
"BPH2706","exp191115_1_A11",95.9217275096228,1152,1.05035168171959,198,0.0705596912979739,552,0.00171621449624057,408.820001995206,1.05035168171959,1152,"exp191115","A11","A",7.25,40000,"1",2.25,"VAN-005",0.0846276462867674,FALSE,FALSE,FALSE,0,0,0,FALSE,"508",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2707","exp191115_1_D04",94.6823027613009,904,0.942915504928365,189,-0.0301255169658682,532,0.00261572895445615,274.938594328535,0.850624761049216,1152,"exp191115","D04","D",6,40000,"1",2,"VAN-006",0.0122365491191938,FALSE,FALSE,FALSE,0,0,0,FALSE,"8",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2708","exp191115_1_C07",73.7799680276429,1152,0.843915041087968,192,-0.0325632787083285,524.4,0.00188624082589399,376.934329167734,0.843915041087968,1152,"exp191115","C07","C",7.4,40000,"1",2.2,"VAN-007",0.0416980707623124,FALSE,FALSE,FALSE,0,0,0,FALSE,"97",0,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2709","exp191115_1_C02",81.4448933499271,1135.2,0.886662933262952,198,-0.03330746765343,535.2,0.00214346099449538,331.170400578601,0.886110839117308,1152,"exp191115","C02","C",2.4,40000,"1",2,"VAN-007",0.0545911108411964,FALSE,FALSE,FALSE,0,0,0,FALSE,"97",0,NA,0,TRUE,0,0,FALSE,0.5,"Persistent",5,"paired-invasive",NA
