"sample_id","well_id","AUC_death","time_of_max_death","max_death","time_of_min_death","min_death","time_of_max_rate_death","max_rate_death","doubling_time_death","end_point_death","end_point_timepoint_death","experiment","well","well_row","well_col","cell_number","plate","replicate","strain_group","sd","outlier_sd","outlier_mad","outlier_tukey","proportion_outlier_sd","proportion_outlier_mad","proportion_outlier_tukey","outlier_curve","ST","mecA","mortality","intrahost_index","included","unrelated_to_index","mut_count","scv","vanco_difference","persister_type","intrahost_sampledelay","sample_type","genes"
"BPH2700","exp191115_1_A03",173.496429917556,1122,1.62359307207094,138,0.0119059021987733,459,0.00324400228567003,213.9747595609,1.62329792019724,1152,"exp191115","A03","A",7,40000,"1",2,"VAN-001",0.038666743923165,FALSE,FALSE,FALSE,0,0,0,FALSE,"78",1,"Survived",1,FALSE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2701","exp191115_1_C10",21.6161158739369,1152,0.30142346192298,201,0.00872529168255643,1152,0.00048965475813621,1416.60889082329,0.30142346192298,1152,"exp191115","C10","C",9,40000,"1",2,"VAN-001",0.0468254517490918,FALSE,FALSE,FALSE,0,0,0,FALSE,"22",1,NA,0,FALSE,1,NA,FALSE,0,NA,1,"paired-colonising",NA
"BPH2702","exp191115_1_B02",29.6228879279991,1152,0.295395215276231,168,-0.0337590365905411,366,0.000839203511438253,832.14386542803,0.295395215276231,1152,"exp191115","B02","B",3,40000,"1",2,"VAN-002",0.0520143897564365,FALSE,FALSE,FALSE,0,0,0,FALSE,"15",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2703","exp191115_1_E08",47.7459106355954,1152,0.817630476432413,204,-0.063869119509702,729,0.00150745720039152,462.255379923875,0.817630476432413,1152,"exp191115","E08","E",8,40000,"1",2,"VAN-003",0.0325245087141762,FALSE,FALSE,FALSE,0,0,0,FALSE,"8",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2704","exp191115_1_A07",82.0634507948523,1152,0.873675019099952,168,-0.0136198694555907,492,0.0016728381759456,414.36381066834,0.873675019099952,1152,"exp191115","A07","A",7,40000,"1",2,"VAN-004",0.0569460748564595,FALSE,FALSE,FALSE,0,0,0,FALSE,"93",1,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2705","exp191115_1_D09",123.836462044606,948,1.15412850966997,156,-0.0681809072008212,447,0.00302409595683115,229.577201918131,1.11461420356548,1152,"exp191115","D09","D",9,40000,"1",2,"VAN-004",0.0632171453236028,FALSE,FALSE,FALSE,0,0,0,FALSE,"93",1,NA,0,TRUE,0,0,FALSE,0,"Persistent",10,"paired-invasive",NA
"BPH2706","exp191115_1_A11",98.0438992908123,1152,1.03124768391418,198,0.0392008393020821,546,0.00163187970448067,425.426781879613,1.03124768391418,1152,"exp191115","A11","A",8.5,40000,"1",2.5,"VAN-005",0.0846276462867674,FALSE,FALSE,FALSE,0,0,0,FALSE,"508",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2707","exp191115_1_D04",96.0382044619385,909,0.953909630486747,186,-0.0314936755066444,537,0.00256923125965605,272.471954278131,0.870619498018405,1152,"exp191115","D04","D",4,40000,"1",2,"VAN-006",0.0122365491191938,FALSE,FALSE,FALSE,0,0,0,FALSE,"8",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2708","exp191115_1_C07",69.5391660537055,1152,0.828967396783264,186,-0.0644983835649108,528,0.00186515636941193,371.629527651073,0.828967396783264,1152,"exp191115","C07","C",7,40000,"1",2,"VAN-007",0.0416980707623124,FALSE,FALSE,FALSE,0,0,0,FALSE,"97",0,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2709","exp191115_1_C02",81.1895053757801,1152,0.892937898848028,204,-0.060916212774972,522,0.0021677263172828,319.757699592258,0.892937898848028,1152,"exp191115","C02","C",2,40000,"1",2,"VAN-007",0.0545911108411964,FALSE,FALSE,FALSE,0,0,0,FALSE,"97",0,NA,0,TRUE,0,0,FALSE,0.5,"Persistent",5,"paired-invasive",NA
"BPH2710","exp191115_1_B08",-2.61106110906451,1152,0.0849673292371672,222,-0.0510543427269028,876,0.000226110853406171,3096.16232561521,0.0687873575059482,1152,"exp191115","B08","B",7,40000,"1",2,"VAN-008",0.0187321751750264,FALSE,FALSE,FALSE,0,0,0,FALSE,"239",1,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2711","exp191115_1_A04",21.7397660988108,1152,0.268816956878449,237,0.00575917500322314,765,0.000330114674525159,2099.90036146721,0.268816956878449,1152,"exp191115","A04","A",9,40000,"1",2,"VAN-009",0.0643919185933354,FALSE,FALSE,FALSE,0,0,0,FALSE,"22",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2712","exp191115_1_A02",91.1378222205464,1152,0.945649862257097,138,0.0392783688975074,408,0.00136163810596365,530.6550494002,0.938715584277071,1152,"exp191115","A02","A",4,40000,"1",2,"VAN-010",0.0396787365704699,FALSE,FALSE,FALSE,0,0,0,FALSE,"15",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2713","exp191115_1_B11",66.4119424717105,792,0.603334002430294,150,-0.0611882423088181,402,0.00194414923041393,360.831053934943,0.528770606665467,1152,"exp191115","B11","B",5,40000,"1",2,"VAN-011",0.034466690780152,FALSE,FALSE,FALSE,0,0,0,FALSE,"45",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2714","exp191115_1_A06",76.2848297386721,942,0.649586852218569,141,-0.00682686188390822,372,0.00177771306344314,390.023721918682,0.640949130087856,1152,"exp191115","A06","A",7,40000,"1",2,"VAN-011",0.069460387898796,FALSE,FALSE,FALSE,0,0,0,FALSE,"45",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2715","exp191115_1_F03",76.6771308896862,1152,0.998257224892394,186,-0.0640566026541578,666,0.00153338144515317,452.04284164593,0.998257224892394,1152,"exp191115","F03","F",6,40000,"1",2,"VAN-012",0.0265642719970833,FALSE,FALSE,FALSE,0,0,0,FALSE,"5",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2716","exp191115_1_A10",131.848437286724,1152,1.36288942433159,126,-0.0172188017929874,381,0.0021162949467674,329.091691177521,1.36288942433159,1152,"exp191115","A10","A",10,40000,"1",2,"VAN-013",0.110954400379146,FALSE,FALSE,FALSE,0,0,0,FALSE,"5",1,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
