"sample_id","well_id","AUC_death","time_of_max_death","max_death","time_of_min_death","min_death","time_of_max_rate_death","max_rate_death","doubling_time_death","end_point_death","end_point_timepoint_death","experiment","well","well_row","well_col","cell_number","plate","replicate","strain_group","sd","outlier_sd","outlier_mad","outlier_tukey","proportion_outlier_sd","proportion_outlier_mad","proportion_outlier_tukey","outlier_curve","ST.x","mecA.x","mortality.x","intrahost_index.x","included.x","unrelated_to_index.x","mut_count.x","scv.x","vanco_difference.x","persister_type.x","intrahost_sampledelay.x","sample_type.x","genes.x","strain_group","ST.y","mecA.y","mortality.y","intrahost_index.y","included.y","unrelated_to_index.y","mut_count.y","scv.y","vanco_difference.y","persister_type.y","intrahost_sampledelay.y","sample_type.y","genes.y"
"BPH2700","exp191116_1_D07",207.571869177727,1062,1.91834422137763,132,0.00581213791423619,468,0.00395191918540951,175.395079716976,1.91337290459315,1152,"exp191116","D07","D",7,40000,"1",2,"VAN-001",0.038666743923165,FALSE,FALSE,FALSE,0,0,0,FALSE,"78",1,"Survived",1,FALSE,NA,NA,FALSE,0,NA,NA,"index",NA,"VAN-001","78",1,"Survived",1,FALSE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2700","exp191115_1_D07",139.420990657384,1152,1.43759396753709,162,-0.0551442713525627,468,0.00312164998554474,222.045131186925,1.43759396753709,1152,"exp191115","D07","D",7,40000,"1",2,"VAN-001",0.038666743923165,FALSE,FALSE,FALSE,0,0,0,FALSE,"78",1,"Survived",1,FALSE,NA,NA,FALSE,0,NA,NA,"index",NA,"VAN-001","78",1,"Survived",1,FALSE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2700","exp191116_1_A03",213.885837237602,1092,1.80959217660479,84,0.0632663460353624,360,0.00336635458579533,205.904387934875,1.80900187285739,1152,"exp191116","A03","A",3,40000,"1",1,"VAN-001",0.038666743923165,FALSE,FALSE,FALSE,0,0,0,FALSE,"78",1,"Survived",1,FALSE,NA,NA,FALSE,0,NA,NA,"index",NA,"VAN-001","78",1,"Survived",1,FALSE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2700","exp191116_1_G11",125.388031207537,1152,1.40203329837865,144,0.0398431284875954,450,0.00228625351097894,303.18036789505,1.40203329837865,1152,"exp191116","G11","G",11,40000,"1",3,"VAN-001",0.038666743923165,FALSE,FALSE,FALSE,0,0,0,FALSE,"78",1,"Survived",1,FALSE,NA,NA,FALSE,0,NA,NA,"index",NA,"VAN-001","78",1,"Survived",1,FALSE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2700","exp191115_1_G11",133.342752187152,1152,1.34805125590914,168,-0.0209926286981517,492,0.00308992602006802,224.324846633282,1.34805125590914,1152,"exp191115","G11","G",11,40000,"1",3,"VAN-001",0.038666743923165,FALSE,FALSE,FALSE,0,0,0,FALSE,"78",1,"Survived",1,FALSE,NA,NA,FALSE,0,NA,NA,"index",NA,"VAN-001","78",1,"Survived",1,FALSE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2700","exp191115_1_A03",221.603777218056,1002,1.8335934311189,90,0.0179996664833103,354,0.00423505668241358,163.668926425069,1.81090088198953,1152,"exp191115","A03","A",3,40000,"1",1,"VAN-001",0.038666743923165,FALSE,FALSE,FALSE,0,0,0,FALSE,"78",1,"Survived",1,FALSE,NA,NA,FALSE,0,NA,NA,"index",NA,"VAN-001","78",1,"Survived",1,FALSE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2701","exp191116_1_H09",58.9819106988426,1152,0.981309706164657,162,0.118173288309881,1152,0.00261207123360385,265.363046628562,0.981309706164657,1152,"exp191116","H09","H",9,40000,"1",1,"VAN-001",0.0468254517490918,FALSE,FALSE,FALSE,0,0.0207253886010363,0.0518134715025907,FALSE,"22",1,NA,0,FALSE,1,NA,FALSE,0,NA,1,"paired-colonising",NA,"VAN-001","22",1,NA,0,FALSE,1,NA,FALSE,0,NA,1,"paired-colonising",NA
"BPH2701","exp191115_1_H09",29.210499931068,1152,0.54288910646481,186,-0.00505442901177449,1152,0.00132228678986901,524.203361835454,0.54288910646481,1152,"exp191115","H09","H",9,40000,"1",1,"VAN-001",0.0468254517490918,FALSE,FALSE,FALSE,0,0,0,FALSE,"22",1,NA,0,FALSE,1,NA,FALSE,0,NA,1,"paired-colonising",NA,"VAN-001","22",1,NA,0,FALSE,1,NA,FALSE,0,NA,1,"paired-colonising",NA
"BPH2701","exp191115_1_C10",3.46381011691377,1152,0.159636754782854,222,-0.0450731637102725,1152,0.000502828723705657,1378.49559478566,0.159636754782854,1152,"exp191115","C10","C",10,40000,"1",3,"VAN-001",0.0468254517490918,FALSE,FALSE,FALSE,0,0,0,FALSE,"22",1,NA,0,FALSE,1,NA,FALSE,0,NA,1,"paired-colonising",NA,"VAN-001","22",1,NA,0,FALSE,1,NA,FALSE,0,NA,1,"paired-colonising",NA
"BPH2701","exp191116_1_C10",14.0217318168058,1152,0.258703843931081,216,-0.0142210031614971,1152,0.000476480792566764,1454.72218686092,0.258703843931081,1152,"exp191116","C10","C",10,40000,"1",3,"VAN-001",0.0468254517490918,FALSE,FALSE,FALSE,0,0,0,FALSE,"22",1,NA,0,FALSE,1,NA,FALSE,0,NA,1,"paired-colonising",NA,"VAN-001","22",1,NA,0,FALSE,1,NA,FALSE,0,NA,1,"paired-colonising",NA
"BPH2701","exp191116_1_H07",39.1418770997065,1152,0.34414307991488,150,0.126756375534626,888,0.000342337264660172,2024.74942728777,0.34414307991488,1152,"exp191116","H07","H",7,40000,"1",2,"VAN-001",0.0468254517490918,FALSE,FALSE,FALSE,0,0,0,FALSE,"22",1,NA,0,FALSE,1,NA,FALSE,0,NA,1,"paired-colonising",NA,"VAN-001","22",1,NA,0,FALSE,1,NA,FALSE,0,NA,1,"paired-colonising",NA
"BPH2701","exp191115_1_H07",13.2686402031985,1152,0.153871132169411,240,0.0225050123768873,1020,0.000245621114850568,2822.01789118027,0.153871132169411,1152,"exp191115","H07","H",7,40000,"1",2,"VAN-001",0.0468254517490918,FALSE,FALSE,FALSE,0,0,0,FALSE,"22",1,NA,0,FALSE,1,NA,FALSE,0,NA,1,"paired-colonising",NA,"VAN-001","22",1,NA,0,FALSE,1,NA,FALSE,0,NA,1,"paired-colonising",NA
"BPH2702","exp191116_1_G03",53.4897152368956,1152,0.479372955383143,156,-0.0387757623041021,354,0.00156756116681272,442.18190347832,0.479372955383143,1152,"exp191116","G03","G",3,40000,"1",3,"VAN-002",0.0520143897564365,FALSE,FALSE,FALSE,0,0,0,FALSE,"15",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VAN-002","15",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2702","exp191115_1_G03",19.2990978627883,1152,0.255902655059207,174,-0.112171513791647,354,0.00105370612314676,657.818309425732,0.255902655059207,1152,"exp191115","G03","G",3,40000,"1",3,"VAN-002",0.0520143897564365,FALSE,FALSE,FALSE,0,0,0,FALSE,"15",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VAN-002","15",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2702","exp191116_1_H03",35.5496092258483,1152,0.348766547556222,168,0.00697135272490871,384,0.000766850826203734,903.887896934719,0.348766547556222,1152,"exp191116","H03","H",3,40000,"1",2,"VAN-002",0.0520143897564365,FALSE,FALSE,FALSE,0,0,0,FALSE,"15",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VAN-002","15",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2702","exp191116_1_B02",25.9946812859008,1152,0.265630950341541,162,-0.0287423108769801,366,0.000708392677395806,978.478748690759,0.265630950341541,1152,"exp191116","B02","B",2,40000,"1",1,"VAN-002",0.0520143897564365,FALSE,FALSE,FALSE,0,0,0,FALSE,"15",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VAN-002","15",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2702","exp191115_1_H03",33.2510945700975,1152,0.32515948021092,168,-0.0228341948422884,366,0.000911556196672772,760.399833921341,0.32515948021092,1152,"exp191115","H03","H",3,40000,"1",2,"VAN-002",0.0520143897564365,FALSE,FALSE,FALSE,0,0,0,FALSE,"15",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VAN-002","15",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2702","exp191115_1_B02",10.8961152121944,1152,0.142075198408021,198,-0.0483783341563169,366,0.000462465394478217,1498.80875160832,0.142075198408021,1152,"exp191115","B02","B",2,40000,"1",1,"VAN-002",0.0520143897564365,FALSE,FALSE,FALSE,0,0,0,FALSE,"15",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VAN-002","15",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2703","exp191116_1_F08",79.9201668933831,1152,0.919419923929012,168,-0.0409057208707143,534,0.00201279056845626,344.371238330853,0.919419923929012,1152,"exp191116","F08","F",8,40000,"1",3,"VAN-003",0.0325245087141762,FALSE,FALSE,FALSE,0,0.0518134715025907,0,FALSE,"8",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VAN-003","8",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2703","exp191116_1_E08",56.3612979516629,1152,0.843788763135997,210,-0.0194744281521403,726,0.0016170503897632,428.649091548377,0.843788763135997,1152,"exp191116","E08","E",8,40000,"1",2,"VAN-003",0.0325245087141762,FALSE,FALSE,FALSE,0,0,0,FALSE,"8",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VAN-003","8",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
