"sample_id","well_id","time_of_max_rate_OD","max_rate_OD","doubling_time_OD","AUC_OD","time_of_max_OD","max_OD","time_of_min_OD","min_OD","end_point_OD","end_point_timepoint_OD","well_row","well_col","well","experiment","plate","replicate","strain_group.x","sd","outlier_sd","outlier_mad","outlier_tukey","proportion_outlier_sd","proportion_outlier_mad","proportion_outlier_tukey","outlier_curve","strain_group.y","ST","mecA","mortality","intrahost_index","included","unrelated_to_index","mut_count","scv","vanco_difference","persister_type","intrahost_sampledelay","sample_type","genes"
"BPH2700","exp191116_1_A03",270,0.0262615877097209,26.4193594820953,121.655477778167,840,5.83151170363392,0,0.0166324996710322,5.74895014299891,930,"A",5,"A03","exp191116","1",1.5,"VAN-001",0.0459526488909649,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-001","78",1,"Survived",1,FALSE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2701","exp191116_1_H07",240,0.0385573028914992,18.5827905710431,130.968111111667,810,6.08053986231435,0,0.0179494313379625,6.06010909661498,930,"H",8,"H07","exp191116","1",1.5,"VAN-001",0.0174737898961082,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-001","22",1,NA,0,FALSE,1,NA,FALSE,0,NA,1,"paired-colonising",NA
"BPH2702","exp191116_1_B02",240,0.0267299293932168,25.9339402191232,126.507588889333,930,5.83259011982962,0,0.00798318610789938,5.83259011982962,930,"B",2.66666666666667,"B02","exp191116","1",2,"VAN-002",0.0122493236342378,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-002","15",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2703","exp191116_1_E08",240,0.0285290640189361,24.2986916188015,129.783188889333,930,6.11229670747816,10,0.0148056010573332,6.11229670747816,930,"E",8,"E08","exp191116","1",2,"VAN-003",0.0167431578064992,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-003","8",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2704","exp191116_1_A07",240,0.0269123712821891,25.8102800236327,127.6764722225,800,5.92666620253493,20,0.0255619729117224,5.86704045388389,930,"A",6.83333333333333,"A07","exp191116","1",2,"VAN-004",0.0151285467549364,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-004","93",1,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2705","exp191116_1_D09",260,0.0268525419190411,25.9091435131058,122.094805555833,880,6.00438042905407,45,0.017377992164698,5.94126591354492,930,"D",7.83333333333333,"D09","exp191116","1",2,"VAN-004",0.0668923316625279,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-004","93",1,NA,0,TRUE,0,0,FALSE,0,"Persistent",10,"paired-invasive",NA
"BPH2706","exp191116_1_A11",240,0.0268397693940646,25.8419230899537,122.435611111667,800,5.6704336365565,0,0.00973856464812593,5.60020372548369,930,"A",6,"A11","exp191116","1",2,"VAN-005",0.0023094010767585,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-005","508",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2707","exp191116_1_D04",220,0.0271887750042124,25.5208251771606,130.550611111667,930,5.89673945288696,0,0.0139210810936467,5.89673945288696,930,"D",6,"D04","exp191116","1",2,"VAN-006",0.0055075705472861,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-006","8",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2708","exp191116_1_C07",195,0.029053116967542,23.8619076145038,140.283611111667,765,6.08485328723539,0,0.0293257355759872,6.04944338275997,930,"C",8.5,"C07","exp191116","1",1.5,"VAN-007",0.0346987031457949,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-007","97",0,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2709","exp191116_1_C02",220,0.0289688377719059,23.9289373695135,137.499944445,810,6.17146150724262,0,0.0157241187840919,6.1466998840193,930,"C",2.66666666666667,"C02","exp191116","1",2,"VAN-007",0.019672315572906,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-007","97",0,NA,0,TRUE,0,0,FALSE,0.5,"Persistent",5,"paired-invasive",NA
"BPH2710","exp191116_1_B08",300,0.0248521681521471,27.8949186528807,117.714055556,930,6.28444516208926,0,0.0114706581881204,6.28444516208926,930,"B",6.66666666666667,"B08","exp191116","1",2,"VAN-008",0.009,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-008","239",1,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
