variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
EW033_RS00005	5.06E-01	2.54E-02	2.32E-01	-3.90E-01	3.26E-01	6.09E-02	
EW033_RS00010	1.27E-01	3.61E-03	2.03E-01	3.55E-01	2.78E-01	6.49E-02	
EW033_RS00015	1.55E-02	2.09E-01	2.17E-01	5.61E-01	4.53E-01	6.29E-02	
EW033_RS00020	1.63E-01	3.24E-05	7.71E-01	-8.33E-02	2.86E-01	1.49E-02	
EW033_RS00025	5.30E-01	2.40E-02	7.24E-01	7.51E-02	2.13E-01	1.80E-02	
EW033_RS00030	6.77E-01	1.77E-12	2.38E-04	1.02E+00	2.75E-01	1.86E-01	
EW033_RS00035	2.17E-01	8.47E-01	3.80E-01	2.30E-01	2.61E-01	4.48E-02	
EW033_RS00040	5.97E-01	6.13E-07	6.58E-01	1.35E-01	3.06E-01	2.25E-02	
EW033_RS00050	5.97E-01	8.64E-06	3.11E-01	-2.97E-01	2.93E-01	5.16E-02	
EW033_RS00055	5.74E-01	8.39E-06	1.85E-01	3.38E-01	2.55E-01	6.75E-02	
EW033_RS00060	2.07E-01	5.61E-10	7.47E-02	4.24E-01	2.37E-01	9.07E-02	
EW033_RS00065	6.59E-01	5.38E-10	8.77E-02	7.89E-01	4.61E-01	8.69E-02	
EW033_RS00070	5.97E-01	1.10E-05	1.78E-01	-3.74E-01	2.77E-01	6.86E-02	
EW033_RS00075	3.98E-01	2.30E-09	4.51E-01	1.52E-01	2.02E-01	3.84E-02	
EW033_RS00080	1.29E-01	1.11E-04	9.99E-01	-5.70E-04	3.17E-01	9.17E-05	
EW033_RS00085	7.98E-01	1.29E-12	7.91E-03	5.00E-01	1.87E-01	1.35E-01	
EW033_RS00095	5.92E-01	3.24E-06	6.92E-01	-1.33E-01	3.35E-01	2.02E-02	
EW033_RS00110	1.29E-02	1.34E-01	8.50E-01	7.63E-02	4.03E-01	9.65E-03	
EW033_RS00115	6.64E-01	4.69E-09	9.74E-01	-1.21E-02	3.71E-01	1.66E-03	
EW033_RS00120	5.92E-01	1.11E-05	2.28E-01	-3.95E-01	3.27E-01	6.14E-02	
EW033_RS00125	5.92E-01	3.37E-06	6.74E-01	-1.41E-01	3.34E-01	2.15E-02	
EW033_RS00130	8.79E-02	4.36E-01	8.26E-01	-5.42E-02	2.47E-01	1.12E-02	
EW033_RS00135	6.69E-01	9.34E-09	9.69E-01	-1.25E-02	3.20E-01	1.99E-03	
EW033_RS00140	1.14E-01	3.53E-02	1.58E-01	-3.52E-01	2.49E-01	7.19E-02	
EW033_RS00615	6.54E-01	2.47E-10	2.89E-01	3.94E-01	3.71E-01	5.41E-02	
EW033_RS00620	6.23E-01	1.53E-02	7.68E-01	-3.95E-02	1.34E-01	1.51E-02	
EW033_RS00625	5.74E-01	1.84E-05	1.09E-01	-4.54E-01	2.83E-01	8.15E-02	
EW033_RS00630	5.50E-01	2.73E-06	8.56E-01	5.56E-02	3.07E-01	9.23E-03	
EW033_RS00640	5.81E-01	3.66E-06	3.16E-01	-3.26E-01	3.24E-01	5.11E-02	
EW033_RS00645	6.15E-01	6.57E-08	9.77E-03	5.89E-01	2.27E-01	1.31E-01	
EW033_RS00650	1.47E-01	9.07E-02	1.45E-02	-6.36E-01	2.59E-01	1.24E-01	
EW033_RS00655	6.20E-01	2.30E-07	6.73E-01	1.02E-01	2.41E-01	2.15E-02	
EW033_RS00660	5.97E-01	1.64E-06	8.54E-01	-5.62E-02	3.06E-01	9.35E-03	
EW033_RS00665	5.89E-01	1.76E-05	1.00E-01	-5.71E-01	3.47E-01	8.37E-02	
EW033_RS00670	3.90E-01	2.69E-11	1.73E-01	3.82E-01	2.80E-01	6.94E-02	
EW033_RS00675	6.12E-01	4.09E-07	1.63E-01	3.25E-01	2.33E-01	7.10E-02	
EW033_RS00680	4.88E-01	1.37E-02	9.42E-02	-4.07E-01	2.43E-01	8.52E-02	
EW033_RS00685	4.55E-01	1.24E-02	3.65E-02	4.17E-01	1.98E-01	1.06E-01	
EW033_RS00690	5.27E-01	3.50E-01	8.26E-02	2.18E-01	1.25E-01	8.83E-02	
EW033_RS00700	5.81E-01	1.22E-05	3.19E-01	-3.70E-01	3.71E-01	5.08E-02	
EW033_RS00705	5.87E-01	6.36E-06	3.92E-01	-3.25E-01	3.79E-01	4.36E-02	
EW033_RS00710	5.81E-01	5.23E-07	1.39E-01	5.98E-01	4.03E-01	7.54E-02	
EW033_RS00715	5.06E-01	1.43E-02	9.48E-01	-1.89E-02	2.92E-01	3.30E-03	
EW033_RS00720	2.48E-01	9.44E-02	8.41E-02	2.94E-01	1.70E-01	8.79E-02	
EW033_RS00725	5.79E-01	6.96E-07	1.33E-01	6.81E-01	4.53E-01	7.64E-02	
EW033_RS00730	5.81E-01	7.21E-07	1.27E-01	6.14E-01	4.01E-01	7.77E-02	
EW033_RS00735	5.84E-01	8.05E-07	3.88E-01	3.19E-01	3.69E-01	4.40E-02	
EW033_RS00740	6.41E-01	1.51E-05	7.29E-02	-4.19E-01	2.33E-01	9.13E-02	
EW033_RS00745	6.12E-01	1.43E-07	2.05E-01	2.88E-01	2.27E-01	6.45E-02	
EW033_RS00750	5.56E-01	1.29E-06	1.53E-01	5.87E-01	4.10E-01	7.28E-02	
EW033_RS00755	5.81E-01	5.87E-07	1.71E-01	5.52E-01	4.02E-01	6.98E-02	
EW033_RS00760	8.01E-01	3.96E-12	1.91E-02	4.36E-01	1.85E-01	1.19E-01	
EW033_RS00770	5.87E-01	2.67E-07	2.76E-01	3.38E-01	3.10E-01	5.56E-02	
EW033_RS00775	8.27E-02	1.28E-03	7.51E-01	1.13E-01	3.57E-01	1.62E-02	
EW033_RS00780	8.53E-02	6.92E-04	5.94E-01	4.76E-01	8.94E-01	2.71E-02	
EW033_RS00785	5.79E-01	6.96E-07	1.33E-01	6.81E-01	4.53E-01	7.64E-02	
EW033_RS00790	6.25E-01	2.02E-06	2.45E-01	-3.24E-01	2.78E-01	5.93E-02	
EW033_RS00795	6.30E-01	1.01E-06	2.89E-01	-3.08E-01	2.90E-01	5.41E-02	
EW033_RS00800	5.76E-01	8.64E-07	1.34E-01	5.95E-01	3.96E-01	7.64E-02	
EW033_RS00805	6.38E-01	1.66E-06	4.43E-01	-1.86E-01	2.42E-01	3.91E-02	
EW033_RS00810	1.29E-02	5.65E-03	5.37E-02	1.17E+00	6.04E-01	9.82E-02	
EW033_RS00820	4.91E-01	9.34E-17	2.75E-02	8.95E-01	4.04E-01	1.12E-01	
EW033_RS00830	5.79E-01	6.96E-07	1.33E-01	6.81E-01	4.53E-01	7.64E-02	
EW033_RS00835	6.93E-01	2.20E-08	6.83E-01	-9.45E-02	2.31E-01	2.08E-02	
EW033_RS00840	1.16E-01	7.17E-07	2.00E-01	-4.15E-01	3.23E-01	6.53E-02	
EW033_RS00845	4.13E-02	1.57E-01	2.73E-01	2.74E-01	2.49E-01	5.59E-02	
EW033_RS00850	5.89E-01	1.23E-06	3.48E-01	2.97E-01	3.16E-01	4.78E-02	
EW033_RS00855	6.61E-01	1.42E-09	3.83E-01	3.57E-01	4.09E-01	4.45E-02	
EW033_RS00860	5.92E-01	2.31E-07	2.12E-01	3.91E-01	3.13E-01	6.36E-02	
EW033_RS00865	2.12E-01	4.38E-07	7.08E-01	1.01E-01	2.70E-01	1.91E-02	
EW033_RS00870	8.14E-01	2.15E-10	9.67E-02	2.96E-01	1.78E-01	8.46E-02	
EW033_RS00875	6.07E-01	7.23E-10	2.28E-03	8.65E-01	2.82E-01	1.55E-01	
EW033_RS00885	1.27E-01	1.11E-02	9.93E-01	2.12E-03	2.27E-01	4.77E-04	
EW033_RS00890	7.67E-01	3.06E-17	3.51E-03	4.67E-01	1.59E-01	1.48E-01	
EW033_RS00895	6.59E-01	5.38E-10	8.77E-02	7.89E-01	4.61E-01	8.69E-02	
EW033_RS00900	6.56E-01	6.20E-10	1.10E-01	6.59E-01	4.11E-01	8.14E-02	
EW033_RS00905	6.28E-01	1.11E-06	3.19E-01	-2.86E-01	2.87E-01	5.08E-02	
EW033_RS00910	5.71E-01	1.45E-07	1.39E-03	8.38E-01	2.60E-01	1.62E-01	
EW033_RS00915	6.43E-01	1.21E-10	8.20E-05	1.21E+00	3.03E-01	1.99E-01	
EW033_RS00920	5.74E-01	8.74E-08	2.20E-03	7.82E-01	2.54E-01	1.55E-01	
EW033_RS00925	5.74E-01	1.03E-06	1.44E-02	6.15E-01	2.50E-01	1.24E-01	
EW033_RS00960	5.87E-01	2.44E-06	9.80E-01	-8.95E-03	3.63E-01	1.26E-03	
EW033_RS00965	5.84E-01	4.23E-06	8.63E-01	-6.34E-02	3.66E-01	8.83E-03	
EW033_RS00970	5.81E-01	6.37E-07	2.07E-01	5.12E-01	4.05E-01	6.43E-02	
EW033_RS00975	5.79E-01	6.96E-07	1.33E-01	6.81E-01	4.53E-01	7.64E-02	
EW033_RS00980	5.94E-01	2.03E-07	2.17E-01	3.81E-01	3.08E-01	6.30E-02	
EW033_RS00985	4.88E-01	9.37E-03	3.15E-01	4.42E-01	4.40E-01	5.12E-02	
EW033_RS00990	5.61E-01	5.18E-07	1.01E-01	6.77E-01	4.12E-01	8.34E-02	
EW033_RS00995	5.81E-01	5.44E-07	1.44E-01	5.90E-01	4.03E-01	7.44E-02	
EW033_RS01000	6.77E-01	8.13E-11	1.76E-02	6.63E-01	2.78E-01	1.21E-01	
EW033_RS01005	3.95E-01	2.10E-09	2.60E-01	3.98E-01	3.53E-01	5.74E-02	
EW033_RS01010	5.45E-01	3.10E-01	4.22E-01	-1.44E-01	1.79E-01	4.09E-02	
EW033_RS01015	6.23E-01	4.56E-03	7.02E-01	-7.32E-02	1.91E-01	1.95E-02	
EW033_RS01020	7.98E-01	1.29E-12	7.91E-03	5.00E-01	1.87E-01	1.35E-01	
EW033_RS01025	5.35E-01	6.10E-04	4.39E-01	2.05E-01	2.65E-01	3.95E-02	
EW033_RS01030	6.02E-01	1.24E-06	3.70E-01	2.27E-01	2.53E-01	4.57E-02	
EW033_RS01035	5.04E-01	5.35E-04	3.37E-01	3.45E-01	3.59E-01	4.89E-02	
EW033_RS01040	5.43E-01	4.44E-06	7.86E-03	5.95E-01	2.23E-01	1.35E-01	
EW033_RS01045	7.03E-01	1.21E-05	1.69E-02	3.91E-01	1.63E-01	1.21E-01	
EW033_RS01060	5.87E-01	9.89E-08	3.86E-02	7.20E-01	3.47E-01	1.05E-01	
EW033_RS01065	5.89E-01	1.60E-07	1.05E-01	5.30E-01	3.26E-01	8.26E-02	
EW033_RS01070	5.87E-01	7.33E-07	4.24E-01	2.78E-01	3.48E-01	4.08E-02	
EW033_RS01075	7.67E-01	1.32E-06	2.53E-01	1.91E-01	1.67E-01	5.83E-02	
EW033_RS01080	5.84E-01	1.27E-06	5.67E-01	2.17E-01	3.77E-01	2.92E-02	
EW033_RS01085	5.25E-01	2.34E-04	3.05E-01	2.62E-01	2.55E-01	5.22E-02	
EW033_RS01090	5.81E-01	4.32E-07	1.19E-01	6.31E-01	4.03E-01	7.95E-02	
EW033_RS01100	4.81E-01	3.39E-03	1.22E-01	6.30E-01	4.07E-01	7.88E-02	
EW033_RS01105	8.11E-01	6.95E-11	8.26E-02	3.12E-01	1.79E-01	8.83E-02	
EW033_RS01110	8.27E-01	4.02E-13	1.91E-03	5.31E-01	1.70E-01	1.57E-01	
EW033_RS01115	2.27E-01	2.17E-02	3.79E-01	-1.39E-01	1.58E-01	4.48E-02	
EW033_RS01120	5.76E-01	2.44E-06	9.48E-01	-1.75E-02	2.68E-01	3.33E-03	
EW033_RS01125	1.50E-01	1.35E-02	7.22E-01	-9.69E-02	2.72E-01	1.81E-02	
EW033_RS01135	6.10E-01	9.93E-08	1.48E-02	5.54E-01	2.26E-01	1.24E-01	
EW033_RS01145	8.11E-01	1.03E-10	7.69E-02	3.18E-01	1.79E-01	9.00E-02	
EW033_RS01150	5.89E-01	2.12E-06	9.86E-01	-5.54E-03	3.26E-01	8.66E-04	
EW033_RS01155	7.13E-01	9.20E-03	3.48E-01	-1.42E-01	1.51E-01	4.79E-02	
EW033_RS01160	5.87E-01	9.92E-07	2.73E-01	3.71E-01	3.38E-01	5.59E-02	
EW033_RS01165	6.87E-01	1.21E-08	3.75E-01	2.13E-01	2.40E-01	4.53E-02	
EW033_RS01170	6.56E-01	2.41E-09	3.29E-01	4.04E-01	4.13E-01	4.97E-02	
EW033_RS01175	5.79E-01	6.96E-07	1.33E-01	6.81E-01	4.53E-01	7.64E-02	
EW033_RS01180	2.89E-01	1.15E-07	4.20E-01	2.12E-01	2.62E-01	4.11E-02	
EW033_RS01185	7.98E-01	1.29E-12	7.91E-03	5.00E-01	1.87E-01	1.35E-01	
EW033_RS01190	5.87E-01	3.05E-07	1.48E-01	5.00E-01	3.45E-01	7.37E-02	
EW033_RS01195	2.30E-01	6.16E-01	2.26E-03	-4.39E-01	1.43E-01	1.55E-01	
EW033_RS01200	8.04E-01	9.46E-13	9.21E-03	4.80E-01	1.84E-01	1.32E-01	
EW033_RS01205	8.01E-01	9.63E-13	5.72E-03	5.14E-01	1.85E-01	1.40E-01	
EW033_RS01210	5.01E-01	3.90E-07	5.90E-02	5.21E-01	2.75E-01	9.61E-02	
EW033_RS01215	8.53E-02	3.27E-03	4.35E-01	-2.05E-01	2.63E-01	3.98E-02	
EW033_RS01220	1.16E-01	1.11E-04	1.64E-01	3.89E-01	2.79E-01	7.08E-02	
EW033_RS01225	5.68E-01	1.79E-06	2.45E-01	4.54E-01	3.89E-01	5.93E-02	
EW033_RS01230	5.97E-01	2.30E-07	2.50E-02	6.19E-01	2.75E-01	1.14E-01	
EW033_RS01235	5.87E-01	1.18E-06	3.59E-01	2.73E-01	2.97E-01	4.68E-02	
EW033_RS01240	8.27E-02	3.42E-01	4.22E-01	1.47E-01	1.83E-01	4.09E-02	
