variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
EW033_RS00135	2.07E-02	2.25E-02	1.32E-01	5.10E-01	3.38E-01	7.67E-02	
EW033_RS00630	1.55E-02	7.79E-01	3.56E-01	-3.64E-01	3.94E-01	4.71E-02	
EW033_RS00655	1.29E-02	1.56E-02	1.03E-01	8.86E-01	5.41E-01	8.31E-02	
EW033_RS00690	1.55E-02	2.03E-01	5.03E-02	-8.17E-01	4.16E-01	9.96E-02	
EW033_RS00770	1.03E-02	3.08E-01	6.26E-01	2.18E-01	4.47E-01	2.49E-02	
EW033_RS00795	1.55E-02	5.07E-01	5.47E-01	2.53E-01	4.20E-01	3.07E-02	
EW033_RS00895	1.55E-02	5.30E-07	9.55E-02	6.23E-01	3.73E-01	8.49E-02	
EW033_RS00910	2.58E-02	6.33E-01	3.05E-01	-2.95E-01	2.87E-01	5.23E-02	
EW033_RS01040	1.55E-02	2.01E-01	1.98E-01	4.63E-01	3.59E-01	6.55E-02	
EW033_RS01045	2.33E-02	1.11E-03	9.64E-01	-1.55E-02	3.45E-01	2.29E-03	
EW033_RS01050	1.81E-02	3.29E-04	6.61E-02	-6.08E-01	3.30E-01	9.35E-02	
EW033_RS01080	1.81E-02	7.26E-01	5.60E-01	2.30E-01	3.94E-01	2.97E-02	
EW033_RS01105	1.03E-02	4.18E-05	8.49E-03	-1.14E+00	4.32E-01	1.34E-01	
EW033_RS01115	1.55E-02	4.20E-01	6.17E-01	-1.86E-01	3.72E-01	2.55E-02	
EW033_RS01135	1.03E-02	3.12E-02	3.89E-02	9.05E-01	4.37E-01	1.05E-01	
EW033_RS01150	1.29E-02	6.19E-01	3.37E-01	-4.18E-01	4.34E-01	4.90E-02	
EW033_RS01155	1.03E-02	5.06E-02	3.70E-01	4.01E-01	4.46E-01	4.57E-02	
EW033_RS01165	1.81E-02	5.80E-01	7.02E-01	-1.48E-01	3.87E-01	1.95E-02	
EW033_RS01175	1.03E-02	3.74E-01	8.91E-02	-9.37E-01	5.50E-01	8.65E-02	
EW033_RS01305	1.03E-02	8.78E-02	9.39E-01	5.07E-02	6.63E-01	3.90E-03	
EW033_RS01330	1.29E-02	8.75E-02	5.74E-01	2.45E-01	4.35E-01	2.87E-02	
EW033_RS01355	1.29E-02	1.18E-02	3.97E-02	-8.31E-01	4.03E-01	1.05E-01	
EW033_RS01360	1.81E-02	1.30E-01	1.41E-03	-1.08E+00	3.35E-01	1.62E-01	
EW033_RS01555	1.03E-02	2.72E-02	1.10E-01	-7.06E-01	4.40E-01	8.14E-02	
EW033_RS01590	1.03E-02	8.55E-01	5.20E-01	-3.07E-01	4.77E-01	3.28E-02	
EW033_RS01595	1.55E-02	5.36E-01	8.03E-01	9.52E-02	3.81E-01	1.27E-02	
EW033_RS01695	1.03E-02	5.38E-01	7.83E-01	1.38E-01	5.02E-01	1.41E-02	
EW033_RS01700	1.03E-02	5.49E-01	4.34E-01	-3.54E-01	4.52E-01	3.99E-02	
EW033_RS01750	1.03E-02	5.19E-02	6.46E-01	3.02E-01	6.58E-01	2.34E-02	
EW033_RS01755	1.03E-02	2.01E-03	3.60E-01	4.16E-01	4.54E-01	4.67E-02	
EW033_RS01760	1.81E-02	9.06E-02	4.13E-01	-3.12E-01	3.81E-01	4.17E-02	
EW033_RS01785	1.29E-02	1.42E-02	2.62E-01	4.50E-01	4.00E-01	5.72E-02	
EW033_RS01790	1.55E-02	3.70E-01	1.06E-01	-5.94E-01	3.67E-01	8.22E-02	
EW033_RS02425	1.03E-02	6.31E-01	5.59E-01	-3.09E-01	5.28E-01	2.98E-02	
EW033_RS02465	1.55E-02	3.96E-01	4.44E-01	-3.58E-01	4.67E-01	3.90E-02	
EW033_RS02760	1.03E-02	1.82E-01	5.88E-01	3.62E-01	6.67E-01	2.76E-02	
EW033_RS02765	1.55E-02	1.63E-01	6.73E-01	1.55E-01	3.67E-01	2.15E-02	
EW033_RS02770	1.81E-02	7.44E-01	4.52E-01	-3.65E-01	4.84E-01	3.83E-02	
EW033_RS02820	1.29E-02	3.67E-01	7.22E-01	-1.48E-01	4.15E-01	1.82E-02	
EW033_RS02840	1.03E-02	4.62E-01	7.16E-01	1.61E-01	4.41E-01	1.86E-02	
EW033_RS02870	1.03E-02	7.94E-02	1.08E-01	-8.01E-01	4.97E-01	8.18E-02	
EW033_RS02915	1.29E-02	1.64E-01	9.05E-01	-4.96E-02	4.17E-01	6.06E-03	
EW033_RS02965	1.03E-02	6.39E-01	7.85E-01	-1.22E-01	4.46E-01	1.39E-02	
EW033_RS03030	2.84E-02	4.66E-02	5.31E-01	2.59E-01	4.13E-01	3.19E-02	
EW033_RS03170	1.29E-02	1.08E-01	1.08E-02	-1.07E+00	4.17E-01	1.29E-01	
EW033_RS03500	1.03E-02	4.88E-05	1.74E-02	-1.04E+00	4.35E-01	1.21E-01	
EW033_RS03615	1.03E-02	5.67E-01	4.65E-01	3.22E-01	4.41E-01	3.72E-02	
EW033_RS03625	1.29E-02	8.25E-01	4.83E-01	-2.90E-01	4.13E-01	3.58E-02	
EW033_RS03740	1.03E-02	7.00E-02	5.81E-01	2.61E-01	4.72E-01	2.81E-02	
EW033_RS03825	1.03E-02	4.60E-02	4.71E-01	4.97E-01	6.88E-01	3.68E-02	
EW033_RS04165	1.81E-02	5.57E-01	4.50E-01	-2.85E-01	3.76E-01	3.85E-02	
EW033_RS04485	1.29E-02	6.48E-01	7.85E-01	-1.29E-01	4.73E-01	1.39E-02	
EW033_RS04635	1.29E-02	3.35E-01	9.19E-01	5.44E-02	5.32E-01	5.21E-03	
EW033_RS04835	1.03E-02	2.90E-01	6.98E-01	-1.73E-01	4.46E-01	1.98E-02	
EW033_RS04880	1.03E-02	7.70E-02	1.49E-03	1.39E+00	4.35E-01	1.61E-01	
EW033_RS05135	1.55E-02	1.74E-01	9.50E-01	3.68E-02	5.84E-01	3.21E-03	
EW033_RS05430	2.07E-02	9.20E-01	4.41E-01	-2.67E-01	3.46E-01	3.93E-02	
EW033_RS05515	1.03E-02	3.23E-01	1.86E-01	-6.35E-01	4.79E-01	6.73E-02	
EW033_RS05520	1.03E-02	2.50E-01	8.39E-01	9.00E-02	4.43E-01	1.04E-02	
EW033_RS05535	1.03E-02	5.68E-01	4.04E-01	-4.22E-01	5.05E-01	4.26E-02	
EW033_RS05570	1.03E-02	5.96E-01	6.72E-01	-2.48E-01	5.86E-01	2.16E-02	
EW033_RS05715	1.03E-02	2.16E-01	2.90E-01	-4.59E-01	4.33E-01	5.39E-02	
EW033_RS05755	1.03E-02	7.42E-01	1.65E-01	-9.27E-01	6.66E-01	7.08E-02	
EW033_RS05790	1.55E-02	6.24E-02	7.38E-01	1.36E-01	4.06E-01	1.71E-02	
EW033_RS05870	1.55E-02	8.59E-01	8.63E-01	8.76E-02	5.09E-01	8.77E-03	
EW033_RS05970	1.03E-02	1.47E-01	1.07E-01	-7.02E-01	4.34E-01	8.22E-02	
EW033_RS06025	1.81E-02	2.79E-02	2.47E-01	5.16E-01	4.45E-01	5.90E-02	
EW033_RS06475	1.81E-02	8.81E-01	4.40E-01	-2.72E-01	3.52E-01	3.93E-02	
EW033_RS06515	1.03E-02	4.23E-01	1.09E-01	-7.38E-01	4.59E-01	8.16E-02	
EW033_RS06930	1.29E-02	9.59E-03	2.52E-02	-1.07E+00	4.75E-01	1.14E-01	
EW033_RS06940	1.03E-02	1.24E-05	5.13E-02	8.67E-01	4.44E-01	9.92E-02	
EW033_RS07360	1.03E-02	1.45E-01	3.43E-02	-9.45E-01	4.45E-01	1.08E-01	
EW033_RS07365	1.55E-02	2.87E-02	2.73E-01	5.04E-01	4.59E-01	5.59E-02	
EW033_RS07570	1.03E-02	5.32E-01	7.84E-01	1.29E-01	4.70E-01	1.40E-02	
EW033_RS07595	1.81E-02	8.40E-01	7.52E-01	-1.22E-01	3.85E-01	1.61E-02	
EW033_RS07620	1.03E-02	4.70E-02	4.08E-01	5.46E-01	6.59E-01	4.22E-02	
EW033_RS07735	1.03E-02	6.93E-01	1.28E-01	-6.86E-01	4.49E-01	7.76E-02	
EW033_RS07755	1.55E-02	1.49E-02	3.60E-03	-1.07E+00	3.65E-01	1.48E-01	
EW033_RS07850	1.81E-02	8.37E-02	7.62E-01	1.17E-01	3.85E-01	1.54E-02	
EW033_RS07885	1.55E-02	8.24E-01	5.90E-01	-3.26E-01	6.04E-01	2.75E-02	
EW033_RS07955	1.47E-01	4.07E-04	3.71E-01	1.28E-01	1.43E-01	4.56E-02	
EW033_RS07990	1.03E-02	2.09E-01	8.66E-02	-7.69E-01	4.48E-01	8.72E-02	
EW033_RS08360	1.81E-02	4.48E-01	8.13E-01	-1.15E-01	4.88E-01	1.21E-02	
EW033_RS08490	1.03E-02	6.24E-03	1.39E-01	6.99E-01	4.72E-01	7.53E-02	
EW033_RS08535	1.29E-02	6.69E-01	5.69E-01	-2.39E-01	4.19E-01	2.90E-02	
EW033_RS08780	1.29E-02	2.88E-04	1.27E-01	6.46E-01	4.22E-01	7.77E-02	
EW033_RS08835	1.03E-02	2.73E-01	7.80E-01	1.94E-01	6.95E-01	1.43E-02	
EW033_RS08955	1.03E-02	2.02E-01	1.61E-01	-6.13E-01	4.37E-01	7.13E-02	
EW033_RS09160	1.81E-02	8.77E-01	5.62E-01	-1.97E-01	3.40E-01	2.95E-02	
EW033_RS09190	1.03E-02	7.13E-01	6.66E-01	-2.14E-01	4.94E-01	2.20E-02	
EW033_RS09195	1.29E-02	3.43E-02	4.77E-01	5.20E-01	7.30E-01	3.62E-02	
EW033_RS09565	2.58E-02	3.84E-02	4.93E-01	1.99E-01	2.90E-01	3.49E-02	
EW033_RS09580	2.33E-02	5.81E-01	9.98E-01	-6.33E-04	3.00E-01	1.08E-04	
EW033_RS09705	1.81E-02	3.13E-01	5.89E-01	2.10E-01	3.88E-01	2.76E-02	
EW033_RS09710	3.10E-02	5.62E-01	7.15E-01	-1.07E-01	2.93E-01	1.86E-02	
EW033_RS09760	1.55E-02	8.98E-01	9.29E-01	-3.26E-02	3.64E-01	4.56E-03	
EW033_RS09925	1.03E-02	1.91E-02	2.86E-01	6.10E-01	5.71E-01	5.44E-02	
EW033_RS10205	1.81E-02	2.39E-01	6.90E-01	-1.89E-01	4.74E-01	2.04E-02	
EW033_RS10285	1.81E-02	6.21E-01	6.74E-01	-1.60E-01	3.80E-01	2.15E-02	
EW033_RS10880	1.03E-02	2.25E-01	7.29E-01	1.54E-01	4.46E-01	1.77E-02	
EW033_RS11005	1.29E-02	3.21E-03	2.27E-02	-9.61E-01	4.20E-01	1.16E-01	
EW033_RS11030	1.03E-02	8.02E-01	5.79E-01	2.46E-01	4.44E-01	2.83E-02	
EW033_RS11095	1.55E-02	8.80E-02	7.59E-01	1.59E-01	5.18E-01	1.56E-02	
EW033_RS11370	1.29E-02	2.76E-01	1.26E-01	-6.11E-01	3.98E-01	7.80E-02	
EW033_RS11385	2.07E-02	5.89E-02	5.60E-01	2.27E-01	3.90E-01	2.97E-02	
EW033_RS11455	1.03E-02	1.83E-13	2.46E-01	5.23E-01	4.50E-01	5.91E-02	
EW033_RS11460	1.29E-02	3.76E-01	6.75E-01	-1.79E-01	4.28E-01	2.14E-02	
EW033_RS11480	1.03E-02	1.11E-02	1.01E-01	-7.06E-01	4.29E-01	8.36E-02	
EW033_RS11485	2.84E-02	4.34E-04	2.04E-06	-1.30E+00	2.69E-01	2.39E-01	
EW033_RS12480	1.29E-02	6.41E-01	6.78E-01	-2.28E-01	5.49E-01	2.11E-02	
EW033_RS12760	1.29E-02	5.03E-01	3.27E-01	3.88E-01	3.95E-01	5.00E-02	
EW033_RS12885	1.55E-02	5.40E-01	8.27E-01	-9.19E-02	4.21E-01	1.11E-02	
EW033_RS12905	2.84E-02	1.43E-02	2.13E-01	3.58E-01	2.87E-01	6.34E-02	
EW033_RS13000	1.03E-02	5.77E-01	5.74E-01	2.54E-01	4.52E-01	2.86E-02	
EW033_RS13125	1.03E-02	9.57E-01	4.09E-01	-3.87E-01	4.68E-01	4.21E-02	
EW033_RS13160	1.03E-02	4.64E-01	9.02E-01	-5.49E-02	4.45E-01	6.29E-03	
EW033_RS13485	1.03E-02	2.60E-01	9.33E-01	3.88E-02	4.62E-01	4.29E-03	
EW033_RS13690	1.03E-02	6.84E-02	5.06E-01	3.00E-01	4.52E-01	3.39E-02	
EW033_RS13700	1.03E-02	1.31E-01	8.11E-01	1.59E-01	6.67E-01	1.22E-02	
EW033_RS13705	1.55E-02	1.74E-01	6.07E-01	2.45E-01	4.77E-01	2.62E-02	
EW033_RS13735	1.03E-02	1.79E-02	1.42E-01	-6.61E-01	4.49E-01	7.48E-02	
EW033_RS13855	1.29E-02	8.41E-01	5.01E-01	-2.85E-01	4.23E-01	3.43E-02	
EW033_RS13905	1.29E-02	4.73E-01	7.18E-01	1.53E-01	4.23E-01	1.84E-02	
EW033_RS13920	1.29E-02	1.64E-01	6.19E-01	2.37E-01	4.77E-01	2.53E-02	
EW033_RS14005	1.03E-02	5.33E-01	5.15E-01	-2.85E-01	4.38E-01	3.32E-02	
EW033_RS14100	1.03E-02	1.00E-01	9.44E-01	4.74E-02	6.68E-01	3.61E-03	
EW033_RS14140	1.55E-02	6.40E-01	2.03E-01	-4.68E-01	3.67E-01	6.48E-02	
EW033_RS14150	1.29E-02	2.34E-01	4.71E-01	-2.89E-01	4.00E-01	3.67E-02	
EW033_RS14165	2.84E-02	2.94E-01	6.05E-01	1.43E-01	2.76E-01	2.64E-02	
EW033_RS14305	1.55E-02	8.48E-01	3.15E-01	-3.78E-01	3.75E-01	5.12E-02	
EW033_RS14325	1.55E-02	4.32E-01	5.86E-01	-2.02E-01	3.70E-01	2.78E-02	
EW033_RS14365	1.81E-02	5.34E-01	3.68E-01	-4.34E-01	4.81E-01	4.59E-02	
EW033_RS14390	1.29E-02	1.30E-02	2.10E-01	6.69E-01	5.32E-01	6.39E-02	
EW033_RS14425	1.55E-02	3.49E-01	5.76E-02	-7.03E-01	3.69E-01	9.66E-02	
EW033_RS14430	1.29E-02	4.32E-04	3.25E-01	3.93E-01	3.98E-01	5.02E-02	
EW033_RS14475	1.03E-02	5.81E-01	1.09E-01	-7.45E-01	4.64E-01	8.15E-02	
EW033_RS14560	2.07E-02	1.40E-01	8.32E-01	6.85E-02	3.24E-01	1.08E-02	
EW033_RS14565	1.81E-02	1.98E-02	6.09E-01	2.02E-01	3.96E-01	2.61E-02	
EW033_RS14605	1.29E-02	2.92E-01	9.75E-01	1.55E-02	4.90E-01	1.61E-03	
EW033_RS14700	1.03E-02	1.73E-01	4.29E-01	-3.56E-01	4.50E-01	4.03E-02	
EW033_RS14720	1.03E-02	4.80E-02	5.76E-01	3.74E-01	6.69E-01	2.85E-02	
EW033_RS14810	1.03E-02	5.35E-01	9.83E-01	-1.09E-02	5.06E-01	1.10E-03	
EW033_RS14815	2.84E-02	4.09E-01	8.26E-01	6.47E-02	2.95E-01	1.12E-02	
EW033_RS14830	1.03E-02	4.47E-02	2.66E-01	5.98E-01	5.37E-01	5.67E-02	
EW033_RS14885	1.81E-02	3.92E-02	4.00E-01	3.25E-01	3.86E-01	4.29E-02	
EW033_RS14910	1.55E-02	9.67E-01	2.27E-01	-4.85E-01	4.01E-01	6.16E-02	
EW033_RS14930	1.03E-02	3.06E-02	2.06E-01	5.91E-01	4.66E-01	6.44E-02	
EW033_RS15120	1.29E-02	3.46E-01	8.73E-02	-6.83E-01	3.98E-01	8.70E-02	
EW033_RS15175	1.81E-02	2.06E-01	4.24E-01	2.85E-01	3.56E-01	4.08E-02	
EW033_RS15215	1.03E-02	2.08E-01	8.43E-01	1.23E-01	6.20E-01	1.01E-02	
EW033_RS15230	1.55E-02	1.03E-01	5.66E-01	2.39E-01	4.17E-01	2.93E-02	
EW033_RS15245	1.29E-02	2.00E-01	3.45E-01	3.89E-01	4.12E-01	4.81E-02	
EW033_RS15265	1.03E-02	6.06E-01	7.30E-01	-1.61E-01	4.65E-01	1.76E-02	
EW033_RS15435	1.55E-02	4.36E-01	9.94E-01	2.72E-03	3.74E-01	3.71E-04	
EW033_RS15550	1.03E-02	4.60E-02	4.71E-01	4.97E-01	6.88E-01	3.68E-02	
EW033_RS15580	1.03E-02	5.23E-01	7.89E-01	-1.25E-01	4.67E-01	1.36E-02	
EW033_RS15610	2.84E-02	3.72E-01	3.76E-01	2.41E-01	2.72E-01	4.52E-02	
EW033_RS15655	1.81E-02	3.69E-01	1.42E-01	-5.23E-01	3.55E-01	7.48E-02	
EW033_RS15685	1.55E-02	9.80E-01	6.18E-01	-1.91E-01	3.82E-01	2.55E-02	
EW033_RS15765	1.55E-02	5.75E-01	4.53E-01	-2.72E-01	3.61E-01	3.83E-02	
EW033_RS15770	1.81E-02	9.28E-01	6.84E-01	-1.44E-01	3.55E-01	2.07E-02	
EW033_RS15780	1.29E-02	7.78E-01	9.99E-01	7.32E-04	4.00E-01	9.33E-05	
EW033_RS15810	1.29E-02	6.09E-01	4.86E-01	-2.71E-01	3.89E-01	3.55E-02	
EW033_RS15825	1.03E-02	1.37E-01	2.49E-01	5.38E-01	4.66E-01	5.87E-02	
EW033_RS15860	2.33E-02	2.14E-01	7.23E-01	-1.44E-01	4.06E-01	1.81E-02	
