mdu_id,studyid,plate
L466S,NEBRASKA,1
NE186,NEBRASKA,1
NE1887,NEBRASKA,1
NE228,NEBRASKA,1
NE282,NEBRASKA,1
NE286,NEBRASKA,1
NE363,NEBRASKA,1
NE385,NEBRASKA,1
NE391,NEBRASKA,1
NE398,NEBRASKA,1
NE424,NEBRASKA,1
NE52,NEBRASKA,1
NE564,NEBRASKA,1
NE683,NEBRASKA,1
NE81,NEBRASKA,1
NE823,NEBRASKA,1
NE841,NEBRASKA,1
NE858,NEBRASKA,1
NE896,NEBRASKA,1
A477D,rpoB mutant,1
H481N-L466S,rpoB mutant,1
H481Y,rpoB mutant,1
NCV,rpoB mutant,1
NRS384,rpoB mutant,1
SCV,rpoB mutant,1
BPH2986,SSR-ST8,1
LAD-63,SSR-ST8,1
rbf SSR ST8,SSR-ST8,1
