well,sample_id,before-3,after_neat,after-1,experiment,plate,trial,lysis_method,infection duration,to exclude,strain_group
A3,∆rbf ST5,23,,75,exp181219-,A,2,water,24h,,
D7,∆rbf ST5,18,,66,exp181219-,A,2,water,24h,,
G11,∆rbf ST5,20,,67,exp181219-,A,2,water,24h,,
A3,∆rbf ST5,28,1,0,exp191209-,A,1,triton,24h,,
D7,∆rbf ST5,19,0,0,exp191209-,A,1,triton,24h,,
G11,∆rbf ST5,26,0,0,exp191209-,A,1,triton,24h,,
C10,∆rbf ST8,14,,46,exp181219-,A,2,water,24h,,
H7,∆rbf ST8,17,,36,exp181219-,A,2,water,24h,,
H9,∆rbf ST8,19,,0,exp181219-,A,2,water,24h,,
C10,∆rbf ST8,10,1,0,exp191209-,A,1,triton,24h,,
H7,∆rbf ST8,20,1,0,exp191209-,A,1,triton,24h,,
H9,∆rbf ST8,13,0,0,exp191209-,A,1,triton,24h,,
A3,∆rbf ST8,72,,13,exp200122-,E,1,water,24h,,
D7,∆rbf ST8,29,,4,exp200122-,E,1,water,24h,,
G11,∆rbf ST8,45,,0,exp200122-,E,1,water,24h,,
A3,∆rbf ST8,13,13,0,exp200203-,E,2,water,72h,,
D7,∆rbf ST8,9,2.5,0,exp200203-,E,2,water,72h,,
G11,∆rbf ST8,6,0,0,exp200203-,E,2,water,72h,,
B2,2014-21162,27,,27,exp181219-,A,2,water,24h,,
G3,2014-21162,30,,26,exp181219-,A,2,water,24h,,
H3,2014-21162,35,,30,exp181219-,A,2,water,24h,,
B2,2014-21162,13,20,2,exp191209-,A,1,triton,24h,,
G3,2014-21162,17,10,4,exp191209-,A,1,triton,24h,,
H3,2014-21162,19,16,4,exp191209-,A,1,triton,24h,,
E8,2014-21163,29,,113,exp181219-,A,2,water,24h,,
F8,2014-21163,23,,144,exp181219-,A,2,water,24h,,
G8,2014-21163,33,,103,exp181219-,A,2,water,24h,,
E8,2014-21163,16,83,22,exp191209-,A,1,triton,24h,,
F8,2014-21163,20,56,25,exp191209-,A,1,triton,24h,,
G8,2014-21163,25,87,16,exp191209-,A,1,triton,24h,,
A7,2014-21165,63,,23,exp181219-,A,2,water,24h,,
E11,2014-21165,44,,36,exp181219-,A,2,water,24h,,
H4,2014-21165,62,,27,exp181219-,A,2,water,24h,,
A7,2014-21165,30,0,1,exp191209-,A,1,triton,24h,,
E11,2014-21165,35,4,11,exp191209-,A,1,triton,24h,,
H4,2014-21165,43,6,0,exp191209-,A,1,triton,24h,,
D9,2014-21166,83,,18,exp181219-,A,2,water,24h,,
E9,2014-21166,71,,11,exp181219-,A,2,water,24h,,
F9,2014-21166,84,,14,exp181219-,A,2,water,24h,,
D9,2014-21166,10,1,0,exp191209-,A,1,triton,24h,,
E9,2014-21166,14,0,5,exp191209-,A,1,triton,24h,,
F9,2014-21166,10,7,0,exp191209-,A,1,triton,24h,,
A3,A477D,66.5,37,0,exp200213-,F,1,water,48h,,
D7,A477D,1,13,0,exp200213-,F,1,water,48h,,
G11,A477D,19,0,0,exp200213-,F,1,water,48h,,
A11,AUS0325,34,,74,exp181219-,A,2,water,24h,,
C1,AUS0325,14,,69,exp181219-,A,2,water,24h,,
H6,AUS0325,17,,65,exp181219-,A,2,water,24h,,
A11,AUS0325,29,0,2,exp191209-,A,1,triton,24h,,
C1,AUS0325,19,1,0,exp191209-,A,1,triton,24h,,
H6,AUS0325,18,1,0,exp191209-,A,1,triton,24h,,
D10,AUS0328,27,,123,exp181219-,A,2,water,24h,,
D4,AUS0328,35,,133,exp181219-,A,2,water,24h,,
E4,AUS0328,34,,122,exp181219-,A,2,water,24h,,
D10,AUS0328,43,0,1,exp191209-,A,1,triton,24h,,
D4,AUS0328,32,0,0,exp191209-,A,1,triton,24h,,
E4,AUS0328,39,1,6,exp191209-,A,1,triton,24h,,
C10,BPH2819,68,,37,exp200122-,E,1,water,24h,,
H7,BPH2819,77,,27,exp200122-,E,1,water,24h,,
H9,BPH2819,80,,24,exp200122-,E,1,water,24h,,
C10,BPH2819,25,73,4,exp200203-,E,2,water,72h,,
H7,BPH2819,14,5,0,exp200203-,E,2,water,72h,,
H9,BPH2819,7,1,0,exp200203-,E,2,water,72h,,
B2,BPH2986,54,,14,exp200122-,E,1,water,24h,,
G3,BPH2986,37,,13,exp200122-,E,1,water,24h,,
H3,BPH2986,58,,11,exp200122-,E,1,water,24h,,
B2,BPH2986,3,2,0,exp200203-,E,2,water,72h,,
G3,BPH2986,8,1,0,exp200203-,E,2,water,72h,,
H3,BPH2986,5,10,0,exp200203-,E,2,water,72h,,
C10,BPH2986,0,40,0,exp200213-,F,1,water,48h,,
H7,BPH2986,14,55,0,exp200213-,F,1,water,48h,,
H9,BPH2986,21,0,0,exp200213-,F,1,water,48h,,
C7,BPH3835,19,,112,exp181219-,A,2,water,24h,,
G10,BPH3835,20,,100,exp181219-,A,2,water,24h,,
H5,BPH3835,21,,104,exp181219-,A,2,water,24h,,
C7,BPH3835,7,57,38,exp191209-,A,1,triton,24h,,
G10,BPH3835,16,54,32,exp191209-,A,1,triton,24h,,
H5,BPH3835,15,67,19,exp191209-,A,1,triton,24h,,
B2,H481N-L466S,7,6,0,exp200213-,F,1,water,48h,,
G3,H481N-L466S,0.5,7,0,exp200213-,F,1,water,48h,,
H3,H481N-L466S,4,14,0,exp200213-,F,1,water,48h,,
E8,H481Y,2,1,0,exp200213-,F,1,water,48h,,
F8,H481Y,2,3,0,exp200213-,F,1,water,48h,,
G8,H481Y,3,8,0,exp200213-,F,1,water,48h,,
C2,hsdR SSR ST8,8,,70,exp181219-,A,2,water,24h,,
G4,hsdR SSR ST8,12,,43,exp181219-,A,2,water,24h,,
H2,hsdR SSR ST8,14,,15,exp181219-,A,2,water,24h,,
C2,hsdR SSR ST8,10,0,2,exp191209-,A,1,triton,24h,,
G4,hsdR SSR ST8,17,0,0,exp191209-,A,1,triton,24h,,
H2,hsdR SSR ST8,14,5,2,exp191209-,A,1,triton,24h,,
B8,JE2,12,,40,exp181219-,A,2,water,24h,,NEBRASKA
D5,JE2,13,,52,exp181219-,A,2,water,24h,,NEBRASKA
G7,JE2,16,,25,exp181219-,A,2,water,24h,,NEBRASKA
B8,JE2,5,1,0,exp191209-,A,1,triton,24h,,NEBRASKA
D5,JE2,7,1,1,exp191209-,A,1,triton,24h,,NEBRASKA
G7,JE2,15,2,1,exp191209-,A,1,triton,24h,,NEBRASKA
A3,JE2,3,,14,exp191216-,B,1,water,24h,,NEBRASKA
D7,JE2,3,,9,exp191216-,B,1,water,24h,,NEBRASKA
G11,JE2,3,,0,exp191216-,B,1,water,24h,,NEBRASKA
A3,JE2,14,,25,exp191219-,C,2,water,24h,,NEBRASKA
D7,JE2,13,,35,exp191219-,C,2,water,24h,,NEBRASKA
G11,JE2,23,,0,exp191219-,C,2,water,24h,,NEBRASKA
E8,JE2,34,,6,exp200122-,E,1,water,24h,,NEBRASKA
F8,JE2,55,,7,exp200122-,E,1,water,24h,,NEBRASKA
G8,JE2,31,,5,exp200122-,E,1,water,24h,,NEBRASKA
E8,JE2,0,0,0,exp200203-,E,2,water,72h,,NEBRASKA
F8,JE2,9,2,1,exp200203-,E,2,water,72h,,NEBRASKA
G8,JE2,8,1,0,exp200203-,E,2,water,72h,,NEBRASKA
A7,JE2,2,33,0,exp200213-,F,1,water,48h,evaporation,NEBRASKA
E11,JE2,4,14,0,exp200213-,F,1,water,48h,,NEBRASKA
H4,JE2,1.5,3,0,exp200213-,F,1,water,48h,,NEBRASKA
A3,JE2,49,,21,exp201219-,D,1,water,24h,,NEBRASKA
D7,JE2,43,,25,exp201219-,D,1,water,24h,,NEBRASKA
G11,JE2,53,,8,exp201219-,D,1,water,24h,,NEBRASKA
D9,L466S,2,33,0,exp200213-,F,1,water,48h,,
E9,L466S,7,16,0,exp200213-,F,1,water,48h,,
F9,L466S,13,49,0,exp200213-,F,1,water,48h,,
A4,ribA SSR ST5,34,,55,exp181219-,A,2,water,24h,,
B9,ribA SSR ST5,32,,70,exp181219-,A,2,water,24h,,
E10,ribA SSR ST5,28,,66,exp181219-,A,2,water,24h,,
A4,ribA SSR ST5,20,0,0,exp191209-,A,1,triton,24h,,
B9,ribA SSR ST5,13,1,1,exp191209-,A,1,triton,24h,,
