well_id,AUC,time_of_max_death,max_death,time_of_min_death,min_death,time_of_max_death_rate,max_death_rate,time_of_min_death_rate,min_death_rate,experiment,well,well_row,well_col,cell_number,plate,sample_id,replicate,strain_group,ST,mecA,mortality,intrahost_index,included,unrelated_to_index,mut_count,scv,vanco_difference,persister_type,intrahost_sampledelay,sample_type,genes
exp190831_2_A01,75.01755895003323,1152,0.7894351467879409,126,0.08631468399702066,648,9.35167014788779e-4,0,-8.28098584307907e-4,exp190831,A01,A,01,40000,2,BPH2750,2,VAN-040,39,0,Died,1,TRUE,NA,NA,FALSE,0,NA,NA,index,NA
exp190831_2_A02,78.58241138960136,1152,0.7527003261879434,138,0.03066732183531912,306,0.0016681976674230265,0,-9.892221892061556e-4,exp190831,A02,A,02,40000,2,BPH2740,3,VAN-030,12,0,NA,0,FALSE,1,NA,FALSE,0.75,Relapse (after treatment),558,paired-invasive,NA
exp190831_2_A03,134.73620050424483,834,1.287767590574809,162,-0.07048368371802752,480,0.004193459273910243,0,-8.081816297465924e-4,exp190831,A03,A,03,40000,2,BPH2728,1,VAN-024,45,1,Survived,1,TRUE,NA,NA,FALSE,0,NA,NA,index,NA
exp190831_2_A04,26.778110633253398,1152,0.26856532056973365,138,5.254403006296029e-4,312,4.900804710762969e-4,0,-8.317542780365318e-4,exp190831,A04,A,04,40000,2,BPH2739,1,VAN-030,-,0,Survived,1,FALSE,NA,NA,FALSE,0,NA,NA,index,NA
exp190831_2_A05,18.446893074302036,1152,0.2078762261822516,132,0.0013359390987265041,882,2.7597335537916126e-4,0,-7.676266803055623e-4,exp190831,A05,A,05,40000,2,Non infected,3,CONTROL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp190831_2_A06,20.818597063624825,1152,0.21879898936616551,156,0.005571533086834134,264,2.8947130245007125e-4,0,-0.0010379290156556746,exp190831,A06,A,06,40000,2,BPH2742,1,VAN-032,22,1,Survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp190831_2_A07,209.4375797123282,624,1.7495742894254303,126,-0.02525407998401428,378,0.006766136947488909,0,-0.0011865279153305541,exp190831,A07,A,07,40000,2,BPH2732,2,VAN-026,45,0,Survived,1,TRUE,NA,NA,FALSE,0,NA,NA,index,NA
exp190831_2_A08,113.43935933562383,1152,1.1126809765647288,114,0.04741943054026937,420,0.0015833488124375554,0,-8.680035089594224e-4,exp190831,A08,A,08,40000,2,BPH2755,1,VAN-043,-,0,NA,0,TRUE,0,0,FALSE,-0.25,Persistent,3,paired-invasive,NA
exp190831_2_A09,63.198190716305845,1152,1.0200970752665799,144,-0.019025122749386413,840,0.002006943671582835,0,-9.036694962165012e-4,exp190831,A09,A,09,40000,2,BPH2747,2,VAN-038,239,1,Survived,1,TRUE,NA,NA,FALSE,0,NA,NA,index,NA
exp190831_2_A11,21.556962776215798,1152,0.21437995434980822,144,0.015769598001257008,318,3.3327564314738107e-4,0,-7.570560284713874e-4,exp190831,A11,A,11,40000,2,BPH2734,3,VAN-026,34,0,NA,0,FALSE,1,NA,FALSE,0,NA,-58,paired-colonising,NA
