sample_id,well_id
BPH2708,exp191116_1_C07
BPH2719,exp191116_1_D03
BPH2725,exp191116_1_G02
BPH2727,exp191116_1_D01
BPH2730,exp191107_2_H03
BPH2744,exp190831_2_A10
BPH2748,exp191107_2_E12
BPH2752,exp191107_2_B03
BPH2773,exp191109_3_F10
BPH2775,exp191109_3_G12
BPH2785,exp191121_4_D07
BPH2785,exp191121_4_G11
BPH2789,exp191121_4_A07
BPH2792,exp191121_4_D10
BPH2796,exp191121_4_A04
BPH2803,exp191120_4_G12
BPH2804,exp191120_4_C11
BPH2809,exp191121_4_B01
BPH2812,exp191129_5_G11
BPH2813,exp191129_5_H09
BPH2831,exp191129_5_G12
BPH2844,exp191205_6_H04
BPH2846,exp191205_6_H06
BPH2847,exp191206_6_E04
BPH2849,exp191205_6_G04
BPH2858,exp191206_6_G12
JE2,exp191121_4_B06
JE2,exp191121_4_D06
BPH2887,exp200309_M1_G11
BPH3433,exp200309_M1_C04
BPH3358,exp200309_M1_B04
BPH3276,exp200309_M1_G10
BPH3412,exp200309_M1_E12
BPH3525,exp200313_M2_E04
BPH3698,exp200313_M2_D12
