sample_id,well_id
BPH2700,exp191115_1_A03
BPH2700,exp191115_1_D07
BPH2700,exp191115_1_G11
BPH2700,exp191116_1_A03
BPH2700,exp191116_1_D07
BPH2700,exp191116_1_G11
BPH2701,exp191115_1_C10
BPH2701,exp191115_1_H07
BPH2701,exp191115_1_H09
BPH2701,exp191116_1_C10
BPH2701,exp191116_1_H07
BPH2701,exp191116_1_H09
BPH2702,exp191115_1_B02
BPH2702,exp191115_1_G03
BPH2702,exp191115_1_H03
BPH2702,exp191116_1_B02
BPH2702,exp191116_1_G03
BPH2702,exp191116_1_H03
BPH2703,exp191115_1_E08
BPH2703,exp191115_1_F08
BPH2703,exp191115_1_G08
BPH2703,exp191116_1_E08
BPH2703,exp191116_1_F08
BPH2703,exp191116_1_G08
BPH2704,exp191115_1_A07
BPH2704,exp191115_1_E11
BPH2704,exp191115_1_H04
BPH2704,exp191116_1_A07
BPH2704,exp191116_1_E11
BPH2704,exp191116_1_H04
BPH2705,exp191115_1_D09
BPH2705,exp191115_1_E09
BPH2705,exp191115_1_F09
BPH2705,exp191116_1_D09
BPH2705,exp191116_1_E09
BPH2705,exp191116_1_F09
BPH2706,exp191115_1_A11
BPH2706,exp191115_1_C01
BPH2706,exp191115_1_H06
BPH2706,exp191116_1_A11
BPH2706,exp191116_1_C01
BPH2706,exp191116_1_H06
BPH2707,exp191115_1_D04
BPH2707,exp191115_1_D10
BPH2707,exp191115_1_E04
BPH2707,exp191116_1_D04
BPH2707,exp191116_1_D10
BPH2707,exp191116_1_E04
BPH2708,exp191115_1_C07
BPH2708,exp191115_1_G10
BPH2708,exp191115_1_H05
BPH2708,exp191116_1_C07
BPH2708,exp191116_1_G10
BPH2708,exp191116_1_H05
BPH2709,exp191115_1_C02
BPH2709,exp191115_1_G04
BPH2709,exp191115_1_H02
BPH2709,exp191116_1_C02
BPH2709,exp191116_1_G04
BPH2709,exp191116_1_H02
BPH2710,exp191115_1_B08
BPH2710,exp191115_1_D05
BPH2710,exp191115_1_G07
BPH2710,exp191116_1_B08
BPH2710,exp191116_1_D05
BPH2710,exp191116_1_G07
BPH2711,exp191115_1_A04
BPH2711,exp191115_1_B09
BPH2711,exp191115_1_E10
BPH2711,exp191116_1_A04
BPH2711,exp191116_1_B09
BPH2711,exp191116_1_E10
BPH2712,exp191115_1_A02
BPH2712,exp191115_1_B04
BPH2712,exp191115_1_B12
BPH2712,exp191116_1_A02
BPH2712,exp191116_1_B04
BPH2712,exp191116_1_B12
BPH2713,exp191115_1_B11
BPH2713,exp191115_1_C05
BPH2713,exp191115_1_G01
BPH2713,exp191116_1_B11
BPH2713,exp191116_1_C05
BPH2713,exp191116_1_G01
BPH2714,exp191115_1_A06
BPH2714,exp191115_1_B07
BPH2714,exp191115_1_D08
BPH2714,exp191116_1_A06
BPH2714,exp191116_1_B07
BPH2714,exp191116_1_D08
