"sample_id","well_id","time_of_max_rate_death","max_rate_death","doubling_time_death","AUC_death","time_of_max_death","max_death","time_of_min_death","min_death","end_point_death","end_point_timepoint_death","experiment","well","well_row","well_col","cell_number","plate","replicate","strain_group","sd","outlier_sd","outlier_mad","outlier_tukey","proportion_outlier_sd","proportion_outlier_mad","proportion_outlier_tukey","outlier_curve","ST","mecA","mortality","intrahost_index","included","unrelated_to_index","mut_count","scv","vanco_difference","persister_type","intrahost_sampledelay","sample_type","genes"
"BPH2700","exp191115_1_A03",439,0.00305214977640061,236.694766254254,157.199432048184,1102,1.48959683119841,130,-0.0138858348551931,1.48523186563037,1152,"exp191115","A03","A",7,40000,"1",2,"VAN-001",0.0122233499893464,FALSE,FALSE,FALSE,0,0,0,FALSE,"78",1,"Survived",1,FALSE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2701","exp191115_1_C10",1102,0.000796632968060153,1614.90953725213,20.3318944688736,1152,0.356980523168327,196,0.00979596943699802,0.356980523168327,1152,"exp191115","C10","C",8.66666666666667,40000,"1",2,"VAN-001",0.0370347207311179,FALSE,FALSE,FALSE,0,0.00518134715025907,0.0077720207253886,FALSE,"22",1,NA,0,FALSE,1,NA,FALSE,0,NA,1,"paired-colonising",NA
"BPH2702","exp191115_1_B02",373,0.000778074855061853,1021.99543666827,23.480341582,1152,0.260021972126979,171,-0.0596016928602665,0.260021972126979,1152,"exp191115","B02","B",2.66666666666667,40000,"1",2,"VAN-002",0.0335515888353589,FALSE,FALSE,FALSE,0,0,0,FALSE,"15",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2703","exp191115_1_E08",740,0.00144829985543884,502.453656193764,47.1588790539374,1152,0.74765669018657,195,-0.083502694222146,0.74765669018657,1152,"exp191115","E08","E",8,40000,"1",2,"VAN-003",0.0258876873386477,FALSE,FALSE,FALSE,0,0.0138169257340242,0,FALSE,"8",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2704","exp191115_1_A07",496,0.00163116245055725,438.290823800007,73.4216802029369,1152,0.785981549919868,160,-0.0469159957320947,0.785981549919868,1152,"exp191115","A07","A",7.33333333333333,40000,"1",2,"VAN-004",0.0456833260244674,FALSE,FALSE,FALSE,0,0,0,FALSE,"93",1,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2705","exp191115_1_D09",449,0.00275689729452579,254.043252129824,110.873823058341,945,1.05622424633037,155,-0.0846198817771991,1.01629872619513,1152,"exp191115","D09","D",9,40000,"1",2,"VAN-004",0.0426107653476277,FALSE,FALSE,FALSE,0,0,0,FALSE,"93",1,NA,0,TRUE,0,0,FALSE,0,"Persistent",10,"paired-invasive",NA
"BPH2706","exp191115_1_A11",562.5,0.00156861568321512,447.248340988718,85.197341544444,1152,0.954587298994736,198,0.0461097236603682,0.954587298994736,1152,"exp191115","A11","A",7.25,40000,"1",2.25,"VAN-005",0.0555750577738574,FALSE,FALSE,FALSE,0,0,0,FALSE,"508",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2707","exp191115_1_D04",530,0.00235497532690876,305.204198150205,83.8715109077069,904,0.855325450671559,189,-0.0498482817513174,0.769338201657735,1152,"exp191115","D04","D",6,40000,"1",2,"VAN-006",0.0108228341995133,FALSE,FALSE,FALSE,0,0,0,FALSE,"8",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2708","exp191115_1_C07",531.6,0.00168962451621111,419.60922449078,64.508518612447,1152,0.76318640569924,192,-0.0510172075569734,0.76318640569924,1152,"exp191115","C07","C",7.4,40000,"1",2.2,"VAN-007",0.025942372200258,FALSE,FALSE,FALSE,0,0,0,FALSE,"97",0,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2709","exp191115_1_C02",543.6,0.0019313767219219,367.348495849568,71.6040709236549,1135.2,0.802660958907208,198,-0.0517444092914143,0.802150288679422,1152,"exp191115","C02","C",2.4,40000,"1",2,"VAN-007",0.0316932008116176,FALSE,FALSE,FALSE,0,0,0,FALSE,"97",0,NA,0,TRUE,0,0,FALSE,0.5,"Persistent",5,"paired-invasive",NA
