"sample_id","well_id","time_of_max_rate_death","max_rate_death","doubling_time_death","AUC_death","time_of_max_death","max_death","time_of_min_death","min_death","end_point_death","end_point_timepoint_death","experiment","well","well_row","well_col","cell_number","plate","replicate","strain_group","sd","outlier_sd","outlier_mad","outlier_tukey","proportion_outlier_sd","proportion_outlier_mad","proportion_outlier_tukey","outlier_curve","ST","mecA","mortality","intrahost_index","included","unrelated_to_index","mut_count","scv","vanco_difference","persister_type","intrahost_sampledelay","sample_type","genes"
"BPH2700","exp191115_1_A03",456,0.00299120272422251,232.382184332759,157.289551010633,1122,1.48891491862181,138,-0.0108545303087278,1.48502438935449,1152,"exp191115","A03","A",7,40000,"1",2,"VAN-001",0.0122233499893464,FALSE,FALSE,FALSE,0,0,0,FALSE,"78",1,"Survived",1,FALSE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2701","exp191115_1_C10",1152,0.000425323783464191,1631.73911401225,16.2964608380779,1152,0.255380681237275,201,-0.00928425746714313,0.255380681237275,1152,"exp191115","C10","C",9,40000,"1",2,"VAN-001",0.0370347207311179,FALSE,FALSE,FALSE,0,0,0,FALSE,"22",1,NA,0,FALSE,1,NA,FALSE,0,NA,1,"paired-colonising",NA
"BPH2702","exp191115_1_B02",372,0.000722221788879698,964.146590662434,23.3041262310009,1152,0.252661956316387,168,-0.0577068112297518,0.252661956316387,1152,"exp191115","B02","B",3,40000,"1",2,"VAN-002",0.0335515888353589,FALSE,FALSE,FALSE,0,0,0,FALSE,"15",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2703","exp191115_1_E08",735,0.00136959074752349,509.498558001652,40.2190189065785,1152,0.738600931226055,204,-0.081177419424061,0.738600931226055,1152,"exp191115","E08","E",8,40000,"1",2,"VAN-003",0.0258876873386477,FALSE,FALSE,FALSE,0,0,0,FALSE,"8",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2704","exp191115_1_A07",495,0.00154352452476612,449.071458359628,71.9321661394014,1152,0.790298532625927,168,-0.038146022588151,0.790298532625927,1152,"exp191115","A07","A",7,40000,"1",2,"VAN-004",0.0456833260244674,FALSE,FALSE,FALSE,0,0,0,FALSE,"93",1,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2705","exp191115_1_D09",450,0.00276340022619949,251.098696511043,110.923733448036,948,1.05153233155339,156,-0.0874846785101729,1.01486631160277,1152,"exp191115","D09","D",9,40000,"1",2,"VAN-004",0.0426107653476277,FALSE,FALSE,FALSE,0,0,0,FALSE,"93",1,NA,0,TRUE,0,0,FALSE,0,"Persistent",10,"paired-invasive",NA
"BPH2706","exp191115_1_A11",552,0.00148744009532489,466.443224688556,87.2311434537652,1152,0.937315633681755,198,0.0189046935796856,0.937315633681755,1152,"exp191115","A11","A",8.5,40000,"1",2.5,"VAN-005",0.0555750577738574,FALSE,FALSE,FALSE,0,0,0,FALSE,"508",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2707","exp191115_1_D04",531,0.00232369038427066,301.537866675346,85.0302705662831,909,0.865637976418454,186,-0.051149880680633,0.787977458512935,1152,"exp191115","D04","D",4,40000,"1",2,"VAN-006",0.0108228341995133,FALSE,FALSE,FALSE,0,0,0,FALSE,"8",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2708","exp191115_1_C07",534,0.00169667578713153,408.532487949161,60.9721124078224,1152,0.749414645531982,186,-0.0770139213533882,0.749414645531982,1152,"exp191115","C07","C",7,40000,"1",2,"VAN-007",0.025942372200258,FALSE,FALSE,FALSE,0,0,0,FALSE,"97",0,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2709","exp191115_1_C02",528,0.00196488410162871,352.767463478069,70.8063079879403,1152,0.808421487251445,204,-0.0737005227460968,0.808421487251445,1152,"exp191115","C02","C",2,40000,"1",2,"VAN-007",0.0316932008116176,FALSE,FALSE,FALSE,0,0,0,FALSE,"97",0,NA,0,TRUE,0,0,FALSE,0.5,"Persistent",5,"paired-invasive",NA
