"well_id","time_of_max_rate_OD","max_rate_OD","doubling_time_OD","AUC_OD","time_of_max_OD","max_OD","time_of_min_OD","min_OD","end_point_OD","end_point_timepoint_OD","sample_id","well_row","well_col","well","experiment","plate","replicate","strain_group.x","sd","outlier_sd","outlier_mad","outlier_tukey","proportion_outlier_sd","proportion_outlier_mad","proportion_outlier_tukey","outlier_curve","strain_group.y","ST.x","mecA.x","mortality.x","intrahost_index.x","included.x","unrelated_to_index.x","mut_count.x","scv.x","vanco_difference.x","persister_type.x","intrahost_sampledelay.x","sample_type.x","genes.x","strain_group","ST.y","mecA.y","mortality.y","intrahost_index.y","included.y","unrelated_to_index.y","mut_count.y","scv.y","vanco_difference.y","persister_type.y","intrahost_sampledelay.y","sample_type.y","genes.y","ST","mecA","mortality","intrahost_index","included","unrelated_to_index","mut_count","scv","vanco_difference","persister_type","intrahost_sampledelay","sample_type","genes"
"exp190831_2_A01",360,0.0242835271836534,28.5439250780069,84.7163333333334,630,4.54954608046694,0,0.0206032297857482,4.06034446486415,930,"BPH2750","A",1,"A01","exp190831","2",2,"VAN-040",0.0145716619962629,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-040","39",0,"Died",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA,"VAN-040","39",0,"Died",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA,"39",0,"Died",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"exp190831_2_A02",360,0.0281334622144263,24.63782009043,110.020333333333,930,6.51292916902677,0,-0.011043961187994,6.51292916902677,930,"BPH2740","A",2,"A02","exp190831","2",3,"VAN-030",0.239813121687145,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-030","12",0,NA,0,FALSE,1,NA,FALSE,0.75,"Relapse (after treatment)",558,"paired-invasive",NA,"VAN-030","12",0,NA,0,FALSE,1,NA,FALSE,0.75,"Relapse (after treatment)",558,"paired-invasive",NA,"12",0,NA,0,FALSE,1,NA,FALSE,0.75,"Relapse (after treatment)",558,"paired-invasive",NA
"exp190831_2_A03",330,0.0265567340781943,26.100618341059,115.434333333333,930,6.27252826478009,60,-0.00613179664611748,6.27252826478009,930,"BPH2728","A",3,"A03","exp190831","2",1,"VAN-024",0.0121435854123346,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-024","45",1,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA,"VAN-024","45",1,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA,"45",1,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"exp190831_2_A04",390,0.0262878155855963,26.3676218475809,103.016333333333,930,6.50583942753027,0,-0.00846538884766883,6.50583942753027,930,"BPH2739","A",4,"A04","exp190831","2",1,"VAN-030",0.007371114795832,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-030","-",0,"Survived",1,FALSE,NA,NA,FALSE,0,NA,NA,"index",NA,"VAN-030","-",0,"Survived",1,FALSE,NA,NA,FALSE,0,NA,NA,"index",NA,"-",0,"Survived",1,FALSE,NA,NA,FALSE,0,NA,NA,"index",NA
"exp190831_2_A05",570,2.92383505762756e-05,23706.7812273369,-0.258666666666667,330,-0.00479893191739858,870,-0.011120941493179,-0.00997243556153391,930,"Non infected","A",5,"A05","exp190831","2",3,"CONTROL",0.0152491161302152,FALSE,FALSE,FALSE,0,0,0,FALSE,"CONTROL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CONTROL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"exp190831_2_A06",330,0.0271156862163923,25.5625904145814,103.867333333333,930,5.86112457436175,30,-0.0125464697581987,5.86112457436175,930,"BPH2742","A",6,"A06","exp190831","2",1,"VAN-032",0.179157286576163,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-032","22",1,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VAN-032","22",1,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22",1,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"exp190831_2_A07",300,0.0289239262443746,23.9644913592861,119.587333333333,930,5.99326897848164,0,-0.0194225713712166,5.99326897848164,930,"BPH2732","A",7,"A07","exp190831","2",2,"VAN-026",0.332030621077836,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-026","45",0,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA,"VAN-026","45",0,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA,"45",0,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"exp190831_2_A08",330,0.0266316696290242,26.0271770495579,102.455333333333,630,5.20593708574192,120,-0.0041782377731036,5.02344020309761,930,"BPH2755","A",8,"A08","exp190831","2",1,"VAN-043",0.00599999999999998,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-043","-",0,NA,0,TRUE,0,0,FALSE,-0.25,"Persistent",3,"paired-invasive",NA,"VAN-043","-",0,NA,0,TRUE,0,0,FALSE,-0.25,"Persistent",3,"paired-invasive",NA,"-",0,NA,0,TRUE,0,0,FALSE,-0.25,"Persistent",3,"paired-invasive",NA
"exp190831_2_A09",390,0.0253788855283031,27.3119629223644,97.2333333333334,930,6.10734051406245,60,-0.0133106381423617,6.10734051406245,930,"BPH2747","A",9,"A09","exp190831","2",2,"VAN-038",0.287156751618345,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-038","239",1,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA,"VAN-038","239",1,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA,"239",1,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"exp190831_2_A10",330,0.025587040399253,27.0897755169911,105.614333333333,750,5.41162597537416,0,-0.00515096762422366,5.34776240725359,930,"BPH2744","A",10,"A10","exp190831","2",3,"VAN-034",0.303362819079728,FALSE,FALSE,FALSE,0,0,0,FALSE,"VAN-034","-",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VAN-034","-",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
