"sample_id","well_id","time_of_max_rate_death","max_rate_death","doubling_time_death","AUC_death","time_of_max_death","max_death","time_of_min_death","min_death","end_point_death","end_point_timepoint_death","experiment","well","well_row","well_col","cell_number","plate","replicate","strain_group","sd","outlier_sd","outlier_mad","outlier_tukey","proportion_outlier_sd","proportion_outlier_mad","proportion_outlier_tukey","outlier_curve","ST","mecA","mortality","intrahost_index","included","unrelated_to_index","mut_count","scv","vanco_difference","persister_type","intrahost_sampledelay","sample_type","genes"
"BPH2700","exp191116_1_G11",450,0.00206323048055425,335.952375215852,112.130047232077,1152,1.28440400351622,144,0.0108142101421704,1.28440400351622,1152,"exp191116","G11","G",11,40000,"1",3,"VAN-001",0.0122233499893464,FALSE,FALSE,FALSE,0,0,0,FALSE,"78",1,"Survived",1,FALSE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2700","exp191115_1_D07",480,0.00283256751502393,244.706322756119,125.610666484339,1152,1.31237564045719,162,-0.0683616531634147,1.31237564045719,1152,"exp191115","D07","D",7,40000,"1",2,"VAN-001",0.0122233499893464,FALSE,FALSE,FALSE,0,0,0,FALSE,"78",1,"Survived",1,FALSE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2700","exp191115_1_A03",366,0.00381151306301795,181.856173414532,201.627234789299,1002,1.6786630533313,90,-0.000705743948296236,1.65767313825179,1152,"exp191115","A03","A",3,40000,"1",1,"VAN-001",0.0122233499893464,FALSE,FALSE,FALSE,0,0,0,FALSE,"78",1,"Survived",1,FALSE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2700","exp191115_1_G11",498,0.00278817830265402,248.602171496762,119.988481484502,1152,1.22955136618349,168,-0.0367724264504822,1.22955136618349,1152,"exp191115","G11","G",11,40000,"1",3,"VAN-001",0.0122233499893464,FALSE,FALSE,FALSE,0,0,0,FALSE,"78",1,"Survived",1,FALSE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2700","exp191116_1_D07",462,0.00366757136373244,188.993508732858,188.968435536928,1062,1.76713272691584,132,-0.0210033166691594,1.76248475744999,1152,"exp191116","D07","D",7,40000,"1",2,"VAN-001",0.0122233499893464,FALSE,FALSE,FALSE,0,0,0,FALSE,"78",1,"Survived",1,FALSE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2700","exp191116_1_A03",378,0.00314983793342108,220.0580459094,194.871726761962,1092,1.66545419678643,84,0.0327139209580235,1.66490228792357,1152,"exp191116","A03","A",3,40000,"1",1,"VAN-001",0.0122233499893464,FALSE,FALSE,FALSE,0,0,0,FALSE,"78",1,"Survived",1,FALSE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2701","exp191115_1_H09",1152,0.00111151360418013,623.606564915794,23.6693275880818,1152,0.484800961734529,186,-0.0220300783771039,0.484800961734529,1152,"exp191115","H09","H",9,40000,"1",1,"VAN-001",0.0370347207311179,FALSE,FALSE,FALSE,0,0,0,FALSE,"22",1,NA,0,FALSE,1,NA,FALSE,0,NA,1,"paired-colonising",NA
"BPH2701","exp191115_1_C10",1152,0.000410262491178516,1689.52121011311,-0.145574373649391,1152,0.130304238163834,222,-0.0590461860925638,0.130304238163834,1152,"exp191115","C10","C",10,40000,"1",3,"VAN-001",0.0370347207311179,FALSE,FALSE,FALSE,0,0,0,FALSE,"22",1,NA,0,FALSE,1,NA,FALSE,0,NA,1,"paired-colonising",NA
"BPH2701","exp191116_1_H09",1152,0.00229622819781417,301.863369337494,50.0431527831151,1152,0.891045363350534,162,0.0840495735063023,0.891045363350534,1152,"exp191116","H09","H",9,40000,"1",1,"VAN-001",0.0370347207311179,FALSE,FALSE,FALSE,0,0.0310880829015544,0.0466321243523316,FALSE,"22",1,NA,0,FALSE,1,NA,FALSE,0,NA,1,"paired-colonising",NA
"BPH2701","exp191116_1_C10",1152,0.000440385075749866,1573.9570179114,8.00730037565547,1152,0.215439657836943,216,-0.0397334503665107,0.215439657836943,1152,"exp191116","C10","C",10,40000,"1",3,"VAN-001",0.0370347207311179,FALSE,FALSE,FALSE,0,0,0,FALSE,"22",1,NA,0,FALSE,1,NA,FALSE,0,NA,1,"paired-colonising",NA
