PLATE M1 n1,,,,,,,,,,,,
10-1 Dilution,1,2,3,4,5,6,7,8,9,10,11,12
A,2,5,4,2,5,na,1,na,1,na,9,na
B,na,2,na,na,16,na,2,na,5,0,na,0
C,21,na,6,8,na,21,na,na,na,,na,na
D,na,3,4,24,na,0,1,1,4,14,,1
E,na,28,11,12,0,16,0,24,2,3,40,4
F,15,23,2,6,na,na,1,23,5,na,na,na
G,na,18,3,37,na,0,na,na,na,24,0,na
H,5,35,3,12,46,21,na,na,na,0,0,0

"10-1 Dilution, spot 10 microlitres  value per well is (n*100)",1,2,3,4,5,6,7,8,9,10,11,12
A,200,500,400,200,500,#VALUE!,100,#VALUE!,100,#VALUE!,900,#VALUE!
B,#VALUE!,200,#VALUE!,#VALUE!,1600,#VALUE!,200,#VALUE!,500,0,#VALUE!,0
C,2100,#VALUE!,600,800,#VALUE!,2100,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!
D,#VALUE!,300,400,2400,#VALUE!,0,100,100,400,1400,0,100
E,#VALUE!,2800,1100,1200,0,1600,0,2400,200,300,4000,400
F,1500,2300,200,600,#VALUE!,#VALUE!,100,2300,500,#VALUE!,#VALUE!,#VALUE!
G,#VALUE!,1800,300,3700,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,2400,0,#VALUE!
H,500,3500,300,1200,4600,2100,#VALUE!,#VALUE!,#VALUE!,0,0,0

10-2 Dilution,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,1,1,0,0,39,1,12,0,23,0
B,na,3,na,na,7,0,0,na,0,2,na,0
C,5,na,2,4,na,16,40,22,20,na,2,14
D,na,0,2,na,,0,1,2,1,10,17,0
E,30,9,8,5,0,8,3,13,1,4,2,0
F,5,8,0,9,na,na,1,8,1,17,4,na
G,25,6,1,18,29,0,na,17,27,6,0,25
H,1,19,3,0,7,4,35,18,10,0,0,0

"10-2 Dilution, spot 5 microlitres  value per well is (n*2000)",1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,2000,2000,0,0,78000,2000,24000,0,46000,0
B,#VALUE!,6000,#VALUE!,#VALUE!,14000,0,0,#VALUE!,0,4000,#VALUE!,0
C,10000,#VALUE!,4000,8000,#VALUE!,32000,80000,44000,40000,#VALUE!,4000,28000
D,#VALUE!,0,4000,#VALUE!,0,0,2000,4000,2000,20000,34000,0
E,60000,18000,16000,10000,0,16000,6000,26000,2000,8000,4000,0
F,10000,16000,0,18000,#VALUE!,#VALUE!,2000,16000,2000,34000,8000,#VALUE!
G,50000,12000,2000,36000,58000,0,#VALUE!,34000,54000,12000,0,50000
H,2000,38000,6000,0,14000,8000,70000,36000,20000,0,0,0

10-3Dilution,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,1,0,0,4,0,1,0,5,0
B,22,0,12,5,3,0,1,25,0,0,8,0
C,0,11,0,0,35,4,8,3,3,5,0,0
D,13,0,0,59,0,0,0,0,0,1,4,0
E,1,2,0,0,0,0,1,2,0,0,0,0
F,0,4,0,3,1,13,0,4,0,3,1,13
G,30,2,1,0,0,5,30,3,1,1,0,5
H,8,3,0,0,0,0,8,3,0,0,0,0

"10-3 Dilution, spot 5 microlitres  value per well is (n*20000)",1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,20000,0,0,80000,0,20000,0,100000,0
B,440000,0,240000,100000,60000,0,20000,500000,0,0,160000,0
C,0,220000,0,0,700000,80000,160000,60000,60000,100000,0,0
D,260000,0,0,1180000,0,0,0,0,0,20000,80000,0
E,20000,40000,0,0,0,0,20000,40000,0,0,0,0
F,0,80000,0,60000,20000,260000,0,80000,0,60000,20000,260000
G,600000,40000,20000,0,0,100000,600000,60000,20000,20000,0,100000
H,160000,60000,0,0,0,0,160000,60000,0,0,0,0
