,,Time,0 h ,0 h 15 min,0 h 30 min,0 h 45 min,1 h ,1 h 15 min,1 h 30 min,1 h 45 min,2 h ,2 h 15 min,2 h 30 min,2 h 45 min,3 h ,3 h 15 min,3 h 30 min,3 h 45 min,4 h ,4 h 15 min,4 h 30 min,4 h 45 min,5 h ,5 h 15 min,5 h 30 min,5 h 45 min,6 h ,6 h 15 min,6 h 30 min,6 h 45 min,7 h ,7 h 15 min,7 h 30 min,7 h 45 min,8 h ,8 h 15 min,8 h 30 min,8 h 45 min,9 h ,9 h 15 min,9 h 30 min,9 h 45 min,10 h ,10 h 15 min,10 h 30 min,10 h 45 min,11 h ,11 h 15 min,11 h 30 min,11 h 45 min,12 h ,12 h 15 min,12 h 30 min,12 h 45 min,13 h ,13 h 15 min,13 h 30 min,13 h 45 min,14 h ,14 h 15 min,14 h 30 min,14 h 45 min,15 h ,15 h 15 min,15 h 30 min,15 h 45 min,16 h 
H,10,Blank B,0.32200000000000001,0.32300000000000001,0.32900000000000001,0.33,0.33,0.32700000000000001,0.32800000000000001,0.32700000000000001,0.32700000000000001,0.32800000000000001,0.32900000000000001,0.33,0.33,0.32800000000000001,0.32900000000000001,0.32500000000000001,0.313,0.32600000000000001,0.32500000000000001,0.32500000000000001,0.32500000000000001,0.32600000000000001,0.32500000000000001,0.33200000000000002,0.32400000000000001,0.32400000000000001,0.32400000000000001,0.32500000000000001,0.32600000000000001,0.32400000000000001,0.32600000000000001,0.32200000000000001,0.32500000000000001,0.32200000000000001,0.32300000000000001,0.32300000000000001,0.32300000000000001,0.32300000000000001,0.32100000000000001,0.32100000000000001,0.32100000000000001,0.32300000000000001,0.32200000000000001,0.32200000000000001,0.32400000000000001,0.32200000000000001,0.32200000000000001,0.32200000000000001,0.32200000000000001,0.32200000000000001,0.32100000000000001,0.32,0.32100000000000001,0.32300000000000001,0.32100000000000001,0.32200000000000001,0.32100000000000001,0.32100000000000001,0.32500000000000001,0.32100000000000001,0.31900000000000001,0.32,0.32100000000000001,0.32400000000000001,0.31900000000000001
H,11,Blank B,0.32100000000000001,0.32,0.32500000000000001,0.32100000000000001,0.32200000000000001,0.31900000000000001,0.31900000000000001,0.32300000000000001,0.32100000000000001,0.32200000000000001,0.32100000000000001,0.32300000000000001,0.32100000000000001,0.32200000000000001,0.32200000000000001,0.32100000000000001,0.308,0.32100000000000001,0.318,0.31900000000000001,0.316,0.314,0.316,0.33300000000000002,0.314,0.318,0.313,0.32,0.318,0.318,0.32,0.317,0.318,0.316,0.315,0.314,0.312,0.316,0.314,0.317,0.314,0.31900000000000001,0.313,0.317,0.316,0.318,0.316,0.314,0.317,0.317,0.313,0.32,0.318,0.316,0.316,0.316,0.314,0.315,0.32,0.312,0.315,0.312,0.312,0.315,0.312
H,12,Blank B,0.32400000000000001,0.31900000000000001,0.33700000000000002,0.33400000000000002,0.33800000000000002,0.33500000000000002,0.33200000000000002,0.33800000000000002,0.33500000000000002,0.33600000000000002,0.33700000000000002,0.33400000000000002,0.33200000000000002,0.33500000000000002,0.33500000000000002,0.33100000000000002,0.32,0.32900000000000001,0.32800000000000001,0.32700000000000001,0.32700000000000001,0.32700000000000001,0.32700000000000001,0.34799999999999998,0.32600000000000001,0.32900000000000001,0.33,0.32800000000000001,0.32800000000000001,0.33,0.33100000000000002,0.32300000000000001,0.32400000000000001,0.32100000000000001,0.32300000000000001,0.32300000000000001,0.32300000000000001,0.32200000000000001,0.31900000000000001,0.32100000000000001,0.32200000000000001,0.32300000000000001,0.318,0.31900000000000001,0.318,0.317,0.316,0.32,0.318,0.317,0.315,0.315,0.312,0.314,0.312,0.313,0.311,0.312,0.32,0.313,0.311,0.31,0.311,0.315,0.309
A,1,Sample X1,0.35799999999999998,0.36099999999999999,0.36099999999999999,0.35699999999999998,0.36899999999999999,0.36,0.36399999999999999,0.36699999999999999,0.36299999999999999,0.35799999999999998,0.36499999999999999,0.36199999999999999,0.36899999999999999,0.378,0.39800000000000002,0.42599999999999999,0.505,0.55200000000000005,0.65200000000000002,0.81200000000000006,0.996,1.3109999999999999,1.696,1.9419999999999999,2.5499999999999998,3.0619999999999998,3.3490000000000002,3.6440000000000001,3.7879999999999998,3.9369999999999998,4.1280000000000001,4.2210000000000001,4.3499999999999996,4.4580000000000002,4.5620000000000003,4.6509999999999998,4.7450000000000001,4.7300000000000004,4.7690000000000001,4.8070000000000004,4.8120000000000003,4.9539999999999997,4.9139999999999997,4.9130000000000003,4.851,4.8940000000000001,4.8520000000000003,4.8140000000000001,4.806,4.7709999999999999,4.7690000000000001,4.7510000000000003,4.657,4.6440000000000001,4.6790000000000003,4.5869999999999997,4.5460000000000003,4.5170000000000003,4.4260000000000002,4.468,4.4420000000000002,4.3940000000000001,4.3819999999999997,4.2309999999999999,4.2919999999999998
A,2,Sample X2,0.32500000000000001,0.33,0.33400000000000002,0.33400000000000002,0.33400000000000002,0.33300000000000002,0.33200000000000002,0.33600000000000002,0.33600000000000002,0.33900000000000002,0.34,0.34699999999999998,0.35099999999999998,0.36599999999999999,0.38900000000000001,0.42,0.44800000000000001,0.53100000000000003,0.64100000000000001,0.80200000000000005,1.0069999999999999,1.2450000000000001,1.575,1.8660000000000001,2.613,3.181,3.5350000000000001,3.9079999999999999,4.2169999999999996,4.4729999999999999,4.6449999999999996,4.8559999999999999,4.9710000000000001,5.1349999999999998,5.2590000000000003,5.3659999999999997,5.4829999999999997,5.58,5.6820000000000004,5.7679999999999998,5.87,5.9790000000000001,6.0759999999999996,6.1479999999999997,6.1920000000000002,6.2679999999999998,6.3220000000000001,6.3789999999999996,6.4290000000000003,6.4630000000000001,6.51,6.53,6.556,6.6070000000000002,6.6470000000000002,6.6109999999999998,6.7,6.7160000000000002,6.72,6.7649999999999997,6.8129999999999997,6.7690000000000001,6.8250000000000002,6.8,6.8460000000000001
A,3,Sample X3,0.33500000000000002,0.32800000000000001,0.33500000000000002,0.33200000000000002,0.33400000000000002,0.33200000000000002,0.33300000000000002,0.33900000000000002,0.33800000000000002,0.34399999999999997,0.35499999999999998,0.37,0.38500000000000001,0.42499999999999999,0.47899999999999998,0.54700000000000004,0.66100000000000003,0.85,1.0900000000000001,1.3839999999999999,1.837,2.379,2.8919999999999999,3.0819999999999999,3.6309999999999998,3.91,4.149,4.3310000000000004,4.5410000000000004,4.6840000000000002,4.8150000000000004,5.05,5.1509999999999998,5.3579999999999997,5.4950000000000001,5.6369999999999996,5.7359999999999998,5.7789999999999999,5.8769999999999998,5.9409999999999998,6.0570000000000004,6.1150000000000002,6.18,6.2480000000000002,6.26,6.3120000000000003,6.3520000000000003,6.3949999999999996,6.4429999999999996,6.4580000000000002,6.4770000000000003,6.4960000000000004,6.5049999999999999,6.5510000000000002,6.5389999999999997,6.532,6.585,6.5810000000000004,6.5490000000000004,6.5750000000000002,6.58,6.5750000000000002,6.5949999999999998,6.5789999999999997,6.5979999999999999
A,4,Sample X4,0.32800000000000001,0.33200000000000002,0.33500000000000002,0.33200000000000002,0.33900000000000002,0.34100000000000003,0.33700000000000002,0.33800000000000002,0.33,0.34,0.34,0.33600000000000002,0.33900000000000002,0.34599999999999997,0.35799999999999998,0.376,0.39,0.433,0.47899999999999998,0.56299999999999994,0.69099999999999995,0.85299999999999998,1.079,1.2390000000000001,1.7569999999999999,2.15,2.5760000000000001,3.0880000000000001,3.548,4.133,4.109,4.306,4.51,4.7320000000000002,4.8780000000000001,5.077,5.234,5.3529999999999998,5.4870000000000001,5.6210000000000004,5.7270000000000003,5.8330000000000002,5.9039999999999999,5.9859999999999998,6.0449999999999999,6.0819999999999999,6.1260000000000003,6.1580000000000004,6.2240000000000002,6.2690000000000001,6.3040000000000003,6.3529999999999998,6.3810000000000002,6.4480000000000004,6.5069999999999997,6.54,6.5830000000000002,6.61,6.6479999999999997,6.718,6.758,6.7729999999999997,6.8220000000000001,6.798,6.8780000000000001
A,5,Sample X5,0.32500000000000001,0.32700000000000001,0.34399999999999997,0.33300000000000002,0.32600000000000001,0.32700000000000001,0.33100000000000002,0.32700000000000001,0.33,0.32700000000000001,0.31900000000000001,0.32400000000000001,0.32300000000000001,0.32600000000000001,0.32400000000000001,0.32,0.314,0.31900000000000001,0.32,0.32300000000000001,0.32200000000000001,0.32,0.32100000000000001,0.33200000000000002,0.318,0.32500000000000001,0.32400000000000001,0.32100000000000001,0.32400000000000001,0.32400000000000001,0.32600000000000001,0.311,0.314,0.313,0.316,0.32100000000000001,0.316,0.315,0.311,0.313,0.318,0.31900000000000001,0.32,0.313,0.315,0.316,0.312,0.315,0.311,0.311,0.31,0.31,0.311,0.31,0.311,0.312,0.311,0.314,0.311,0.313,0.309,0.312,0.311,0.313,0.315
A,6,Sample X6,0.32700000000000001,0.32200000000000001,0.32900000000000001,0.32600000000000001,0.32700000000000001,0.32700000000000001,0.32800000000000001,0.33600000000000002,0.33600000000000002,0.33900000000000002,0.34599999999999997,0.35099999999999998,0.35299999999999998,0.376,0.4,0.45,0.50700000000000001,0.59699999999999998,0.73499999999999999,0.93200000000000005,1.232,1.603,2.1139999999999999,2.4470000000000001,3.1760000000000002,3.5840000000000001,3.8769999999999998,3.9420000000000002,4.1639999999999997,4.2709999999999999,4.3979999999999997,4.5919999999999996,4.6559999999999997,4.827,4.9619999999999997,5.1180000000000003,5.234,5.32,5.4089999999999998,5.5060000000000002,5.5960000000000001,5.6040000000000001,5.6420000000000003,5.6849999999999996,5.75,5.7590000000000003,5.8150000000000004,5.83,5.9020000000000001,5.8929999999999998,5.9409999999999998,5.9539999999999997,5.9850000000000003,5.9850000000000003,6.0119999999999996,6.0759999999999996,6.0720000000000001,6.0739999999999998,6.0709999999999997,6.1230000000000002,6.1479999999999997,6.15,6.18,6.1260000000000003,6.1890000000000001
A,7,Sample X7,0.318,0.32,0.32400000000000001,0.32700000000000001,0.32900000000000001,0.33400000000000002,0.33700000000000002,0.34599999999999997,0.35699999999999998,0.36499999999999999,0.38700000000000001,0.41499999999999998,0.46700000000000003,0.55100000000000005,0.66900000000000004,0.871,1.079,1.4,1.788,2.298,2.903,3.427,3.8170000000000002,3.89,4.3840000000000003,4.5720000000000001,4.734,4.8170000000000002,5.0220000000000002,5.1310000000000002,5.3040000000000003,5.4509999999999996,5.5350000000000001,5.6440000000000001,5.74,5.8540000000000001,5.9130000000000003,5.9809999999999999,6.0220000000000002,6.0369999999999999,6.0830000000000002,6.1150000000000002,6.1120000000000001,6.1559999999999997,6.17,6.16,6.1820000000000004,6.2210000000000001,6.2290000000000001,6.2069999999999999,6.2359999999999998,6.2359999999999998,6.2329999999999997,6.2439999999999998,6.2549999999999999,6.2560000000000002,6.25,6.2709999999999999,6.25,6.29,6.3040000000000003,6.2949999999999999,6.3109999999999999,6.266,6.3330000000000002
A,8,Sample X8,0.33900000000000002,0.33,0.33700000000000002,0.33500000000000002,0.33700000000000002,0.33400000000000002,0.33500000000000002,0.33700000000000002,0.33900000000000002,0.34200000000000003,0.34699999999999998,0.35299999999999998,0.372,0.41599999999999998,0.45600000000000002,0.55700000000000005,0.64100000000000001,0.83199999999999996,1.048,1.44,1.88,2.3860000000000001,2.8570000000000002,3.097,3.6709999999999998,3.8889999999999998,4.1159999999999997,4.2089999999999996,4.4710000000000001,4.67,4.8490000000000002,4.9349999999999996,5.1109999999999998,5.181,5.234,5.3159999999999998,5.3739999999999997,5.4180000000000001,5.4630000000000001,5.5549999999999997,5.5179999999999998,5.524,5.5259999999999998,5.5389999999999997,5.53,5.4980000000000002,5.5019999999999998,5.4950000000000001,5.4829999999999997,5.4610000000000003,5.4489999999999998,5.4359999999999999,5.4409999999999998,5.4320000000000004,5.4329999999999998,5.4640000000000004,5.3869999999999996,5.3869999999999996,5.36,5.3879999999999999,5.3620000000000001,5.3490000000000002,5.3440000000000003,5.2759999999999998,5.3090000000000002
A,9,Sample X9,0.33400000000000002,0.32300000000000001,0.32700000000000001,0.32800000000000001,0.32700000000000001,0.32600000000000001,0.32600000000000001,0.33,0.32600000000000001,0.33200000000000002,0.33600000000000002,0.33600000000000002,0.34399999999999997,0.35099999999999998,0.36399999999999999,0.376,0.38400000000000001,0.41699999999999998,0.45900000000000002,0.53200000000000003,0.61399999999999999,0.72699999999999998,0.89100000000000001,0.99,1.4039999999999999,1.756,2.2250000000000001,2.5550000000000002,3.0659999999999998,3.4649999999999999,3.8809999999999998,4.093,4.2709999999999999,4.3970000000000002,4.5309999999999997,4.68,4.8369999999999997,4.9950000000000001,5.1219999999999999,5.3230000000000004,5.3879999999999999,5.5110000000000001,5.601,5.7169999999999996,5.8159999999999998,5.859,5.9649999999999999,6.0339999999999998,6.1150000000000002,6.1390000000000002,6.2160000000000002,6.2619999999999996,6.2850000000000001,6.3289999999999997,6.3520000000000003,6.4009999999999998,6.3769999999999998,6.3869999999999996,6.3689999999999998,6.4340000000000002,6.4080000000000004,6.3929999999999998,6.4290000000000003,6.3559999999999999,6.407
A,10,Sample X10,0.33200000000000002,0.32900000000000001,0.33600000000000002,0.33700000000000002,0.33900000000000002,0.33700000000000002,0.34100000000000003,0.34399999999999997,0.34799999999999998,0.35599999999999998,0.36599999999999999,0.38700000000000001,0.41499999999999998,0.46100000000000002,0.54100000000000004,0.66800000000000004,0.79700000000000004,0.97299999999999998,1.1779999999999999,1.4850000000000001,1.8260000000000001,2.2909999999999999,2.7559999999999998,3.0910000000000002,3.5840000000000001,3.827,4.1109999999999998,4.242,4.4950000000000001,4.6289999999999996,4.7519999999999998,4.87,5.048,5.1219999999999999,5.242,5.3609999999999998,5.4470000000000001,5.5229999999999997,5.5650000000000004,5.649,5.665,5.6790000000000003,5.6920000000000002,5.6929999999999996,5.6879999999999997,5.6829999999999998,5.6909999999999998,5.6890000000000001,5.7,5.6840000000000002,5.7560000000000002,5.7510000000000003,5.7380000000000004,5.673,5.6859999999999999,5.74,5.6509999999999998,5.6669999999999998,5.6429999999999998,5.6520000000000001,5.6760000000000002,5.68,5.6660000000000004,5.6130000000000004,5.617
A,11,Sample X11,0.34899999999999998,0.33900000000000002,0.34,0.34300000000000003,0.34200000000000003,0.34399999999999997,0.34699999999999998,0.34899999999999998,0.35499999999999998,0.36399999999999999,0.38100000000000001,0.39300000000000002,0.43099999999999999,0.47599999999999998,0.54900000000000004,0.67600000000000005,0.80600000000000005,1.022,1.3240000000000001,1.7010000000000001,2.1589999999999998,2.6320000000000001,3.1070000000000002,3.2839999999999998,3.7930000000000001,4.0259999999999998,4.234,4.3289999999999997,4.5979999999999999,4.7389999999999999,4.891,4.9249999999999998,5.056,5.0810000000000004,5.1390000000000002,5.194,5.2560000000000002,5.3040000000000003,5.343,5.4359999999999999,5.415,5.4169999999999998,5.4029999999999996,5.4260000000000002,5.4050000000000002,5.3940000000000001,5.39,5.399,5.3769999999999998,5.3159999999999998,5.319,5.2960000000000003,5.2720000000000002,5.2539999999999996,5.242,5.2089999999999996,5.181,5.1509999999999998,5.1120000000000001,5.0739999999999998,5.0540000000000003,5.008,5.0389999999999997,4.9660000000000002,4.952
A,12,Sample X12,0.34599999999999997,0.33300000000000002,0.33300000000000002,0.33600000000000002,0.33500000000000002,0.33,0.33300000000000002,0.33600000000000002,0.33600000000000002,0.33800000000000002,0.34300000000000003,0.34200000000000003,0.35199999999999998,0.36299999999999999,0.379,0.41,0.441,0.51,0.629,0.79900000000000004,1.03,1.325,1.732,2.1259999999999999,2.754,3.1930000000000001,3.6840000000000002,3.843,4.149,4.367,4.5640000000000001,4.6689999999999996,4.8479999999999999,4.9210000000000003,5.0419999999999998,5.141,5.226,5.2939999999999996,5.3460000000000001,5.45,5.4690000000000003,5.5119999999999996,5.5209999999999999,5.54,5.5270000000000001,5.4749999999999996,5.5129999999999999,5.4909999999999997,5.4829999999999997,5.4180000000000001,5.4349999999999996,5.4180000000000001,5.3390000000000004,5.3680000000000003,5.34,5.2709999999999999,5.27,5.2050000000000001,5.2009999999999996,5.1849999999999996,5.1529999999999996,5.1210000000000004,5.0830000000000002,5.0659999999999998,5.0209999999999999
B,1,Sample X13,0.35,0.34799999999999998,0.34699999999999998,0.34899999999999998,0.35299999999999998,0.35599999999999998,0.34599999999999997,0.35599999999999998,0.35799999999999998,0.34899999999999998,0.35599999999999998,0.36499999999999999,0.376,0.371,0.38600000000000001,0.41,0.42899999999999999,0.47699999999999998,0.55500000000000005,0.65900000000000003,0.79700000000000004,0.997,1.254,1.399,1.9870000000000001,2.492,2.9609999999999999,3.3410000000000002,3.633,3.8849999999999998,4.0129999999999999,4.2270000000000003,4.3819999999999997,4.5,4.6689999999999996,4.7880000000000003,4.8840000000000003,4.952,5.0049999999999999,5.0940000000000003,5.1680000000000001,5.234,5.2619999999999996,5.2939999999999996,5.2759999999999998,5.343,5.3140000000000001,5.3680000000000003,5.33,5.3520000000000003,5.3620000000000001,5.3390000000000004,5.3150000000000004,5.3029999999999999,5.2729999999999997,5.2770000000000001,5.2530000000000001,5.21,5.2430000000000003,5.2119999999999997,5.1840000000000002,5.2850000000000001,5.1669999999999998,5.1559999999999997,5.1280000000000001
B,2,Sample X14,0.32400000000000001,0.32400000000000001,0.33100000000000002,0.32500000000000001,0.32700000000000001,0.32400000000000001,0.32600000000000001,0.32900000000000001,0.32500000000000001,0.32800000000000001,0.32500000000000001,0.32500000000000001,0.32900000000000001,0.33300000000000002,0.33700000000000002,0.34300000000000003,0.34200000000000003,0.36699999999999999,0.39700000000000002,0.44800000000000001,0.51600000000000001,0.625,0.77600000000000002,0.90400000000000003,1.3240000000000001,1.798,2.2890000000000001,2.82,3.2919999999999998,3.5670000000000002,3.8250000000000002,4.0919999999999996,4.32,4.4980000000000002,4.6849999999999996,4.8410000000000002,4.9969999999999999,5.16,5.33,5.476,5.6210000000000004,5.7279999999999998,5.8289999999999997,5.93,6.0129999999999999,6.0979999999999999,6.1550000000000002,6.2249999999999996,6.2359999999999998,6.2439999999999998,6.3410000000000002,6.3639999999999999,6.4260000000000002,6.4790000000000001,6.5209999999999999,6.5830000000000002,6.5979999999999999,6.59,6.6660000000000004,6.6740000000000004,6.7450000000000001,6.7389999999999999,6.7789999999999999,6.79,6.8209999999999997
B,3,Sample X15,0.33700000000000002,0.318,0.32200000000000001,0.32,0.317,0.32,0.318,0.32600000000000001,0.32200000000000001,0.32200000000000001,0.32300000000000001,0.32500000000000001,0.33300000000000002,0.33600000000000002,0.35,0.36399999999999999,0.38,0.42599999999999999,0.46899999999999997,0.56100000000000005,0.69699999999999995,0.873,1.115,1.3620000000000001,1.819,2.3580000000000001,2.8420000000000001,3.2970000000000002,3.625,3.9020000000000001,4.0960000000000001,4.2969999999999997,4.4690000000000003,4.6280000000000001,4.7770000000000001,4.8940000000000001,4.9989999999999997,5.0949999999999998,5.1859999999999999,5.2560000000000002,5.3609999999999998,5.4379999999999997,5.4909999999999997,5.5640000000000001,5.5730000000000004,5.6210000000000004,5.6349999999999998,5.6989999999999998,5.7190000000000003,5.7370000000000001,5.8010000000000002,5.83,5.8289999999999997,5.8559999999999999,5.8810000000000002,5.9109999999999996,6.0430000000000001,6.0229999999999997,6.0030000000000001,6.1429999999999998,6.0869999999999997,6.0629999999999997,6.13,6.1349999999999998,6.1479999999999997
