,,Time,0 h ,0 h 15 min,0 h 30 min,0 h 45 min,1 h ,1 h 15 min,1 h 30 min,1 h 45 min,2 h ,2 h 15 min,2 h 30 min,2 h 45 min,3 h ,3 h 15 min,3 h 30 min,3 h 45 min,4 h ,4 h 15 min,4 h 30 min,4 h 45 min,5 h ,5 h 15 min,5 h 30 min,5 h 45 min,6 h ,6 h 15 min,6 h 30 min,6 h 45 min,7 h ,7 h 15 min,7 h 30 min,7 h 45 min,8 h ,8 h 15 min,8 h 30 min,8 h 45 min,9 h ,9 h 15 min,9 h 30 min,9 h 45 min,10 h ,10 h 15 min,10 h 30 min,10 h 45 min,11 h ,11 h 15 min,11 h 30 min,11 h 45 min,12 h ,12 h 15 min,12 h 30 min,12 h 45 min,13 h ,13 h 15 min,13 h 30 min,13 h 45 min,14 h ,14 h 15 min,14 h 30 min,14 h 45 min,15 h ,15 h 15 min,15 h 30 min,15 h 45 min
H,10,Blank B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,11,Blank B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,12,Blank B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,1,Sample X1,0.008,0.015,0.009,0.009,0.017,0.007,0.014,0.026,0.009,0.002,0.007,0.002,0.002,0.01,0.002,0.005,0.01,0.014,0.025,0.036,0.063,0.104,0.16500000000000001,0.23599999999999999,0.40799999999999997,0.61899999999999999,0.91200000000000003,1.3160000000000001,1.724,2.1960000000000002,2.6,2.8420000000000001,3.11,3.3420000000000001,3.484,3.617,3.7170000000000001,3.8559999999999999,3.98,4.1219999999999999,4.2830000000000004,4.4340000000000002,4.6449999999999996,4.63,4.7160000000000002,4.8929999999999998,4.8769999999999998,5.0279999999999996,5.069,5.0629999999999997,5.0659999999999998,5.12,5.1740000000000004,5.2229999999999999,5.2619999999999996,5.2080000000000002,5.2169999999999996,5.2960000000000003,5.27,5.33,5.2670000000000003,5.3380000000000001,5.2530000000000001,5.282
A,2,Sample X2,0.003,0.027,0.015,0.025,0.016,0.009,-0.004,0.008,-0.002,0.017,0.023,0.004,-0.001,0.007,0.015,0.025,0.043,0.066,0.10100000000000001,0.157,0.23400000000000001,0.36499999999999999,0.55200000000000005,0.60699999999999998,1.0389999999999999,1.4350000000000001,1.93,2.4649999999999999,2.911,3.274,3.6349999999999998,3.8450000000000002,4.09,4.258,4.4420000000000002,4.6189999999999998,4.7460000000000004,4.9359999999999999,5.0309999999999997,5.1550000000000002,5.2590000000000003,5.37,5.4660000000000002,5.54,5.5949999999999998,5.68,5.7480000000000002,5.7839999999999998,5.8540000000000001,5.9139999999999997,5.91,5.9889999999999999,6.0190000000000001,6.0650000000000004,6.1219999999999999,6.149,6.149,6.2110000000000003,6.2409999999999997,6.2569999999999997,6.2350000000000003,6.3209999999999997,6.3639999999999999,6.3609999999999998
A,3,Sample X3,0.004,0.012,0.002,0.007,0.007,0.008,0.005,0.019,0.009,0.015,0.023,0.03,0.047,0.072,0.112,0.184,0.25700000000000001,0.39800000000000002,0.59599999999999997,0.86599999999999999,1.258,1.6830000000000001,2.226,2.4500000000000002,3.0870000000000002,3.4289999999999998,3.6720000000000002,3.8420000000000001,4.0049999999999999,4.2549999999999999,4.3570000000000002,4.5069999999999997,4.7270000000000003,4.8520000000000003,5.03,5.1660000000000004,5.28,5.375,5.4119999999999999,5.4690000000000003,5.5259999999999998,5.6289999999999996,5.734,5.7880000000000003,5.8310000000000004,5.9240000000000004,5.9349999999999996,5.96,5.96,5.9870000000000001,6.0039999999999996,6.0129999999999999,6.0890000000000004,6.0910000000000002,6.13,6.141,6.17,6.2149999999999999,6.2350000000000003,6.2670000000000003,6.2329999999999997,6.3230000000000004,6.319,6.3470000000000004
A,4,Sample X4,0.023,0.03,0.017,0.019,0.022,0.027,0.02,0.039,0.028,0.033,0.046,0.056,0.07,0.086,0.13200000000000001,0.18099999999999999,0.26800000000000002,0.374,0.52900000000000003,0.76100000000000001,1.042,1.421,1.8080000000000001,2.1110000000000002,2.8719999999999999,3.7309999999999999,3.5739999999999998,3.7919999999999998,4.165,4.2450000000000001,4.4240000000000004,4.58,4.734,4.8540000000000001,5.0270000000000001,5.1660000000000004,5.3010000000000002,5.431,5.5469999999999997,5.6219999999999999,5.6950000000000003,5.7480000000000002,5.8159999999999998,5.899,5.9219999999999997,5.9649999999999999,5.992,5.9980000000000002,6.0170000000000003,6.0490000000000004,6.024,6.0510000000000002,6.0549999999999997,6.0289999999999999,6.0510000000000002,6.0430000000000001,6.0140000000000002,6,5.9450000000000003,5.952,5.9189999999999996,5.931,5.8860000000000001,5.8449999999999998
A,5,Sample X5,0.001,0.002,-0.011,-0.004,-0.007,-0.004,-0.01,0.004,-0.011,-0.011,-0.008,-0.009,-0.011,-0.01,-0.009,-0.01,-0.007,-0.009,-0.009,-0.011,-0.011,-0.011,-0.012,-0.013,-0.012,-0.011,-0.012,-0.016,-0.015,-0.012,-0.006,-0.008,-0.012,-0.011,-0.012,-0.011,-0.008,-0.011,-0.01,-0.011,-0.014,-0.012,-0.01,-0.01,-0.012,-0.011,-0.012,-0.012,-0.008,-0.009,-0.01,-0.013,-0.014,-0.014,-0.009,-0.017,-0.012,-0.013,-0.017,-0.011,-0.01,-0.013,-0.01,-0.018
A,6,Sample X6,0.017,0.031,0.032,0.037,0.035,0.043,0.046,0.069,0.075,0.091,0.125,0.16300000000000001,0.219,0.30499999999999999,0.45300000000000001,0.66800000000000004,1.0149999999999999,1.383,1.903,2.403,2.9729999999999999,3.3519999999999999,3.6160000000000001,3.5009999999999999,3.9049999999999998,4.056,4.1849999999999996,4.2869999999999999,4.444,4.5549999999999997,4.6340000000000003,4.7569999999999997,4.8760000000000003,4.9509999999999996,5.08,5.1449999999999996,5.218,5.27,5.3360000000000003,5.3490000000000002,5.3869999999999996,5.42,5.4219999999999997,5.4640000000000004,5.4939999999999998,5.4969999999999999,5.53,5.516,5.524,5.5380000000000003,5.5339999999999998,5.5289999999999999,5.5529999999999999,5.5380000000000003,5.5679999999999996,5.5209999999999999,5.5640000000000001,5.5410000000000004,5.52,5.5060000000000002,5.5190000000000001,5.5250000000000004,5.5250000000000004,5.4740000000000002
A,7,Sample X7,0.024,0.035,0.02,0.034,0.034,0.045,0.05,0.08,0.099,0.13400000000000001,0.193,0.28999999999999998,0.41499999999999998,0.6,0.86399999999999999,1.2270000000000001,1.7370000000000001,2.246,2.8170000000000002,3.2109999999999999,3.6230000000000002,3.9009999999999998,4.1029999999999998,3.988,4.4260000000000002,4.5659999999999998,4.7210000000000001,4.7519999999999998,4.9630000000000001,5.1269999999999998,5.2309999999999999,5.3170000000000002,5.4020000000000001,5.4720000000000004,5.5590000000000002,5.6189999999999998,5.6550000000000002,5.6980000000000004,5.7489999999999997,5.7569999999999997,5.7919999999999998,5.7880000000000003,5.8040000000000003,5.8280000000000003,5.8440000000000003,5.8339999999999996,5.8529999999999998,5.8220000000000001,5.8239999999999998,5.827,5.7990000000000004,5.8109999999999999,5.8159999999999998,5.7450000000000001,5.78,5.7649999999999997,5.7469999999999999,5.7460000000000004,5.694,5.7050000000000001,5.6980000000000004,5.6550000000000002,5.6719999999999997,5.6390000000000002
