,,Time,0 h ,0 h 15 min,0 h 30 min,0 h 45 min,1 h ,1 h 15 min,1 h 30 min,1 h 45 min,2 h ,2 h 15 min,2 h 30 min,2 h 45 min,3 h ,3 h 15 min,3 h 30 min,3 h 45 min,4 h ,4 h 15 min,4 h 30 min,4 h 45 min,5 h ,5 h 15 min,5 h 30 min,5 h 45 min,6 h ,6 h 15 min,6 h 30 min,6 h 45 min,7 h ,7 h 15 min,7 h 30 min,7 h 45 min,8 h ,8 h 15 min,8 h 30 min,8 h 45 min,9 h ,9 h 15 min,9 h 30 min,9 h 45 min,10 h ,10 h 15 min,10 h 30 min,10 h 45 min,11 h ,11 h 15 min,11 h 30 min,11 h 45 min,12 h ,12 h 15 min,12 h 30 min,12 h 45 min,13 h ,13 h 15 min,13 h 30 min,13 h 45 min,14 h ,14 h 15 min,14 h 30 min,14 h 45 min,15 h ,15 h 15 min,15 h 30 min,15 h 45 min,16 h ,16 h 15 min,16 h 30 min,16 h 45 min,17 h 
H,10,Blank B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,11,Blank B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,12,Blank B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,1,Sample X1,0.004,0.003,0.001,0.000933,0.002,0.000867,-0.001,0.000033,0.000567,0.0004,0.0008,0.002,0.0009,0.005,0.005,0.009,0.014,0.023,0.036,0.058,0.087,0.14599999999999999,0.219,0.312,0.52500000000000002,0.78300000000000003,1.117,1.577,1.9750000000000001,2.4540000000000002,2.726,3.0409999999999999,3.2160000000000002,3.43,3.6480000000000001,3.7949999999999999,3.9119999999999999,4.0389999999999997,4.0819999999999999,4.2590000000000003,4.3049999999999997,4.4880000000000004,4.5129999999999999,4.6829999999999998,4.6900000000000004,4.8239999999999998,4.8869999999999996,4.9279999999999999,4.9989999999999997,4.968,5.01,5.0369999999999999,5.1040000000000001,5.0590000000000002,5.0979999999999999,5.1349999999999998,5.1619999999999999,5.125,5.1660000000000004,5.1130000000000004,5.1449999999999996,5.1360000000000001,5.1470000000000002,5.18,5.14,5.1029999999999998,5.1180000000000003,5.1429999999999998,5.1749999999999998
A,2,Sample X2,0.026,0.018,0.017,0.015,0.018,0.019,0.024,0.026,0.036,0.043,0.052,0.071,0.105,0.151,0.222,0.32400000000000001,0.47599999999999998,0.65900000000000003,0.88800000000000001,1.2270000000000001,1.667,2.2240000000000002,2.8090000000000002,2.95,3.5209999999999999,3.8650000000000002,4.08,4.2949999999999999,4.4530000000000003,4.6440000000000001,4.7629999999999999,4.9029999999999996,5.0199999999999996,5.1429999999999998,5.2679999999999998,5.3460000000000001,5.4260000000000002,5.5,5.5369999999999999,5.5810000000000004,5.6360000000000001,5.6550000000000002,5.6890000000000001,5.7270000000000003,5.7210000000000001,5.7430000000000003,5.7480000000000002,5.7309999999999999,5.7210000000000001,5.6539999999999999,5.7290000000000001,5.7469999999999999,5.7279999999999998,5.6920000000000002,5.742,5.7560000000000002,5.758,5.758,5.742,5.702,5.7439999999999998,5.7249999999999996,5.7080000000000002,5.71,5.702,5.74,5.71,5.7030000000000003,5.6029999999999998
A,3,Sample X3,0.024,0.025,0.029,0.03,0.029,0.032,0.034,0.039,0.051,0.066,0.087,0.115,0.153,0.223,0.31900000000000001,0.45800000000000002,0.67900000000000005,0.96899999999999997,1.369,1.847,2.3780000000000001,2.8370000000000002,3.173,3.242,3.7829999999999999,3.944,4.0880000000000001,4.2649999999999997,4.4260000000000002,4.57,4.6980000000000004,4.8559999999999999,5.0030000000000001,5.109,5.2359999999999998,5.3010000000000002,5.4409999999999998,5.4859999999999998,5.577,5.6660000000000004,5.7229999999999999,5.7939999999999996,5.8120000000000003,5.8970000000000002,5.9429999999999996,5.931,5.9809999999999999,5.9960000000000004,5.9889999999999999,6.0179999999999998,6.0510000000000002,6.0659999999999998,6.0919999999999996,6.0839999999999996,6.141,6.1239999999999997,6.165,6.1440000000000001,6.1449999999999996,6.0949999999999998,6.1349999999999998,6.1269999999999998,6.12,6.1210000000000004,6.11,6.1420000000000003,6.101,6.125,6.1210000000000004
A,4,Sample X4,0.037,0.042,0.043,0.04,0.041,0.042,0.042,0.046,0.053,0.06,0.073,0.084,0.10199999999999999,0.13300000000000001,0.183,0.245,0.34100000000000003,0.47599999999999998,0.66100000000000003,0.91200000000000003,1.2749999999999999,1.63,2.0640000000000001,2.3639999999999999,2.992,3.4060000000000001,3.7109999999999999,3.97,4.2690000000000001,4.4480000000000004,4.5830000000000002,4.8070000000000004,4.93,5.0960000000000001,5.2530000000000001,5.3769999999999998,5.5,5.6020000000000003,5.6769999999999996,5.7629999999999999,5.8079999999999998,5.88,5.9240000000000004,5.9770000000000003,5.9770000000000003,6.0110000000000001,6.0469999999999997,6.0579999999999998,6.06,6.0069999999999997,6.0830000000000002,6.07,6.0590000000000002,6.0439999999999996,6.0540000000000003,6.0490000000000004,6.0270000000000001,5.9930000000000003,5.9409999999999998,5.91,5.9260000000000002,5.8920000000000003,5.8339999999999996,5.8339999999999996,5.78,5.7839999999999998,5.72,5.7190000000000003,5.6680000000000001
A,5,Sample X5,0.004,-0.002,-0.005,-0.006,-0.006,-0.004,-0.007,-0.007,-0.005,-0.005,-0.006,-0.004,-0.005,-0.004,-0.004,-0.004,-0.004,-0.006,-0.004,-0.004,-0.006,-0.005,-0.006,-0.009,-0.005,-0.004,-0.004,-0.007,-0.004,-0.003,-0.006,-0.005,-0.004,-0.004,-0.003,-0.004,-0.004,-0.005,-0.006,-0.003,-0.003,-0.004,-0.004,-0.002,-0.002,-0.002,-0.001,-0.003,-0.003,-0.003,-0.002,-0.003,-0.003,-0.002,-0.002,-0.001,-0.003,-0.002,-0.005,-0.001,-0.002,-0.001,-0.0008,-0.003,-0.001,-0.001,-0.001,-0.000633,-0.0009
A,6,Sample X6,0.018,0.018,0.013,0.014,0.016,0.018,0.02,0.032,0.039,0.051,0.06,0.085,0.1,0.152,0.20100000000000001,0.316,0.48699999999999999,0.66800000000000004,0.94499999999999995,1.367,1.8440000000000001,2.42,2.968,3.0920000000000001,3.6819999999999999,3.8180000000000001,3.9489999999999998,4.0449999999999999,4.2409999999999997,4.3540000000000001,4.5039999999999996,4.6180000000000003,4.726,4.8239999999999998,4.93,4.9960000000000004,5.1310000000000002,5.1859999999999999,5.2569999999999997,5.3220000000000001,5.3319999999999999,5.4029999999999996,5.4050000000000002,5.4669999999999996,5.4729999999999999,5.49,5.5170000000000003,5.5490000000000004,5.5460000000000003,5.5289999999999999,5.5730000000000004,5.58,5.59,5.585,5.5890000000000004,5.6070000000000002,5.5979999999999999,5.6029999999999998,5.5919999999999996,5.593,5.6,5.5629999999999997,5.5309999999999997,5.5549999999999997,5.548,5.5490000000000004,5.532,5.54,5.5190000000000001
A,7,Sample X7,0.044,0.047,0.07,0.071,0.074,0.083,0.091,0.09,0.11700000000000001,0.16,0.184,0.27,0.379,0.56499999999999995,0.78,1.127,1.573,2.1080000000000001,2.6970000000000001,3.1360000000000001,3.5590000000000002,3.8130000000000002,4.0529999999999999,3.9780000000000002,4.4409999999999998,4.5590000000000002,4.7089999999999996,4.7830000000000004,4.9240000000000004,5.0309999999999997,5.1479999999999997,5.2750000000000004,5.3209999999999997,5.4009999999999998,5.5350000000000001,5.5540000000000003,5.61,5.6559999999999997,5.7080000000000002,5.742,5.7510000000000003,5.8040000000000003,5.8250000000000002,5.82,5.8550000000000004,5.8410000000000002,5.8380000000000001,5.843,5.8419999999999996,5.8079999999999998,5.8529999999999998,5.806,5.8339999999999996,5.8090000000000002,5.7809999999999997,5.782,5.758,5.782,5.6879999999999997,5.7160000000000002,5.7060000000000004,5.6929999999999996,5.6680000000000001,5.6239999999999997,5.6269999999999998,5.66,5.609,5.6449999999999996,5.569
