,,Time,0 h ,0 h 10 min,0 h 20 min,0 h 30 min,0 h 40 min,0 h 50 min,1 h ,1 h 10 min,1 h 20 min,1 h 30 min,1 h 40 min,1 h 50 min,2 h ,2 h 10 min,2 h 20 min,2 h 30 min,2 h 40 min,2 h 50 min,3 h ,3 h 10 min,3 h 20 min,3 h 30 min,3 h 40 min,3 h 50 min,4 h ,4 h 10 min,4 h 20 min,4 h 30 min,4 h 40 min,4 h 50 min,5 h ,5 h 10 min,5 h 20 min,5 h 30 min,5 h 40 min,5 h 50 min,6 h ,6 h 10 min,6 h 20 min,6 h 30 min,6 h 40 min,6 h 50 min,7 h ,7 h 10 min,7 h 20 min,7 h 30 min,7 h 40 min,7 h 50 min,8 h ,8 h 10 min,8 h 20 min,8 h 30 min,8 h 40 min,8 h 50 min,9 h ,9 h 10 min,9 h 20 min,9 h 30 min,9 h 40 min,9 h 50 min,10 h ,10 h 10 min,10 h 20 min,10 h 30 min,10 h 40 min,10 h 50 min,11 h ,11 h 10 min,11 h 20 min,11 h 30 min,11 h 40 min,11 h 50 min,12 h ,12 h 10 min,12 h 20 min,12 h 30 min,12 h 40 min,12 h 50 min,13 h ,13 h 10 min,13 h 20 min,13 h 30 min,13 h 40 min,13 h 50 min,14 h ,14 h 10 min,14 h 20 min,14 h 30 min,14 h 40 min,14 h 50 min,15 h ,15 h 10 min,15 h 20 min,15 h 30 min,15 h 40 min,15 h 50 min,16 h ,16 h 10 min,16 h 20 min,16 h 30 min,16 h 40 min,16 h 50 min,17 h ,17 h 10 min,17 h 20 min,17 h 30 min,17 h 40 min,17 h 50 min,18 h ,18 h 10 min
H,10,Blank B,0.33900000000000002,0.32900000000000001,0.33100000000000002,0.33400000000000002,0.33400000000000002,0.33200000000000002,0.33200000000000002,0.33300000000000002,0.33600000000000002,0.33600000000000002,0.33600000000000002,0.33300000000000002,0.33400000000000002,0.33400000000000002,0.33300000000000002,0.33100000000000002,0.33500000000000002,0.33500000000000002,0.33300000000000002,0.33400000000000002,0.33300000000000002,0.33500000000000002,0.33500000000000002,0.33300000000000002,0.33200000000000002,0.33200000000000002,0.33,0.33200000000000002,0.33300000000000002,0.33,0.33200000000000002,0.32900000000000001,0.32800000000000001,0.33200000000000002,0.33300000000000002,0.33100000000000002,0.33100000000000002,0.33100000000000002,0.32800000000000001,0.33200000000000002,0.32800000000000001,0.32900000000000001,0.33,0.33100000000000002,0.33600000000000002,0.33100000000000002,0.32600000000000001,0.32900000000000001,0.33,0.32800000000000001,0.32900000000000001,0.32700000000000001,0.32900000000000001,0.32700000000000001,0.32800000000000001,0.32700000000000001,0.32800000000000001,0.32900000000000001,0.33,0.33300000000000002,0.32800000000000001,0.33300000000000002,0.32800000000000001,0.33,0.33,0.32900000000000001,0.32900000000000001,0.32800000000000001,0.32800000000000001,0.32800000000000001,0.32800000000000001,0.32600000000000001,0.32800000000000001,0.32900000000000001,0.32700000000000001,0.32800000000000001,0.32700000000000001,0.32600000000000001,0.32800000000000001,0.32700000000000001,0.32800000000000001,0.32900000000000001,0.32900000000000001,0.32700000000000001,0.32600000000000001,0.32500000000000001,0.32700000000000001,0.32700000000000001,0.32400000000000001,0.32800000000000001,0.32700000000000001,0.32700000000000001,0.32800000000000001,0.32500000000000001,0.32700000000000001,0.32600000000000001,0.32600000000000001,0.32800000000000001,0.32600000000000001,0.32600000000000001,0.32300000000000001,0.32500000000000001,0.32300000000000001,0.32400000000000001,0.32400000000000001,0.32300000000000001,0.32400000000000001,0.32400000000000001,0.32500000000000001,0.32400000000000001
H,11,Blank B,0.34,0.32900000000000001,0.32900000000000001,0.33100000000000002,0.33100000000000002,0.33100000000000002,0.33100000000000002,0.33,0.33100000000000002,0.32900000000000001,0.33200000000000002,0.32900000000000001,0.32900000000000001,0.32800000000000001,0.33400000000000002,0.32900000000000001,0.32900000000000001,0.33,0.33,0.32900000000000001,0.32800000000000001,0.32800000000000001,0.32900000000000001,0.33,0.33,0.32700000000000001,0.32900000000000001,0.32800000000000001,0.32700000000000001,0.32700000000000001,0.32800000000000001,0.32700000000000001,0.32700000000000001,0.32900000000000001,0.32900000000000001,0.32600000000000001,0.32500000000000001,0.32700000000000001,0.32700000000000001,0.32800000000000001,0.32600000000000001,0.32700000000000001,0.32700000000000001,0.32900000000000001,0.33100000000000002,0.32600000000000001,0.32300000000000001,0.32600000000000001,0.32700000000000001,0.32500000000000001,0.32700000000000001,0.32600000000000001,0.32700000000000001,0.32600000000000001,0.32700000000000001,0.32600000000000001,0.32600000000000001,0.32600000000000001,0.32500000000000001,0.33100000000000002,0.32600000000000001,0.33200000000000002,0.32500000000000001,0.32500000000000001,0.32500000000000001,0.32600000000000001,0.32600000000000001,0.32500000000000001,0.32600000000000001,0.32400000000000001,0.32500000000000001,0.32400000000000001,0.32500000000000001,0.32500000000000001,0.32500000000000001,0.32400000000000001,0.32500000000000001,0.32500000000000001,0.32400000000000001,0.32500000000000001,0.32500000000000001,0.32400000000000001,0.32400000000000001,0.32500000000000001,0.32400000000000001,0.32400000000000001,0.32400000000000001,0.32500000000000001,0.32200000000000001,0.32300000000000001,0.32300000000000001,0.32200000000000001,0.32400000000000001,0.32300000000000001,0.32500000000000001,0.32300000000000001,0.32400000000000001,0.32300000000000001,0.32200000000000001,0.32300000000000001,0.32100000000000001,0.32200000000000001,0.32200000000000001,0.32100000000000001,0.32200000000000001,0.32300000000000001,0.32300000000000001,0.32200000000000001,0.32100000000000001,0.32100000000000001
H,12,Blank B,0.34899999999999998,0.33300000000000002,0.33400000000000002,0.33600000000000002,0.33600000000000002,0.33700000000000002,0.34,0.34100000000000003,0.34399999999999997,0.33700000000000002,0.33900000000000002,0.33800000000000002,0.33800000000000002,0.33800000000000002,0.34,0.34,0.33800000000000002,0.33700000000000002,0.33900000000000002,0.33400000000000002,0.33400000000000002,0.33600000000000002,0.33500000000000002,0.33800000000000002,0.33600000000000002,0.33800000000000002,0.33400000000000002,0.33500000000000002,0.33500000000000002,0.33800000000000002,0.33400000000000002,0.33600000000000002,0.33200000000000002,0.33700000000000002,0.33200000000000002,0.33500000000000002,0.33100000000000002,0.33600000000000002,0.33200000000000002,0.33400000000000002,0.33,0.33300000000000002,0.33100000000000002,0.33600000000000002,0.33700000000000002,0.32900000000000001,0.32300000000000001,0.33400000000000002,0.33200000000000002,0.33400000000000002,0.33400000000000002,0.33200000000000002,0.33300000000000002,0.32800000000000001,0.33400000000000002,0.33,0.33,0.33100000000000002,0.32800000000000001,0.33600000000000002,0.33100000000000002,0.33700000000000002,0.33,0.33200000000000002,0.32900000000000001,0.33200000000000002,0.32900000000000001,0.32800000000000001,0.33,0.32600000000000001,0.32800000000000001,0.32800000000000001,0.32900000000000001,0.33,0.32800000000000001,0.32600000000000001,0.32600000000000001,0.32600000000000001,0.32400000000000001,0.32700000000000001,0.32700000000000001,0.32700000000000001,0.32600000000000001,0.32600000000000001,0.32900000000000001,0.32400000000000001,0.32700000000000001,0.32900000000000001,0.32500000000000001,0.32600000000000001,0.32500000000000001,0.32500000000000001,0.32500000000000001,0.32700000000000001,0.32400000000000001,0.32500000000000001,0.32300000000000001,0.32600000000000001,0.32300000000000001,0.32500000000000001,0.32100000000000001,0.32300000000000001,0.32200000000000001,0.32100000000000001,0.32100000000000001,0.32200000000000001,0.32100000000000001,0.32100000000000001,0.32100000000000001,0.32100000000000001
A,1,Sample X1,0.34300000000000003,0.34599999999999997,0.34599999999999997,0.34399999999999997,0.34599999999999997,0.35,0.34799999999999998,0.34899999999999998,0.35099999999999998,0.35599999999999998,0.35899999999999999,0.36,0.36699999999999999,0.373,0.38300000000000001,0.39300000000000002,0.40200000000000002,0.41699999999999998,0.42699999999999999,0.44800000000000001,0.46700000000000003,0.49099999999999999,0.52100000000000002,0.56200000000000006,0.59899999999999998,0.66200000000000003,0.73499999999999999,0.82299999999999995,0.91900000000000004,1.056,1.196,1.3580000000000001,1.4770000000000001,1.613,1.774,2.0249999999999999,2.2320000000000002,2.492,2.6309999999999998,2.875,2.887,3.032,3.0459999999999998,3.1339999999999999,3.323,3.3919999999999999,3.536,3.6080000000000001,3.7120000000000002,3.8780000000000001,3.9750000000000001,4.1109999999999998,4.1050000000000004,4.1619999999999999,4.3040000000000003,4.3879999999999999,4.5410000000000004,4.5609999999999999,4.657,4.6109999999999998,4.7960000000000003,4.8220000000000001,4.8959999999999999,4.9420000000000002,4.9930000000000003,4.97,5.0190000000000001,4.9930000000000003,5.0259999999999998,5.0750000000000002,5.0590000000000002,5.1059999999999999,5.0359999999999996,4.9740000000000002,5.0990000000000002,4.9969999999999999,4.9619999999999997,4.9489999999999998,5.0949999999999998,4.9989999999999997,4.9989999999999997,5.0979999999999999,4.9969999999999999,4.9809999999999999,4.9829999999999997,5.0209999999999999,5.0380000000000003,4.9649999999999999,4.9539999999999997,4.9539999999999997,4.9539999999999997,4.9320000000000004,4.8639999999999999,4.84,4.7450000000000001,4.835,4.7190000000000003,4.57,4.7270000000000003,4.5369999999999999,4.5389999999999997,4.5049999999999999,4.5190000000000001,4.5250000000000004,4.431,4.45,4.3410000000000002,4.37,4.3140000000000001,4.2629999999999999
A,2,Sample X2,0.34,0.33400000000000002,0.33400000000000002,0.33600000000000002,0.33500000000000002,0.33600000000000002,0.33800000000000002,0.33800000000000002,0.33800000000000002,0.34200000000000003,0.34399999999999997,0.34599999999999997,0.34799999999999998,0.35099999999999998,0.35199999999999998,0.35899999999999999,0.36699999999999999,0.374,0.38300000000000001,0.39900000000000002,0.41799999999999998,0.44800000000000001,0.47199999999999998,0.51800000000000002,0.57499999999999996,0.64600000000000002,0.73399999999999999,0.84099999999999997,0.99299999999999999,1.177,1.3919999999999999,1.6359999999999999,1.88,2.169,2.4900000000000002,2.7989999999999999,3.0310000000000001,3.28,3.5489999999999999,3.734,3.9289999999999998,4.0049999999999999,4.1109999999999998,4.2380000000000004,4.2939999999999996,4.4320000000000004,4.4660000000000002,4.5860000000000003,4.6710000000000003,4.7569999999999997,4.7990000000000004,4.875,4.9450000000000003,4.9870000000000001,5.093,5.2309999999999999,5.2370000000000001,5.3150000000000004,5.31,5.266,5.407,5.37,5.4960000000000004,5.5060000000000002,5.5359999999999996,5.5259999999999998,5.625,5.6310000000000002,5.6189999999999998,5.6639999999999997,5.6749999999999998,5.7060000000000004,5.7009999999999996,5.718,5.7409999999999997,5.7350000000000003,5.7220000000000004,5.72,5.7519999999999998,5.7389999999999999,5.7519999999999998,5.7480000000000002,5.7119999999999997,5.7,5.7320000000000002,5.7480000000000002,5.7519999999999998,5.7110000000000003,5.7149999999999999,5.7279999999999998,5.7240000000000002,5.6740000000000004,5.7329999999999997,5.6790000000000003,5.6740000000000004,5.6630000000000003,5.6870000000000003,5.63,5.6689999999999996,5.5970000000000004,5.6360000000000001,5.6230000000000002,5.6079999999999997,5.5750000000000002,5.5949999999999998,5.5880000000000001,5.556,5.5759999999999996,5.5540000000000003,5.5890000000000004
A,3,Sample X3,0.33900000000000002,0.33600000000000002,0.33800000000000002,0.33700000000000002,0.34200000000000003,0.34100000000000003,0.34399999999999997,0.35099999999999998,0.36199999999999999,0.36699999999999999,0.372,0.39400000000000002,0.40899999999999997,0.42599999999999999,0.44,0.48699999999999999,0.54300000000000004,0.61,0.68300000000000005,0.82599999999999996,0.98099999999999998,1.1850000000000001,1.385,1.671,1.986,2.2850000000000001,2.637,2.919,3.1819999999999999,3.4359999999999999,3.6659999999999999,3.8570000000000002,3.98,4.1059999999999999,4.2030000000000003,4.327,4.3769999999999998,4.5090000000000003,4.5839999999999996,4.6500000000000004,4.7350000000000003,4.8380000000000001,4.9169999999999998,5.016,5.0369999999999999,5.1509999999999998,5.2279999999999998,5.2530000000000001,5.2830000000000004,5.3170000000000002,5.3689999999999998,5.4630000000000001,5.4279999999999999,5.492,5.47,5.556,5.5209999999999999,5.5739999999999998,5.5640000000000001,5.52,5.6420000000000003,5.5359999999999996,5.6210000000000004,5.625,5.67,5.6790000000000003,5.665,5.6829999999999998,5.66,5.69,5.6680000000000001,5.665,5.6710000000000003,5.63,5.6609999999999996,5.6440000000000001,5.64,5.62,5.6559999999999997,5.6529999999999996,5.6459999999999999,5.67,5.6429999999999998,5.6379999999999999,5.6189999999999998,5.6580000000000004,5.6879999999999997,5.673,5.6669999999999998,5.6280000000000001,5.5910000000000002,5.6059999999999999,5.5990000000000002,5.5960000000000001,5.6109999999999998,5.6870000000000003,5.6319999999999997,5.6109999999999998,5.6639999999999997,5.6580000000000004,5.6210000000000004,5.6239999999999997,5.6440000000000001,5.641,5.6470000000000002,5.59,5.5640000000000001,5.6070000000000002,5.6280000000000001,5.633
A,4,Sample X4,0.33700000000000002,0.33200000000000002,0.33200000000000002,0.33200000000000002,0.33300000000000002,0.33300000000000002,0.33600000000000002,0.33600000000000002,0.33500000000000002,0.33500000000000002,0.33900000000000002,0.33600000000000002,0.33500000000000002,0.33600000000000002,0.33900000000000002,0.33900000000000002,0.33800000000000002,0.34300000000000003,0.33900000000000002,0.34100000000000003,0.34399999999999997,0.34899999999999998,0.35099999999999998,0.36,0.36299999999999999,0.375,0.39600000000000002,0.40899999999999997,0.44,0.47199999999999998,0.51500000000000001,0.59299999999999997,0.66300000000000003,0.76500000000000001,0.89500000000000002,1.093,1.3049999999999999,1.579,1.8580000000000001,2.2050000000000001,2.5459999999999998,2.88,3.202,3.4969999999999999,3.6240000000000001,3.9420000000000002,4.1520000000000001,4.2169999999999996,4.3730000000000002,4.5149999999999997,4.6580000000000004,4.79,4.8490000000000002,4.9420000000000002,5.0750000000000002,5.181,5.2240000000000002,5.3170000000000002,5.3769999999999998,5.3529999999999998,5.4980000000000002,5.484,5.6150000000000002,5.6349999999999998,5.6820000000000004,5.6710000000000003,5.7240000000000002,5.7309999999999999,5.7380000000000004,5.7839999999999998,5.7839999999999998,5.83,5.8609999999999998,5.8369999999999997,5.8959999999999999,5.8940000000000001,5.8730000000000002,5.8650000000000002,5.8849999999999998,5.8659999999999997,5.8490000000000002,5.85,5.8419999999999996,5.835,5.859,5.87,5.86,5.8479999999999999,5.85,5.8339999999999996,5.8280000000000003,5.827,5.8170000000000002,5.867,5.8220000000000001,5.8109999999999999,5.76,5.7809999999999997,5.7510000000000003,5.7670000000000003,5.7469999999999999,5.7670000000000003,5.7640000000000002,5.7290000000000001,5.7770000000000001,5.7229999999999999,5.694,5.726,5.7210000000000001,5.73
A,5,Sample X5,0.34,0.32700000000000001,0.32500000000000001,0.32800000000000001,0.32800000000000001,0.32700000000000001,0.32700000000000001,0.32700000000000001,0.32800000000000001,0.32700000000000001,0.32900000000000001,0.32900000000000001,0.32700000000000001,0.32900000000000001,0.33,0.33,0.32900000000000001,0.33,0.32700000000000001,0.33,0.33,0.32800000000000001,0.33200000000000002,0.33100000000000002,0.32900000000000001,0.32800000000000001,0.32900000000000001,0.32900000000000001,0.32900000000000001,0.32900000000000001,0.33,0.32900000000000001,0.33,0.33,0.33,0.33,0.32700000000000001,0.32900000000000001,0.32900000000000001,0.33,0.32800000000000001,0.32900000000000001,0.32800000000000001,0.33,0.33200000000000002,0.32800000000000001,0.32500000000000001,0.33100000000000002,0.32800000000000001,0.32800000000000001,0.32800000000000001,0.32700000000000001,0.33,0.32900000000000001,0.32800000000000001,0.32800000000000001,0.32900000000000001,0.32800000000000001,0.32700000000000001,0.33100000000000002,0.32700000000000001,0.33,0.32700000000000001,0.32800000000000001,0.32900000000000001,0.32700000000000001,0.32800000000000001,0.32700000000000001,0.32800000000000001,0.32700000000000001,0.32600000000000001,0.32700000000000001,0.32900000000000001,0.32700000000000001,0.32700000000000001,0.32800000000000001,0.32700000000000001,0.32700000000000001,0.32700000000000001,0.32600000000000001,0.32800000000000001,0.32800000000000001,0.32700000000000001,0.32600000000000001,0.32600000000000001,0.32700000000000001,0.32700000000000001,0.32700000000000001,0.32600000000000001,0.32600000000000001,0.32600000000000001,0.32700000000000001,0.32800000000000001,0.32700000000000001,0.32600000000000001,0.32500000000000001,0.32600000000000001,0.32600000000000001,0.32700000000000001,0.32400000000000001,0.32600000000000001,0.32700000000000001,0.32600000000000001,0.32500000000000001,0.32300000000000001,0.32500000000000001,0.32700000000000001,0.32500000000000001,0.32500000000000001,0.32300000000000001
A,6,Sample X6,0.34200000000000003,0.33900000000000002,0.33400000000000002,0.33500000000000002,0.33800000000000002,0.33800000000000002,0.33600000000000002,0.34,0.33900000000000002,0.34300000000000003,0.34499999999999997,0.34499999999999997,0.34599999999999997,0.34499999999999997,0.34799999999999998,0.34499999999999997,0.34599999999999997,0.34899999999999998,0.34799999999999998,0.34899999999999998,0.34899999999999998,0.34899999999999998,0.35499999999999998,0.35499999999999998,0.36,0.36299999999999999,0.376,0.38,0.4,0.41899999999999998,0.439,0.46500000000000002,0.51100000000000001,0.57599999999999996,0.63700000000000001,0.73599999999999999,0.86299999999999999,1.0109999999999999,1.1559999999999999,1.393,1.669,1.855,2.202,2.504,2.71,3.036,3.351,3.53,3.7519999999999998,3.9420000000000002,4.0629999999999997,4.2039999999999997,4.3220000000000001,4.415,4.5250000000000004,4.6710000000000003,4.76,4.923,5.0190000000000001,5.032,5.1849999999999996,5.2130000000000001,5.367,5.4180000000000001,5.5449999999999999,5.6059999999999999,5.6639999999999997,5.694,5.7519999999999998,5.8140000000000001,5.8529999999999998,5.8860000000000001,5.915,5.9320000000000004,6.0049999999999999,6.056,5.968,6.06,6.03,6.0679999999999996,6.1070000000000002,6.085,6.117,6.1130000000000004,6.1040000000000001,6.149,6.1479999999999997,6.1719999999999997,6.165,6.1580000000000004,6.1319999999999997,6.1820000000000004,6.1779999999999999,6.1589999999999998,6.1719999999999997,6.165,6.1349999999999998,6.1680000000000001,6.16,6.1760000000000002,6.1529999999999996,6.1509999999999998,6.1630000000000003,6.1440000000000001,6.1669999999999998,6.1529999999999996,6.1550000000000002,6.157,6.1829999999999998,6.1619999999999999
A,7,Sample X7,0.36,0.35499999999999998,0.35299999999999998,0.35899999999999999,0.36299999999999999,0.371,0.374,0.38300000000000001,0.39,0.39500000000000002,0.40100000000000002,0.40899999999999997,0.42099999999999999,0.439,0.46500000000000002,0.51500000000000001,0.56399999999999995,0.64600000000000002,0.73499999999999999,0.88500000000000001,1.052,1.3109999999999999,1.484,1.7470000000000001,2.0590000000000002,2.3130000000000002,2.702,2.9940000000000002,3.3029999999999999,3.5619999999999998,3.794,3.9430000000000001,4.0819999999999999,4.2380000000000004,4.3479999999999999,4.4980000000000002,4.6180000000000003,4.7460000000000004,4.8929999999999998,5.008,5.0739999999999998,5.1909999999999998,5.2750000000000004,5.3449999999999998,5.3940000000000001,5.4779999999999998,5.5739999999999998,5.5949999999999998,5.6909999999999998,5.6779999999999999,5.71,5.7720000000000002,5.798,5.8319999999999999,5.8620000000000001,5.9130000000000003,5.9130000000000003,5.9530000000000003,5.984,5.9249999999999998,6.0090000000000003,5.99,6.048,6.04,6.069,6.0190000000000001,6.0529999999999999,6.0410000000000004,6.056,6.1029999999999998,6.0890000000000004,6.1070000000000002,6.11,6.1429999999999998,6.1710000000000003,6.1870000000000003,6.1589999999999998,6.2080000000000002,6.24,6.2519999999999998,6.2649999999999997,6.2859999999999996,6.3220000000000001,6.3250000000000002,6.319,6.3860000000000001,6.3840000000000003,6.399,6.4020000000000001,6.4279999999999999,6.4119999999999999,6.4790000000000001,6.4619999999999997,6.4939999999999998,6.5430000000000001,6.5670000000000002,6.5460000000000003,6.59,6.6040000000000001,6.6219999999999999,6.6130000000000004,6.6660000000000004,6.7030000000000003,6.6449999999999996,6.6859999999999999,6.7290000000000001,6.7229999999999999,6.7469999999999999,6.75,6.7859999999999996
