,,Time,0 h ,0 h 10 min,0 h 20 min,0 h 30 min,0 h 40 min,0 h 50 min,1 h ,1 h 10 min,1 h 20 min,1 h 30 min,1 h 40 min,1 h 50 min,2 h ,2 h 10 min,2 h 20 min,2 h 30 min,2 h 40 min,2 h 50 min,3 h ,3 h 10 min,3 h 20 min,3 h 30 min,3 h 40 min,3 h 50 min,4 h ,4 h 10 min,4 h 20 min,4 h 30 min,4 h 40 min,4 h 50 min,5 h ,5 h 10 min,5 h 20 min,5 h 30 min,5 h 40 min,5 h 50 min,6 h ,6 h 10 min,6 h 20 min,6 h 30 min,6 h 40 min,6 h 50 min,7 h ,7 h 10 min,7 h 20 min,7 h 30 min,7 h 40 min,7 h 50 min,8 h ,8 h 10 min,8 h 20 min,8 h 30 min,8 h 40 min,8 h 50 min,9 h ,9 h 10 min,9 h 20 min,9 h 30 min,9 h 40 min,9 h 50 min,10 h ,10 h 10 min,10 h 20 min,10 h 30 min,10 h 40 min,10 h 50 min,11 h ,11 h 10 min,11 h 20 min,11 h 30 min,11 h 40 min,11 h 50 min,12 h ,12 h 10 min,12 h 20 min,12 h 30 min,12 h 40 min,12 h 50 min,13 h ,13 h 10 min,13 h 20 min,13 h 30 min,13 h 40 min,13 h 50 min,14 h ,14 h 10 min,14 h 20 min,14 h 30 min,14 h 40 min,14 h 50 min,15 h ,15 h 10 min,15 h 20 min,15 h 30 min,15 h 40 min,15 h 50 min,16 h ,16 h 10 min,16 h 20 min,16 h 30 min,16 h 40 min,16 h 50 min,17 h ,17 h 10 min,17 h 20 min,17 h 30 min,17 h 40 min,17 h 50 min,18 h ,18 h 10 min,18 h 20 min,18 h 30 min,18 h 40 min,18 h 50 min,19 h ,19 h 10 min,19 h 20 min,19 h 30 min,19 h 40 min
H,10,Blank B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,11,Blank B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,12,Blank B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,1,Sample X1,0.001,0.016,0.014,0.004,0.012,0.009,0.002,-0.004,0.011,0.025,0.037,0.068,0.065,0.098,0.106,0.13400000000000001,0.192,0.25600000000000001,0.35499999999999998,0.44600000000000001,0.63500000000000001,0.82899999999999996,1.077,1.339,1.6579999999999999,1.992,2.3610000000000002,2.74,2.9630000000000001,3.2770000000000001,3.556,3.7509999999999999,3.8839999999999999,4.0179999999999998,4.1029999999999998,4.2210000000000001,4.3739999999999997,4.4850000000000003,4.5860000000000003,4.6609999999999996,4.7939999999999996,4.883,4.9930000000000003,5.0819999999999999,5.125,5.141,5.2009999999999996,5.3959999999999999,5.399,5.4820000000000002,5.5430000000000001,5.5960000000000001,5.6,5.5910000000000002,5.5869999999999997,5.6459999999999999,5.665,5.6369999999999996,5.7210000000000001,5.7359999999999998,5.6769999999999996,5.7510000000000003,5.7549999999999999,5.8019999999999996,5.7549999999999999,5.7240000000000002,5.7380000000000004,5.7329999999999997,5.69,5.81,5.7910000000000004,5.8070000000000004,5.77,5.673,5.6059999999999999,5.6630000000000003,5.6109999999999998,5.617,5.7329999999999997,5.6550000000000002,5.617,5.6870000000000003,5.5810000000000004,5.6050000000000004,5.5720000000000001,5.5709999999999997,5.556,5.5960000000000001,5.5380000000000003,5.5119999999999996,5.5439999999999996,5.532,5.5179999999999998,5.4669999999999996,5.4560000000000004,5.41,5.4290000000000003,5.359,5.359,5.3760000000000003,5.3029999999999999,5.319,5.2880000000000003,5.2610000000000001,5.2469999999999999,5.2110000000000003,5.1920000000000002,5.1660000000000004,5.1420000000000003,5.1109999999999998,5.077,5.0419999999999998,5.0060000000000002,5.0069999999999997,4.9649999999999999,4.9320000000000004,4.9020000000000001,4.8609999999999998,4.8470000000000004
A,2,Sample X2,0.015,0.014,0.012,0.000233,0.007,-0.0004,-0.016,-0.029,-0.002,-0.023,-0.026,-0.011,-0.009,-0.007,-0.01,-0.000533,0.024,0.06,0.084,0.114,0.217,0.29199999999999998,0.41199999999999998,0.52700000000000002,0.69399999999999995,0.879,1.133,1.4359999999999999,1.823,2.085,2.431,2.7330000000000001,2.9510000000000001,3.24,3.3940000000000001,3.4769999999999999,3.6280000000000001,3.827,3.8959999999999999,4.0279999999999996,4.109,4.2729999999999997,4.3570000000000002,4.4349999999999996,4.5090000000000003,4.5960000000000001,4.6109999999999998,4.7119999999999997,4.6989999999999998,4.8019999999999996,4.8780000000000001,4.915,4.9569999999999999,5.0010000000000003,5.0270000000000001,5.0709999999999997,5.1070000000000002,5.1059999999999999,5.1630000000000003,5.117,5.2089999999999996,5.0949999999999998,5.2240000000000002,5.2430000000000003,5.2839999999999998,5.274,5.32,5.2750000000000004,5.3390000000000004,5.3150000000000004,5.3470000000000004,5.3230000000000004,5.3410000000000002,5.3520000000000003,5.3259999999999996,5.3559999999999999,5.3440000000000003,5.3209999999999997,5.3390000000000004,5.319,5.33,5.2919999999999998,5.2839999999999998,5.2510000000000003,5.2220000000000004,5.2110000000000003,5.2080000000000002,5.13,5.1289999999999996,5.101,5.181,5.1870000000000003,5.1539999999999999,5.2080000000000002,5.202,5.1749999999999998,5.1449999999999996,5.1079999999999997,5.1609999999999996,5.0860000000000003,5.0640000000000001,5.0119999999999996,5.0970000000000004,4.9729999999999999,4.9729999999999999,4.9370000000000003,4.9109999999999996,4.9169999999999998,4.8979999999999997,4.9829999999999997,4.891,4.8490000000000002,4.8369999999999997,4.8209999999999997,4.8150000000000004,4.8540000000000001,4.8140000000000001,4.8250000000000002,4.8109999999999999
A,3,Sample X3,0.036,0.049,0.042,0.024,0.043,0.039,0.029,0.027,0.04,0.052,0.06,0.09,0.084,0.126,0.121,0.14699999999999999,0.192,0.248,0.32500000000000001,0.42099999999999999,0.60399999999999998,0.75700000000000001,0.98299999999999998,1.25,1.591,1.92,2.2349999999999999,2.5270000000000001,2.83,3.0379999999999998,3.234,3.4380000000000002,3.6030000000000002,3.7149999999999999,3.8330000000000002,3.9249999999999998,4.085,4.1879999999999997,4.2329999999999997,4.3310000000000004,4.4740000000000002,4.5229999999999997,4.6289999999999996,4.7329999999999997,4.7629999999999999,4.84,4.8860000000000001,4.9870000000000001,4.9530000000000003,5.0880000000000001,5.101,5.1890000000000001,5.2320000000000002,5.2329999999999997,5.2949999999999999,5.3440000000000003,5.3769999999999998,5.399,5.415,5.3719999999999999,5.4690000000000003,5.3470000000000004,5.4690000000000003,5.4909999999999997,5.5519999999999996,5.5359999999999996,5.5890000000000004,5.5359999999999996,5.5990000000000002,5.5970000000000004,5.6210000000000004,5.6269999999999998,5.6260000000000003,5.6449999999999996,5.5339999999999998,5.6150000000000002,5.6289999999999996,5.5730000000000004,5.6340000000000003,5.6159999999999997,5.641,5.5780000000000003,5.6020000000000003,5.577,5.51,5.5190000000000001,5.5220000000000002,5.4560000000000004,5.4829999999999997,5.4669999999999996,5.4989999999999997,5.5119999999999996,5.4950000000000001,5.4569999999999999,5.4329999999999998,5.5,5.4359999999999999,5.4119999999999999,5.4119999999999999,5.4630000000000001,5.4180000000000001,5.4630000000000001,5.4859999999999998,5.4370000000000003,5.3760000000000003,5.4039999999999999,5.4029999999999996,5.4130000000000003,5.3970000000000002,5.3380000000000001,5.3250000000000002,5.3369999999999997,5.2439999999999998,5.2320000000000002,5.23,5.266,5.2210000000000001,5.2359999999999998,5.28
A,4,Sample X4,0.017,0.031,0.039,0.03,0.043,0.036,0.035,0.032,0.048,0.085,0.1,0.129,0.16300000000000001,0.23100000000000001,0.27200000000000002,0.376,0.498,0.63300000000000001,0.77,0.96599999999999997,1.2649999999999999,1.464,1.855,2.1970000000000001,2.6110000000000002,2.887,3.1379999999999999,3.4329999999999998,3.66,3.77,3.8780000000000001,3.9809999999999999,4.0430000000000001,4.1749999999999998,4.351,4.4009999999999998,4.4400000000000004,4.5830000000000002,4.6079999999999997,4.657,4.7300000000000004,4.7759999999999998,4.8470000000000004,4.9089999999999998,5.0129999999999999,5.032,5.0830000000000002,5.14,5.1609999999999996,5.2370000000000001,5.24,5.2729999999999997,5.3040000000000003,5.2949999999999999,5.33,5.3220000000000001,5.3639999999999999,5.3869999999999996,5.399,5.367,5.4169999999999998,5.2910000000000004,5.3769999999999998,5.4340000000000002,5.4320000000000004,5.4409999999999998,5.4509999999999996,5.4569999999999999,5.4409999999999998,5.4580000000000002,5.4489999999999998,5.4359999999999999,5.4359999999999999,5.4550000000000001,5.3579999999999997,5.4480000000000004,5.4329999999999998,5.3890000000000002,5.4180000000000001,5.4320000000000004,5.3810000000000002,5.3710000000000004,5.44,5.3920000000000003,5.3710000000000004,5.3949999999999996,5.4,5.3470000000000004,5.3579999999999997,5.3280000000000003,5.3940000000000001,5.3739999999999997,5.3890000000000002,5.3620000000000001,5.319,5.306,5.3230000000000004,5.3,5.2850000000000001,5.2889999999999997,5.2919999999999998,5.2610000000000001,5.2960000000000003,5.26,5.2889999999999997,5.2670000000000003,5.2750000000000004,5.2430000000000003,5.2439999999999998,5.226,5.1879999999999997,5.1550000000000002,5.0759999999999996,5.0830000000000002,5.0789999999999997,5.1040000000000001,5.093,5.0730000000000004,5.0709999999999997
A,5,Sample X5,0.000433,0.000567,0.0001,-0.012,-0.009,-0.016,-0.029,-0.043,-0.014,-0.035,-0.041,-0.029,-0.028,-0.033,-0.043,-0.042,-0.036,-0.024,-0.028,-0.032,-0.004,-0.002,-0.003,-0.005,-0.004,-0.004,-0.002,-0.002,-0.009,-0.012,-0.006,-0.002,-0.007,-0.0007,-0.004,-0.008,-0.000867,-0.002,0.001,-0.008,-0.002,-0.0006,-0.001,0.001,0.000933,0.002,-0.000433,-0.0001,-0.003,-0.001,0.000933,-0.005,0.001,0.000967,-0.000867,-0.002,0.002,0.002,0.003,-0.000567,0.001,-0.000233,-0.031,-0.0001,0.001,0.002,0.001,0.001,0.002,-0.000167,0.001,0.000633,-0.000867,-0.000633,0.002,0.000267,0.000467,0.002,0.000733,-0.006,0.002,0.003,0.001,0.002,0.000433,0.000233,0.0004,0.000433,0.001,-0.006,-0.000333,0.001,-0.001,-0.002,-0.005,0.000733,0.002,-0.0002,0.001,0.003,0.002,0.002,-0.001,-0.002,0.002,0.002,0.001,-0.0005,-0.000567,-0.001,0.003,0.0007,0.002,-0.002,0.003,0.001,-0.003,-0.000767,0.002
A,6,Sample X6,0.031,0.044,0.042,0.034,0.042,0.033,0.02,0.009,0.026,0.032,0.027,0.043,0.036,0.056,0.046,0.057,0.07,0.10199999999999999,0.108,0.122,0.17299999999999999,0.19700000000000001,0.22500000000000001,0.25,0.307,0.35799999999999998,0.42199999999999999,0.49,0.59199999999999997,0.65600000000000003,0.82299999999999995,0.92300000000000004,1.054,1.2190000000000001,1.4419999999999999,1.6379999999999999,1.81,2.004,2.2210000000000001,2.4809999999999999,2.6819999999999999,2.851,3.1030000000000002,3.2530000000000001,3.395,3.4980000000000002,3.629,3.726,3.7970000000000002,3.9340000000000002,4.069,4.1539999999999999,4.2809999999999997,4.343,4.4340000000000002,4.4450000000000003,4.5430000000000001,4.5819999999999999,4.6310000000000002,4.6399999999999997,4.7839999999999998,4.6420000000000003,4.7350000000000003,4.8730000000000002,4.8940000000000001,4.915,4.952,5.0129999999999999,4.9779999999999998,5.0229999999999997,5.0330000000000004,5.0679999999999996,5.0110000000000001,5.0549999999999997,4.9660000000000002,5.0720000000000001,5.1079999999999997,5.05,5.0990000000000002,5.1210000000000004,5.1349999999999998,5.0910000000000002,5.1130000000000004,5.08,5.0419999999999998,5.0919999999999996,5.0960000000000001,5.0750000000000002,5.0570000000000004,5.032,5.0199999999999996,4.9960000000000004,4.915,4.9390000000000001,4.9450000000000003,4.9039999999999999,4.867,4.8390000000000004,4.7510000000000003,4.6989999999999998,4.7290000000000001,4.66,4.6619999999999999,4.5999999999999996,4.5419999999999998,4.585,4.5380000000000003,4.4240000000000004,4.4880000000000004,4.3769999999999998,4.3890000000000002,4.4260000000000002,4.5490000000000004,4.3170000000000002,4.3049999999999997,4.32,4.2270000000000003,4.5490000000000004,4.1550000000000002
A,7,Sample X7,0.021,0.032,0.032,0.024,0.032,0.028,0.025,0.019,0.041,0.054,0.069,0.099,0.106,0.14799999999999999,0.17499999999999999,0.23499999999999999,0.33300000000000002,0.5,0.66,0.85899999999999999,1.2330000000000001,1.468,1.7889999999999999,2.0779999999999998,2.4430000000000001,2.702,2.8759999999999999,3.0680000000000001,3.298,3.4729999999999999,3.6560000000000001,3.746,3.82,3.9329999999999998,4.0650000000000004,4.1340000000000003,4.2670000000000003,4.3499999999999996,4.4180000000000001,4.516,4.6040000000000001,4.694,4.7569999999999997,4.8259999999999996,4.8929999999999998,4.952,5.0049999999999999,5.0679999999999996,5.05,5.1369999999999996,5.1749999999999998,5.2169999999999996,5.2460000000000004,5.2720000000000002,5.2869999999999999,5.2789999999999999,5.3419999999999996,5.31,5.3380000000000001,5.3049999999999997,5.3559999999999999,5.2869999999999999,5.3490000000000002,5.4340000000000002,5.4240000000000004,5.4009999999999998,5.4089999999999998,5.45,5.4050000000000002,5.3680000000000003,5.4240000000000004,5.4329999999999998,5.4059999999999997,5.4180000000000001,5.3010000000000002,5.3929999999999998,5.41,5.3470000000000004,5.4160000000000004,5.4020000000000001,5.4459999999999997,5.3860000000000001,5.3840000000000003,5.3659999999999997,5.4210000000000003,5.3970000000000002,5.4180000000000001,5.3730000000000002,5.383,5.3479999999999999,5.3860000000000001,5.383,5.3120000000000003,5.2990000000000004,5.31,5.2619999999999996,5.2889999999999997,5.266,5.242,5.2629999999999999,5.24,5.1970000000000001,5.2190000000000003,5.1879999999999997,5.181,5.1710000000000003,5.1420000000000003,5.16,5.1369999999999996,5.1219999999999999,5.1029999999999998,5.0990000000000002,5.0419999999999998,5.0599999999999996,5.048,5.0460000000000003,4.9859999999999998,5.0110000000000001,5.0129999999999999
