User: USER,,,
Path: C:\Program Files\BMG\CLARIOstar\User\Data\,,,
Test ID: 6981,,,
Test Name: Leila-Growth,,,
Date: 5/09/2019,,,
Time: 10:35:54 AM,,,
ID1: Plate 2 Vananz diluted 1 in 10 in PBS,,,
ID2: 190905,,,
ID3: for  infection HeLa real time cell death number 2,,,
Absorbance,,,Absorbance values are displayed as OD


"Well
Row","Well
Col",Content,Blank corrected based on Raw Data (600)
A,5,Blank B,
E,7,Blank B,
H,1,Blank B,
A,1,Sample X1,0.61499999999999999
A,2,Sample X2,0.57699999999999996
A,3,Sample X3,0.496
A,4,Sample X4,0.53900000000000003
A,6,Sample X6,0.44800000000000001
A,7,Sample X7,0.45
A,8,Sample X8,0.60299999999999998
A,9,Sample X9,0.59099999999999997
A,10,Sample X10,0.42899999999999999
A,11,Sample X11,0.39500000000000002
A,12,Sample X12,0.6
B,1,Sample X13,0.59499999999999997
B,2,Sample X14,0.35599999999999998
B,3,Sample X15,0.34200000000000003
B,4,Sample X16,0.34899999999999998
B,5,Sample X17,0.434
B,6,Sample X18,0.38200000000000001
B,7,Sample X19,0.36099999999999999
B,8,Sample X20,0.35299999999999998
B,9,Sample X21,0.58399999999999996
B,10,Sample X22,0.51800000000000002
B,11,Sample X23,0.34799999999999998
B,12,Sample X24,0.65100000000000002
C,1,Sample X25,0.55600000000000005
C,2,Sample X26,0.502
C,3,Sample X27,0.29799999999999999
C,4,Sample X28,0.33700000000000002
C,5,Sample X29,0.27100000000000002
C,6,Sample X30,0.44400000000000001
C,7,Sample X31,0.375
C,8,Sample X32,0.43099999999999999
C,9,Sample X33,0.42599999999999999
C,10,Sample X34,0.34
C,11,Sample X35,0.44400000000000001
C,12,Sample X36,0.45300000000000001
D,1,Sample X37,0.58599999999999997
D,2,Sample X38,0.41
D,3,Sample X39,0.42899999999999999
D,4,Sample X40,0.313
D,5,Sample X41,0.34599999999999997
D,6,Sample X42,0.309
D,7,Sample X43,0.38100000000000001
D,8,Sample X44,0.29899999999999999
D,9,Sample X45,0.33700000000000002
D,10,Sample X46,0.371
D,11,Sample X47,0.30199999999999999
D,12,Sample X48,0.32300000000000001
E,1,Sample X49,0.59299999999999997
E,2,Sample X50,0.39400000000000002
E,3,Sample X51,0.47
E,4,Sample X52,0.33200000000000002
E,5,Sample X53,0.35899999999999999
E,6,Sample X54,0.38800000000000001
E,8,Sample X56,0.32400000000000001
E,9,Sample X57,0.34799999999999998
E,10,Sample X58,0.57299999999999995
E,11,Sample X59,0.42299999999999999
E,12,Sample X60,0.52700000000000002
F,1,Sample X61,0.55800000000000005
F,2,Sample X62,0.46800000000000003
F,3,Sample X63,0.38
F,4,Sample X64,0.39900000000000002
F,5,Sample X65,0.374
F,6,Sample X66,0.33800000000000002
F,7,Sample X67,0.374
F,8,Sample X68,0.38200000000000001
F,9,Sample X69,0.36899999999999999
F,10,Sample X70,0.45200000000000001
F,11,Sample X71,0.50800000000000001
F,12,Sample X72,0.44600000000000001
G,1,Sample X73,0.52100000000000002
G,2,Sample X74,0.48
G,3,Sample X75,0.58799999999999997
G,4,Sample X76,0.56299999999999994
G,5,Sample X77,0.371
G,6,Sample X78,0.35
G,7,Sample X79,0.41799999999999998
G,8,Sample X80,0.42599999999999999
G,9,Sample X81,0.47399999999999998
G,10,Sample X82,0.438
G,11,Sample X83,0.54100000000000004
G,12,Sample X84,0.64900000000000002
H,2,Sample X86,0.61299999999999999
H,3,Sample X87,0.57099999999999995
H,4,Sample X88,0.54200000000000004
H,5,Sample X89,0.57399999999999995
H,6,Sample X90,0.35599999999999998
H,7,Sample X91,0.42499999999999999
H,8,Sample X92,0.40699999999999997
H,9,Sample X93,0.50800000000000001
H,10,Sample X94,-0.002
H,11,Sample X95,-0.006
H,12,Sample X96,-0.004
