User: USER,,,
Path: C:\Program Files\BMG\CLARIOstar\User\Data\,,,
Test ID: 6998,,,
Test Name: Leila-Growth,,,
Date: 10/09/2019,,,
Time: 10:21:02 AM,,,
ID1: Plate 2 Vananz diluted 1 in 10 in PBS,,,
ID2: 190909,,,
ID3: infection HeLa real time cell death number 3,,,
Absorbance,,,Absorbance values are displayed as OD


"Well
Row","Well
Col",Content,Blank corrected based on Raw Data (600)
H,10,Blank B,
H,11,Blank B,
H,12,Blank B,
A,1,Sample X1,0.81100000000000005
A,2,Sample X2,0.58599999999999997
A,3,Sample X3,0.57499999999999996
A,4,Sample X4,0.52900000000000003
A,5,Sample X5,0.004
A,6,Sample X6,0.46300000000000002
A,7,Sample X7,0.41799999999999998
A,8,Sample X8,0.63400000000000001
A,9,Sample X9,0.46500000000000002
A,10,Sample X10,0.50700000000000001
A,11,Sample X11,0.44500000000000001
A,12,Sample X12,0.84899999999999998
B,1,Sample X13,0.49299999999999999
B,2,Sample X14,0.52600000000000002
B,3,Sample X15,0.33
B,4,Sample X16,0.35299999999999998
B,5,Sample X17,0.30199999999999999
B,6,Sample X18,0.40200000000000002
B,7,Sample X19,0.34499999999999997
B,8,Sample X20,0.39100000000000001
B,9,Sample X21,0.57099999999999995
B,10,Sample X22,0.41099999999999998
B,11,Sample X23,0.373
B,12,Sample X24,0.71599999999999997
C,1,Sample X25,0.316
C,2,Sample X26,0.35699999999999998
C,3,Sample X27,0.254
C,4,Sample X28,0.245
C,5,Sample X29,0.22800000000000001
C,6,Sample X30,0.34399999999999997
C,7,Sample X31,0.378
C,8,Sample X32,0.40699999999999997
C,9,Sample X33,0.51300000000000001
C,10,Sample X34,0.34699999999999998
C,11,Sample X35,0.373
C,12,Sample X36,0.36399999999999999
D,1,Sample X37,0.32900000000000001
D,2,Sample X38,0.246
D,3,Sample X39,0.35899999999999999
D,4,Sample X40,0.28399999999999997
D,5,Sample X41,0.45300000000000001
D,6,Sample X42,0.29699999999999999
D,7,Sample X43,0.377
D,8,Sample X44,0.28399999999999997
D,9,Sample X45,0.41199999999999998
D,10,Sample X46,0.318
D,11,Sample X47,0.47399999999999998
D,12,Sample X48,0.34100000000000003
E,1,Sample X49,0.34
E,2,Sample X50,0.376
E,3,Sample X51,0.433
E,4,Sample X52,0.313
E,5,Sample X53,0.375
E,6,Sample X54,0.34399999999999997
E,7,Sample X55,0.000933
E,8,Sample X56,0.26700000000000002
E,9,Sample X57,0.40500000000000003
E,10,Sample X58,0.54100000000000004
E,11,Sample X59,0.46200000000000002
E,12,Sample X60,0.44500000000000001
F,1,Sample X61,0.44700000000000001
F,2,Sample X62,0.35899999999999999
F,3,Sample X63,0.31
F,4,Sample X64,0.36199999999999999
F,5,Sample X65,0.29599999999999999
F,6,Sample X66,0.28299999999999997
F,7,Sample X67,0.32100000000000001
F,8,Sample X68,0.34899999999999998
F,9,Sample X69,0.36499999999999999
F,10,Sample X70,0.36699999999999999
F,11,Sample X71,0.38800000000000001
F,12,Sample X72,0.38
G,1,Sample X73,0.41799999999999998
G,2,Sample X74,0.36299999999999999
G,3,Sample X75,0.47099999999999997
G,4,Sample X76,0.50700000000000001
G,5,Sample X77,0.32700000000000001
G,6,Sample X78,0.27100000000000002
G,7,Sample X79,0.38200000000000001
G,8,Sample X80,0.34499999999999997
G,9,Sample X81,0.40300000000000002
G,10,Sample X82,0.42099999999999999
G,11,Sample X83,0.46600000000000003
G,12,Sample X84,0.54300000000000004
H,1,Sample X85,0.007
H,2,Sample X86,0.66400000000000003
H,3,Sample X87,0.57199999999999995
H,4,Sample X88,0.51
H,5,Sample X89,0.43099999999999999
H,6,Sample X90,0.34100000000000003
H,7,Sample X91,0.376
H,8,Sample X92,0.41599999999999998
H,9,Sample X93,0.39200000000000002
