User: USER,,,
Path: C:\Program Files\BMG\CLARIOstar\User\Data\,,,
Test ID: 69,,,
Test Name: Leila-Growth,,,
Date: 9/11/2019,,,
Time: 2:17:04 PM,,,
ID1: Plate 3 Vananz diluted 1 in 10 in PBS,,,
ID2: 191109,,,
ID3: infection HeLa 40000 real time cell death number 1,,,
Absorbance,,,Absorbance values are displayed as OD


"Well
Row","Well
Col",Content,Raw Data (600)
H,10,Blank B,0.085
H,11,Blank B,0.085
H,12,Blank B,0.088
A,1,Sample X1,0.74099999999999999
A,2,Sample X2,0.55300000000000005
A,3,Sample X3,0.45700000000000002
A,4,Sample X4,0.48399999999999999
A,5,Sample X5,0.084
A,6,Sample X6,0.44700000000000001
A,7,Sample X7,0.437
A,8,Sample X8,0.435
A,9,Sample X9,0.46300000000000002
A,10,Sample X10,0.52300000000000002
A,11,Sample X11,0.46300000000000002
A,12,Sample X12,0.71299999999999997
B,1,Sample X13,0.55500000000000005
B,2,Sample X14,0.45500000000000002
B,3,Sample X15,0.4
B,4,Sample X16,0.41799999999999998
B,5,Sample X17,0.52100000000000002
B,6,Sample X18,0.38200000000000001
B,7,Sample X19,0.39800000000000002
B,8,Sample X20,0.38100000000000001
B,9,Sample X21,0.34599999999999997
B,10,Sample X22,0.36299999999999999
B,11,Sample X23,0.44800000000000001
B,12,Sample X24,0.45700000000000002
C,1,Sample X25,0.60899999999999999
C,2,Sample X26,0.54800000000000004
C,3,Sample X27,0.36799999999999999
C,4,Sample X28,0.46500000000000002
C,5,Sample X29,0.53900000000000003
C,6,Sample X30,0.45300000000000001
C,7,Sample X31,0.374
C,8,Sample X32,0.311
C,9,Sample X33,0.36399999999999999
C,10,Sample X34,0.372
C,11,Sample X35,0.36299999999999999
C,12,Sample X36,0.38900000000000001
D,1,Sample X37,0.69799999999999995
D,2,Sample X38,0.44800000000000001
D,3,Sample X39,0.377
D,4,Sample X40,0.35699999999999998
D,5,Sample X41,0.36899999999999999
D,6,Sample X42,0.36799999999999999
D,7,Sample X43,0.32600000000000001
D,8,Sample X44,0.38400000000000001
D,9,Sample X45,0.372
D,10,Sample X46,0.29599999999999999
D,11,Sample X47,0.47199999999999998
D,12,Sample X48,0.41699999999999998
E,1,Sample X49,0.71199999999999997
E,2,Sample X50,0.39200000000000002
E,3,Sample X51,0.30499999999999999
E,4,Sample X52,0.58699999999999997
E,5,Sample X53,0.43
E,6,Sample X54,0.41799999999999998
E,7,Sample X55,0.082
E,8,Sample X56,0.29099999999999998
E,9,Sample X57,0.33
E,10,Sample X58,0.33800000000000002
E,11,Sample X59,0.33700000000000002
E,12,Sample X60,0.41299999999999998
F,1,Sample X61,0.58299999999999996
F,2,Sample X62,0.41499999999999998
F,3,Sample X63,0.39200000000000002
F,4,Sample X64,0.45300000000000001
F,5,Sample X65,0.51100000000000001
F,6,Sample X66,0.44400000000000001
F,7,Sample X67,0.41
F,8,Sample X68,0.33300000000000002
F,9,Sample X69,0.32100000000000001
F,10,Sample X70,0.38700000000000001
F,11,Sample X71,0.29399999999999998
F,12,Sample X72,0.47699999999999998
G,1,Sample X73,0.58699999999999997
G,2,Sample X74,0.45
G,3,Sample X75,0.39300000000000002
G,4,Sample X76,0.42499999999999999
G,5,Sample X77,0.45900000000000002
G,6,Sample X78,0.42399999999999999
G,7,Sample X79,0.39400000000000002
G,8,Sample X80,0.35
G,9,Sample X81,0.40300000000000002
G,10,Sample X82,0.442
G,11,Sample X83,0.35899999999999999
G,12,Sample X84,0.495
H,1,Sample X85,0.085
H,2,Sample X86,0.51
H,3,Sample X87,0.496
H,4,Sample X88,0.51800000000000002
H,5,Sample X89,0.69399999999999995
H,6,Sample X90,0.44900000000000001
H,7,Sample X91,0.502
H,8,Sample X92,0.52800000000000002
H,9,Sample X93,0.50600000000000001
