User: USER,,,
Path: C:\Program Files\BMG\CLARIOstar\User\Data\,,,
Test ID: 71,,,
Test Name: Leila-Biofilm,,,
Date: 11/11/2019,,,
Time: 10:46:56 AM,,,
ID1: 191111 plate vananz 3 diluted 1 in 10,,,
ID2: HeLa 40000 cell real time cell death n2,,,
Absorbance,,,Absorbance values are displayed as OD


"Well
Row","Well
Col",Content,Blank corrected based on Raw Data (595)
H,10,Blank B,
H,11,Blank B,
H,12,Blank B,
A,1,Sample X1,0.41099999999999998
A,2,Sample X2,0.432
A,3,Sample X3,0.39500000000000002
A,4,Sample X4,0.39200000000000002
A,5,Sample X5,0.003
A,6,Sample X6,0.46700000000000003
A,7,Sample X7,0.58699999999999997
A,8,Sample X8,0.50900000000000001
A,9,Sample X9,0.372
A,10,Sample X10,0.50600000000000001
A,11,Sample X11,0.41399999999999998
A,12,Sample X12,0.67200000000000004
B,1,Sample X13,0.41399999999999998
B,2,Sample X14,0.34599999999999997
B,3,Sample X15,0.38600000000000001
B,4,Sample X16,0.34300000000000003
B,5,Sample X17,0.40500000000000003
B,6,Sample X18,0.33900000000000002
B,7,Sample X19,0.371
B,8,Sample X20,0.33
B,9,Sample X21,0.33600000000000002
B,10,Sample X22,0.39
B,11,Sample X23,0.434
B,12,Sample X24,0.38700000000000001
C,1,Sample X25,0.39800000000000002
C,2,Sample X26,0.34899999999999998
C,3,Sample X27,0.35599999999999998
C,4,Sample X28,0.35699999999999998
C,5,Sample X29,0.35399999999999998
C,6,Sample X30,0.26200000000000001
C,7,Sample X31,0.41299999999999998
C,8,Sample X32,0.26500000000000001
C,9,Sample X33,0.25800000000000001
C,10,Sample X34,0.25
C,11,Sample X35,0.42199999999999999
C,12,Sample X36,0.27600000000000002
D,1,Sample X37,0.372
D,2,Sample X38,0.33900000000000002
D,3,Sample X39,0.29699999999999999
D,4,Sample X40,0.40400000000000003
D,5,Sample X41,0.30599999999999999
D,6,Sample X42,0.27800000000000002
D,7,Sample X43,0.29599999999999999
D,8,Sample X44,0.308
D,9,Sample X45,0.27400000000000002
D,10,Sample X46,0.30299999999999999
D,11,Sample X47,0.34599999999999997
D,12,Sample X48,0.39100000000000001
E,1,Sample X49,0.34899999999999998
E,2,Sample X50,0.32600000000000001
E,3,Sample X51,0.36299999999999999
E,4,Sample X52,0.46200000000000002
E,5,Sample X53,0.38900000000000001
E,6,Sample X54,0.26300000000000001
E,7,Sample X55,0.001
E,8,Sample X56,0.23300000000000001
E,9,Sample X57,0.249
E,10,Sample X58,0.28399999999999997
E,11,Sample X59,0.26300000000000001
E,12,Sample X60,0.36499999999999999
F,1,Sample X61,0.41899999999999998
F,2,Sample X62,0.374
F,3,Sample X63,0.33
F,4,Sample X64,0.29699999999999999
F,5,Sample X65,0.35899999999999999
F,6,Sample X66,0.34899999999999998
F,7,Sample X67,0.33100000000000002
F,8,Sample X68,0.30399999999999999
F,9,Sample X69,0.27500000000000002
F,10,Sample X70,0.35799999999999998
F,11,Sample X71,0.29399999999999998
F,12,Sample X72,0.42699999999999999
G,1,Sample X73,0.52600000000000002
G,2,Sample X74,0.40200000000000002
G,3,Sample X75,0.45200000000000001
G,4,Sample X76,0.34899999999999998
G,5,Sample X77,0.41199999999999998
G,6,Sample X78,0.437
G,7,Sample X79,0.36599999999999999
G,8,Sample X80,0.35899999999999999
G,9,Sample X81,0.38
G,10,Sample X82,0.50700000000000001
G,11,Sample X83,0.315
G,12,Sample X84,0.38
H,1,Sample X85,0.006
H,2,Sample X86,0.46
H,3,Sample X87,0.54200000000000004
H,4,Sample X88,0.42
H,5,Sample X89,0.7
H,6,Sample X90,0.51500000000000001
H,7,Sample X91,0.501
H,8,Sample X92,0.45600000000000002
H,9,Sample X93,0.48199999999999998
