User: USER,,,
Path: C:\Program Files\BMG\CLARIOstar\User\Data\,,,
Test ID: 86,,,
Test Name: Leila-Growth,,,
Date: 16/11/2019,,,
Time: 1:47:33 PM,,,
ID1: Plate 1 Vananz diluted 1 in 5  in PBS n2,,,
ID2: 191116,,,
ID3: infection HeLa 40000 real time cell death number 2,,,
Absorbance,,,Absorbance values are displayed as OD


"Well
Row","Well
Col",Content,Blank corrected based on Raw Data (600)
H,10,Blank B,
H,11,Blank B,
H,12,Blank B,
A,1,Sample X1,0.79200000000000004
A,2,Sample X2,0.35499999999999998
A,3,Sample X3,0.438
A,4,Sample X4,0.38700000000000001
A,5,Sample X5,0.003
A,6,Sample X6,0.308
A,7,Sample X7,0.39900000000000002
A,8,Sample X8,0.48099999999999998
A,9,Sample X9,0.39400000000000002
A,10,Sample X10,0.33200000000000002
A,11,Sample X11,0.48099999999999998
A,12,Sample X12,0.53800000000000003
B,1,Sample X13,0.57699999999999996
B,2,Sample X14,0.35199999999999998
B,3,Sample X15,0.311
B,4,Sample X16,0.33
B,5,Sample X17,0.30199999999999999
B,6,Sample X18,0.29399999999999998
B,7,Sample X19,0.26
B,8,Sample X20,0.442
B,9,Sample X21,0.34100000000000003
B,10,Sample X22,0.40600000000000003
B,11,Sample X23,0.27200000000000002
B,12,Sample X24,0.33400000000000002
C,1,Sample X25,0.45400000000000001
C,2,Sample X26,0.43
C,3,Sample X27,0.375
C,4,Sample X28,0.247
C,5,Sample X29,0.24199999999999999
C,6,Sample X30,0.27600000000000002
C,7,Sample X31,0.36799999999999999
C,8,Sample X32,0.216
C,9,Sample X33,0.19900000000000001
C,10,Sample X34,0.25
C,11,Sample X35,0.35799999999999998
C,12,Sample X36,0.33700000000000002
D,1,Sample X37,0.53700000000000003
D,2,Sample X38,0.40600000000000003
D,3,Sample X39,0.33600000000000002
D,4,Sample X40,0.375
D,5,Sample X41,0.36799999999999999
D,6,Sample X42,0.29599999999999999
D,7,Sample X43,0.315
D,8,Sample X44,0.26300000000000001
D,9,Sample X45,0.28399999999999997
D,10,Sample X46,0.29399999999999998
D,11,Sample X47,0.32200000000000001
D,12,Sample X48,0.36599999999999999
E,1,Sample X49,0.373
E,2,Sample X50,0.29399999999999998
E,3,Sample X51,0.28599999999999998
E,4,Sample X52,0.35699999999999998
E,5,Sample X53,0.26800000000000002
E,6,Sample X54,0.23400000000000001
E,7,Sample X55,-0.004
E,8,Sample X56,0.39600000000000002
E,9,Sample X57,0.28799999999999998
E,10,Sample X58,0.26400000000000001
E,11,Sample X59,0.316
E,12,Sample X60,0.312
F,1,Sample X61,0.39100000000000001
F,2,Sample X62,0.28699999999999998
F,3,Sample X63,0.28000000000000003
F,4,Sample X64,0.376
F,5,Sample X65,0.38
F,6,Sample X66,0.36199999999999999
F,7,Sample X67,0.26200000000000001
F,8,Sample X68,0.34599999999999997
F,9,Sample X69,0.29099999999999998
F,10,Sample X70,0.28100000000000003
F,11,Sample X71,0.254
F,12,Sample X72,0.45800000000000002
G,1,Sample X73,0.35299999999999998
G,2,Sample X74,0.33
G,3,Sample X75,0.32900000000000001
G,4,Sample X76,0.35699999999999998
G,5,Sample X77,0.37
G,6,Sample X78,0.307
G,7,Sample X79,0.38700000000000001
G,8,Sample X80,0.376
G,9,Sample X81,0.28199999999999997
G,10,Sample X82,0.32200000000000001
G,11,Sample X83,0.36399999999999999
G,12,Sample X84,0.32500000000000001
H,1,Sample X85,0.003
H,2,Sample X86,0.443
H,3,Sample X87,0.51300000000000001
H,4,Sample X88,0.41099999999999998
H,5,Sample X89,0.47599999999999998
H,6,Sample X90,0.46
H,7,Sample X91,0.42199999999999999
H,8,Sample X92,0.42299999999999999
H,9,Sample X93,0.63
