User: USER,,,
Path: C:\Program Files\BMG\CLARIOstar\User\Data\,,,
Test ID: 91,,,
Test Name: Leila-Biofilm,,,
Date: 20/11/2019,,,
Time: 12:59:14 PM,,,
ID1: 191118 plate vananz 4 n1 diluted 1 in 10,,,
ID2: HeLa 40000 cell real time cell death,,,
Absorbance,,,Absorbance values are displayed as OD


"Well
Row","Well
Col",Content,Blank corrected based on Raw Data (595)
H,10,Blank B,
H,11,Blank B,
H,12,Blank B,
A,1,Sample X1,0.30199999999999999
A,2,Sample X2,0.34599999999999997
A,3,Sample X3,0.28799999999999998
A,4,Sample X4,0.29899999999999999
A,5,Sample X5,0.23799999999999999
A,6,Sample X6,0.26600000000000001
A,7,Sample X7,0.27100000000000002
A,8,Sample X8,-0.005
A,9,Sample X9,0.34499999999999997
A,10,Sample X10,0.223
A,11,Sample X11,0.30599999999999999
A,12,Sample X12,0.33100000000000002
B,1,Sample X13,0.35499999999999998
B,2,Sample X14,0.23699999999999999
B,3,Sample X15,0.24199999999999999
B,4,Sample X16,0.249
B,5,Sample X17,0.20799999999999999
B,6,Sample X18,0.222
B,7,Sample X19,0.19600000000000001
B,8,Sample X20,0.183
B,9,Sample X21,0.20799999999999999
B,10,Sample X22,0.17499999999999999
B,11,Sample X23,0.16
B,12,Sample X24,0.32200000000000001
C,1,Sample X25,0.28399999999999997
C,2,Sample X26,0.23400000000000001
C,3,Sample X27,0.185
C,4,Sample X28,0.224
C,5,Sample X29,0.123
C,6,Sample X30,0.221
C,7,Sample X31,0.13900000000000001
C,8,Sample X32,0.17
C,9,Sample X33,0.154
C,10,Sample X34,0.193
C,11,Sample X35,0.23499999999999999
C,12,Sample X36,-0.000533
D,1,Sample X37,0.000167
D,2,Sample X38,0.19600000000000001
D,3,Sample X39,0.187
D,4,Sample X40,0.17599999999999999
D,5,Sample X41,0.19800000000000001
D,6,Sample X42,0.23200000000000001
D,7,Sample X43,0.17799999999999999
D,8,Sample X44,0.23100000000000001
D,9,Sample X45,0.188
D,10,Sample X46,0.153
D,11,Sample X47,0.17299999999999999
D,12,Sample X48,0.22800000000000001
E,1,Sample X49,-0.002
E,2,Sample X50,0.14199999999999999
E,3,Sample X51,0.16500000000000001
E,4,Sample X52,0.18099999999999999
E,5,Sample X53,0.21099999999999999
E,6,Sample X54,0.19900000000000001
E,7,Sample X55,0.112
E,8,Sample X56,0.23899999999999999
E,9,Sample X57,0.19600000000000001
E,10,Sample X58,0.187
E,11,Sample X59,0.18099999999999999
E,12,Sample X60,0.223
F,1,Sample X61,0.26500000000000001
F,2,Sample X62,0.16700000000000001
F,3,Sample X63,0.097
F,4,Sample X64,0.16
F,5,Sample X65,0.218
F,6,Sample X66,0.095
F,7,Sample X67,0.219
F,8,Sample X68,0.217
F,9,Sample X69,0.21199999999999999
F,10,Sample X70,0.16200000000000001
F,11,Sample X71,-0.005
F,12,Sample X72,-0.000133
G,1,Sample X73,0.16200000000000001
G,2,Sample X74,0.186
G,3,Sample X75,0.16
G,4,Sample X76,0.19500000000000001
G,5,Sample X77,0.24399999999999999
G,6,Sample X78,0.17399999999999999
G,7,Sample X79,0.11
G,8,Sample X80,0.24
G,9,Sample X81,0.19500000000000001
G,10,Sample X82,0.22500000000000001
G,11,Sample X83,0.221
G,12,Sample X84,0.251
H,1,Sample X85,0.35699999999999998
H,2,Sample X86,0.28499999999999998
H,3,Sample X87,0.22900000000000001
H,4,Sample X88,0.26800000000000002
H,5,Sample X89,0.26600000000000001
H,6,Sample X90,0.27100000000000002
H,7,Sample X91,0.26900000000000002
H,8,Sample X92,0.214
H,9,Sample X93,0.308
