User: USER,,,
Path: C:\Program Files\BMG\CLARIOstar\User\Data\,,,
Test ID: 93,,,
Test Name: Leila-Growth,,,
Date: 21/11/2019,,,
Time: 10:11:51 AM,,,
ID1: Plate 4 Vananz  n2 dilution 1 in 10 in PBS,,,
ID2: 191121,,,
ID3: infection HeLa 40000 real time cell death number 2,,,
Absorbance,,,Absorbance values are displayed as OD


"Well
Row","Well
Col",Content,Blank corrected based on Raw Data (600)
H,10,Blank B,
H,11,Blank B,
H,12,Blank B,
A,1,Sample X1,0.63600000000000001
A,2,Sample X2,0.48
A,3,Sample X3,0.47
A,4,Sample X4,0.36699999999999999
A,5,Sample X5,0.44500000000000001
A,6,Sample X6,0.53300000000000003
A,7,Sample X7,0.373
A,8,Sample X8,0.003
A,9,Sample X9,0.39300000000000002
A,10,Sample X10,0.38400000000000001
A,11,Sample X11,0.438
A,12,Sample X12,0.502
B,1,Sample X13,0.42099999999999999
B,2,Sample X14,0.29299999999999998
B,3,Sample X15,0.57299999999999995
B,4,Sample X16,0.318
B,5,Sample X17,0.28100000000000003
B,6,Sample X18,0.36199999999999999
B,7,Sample X19,0.29499999999999998
B,8,Sample X20,0.307
B,9,Sample X21,0.33400000000000002
B,10,Sample X22,0.36499999999999999
B,11,Sample X23,0.13800000000000001
B,12,Sample X24,0.497
C,1,Sample X25,0.46400000000000002
C,2,Sample X26,0.33900000000000002
C,3,Sample X27,0.45100000000000001
C,4,Sample X28,0.35799999999999998
C,5,Sample X29,0.155
C,6,Sample X30,0.23300000000000001
C,7,Sample X31,0.26700000000000002
C,8,Sample X32,0.28399999999999997
C,9,Sample X33,0.29599999999999999
C,10,Sample X34,0.27300000000000002
C,11,Sample X35,0.31900000000000001
C,12,Sample X36,0.004
D,1,Sample X37,-0.000833
D,2,Sample X38,0.39700000000000002
D,3,Sample X39,0.498
D,4,Sample X40,0.33500000000000002
D,5,Sample X41,0.312
D,6,Sample X42,0.32700000000000001
D,7,Sample X43,0.27500000000000002
D,8,Sample X44,0.27300000000000002
D,9,Sample X45,0.313
D,10,Sample X46,0.29099999999999998
D,11,Sample X47,0.3
D,12,Sample X48,0.41799999999999998
E,1,Sample X49,-0.000033
E,2,Sample X50,0.3
E,3,Sample X51,0.34499999999999997
E,4,Sample X52,0.316
E,5,Sample X53,0.28399999999999997
E,6,Sample X54,0.26400000000000001
E,7,Sample X55,0.249
E,8,Sample X56,0.27700000000000002
E,9,Sample X57,0.28899999999999998
E,10,Sample X58,0.27800000000000002
E,11,Sample X59,0.44800000000000001
E,12,Sample X60,0.30299999999999999
F,1,Sample X61,0.378
F,2,Sample X62,0.29199999999999998
F,3,Sample X63,0.26500000000000001
F,4,Sample X64,0.32600000000000001
F,5,Sample X65,0.373
F,6,Sample X66,0.21199999999999999
F,7,Sample X67,0.32100000000000001
F,8,Sample X68,0.29499999999999998
F,9,Sample X69,0.28499999999999998
F,10,Sample X70,0.28299999999999997
F,11,Sample X71,-0.003
F,12,Sample X72,0.000967
G,1,Sample X73,0.17
G,2,Sample X74,0.312
G,3,Sample X75,0.42599999999999999
G,4,Sample X76,0.309
G,5,Sample X77,0.32600000000000001
G,6,Sample X78,0.26500000000000001
G,7,Sample X79,0.19400000000000001
G,8,Sample X80,0.34599999999999997
G,9,Sample X81,0.314
G,10,Sample X82,0.35699999999999998
G,11,Sample X83,0.28599999999999998
G,12,Sample X84,0.36299999999999999
H,1,Sample X85,0.58399999999999996
H,2,Sample X86,0.44
H,3,Sample X87,0.54700000000000004
H,4,Sample X88,0.52300000000000002
H,5,Sample X89,0.56399999999999995
H,6,Sample X90,0.38500000000000001
H,7,Sample X91,0.51
H,8,Sample X92,0.40500000000000003
H,9,Sample X93,0.378
