User: USER,,,
Path: C:\Program Files\BMG\CLARIOstar\User\Data\,,,
Test ID: 124,,,
Test Name: Leila-Growth,,,
Date: 29/11/2019,,,
Time: 12:52:09 PM,,,
ID1: Plate 5 Vananz  n1 dilution 1 in 10 in PBS,,,
ID2: 191129,,,
ID3: infection HeLa 40000 real time cell death number 2,,,
Absorbance,,,Absorbance values are displayed as OD


"Well
Row","Well
Col",Content,Blank corrected based on Raw Data (600)
H,10,Blank B,
H,11,Blank B,
H,12,Blank B,
A,1,Sample X1,0.19400000000000001
A,2,Sample X2,0.27900000000000003
A,3,Sample X3,0.10100000000000001
A,4,Sample X4,0.16700000000000001
A,5,Sample X5,0.16
A,6,Sample X6,0.21299999999999999
A,7,Sample X7,0.121
A,8,Sample X8,0.002
A,9,Sample X9,0.113
A,10,Sample X10,0.069
A,11,Sample X11,0.13400000000000001
A,12,Sample X12,0.161
B,1,Sample X13,0.076
B,2,Sample X14,0.082
B,3,Sample X15,0.065
B,4,Sample X16,0.154
B,5,Sample X17,0.10299999999999999
B,6,Sample X18,0.109
B,7,Sample X19,0.17199999999999999
B,8,Sample X20,0.098
B,9,Sample X21,0.13900000000000001
B,10,Sample X22,0.053
B,11,Sample X23,0.115
B,12,Sample X24,0.25
C,1,Sample X25,0.14599999999999999
C,2,Sample X26,0.104
C,3,Sample X27,0.113
C,4,Sample X28,0.069
C,5,Sample X29,0.15
C,6,Sample X30,0.114
C,7,Sample X31,0.11
C,8,Sample X32,0.072
C,9,Sample X33,0.088
C,10,Sample X34,0.074
C,11,Sample X35,0.061
C,12,Sample X36,0.002
D,1,Sample X37,0.004
D,2,Sample X38,0.16800000000000001
D,3,Sample X39,0.075
D,4,Sample X40,0.072
D,5,Sample X41,0.1
D,6,Sample X42,0.109
D,7,Sample X43,0.088
D,8,Sample X44,0.2
D,9,Sample X45,0.097
D,10,Sample X46,0.087
D,11,Sample X47,0.11899999999999999
D,12,Sample X48,0.074
E,1,Sample X49,0.006
E,2,Sample X50,0.121
E,3,Sample X51,0.086
E,4,Sample X52,0.073
E,5,Sample X53,0.14599999999999999
E,6,Sample X54,0.098
E,7,Sample X55,0.075
E,8,Sample X56,0.075
E,9,Sample X57,0.095
E,10,Sample X58,0.14699999999999999
E,11,Sample X59,0.064
E,12,Sample X60,0.14399999999999999
F,1,Sample X61,0.14499999999999999
F,2,Sample X62,0.11
F,3,Sample X63,0.096
F,4,Sample X64,0.13300000000000001
F,5,Sample X65,0.111
F,6,Sample X66,0.111
F,7,Sample X67,0.067
F,8,Sample X68,0.077
F,9,Sample X69,0.099
F,10,Sample X70,0.091
F,11,Sample X71,0.0005
F,12,Sample X72,-0.002
G,1,Sample X73,0.30199999999999999
G,2,Sample X74,0.14799999999999999
G,3,Sample X75,0.108
G,4,Sample X76,0.13
G,5,Sample X77,0.104
G,6,Sample X78,0.089
G,7,Sample X79,0.108
G,8,Sample X80,0.073
G,9,Sample X81,0.086
G,10,Sample X82,0.12
G,11,Sample X83,0.089
G,12,Sample X84,0.109
H,1,Sample X85,0.215
H,2,Sample X86,0.20599999999999999
H,3,Sample X87,0.113
H,4,Sample X88,0.14099999999999999
H,5,Sample X89,0.12
H,6,Sample X90,0.17799999999999999
H,7,Sample X91,0.076
H,8,Sample X92,0.14499999999999999
H,9,Sample X93,0.095
