User: USER,,,
Path: C:\Program Files\BMG\CLARIOstar\User\Data\,,,
Test ID: 126,,,
Test Name: Leila-Growth,,,
Date: 30/11/2019,,,
Time: 9:01:21 AM,,,
ID1: Plate 5 Vananz  n2 dilute 1 in 10 inPBS,,,
ID2: 191130,,,
ID3: infection HeLa 40000 real time cell death number 2,,,
Absorbance,,,Absorbance values are displayed as OD


"Well
Row","Well
Col",Content,Blank corrected based on Raw Data (600)
H,10,Blank B,
H,11,Blank B,
H,12,Blank B,
A,1,Sample X1,0.122
A,2,Sample X2,0.075
A,3,Sample X3,0.079
A,4,Sample X4,0.09
A,5,Sample X5,0.071
A,6,Sample X6,0.089
A,7,Sample X7,0.076
A,8,Sample X8,0.002
A,9,Sample X9,0.066
A,10,Sample X10,0.055
A,11,Sample X11,0.086
A,12,Sample X12,0.13600000000000001
B,1,Sample X13,0.053
B,2,Sample X14,0.049
B,3,Sample X15,0.028
B,4,Sample X16,0.046
B,5,Sample X17,0.049
B,6,Sample X18,0.035
B,7,Sample X19,0.043
B,8,Sample X20,0.05
B,9,Sample X21,0.037
B,10,Sample X22,0.044
B,11,Sample X23,0.042
B,12,Sample X24,0.06
C,1,Sample X25,0.088
C,2,Sample X26,0.045
C,3,Sample X27,0.051
C,4,Sample X28,0.031
C,5,Sample X29,0.053
C,6,Sample X30,0.049
C,7,Sample X31,0.046
C,8,Sample X32,0.031
C,9,Sample X33,0.027
C,10,Sample X34,0.048
C,11,Sample X35,0.031
C,12,Sample X36,-0.0007
D,1,Sample X37,0.0006
D,2,Sample X38,0.05
D,3,Sample X39,0.031
D,4,Sample X40,0.052
D,5,Sample X41,0.047
D,6,Sample X42,0.036
D,7,Sample X43,0.04
D,8,Sample X44,0.046
D,9,Sample X45,0.048
D,10,Sample X46,0.051
D,11,Sample X47,0.037
D,12,Sample X48,0.047
E,1,Sample X49,0.002
E,2,Sample X50,0.049
E,3,Sample X51,0.023
E,4,Sample X52,0.054
E,5,Sample X53,0.026
E,6,Sample X54,0.038
E,7,Sample X55,0.039
E,8,Sample X56,0.047
E,9,Sample X57,0.036
E,10,Sample X58,0.036
E,11,Sample X59,0.05
E,12,Sample X60,0.072
F,1,Sample X61,0.066
F,2,Sample X62,0.032
F,3,Sample X63,0.033
F,4,Sample X64,0.038
F,5,Sample X65,0.048
F,6,Sample X66,0.047
F,7,Sample X67,0.018
F,8,Sample X68,0.036
F,9,Sample X69,0.032
F,10,Sample X70,0.028
F,11,Sample X71,0.0002
F,12,Sample X72,0.002
G,1,Sample X73,0.069
G,2,Sample X74,0.046
G,3,Sample X75,0.041
G,4,Sample X76,0.041
G,5,Sample X77,0.05
G,6,Sample X78,0.034
G,7,Sample X79,0.041
G,8,Sample X80,0.04
G,9,Sample X81,0.032
G,10,Sample X82,0.081
G,11,Sample X83,0.049
G,12,Sample X84,0.068
H,1,Sample X85,0.108
H,2,Sample X86,0.083
H,3,Sample X87,0.073
H,4,Sample X88,0.07
H,5,Sample X89,0.079
H,6,Sample X90,0.079
H,7,Sample X91,0.072
H,8,Sample X92,0.054
H,9,Sample X93,0.089
