User: USER,,,
Path: C:\Program Files\BMG\CLARIOstar\User\Data\,,,
Test ID: 128,,,
Test Name: Leila-Growth,,,
Date: 5/12/2019,,,
Time: 11:55:24 AM,,,
ID1: Plate 6 Vananz  n1 diluted 1 in 10 in PBS,,,
ID2: 191205,,,
ID3: infection HeLa 40000 real time cell death number 2,,,
Absorbance,,,Absorbance values are displayed as OD


"Well
Row","Well
Col",Content,Blank corrected based on Raw Data (600)
H,10,Blank B,
H,11,Blank B,
H,12,Blank B,
A,1,Sample X1,0.374
A,2,Sample X2,0.26300000000000001
A,3,Sample X3,0.16200000000000001
A,4,Sample X4,0.17
A,5,Sample X5,0.004
A,6,Sample X6,0.24199999999999999
A,7,Sample X7,0.16
A,8,Sample X8,0.14899999999999999
A,9,Sample X9,0.153
A,10,Sample X10,0.247
A,11,Sample X11,0.107
A,12,Sample X12,0.39800000000000002
B,1,Sample X13,0.21
B,2,Sample X14,0.17499999999999999
B,3,Sample X15,0.161
B,4,Sample X16,0.17299999999999999
B,5,Sample X17,0.151
B,6,Sample X18,0.15
B,7,Sample X19,0.17799999999999999
B,8,Sample X20,0.16200000000000001
B,9,Sample X21,0.13100000000000001
B,10,Sample X22,0.129
B,11,Sample X23,0.121
B,12,Sample X24,0.22700000000000001
C,1,Sample X25,0.091
C,2,Sample X26,0.13700000000000001
C,3,Sample X27,0.14099999999999999
C,4,Sample X28,0.14199999999999999
C,5,Sample X29,0.14099999999999999
C,6,Sample X30,0.14499999999999999
C,7,Sample X31,0.093
C,8,Sample X32,0.127
C,9,Sample X33,0.127
C,10,Sample X34,0.109
C,11,Sample X35,0.099
C,12,Sample X36,0.13500000000000001
D,1,Sample X37,0.10299999999999999
D,2,Sample X38,0.158
D,3,Sample X39,0.126
D,4,Sample X40,0.13
D,5,Sample X41,0.13200000000000001
D,6,Sample X42,0.11899999999999999
D,7,Sample X43,0.124
D,8,Sample X44,0.14799999999999999
D,9,Sample X45,0.104
D,10,Sample X46,0.154
D,11,Sample X47,0.14000000000000001
D,12,Sample X48,0.14299999999999999
E,1,Sample X49,0.13600000000000001
E,2,Sample X50,0.16
E,3,Sample X51,0.216
E,4,Sample X52,0.127
E,5,Sample X53,0.14199999999999999
E,6,Sample X54,0.13500000000000001
E,7,Sample X55,0.002
E,8,Sample X56,0.16400000000000001
E,9,Sample X57,0.096
E,10,Sample X58,0.17199999999999999
E,11,Sample X59,0.11899999999999999
E,12,Sample X60,0.20599999999999999
F,1,Sample X61,0.14699999999999999
F,2,Sample X62,0.19900000000000001
F,3,Sample X63,0.121
F,4,Sample X64,0.13100000000000001
F,5,Sample X65,0.128
F,6,Sample X66,0.12
F,7,Sample X67,0.14799999999999999
F,8,Sample X68,0.13400000000000001
F,9,Sample X69,0.109
F,10,Sample X70,0.17599999999999999
F,11,Sample X71,0.14099999999999999
F,12,Sample X72,0.182
G,1,Sample X73,0.21299999999999999
G,2,Sample X74,0.14499999999999999
G,3,Sample X75,0.16900000000000001
G,4,Sample X76,0.14699999999999999
G,5,Sample X77,0.125
G,6,Sample X78,0.14499999999999999
G,7,Sample X79,0.128
G,8,Sample X80,0.154
G,9,Sample X81,0.17299999999999999
G,10,Sample X82,0.14000000000000001
G,11,Sample X83,0.14199999999999999
G,12,Sample X84,0.19
H,1,Sample X85,0.005
H,2,Sample X86,0.189
H,3,Sample X87,0.223
H,4,Sample X88,0.218
H,5,Sample X89,0.16600000000000001
H,6,Sample X90,0.14799999999999999
H,7,Sample X91,0.157
H,8,Sample X92,0.27400000000000002
H,9,Sample X93,0.16600000000000001
