User: USER,,,
Path: C:\Program Files\BMG\CLARIOstar\User\Data\,,,
Test ID: 334,,,
Test Name: Leila-Growth,,,
Date: 28/02/2020,,,
Time: 11:55:18 AM,,,
ID1: 200228 Plate M1 diluted 1 in 10 in PBS n1,,,
ID2: 200228,,,
ID3: infection HeLa 40000 real time cell death number 1,,,
Absorbance,,,Absorbance values are displayed as OD


"Well
Row","Well
Col",Content,Blank corrected based on Raw Data (600)
A,1,Sample X1,0.153
A,2,Sample X2,0.26100000000000001
A,3,Sample X3,0.068
A,4,Sample X4,0.22
A,5,Sample X5,0.098
A,6,Sample X6,0.068
A,7,Sample X7,0.251
A,8,Sample X8,0.029
A,9,Sample X9,0.35599999999999998
A,10,Sample X10,0.26900000000000002
A,11,Sample X11,0.014
A,12,Sample X12,0.41599999999999998
B,1,Sample X13,0.019
B,2,Sample X14,0.20799999999999999
B,3,Sample X15,0.018
B,4,Sample X16,0.28299999999999997
B,5,Sample X17,0.245
B,6,Sample X18,0.007
B,7,Sample X19,0.032
B,8,Sample X20,0.018
B,9,Sample X21,0.22600000000000001
B,10,Sample X22,0.29399999999999998
B,11,Sample X23,0.019
B,12,Sample X24,0.28699999999999998
C,1,Sample X25,0.017
C,2,Sample X26,0.056
C,3,Sample X27,0.14199999999999999
C,4,Sample X28,0.023
C,5,Sample X29,0.026
C,6,Sample X30,0.36699999999999999
C,7,Sample X31,0.032
C,8,Sample X32,0.105
C,9,Sample X33,0.081
C,10,Sample X34,0.017
C,11,Sample X35,0.32500000000000001
C,12,Sample X36,0.015
D,1,Sample X37,0.026
D,2,Sample X38,0.16500000000000001
D,3,Sample X39,0.33400000000000002
D,4,Sample X40,0.33400000000000002
D,5,Sample X41,0.019
D,6,Sample X42,0.000167
D,7,Sample X43,0.045
D,8,Sample X44,0.043
D,9,Sample X45,0.26900000000000002
D,10,Sample X46,0.34399999999999997
D,11,Sample X47,0.35499999999999998
D,12,Sample X48,0.216
E,1,Sample X49,0.035
E,2,Sample X50,0.39400000000000002
E,3,Sample X51,0.30199999999999999
E,4,Sample X52,0.40200000000000002
E,5,Sample X53,0.005
E,6,Sample X54,0.35699999999999998
E,7,Sample X55,0.048
E,8,Sample X56,0.27800000000000002
E,9,Sample X57,0.28199999999999997
E,10,Sample X58,0.26800000000000002
E,11,Sample X59,0.28399999999999997
E,12,Sample X60,0.41399999999999998
F,1,Sample X61,0.314
F,2,Sample X62,0.33700000000000002
F,3,Sample X63,0.17199999999999999
F,4,Sample X64,0.14599999999999999
F,5,Sample X65,0.015
F,6,Sample X66,0.014
F,7,Sample X67,0.13600000000000001
F,8,Sample X68,0.248
F,9,Sample X69,0.27400000000000002
F,10,Sample X70,0.125
F,11,Sample X71,0.016
F,12,Sample X72,0.01
G,1,Sample X73,0.024
G,2,Sample X74,0.29199999999999998
G,3,Sample X75,0.24
G,4,Sample X76,0.053
G,5,Sample X77,0.016
G,6,Sample X78,0.17299999999999999
G,7,Sample X79,0.009
G,8,Sample X80,0.23200000000000001
G,9,Sample X81,0.079
G,10,Sample X82,0.038
G,11,Sample X83,0.05
G,12,Sample X84,0.027
H,1,Sample X85,0.063
H,2,Sample X86,0.034
H,3,Sample X87,0.17399999999999999
H,4,Sample X88,0.311
H,5,Sample X89,0.042
H,6,Sample X90,0.009
H,7,Sample X91,0.01
H,8,Sample X92,0.36399999999999999
H,9,Sample X93,0.013
H,10,Blank B,
H,11,Blank B,
H,12,Blank B,
