User: USER,,,,,
Path: C:\Program Files\BMG\CLARIOstar\User\Data\,,,,,
Test ID: 6964,,,,,
Test Name: LDH,,,,,
Date: 31/08/2019,,,,,
Time: 3:52:03 PM,,,,,
ID1: LDH assay 24h VANANZ Plate 2 190831 HeLa post-PI cell death assay,,,,,
ID2: Staph infection,,,,,
ID3: 190831,,,,,
Absorbance,,,Absorbance values are displayed as OD,,


"Well
Row","Well
Col",Content,Raw Data (490),Blank corrected based on Raw Data (490),Average over replicates based on Blank corrected (490)
A,5,Blank B,0.501,,
E,7,Blank B,0.503,,
H,1,Blank B,0.54,,
H,10,Positive control P,3.5,2.9849999999999999,1.859
H,11,Positive control P,3.5,2.9849999999999999,1.859
H,12,Positive control P,0.121,-0.39300000000000002,1.859
A,1,Sample X1,1.2310000000000001,0.71699999999999997,0.71699999999999997
A,2,Sample X2,0.96699999999999997,0.45200000000000001,0.45200000000000001
A,3,Sample X3,1.64,1.125,1.125
A,4,Sample X4,0.58899999999999997,0.074,0.074
A,6,Sample X6,0.58699999999999997,0.072,0.072
A,7,Sample X7,2.1280000000000001,1.6140000000000001,1.6140000000000001
A,8,Sample X8,1.528,1.014,1.014
A,9,Sample X9,0.93400000000000005,0.41899999999999998,0.41899999999999998
A,10,Sample X10,1.7789999999999999,1.2649999999999999,1.2649999999999999
A,11,Sample X11,0.57499999999999996,0.06,0.06
A,12,Sample X12,1.1890000000000001,0.67400000000000004,0.67400000000000004
B,1,Sample X13,1.369,0.85399999999999998,0.85399999999999998
B,2,Sample X14,1.89,1.375,1.375
B,3,Sample X15,1.0569999999999999,0.54300000000000004,0.54300000000000004
B,4,Sample X16,0.80400000000000005,0.28899999999999998,0.28899999999999998
B,5,Sample X17,0.98799999999999999,0.47399999999999998,0.47399999999999998
B,6,Sample X18,0.47799999999999998,-0.036,-0.036
B,7,Sample X19,0.49099999999999999,-0.024,-0.024
B,8,Sample X20,0.54300000000000004,0.029,0.029
B,9,Sample X21,0.51600000000000001,0.002,0.002
B,10,Sample X22,1.0349999999999999,0.52,0.52
B,11,Sample X23,0.97099999999999997,0.45600000000000002,0.45600000000000002
B,12,Sample X24,0.996,0.48099999999999998,0.48099999999999998
C,1,Sample X25,0.55200000000000005,0.037,0.037
C,2,Sample X26,0.54200000000000004,0.028,0.028
C,3,Sample X27,1.0429999999999999,0.52800000000000002,0.52800000000000002
C,4,Sample X28,0.996,0.48199999999999998,0.48199999999999998
C,5,Sample X29,0.873,0.35899999999999999,0.35899999999999999
C,6,Sample X30,2.0049999999999999,1.49,1.49
C,7,Sample X31,1.151,0.63600000000000001,0.63600000000000001
C,8,Sample X32,1.456,0.94099999999999995,0.94099999999999995
C,9,Sample X33,1.649,1.1339999999999999,1.1339999999999999
C,10,Sample X34,0.72099999999999997,0.20599999999999999,0.20599999999999999
C,11,Sample X35,0.81499999999999995,0.3,0.3
C,12,Sample X36,1.5629999999999999,1.048,1.048
D,1,Sample X37,1.454,0.94,0.94
D,2,Sample X38,0.84399999999999997,0.33,0.33
D,3,Sample X39,0.76200000000000001,0.247,0.247
D,4,Sample X40,0.86599999999999999,0.35099999999999998,0.35099999999999998
