User: USER,,,,
Path: C:\Program Files\BMG\CLARIOstar\User\Data\,,,,
Test ID: 7061,,,,
Test Name: LDH,,,,
Date: 21/09/2019,,,,
Time: 2:48:40 PM,,,,
ID1: LDH assay 24h VANANZ Plate 2 190921  HeLa post-PI cell death assay n4,,,,
"ID2: Staph infection on 20,000 cells",,,,
ID3: 190921,,,,
Absorbance,,,Absorbance values are displayed as OD,


"Well
Row","Well
Col",Content,Raw Data (490),Blank corrected based on Raw Data (490)
A,5,Blank B,0.443,
E,7,Blank B,0.48099999999999998,
H,1,Blank B,0.53400000000000003,
H,10,Positive control P,1.7450000000000001,1.2589999999999999
H,11,Positive control P,1.7,1.214
H,12,Positive control P,2.3010000000000002,1.8149999999999999
A,1,Sample X1,1.8979999999999999,1.4119999999999999
A,2,Sample X2,1.6259999999999999,1.1399999999999999
A,3,Sample X3,1.8580000000000001,1.3720000000000001
A,4,Sample X4,0.82799999999999996,0.34200000000000003
A,6,Sample X6,0.78200000000000003,0.29599999999999999
A,7,Sample X7,1.631,1.145
A,8,Sample X8,1.6020000000000001,1.1160000000000001
A,9,Sample X9,1.5980000000000001,1.1120000000000001
A,10,Sample X10,1.3280000000000001,0.84199999999999997
A,11,Sample X11,0.92200000000000004,0.436
A,12,Sample X12,1.0760000000000001,0.59
B,1,Sample X13,1.8819999999999999,1.3959999999999999
B,2,Sample X14,1.728,1.242
B,3,Sample X15,1.7549999999999999,1.2689999999999999
B,4,Sample X16,1.6220000000000001,1.1359999999999999
B,5,Sample X17,1.054,0.56799999999999995
B,6,Sample X18,0.39600000000000002,-0.09
B,7,Sample X19,0.88400000000000001,0.39800000000000002
B,8,Sample X20,0.51100000000000001,0.025
B,9,Sample X21,0.51500000000000001,0.029
B,10,Sample X22,1.706,1.22
B,11,Sample X23,1.22,0.73399999999999999
B,12,Sample X24,1.415,0.92900000000000005
C,1,Sample X25,1.3129999999999999,0.82699999999999996
C,2,Sample X26,0.46800000000000003,-0.018
C,3,Sample X27,1.944,1.458
C,4,Sample X28,1.6180000000000001,1.1319999999999999
C,5,Sample X29,1.246,0.76
C,6,Sample X30,1.696,1.21
C,7,Sample X31,1.19,0.70399999999999996
C,8,Sample X32,1.415,0.92900000000000005
C,9,Sample X33,1.32,0.83399999999999996
C,10,Sample X34,1.4570000000000001,0.97099999999999997
C,11,Sample X35,1.534,1.048
C,12,Sample X36,1.52,1.034
D,1,Sample X37,1.774,1.288
D,2,Sample X38,1.923,1.4370000000000001
D,3,Sample X39,1.623,1.137
D,4,Sample X40,1.532,1.046
D,5,Sample X41,0.504,0.018
D,6,Sample X42,0.44800000000000001,-0.038
D,7,Sample X43,1.649,1.163
D,8,Sample X44,0.92700000000000005,0.441
D,9,Sample X45,1.5880000000000001,1.1020000000000001
D,10,Sample X46,1.393,0.90700000000000003
D,11,Sample X47,1.4510000000000001,0.96499999999999997
D,12,Sample X48,1.615,1.129
E,1,Sample X49,1.625,1.139
E,2,Sample X50,1.7070000000000001,1.2210000000000001
E,3,Sample X51,1.627,1.141
E,4,Sample X52,1.5129999999999999,1.0269999999999999
E,5,Sample X53,0.49,0.004
E,6,Sample X54,1.6759999999999999,1.19
E,8,Sample X56,1.3220000000000001,0.83599999999999997
E,9,Sample X57,1.5629999999999999,1.077
E,10,Sample X58,0.6,0.114
E,11,Sample X59,1.6819999999999999,1.196
E,12,Sample X60,1.8160000000000001,1.33
F,1,Sample X61,1.0740000000000001,0.58799999999999997
F,2,Sample X62,1.8740000000000001,1.3879999999999999
F,3,Sample X63,1.583,1.097
F,4,Sample X64,1.907,1.421
F,5,Sample X65,1.623,1.137
F,6,Sample X66,1.7010000000000001,1.2150000000000001
F,7,Sample X67,1.494,1.008
F,8,Sample X68,1.339,0.85299999999999998
F,9,Sample X69,1.556,1.07
F,10,Sample X70,1.323,0.83699999999999997
F,11,Sample X71,1.5860000000000001,1.1000000000000001
F,12,Sample X72,1.6910000000000001,1.2050000000000001
G,1,Sample X73,1.3140000000000001,0.82799999999999996
G,2,Sample X74,1.0149999999999999,0.52900000000000003
G,3,Sample X75,1.8420000000000001,1.3560000000000001
G,4,Sample X76,0.42699999999999999,-0.059
G,5,Sample X77,1.645,1.159
G,6,Sample X78,1.538,1.052
G,7,Sample X79,0.55900000000000005,0.073
G,8,Sample X80,1.3169999999999999,0.83099999999999996
G,9,Sample X81,1.272,0.78600000000000003
G,10,Sample X82,1.167,0.68100000000000005
G,11,Sample X83,1.7230000000000001,1.2370000000000001
G,12,Sample X84,2.1869999999999998,1.7010000000000001
H,2,Sample X86,0.51800000000000002,0.032
H,3,Sample X87,1.8360000000000001,1.35
H,4,Sample X88,1.659,1.173
H,5,Sample X89,1.323,0.83699999999999997
H,6,Sample X90,1.0289999999999999,0.54300000000000004
H,7,Sample X91,1.413,0.92700000000000005
H,8,Sample X92,1.3169999999999999,0.83099999999999996
H,9,Sample X93,1.52,1.034
