User: USER,,,,
Path: C:\Program Files\BMG\CLARIOstar\User\Data\,,,,
Test ID: 7067,,,,
Test Name: LDH,,,,
Date: 24/09/2019,,,,
Time: 3:41:19 PM,,,,
ID1: LDH assay 24h VANANZ Plate 3 190924  HeLa post-PI cell death assay n5,,,,
ID2: Staph infection,,,,
ID3: 190924,,,,
Absorbance,,,Absorbance values are displayed as OD,


"Well
Row","Well
Col",Content,Blank corrected based on Raw Data (490),Raw Data (490)
A,5,Blank B,,0.30399999999999999
E,7,Blank B,,0.28299999999999997
H,1,Blank B,,0.372
H,10,Positive control P,0.46,0.77900000000000003
H,11,Positive control P,1.1000000000000001,1.42
H,12,Positive control P,1.304,1.623
A,1,Sample X1,0.255,0.57399999999999995
A,2,Sample X2,0.247,0.56599999999999995
A,3,Sample X3,0.39300000000000002,0.71199999999999997
A,4,Sample X4,0.42699999999999999,0.746
A,6,Sample X6,0.47899999999999998,0.79800000000000004
A,7,Sample X7,0.066,0.38600000000000001
A,8,Sample X8,0.51,0.83
A,9,Sample X9,0.42699999999999999,0.746
A,10,Sample X10,0.93100000000000005,1.25
A,11,Sample X11,0.307,0.626
A,12,Sample X12,0.07,0.38900000000000001
B,1,Sample X13,0.17,0.48899999999999999
B,2,Sample X14,0.13800000000000001,0.45800000000000002
B,3,Sample X15,0.062,0.38100000000000001
B,4,Sample X16,0.82799999999999996,1.147
B,5,Sample X17,0.224,0.54400000000000004
B,6,Sample X18,-0.013,0.30599999999999999
B,7,Sample X19,0.441,0.76
B,8,Sample X20,0.24299999999999999,0.56200000000000006
B,9,Sample X21,0.22700000000000001,0.54600000000000004
B,10,Sample X22,0.037,0.35699999999999998
B,11,Sample X23,0.41199999999999998,0.73099999999999998
B,12,Sample X24,0.39400000000000002,0.71299999999999997
C,1,Sample X25,0.33100000000000002,0.65
C,2,Sample X26,0.022,0.34100000000000003
C,3,Sample X27,0.028,0.34699999999999998
C,4,Sample X28,0.113,0.432
C,5,Sample X29,0.19800000000000001,0.51700000000000002
C,6,Sample X30,-0.008,0.311
C,7,Sample X31,0.439,0.75900000000000001
C,8,Sample X32,0.25700000000000001,0.57599999999999996
C,9,Sample X33,0.216,0.53600000000000003
C,10,Sample X34,0.084,0.40400000000000003
C,11,Sample X35,0.57099999999999995,0.89100000000000001
C,12,Sample X36,0.59399999999999997,0.91300000000000003
D,1,Sample X37,0.072,0.39200000000000002
D,2,Sample X38,0.051,0.37
D,3,Sample X39,0.59699999999999998,0.91700000000000004
D,4,Sample X40,-0.024,0.29499999999999998
D,5,Sample X41,0.18,0.5
D,6,Sample X42,-0.013,0.30599999999999999
D,7,Sample X43,0.125,0.44400000000000001
D,8,Sample X44,0.251,0.56999999999999995
D,9,Sample X45,0.039,0.35799999999999998
D,10,Sample X46,0.039,0.35799999999999998
D,11,Sample X47,0.052,0.372
D,12,Sample X48,0.053,0.373
E,1,Sample X49,0.501,0.82
E,2,Sample X50,-0.021,0.29899999999999999
E,3,Sample X51,-0.029,0.28999999999999998
E,4,Sample X52,-0.002,0.318
E,5,Sample X53,-0.018,0.30099999999999999
E,6,Sample X54,0.016,0.33500000000000002
E,8,Sample X56,0.088,0.40799999999999997
E,9,Sample X57,0.061,0.38
E,10,Sample X58,0.75,1.069
E,11,Sample X59,0.188,0.50700000000000001
E,12,Sample X60,-0.011,0.309
F,1,Sample X61,0.38900000000000001,0.70799999999999996
F,2,Sample X62,-0.023,0.29599999999999999
F,3,Sample X63,0.43,0.749
F,4,Sample X64,0.311,0.63
F,5,Sample X65,0.000367,0.32
F,6,Sample X66,0.041,0.36
F,7,Sample X67,0.53700000000000003,0.85599999999999998
F,8,Sample X68,0.082,0.40200000000000002
F,9,Sample X69,0.055,0.375
F,10,Sample X70,0.53800000000000003,0.85699999999999998
F,11,Sample X71,0.496,0.81599999999999995
F,12,Sample X72,0.017,0.33700000000000002
G,1,Sample X73,0.31900000000000001,0.63800000000000001
G,2,Sample X74,0.35599999999999998,0.67500000000000004
G,3,Sample X75,0.098,0.41699999999999998
G,4,Sample X76,0.083,0.40200000000000002
G,5,Sample X77,0.037,0.35599999999999998
G,6,Sample X78,0.51900000000000002,0.83899999999999997
G,7,Sample X79,0.42399999999999999,0.74399999999999999
G,8,Sample X80,0.094,0.41299999999999998
G,9,Sample X81,0.30499999999999999,0.624
G,10,Sample X82,0.36399999999999999,0.68400000000000005
G,11,Sample X83,0.19500000000000001,0.51500000000000001
G,12,Sample X84,0.45800000000000002,0.77700000000000002
H,2,Sample X86,0.13400000000000001,0.45300000000000001
H,3,Sample X87,0.246,0.56499999999999995
H,4,Sample X88,0.314,0.63300000000000001
H,5,Sample X89,0.626,0.94499999999999995
H,6,Sample X90,0.222,0.54200000000000004
H,7,Sample X91,0.44,0.75900000000000001
H,8,Sample X92,0.036,0.35499999999999998
H,9,Sample X93,0.16900000000000001,0.48799999999999999
