User: USER,,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data,,,
Test ID: 58,,,
Test Name: LD PI Assay 1 read endpoint,,,
Date: 9/6/2019,,,
Time: 12:31:31 PM,,,
ID1: 190905 plate 2 vananz endpoint,,,
ID2: HeLa,,,
ID3: 1st,,,
"Fluorescence (FI), multichromatic",,,


Well,Content, Raw Data (535-15/617-20 1), Raw Data (493-15/636-15 2)
A01,Sample X1,24425,27194
A02,Sample X2,24437,26939
A03,Sample X3,25861,27497
A04,Sample X4,23450,26949
A05,Sample X5,22860,26835
A06,Sample X6,25195,26562
A07,Sample X7,28902,28192
A08,Sample X8,26595,27388
A09,Sample X9,26939,26968
A10,Sample X10,29393,28334
A11,Sample X11,25411,27567
A12,Sample X12,26387,27806
B01,Sample X13,23323,26330
B02,Sample X14,24620,26997
B03,Sample X15,23484,26896
B04,Sample X16,23067,26376
B05,Sample X17,30503,28848
B06,Sample X18,22860,26497
B07,Sample X19,22363,26180
B08,Sample X20,22044,26154
B09,Sample X21,22084,25850
B10,Sample X22,23545,26510
B11,Sample X23,25238,27258
B12,Sample X24,25604,27032
C01,Sample X25,22456,25844
C02,Sample X26,22676,25835
C03,Sample X27,22208,25797
C04,Sample X28,23122,25998
C05,Sample X29,23930,26232
C06,Sample X30,25551,26765
C07,Sample X31,21710,25763
C08,Sample X32,24690,26634
C09,Sample X33,23400,26401
C10,Sample X34,22595,26161
C11,Sample X35,23646,26343
C12,Sample X36,29228,28750
D01,Sample X37,23437,26091
D02,Sample X38,22048,25941
D03,Sample X39,22485,26023
D04,Sample X40,21309,25693
D05,Sample X41,21700,25638
D06,Sample X42,21856,25666
D07,Sample X43,22617,25917
D08,Sample X44,21742,25614
D09,Sample X45,23410,26403
D10,Sample X46,22187,26154
D11,Sample X47,23093,26651
D12,Sample X48,24592,27285
E01,Sample X49,25684,26947
E02,Sample X50,24971,26548
E03,Sample X51,22433,25747
E04,Sample X52,21453,25702
E05,Sample X53,21542,25256
E06,Sample X54,24483,26241
E07,Sample X55,20819,25261
E08,Sample X56,21591,25641
E09,Sample X57,23072,26071
E10,Sample X58,22535,26033
E11,Sample X59,26091,27374
E12,Sample X60,24746,27128
F01,Sample X61,28683,27743
F02,Sample X62,22653,25573
F03,Sample X63,22251,25710
F04,Sample X64,22685,26119
F05,Sample X65,23282,26038
F06,Sample X66,23423,26234
F07,Sample X67,22956,25971
F08,Sample X68,21159,25510
F09,Sample X69,22915,26396
F10,Sample X70,24924,26999
F11,Sample X71,26546,27802
F12,Sample X72,25289,27059
G01,Sample X73,22735,26319
G02,Sample X74,29114,27902
G03,Sample X75,24017,26478
G04,Sample X76,20822,25504
G05,Sample X77,22646,25745
G06,Sample X78,22638,26210
G07,Sample X79,21238,25956
G08,Sample X80,20900,25631
G09,Sample X81,23304,26319
G10,Sample X82,20642,25793
G11,Sample X83,22792,26584
G12,Sample X84,26510,27622
H01,Sample X85,21318,25705
H02,Sample X86,21575,25828
H03,Sample X87,24901,27158
H04,Sample X88,22562,26039
H05,Sample X89,21146,25565
H06,Sample X90,20979,25659
H07,Sample X91,20112,25283
H08,Sample X92,20551,25633
H09,Sample X93,21047,25826
H10,Sample X94,47688,34114
H11,Sample X95,49277,35142
H12,Sample X96,47360,44382
