Well,Content, Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1)
,Time,0 h ,0 h 6 min,0 h 12 min,0 h 18 min,0 h 24 min,0 h 30 min,0 h 36 min,0 h 42 min,0 h 48 min,0 h 54 min,1 h ,1 h 6 min,1 h 12 min,1 h 18 min,1 h 24 min,1 h 30 min,1 h 36 min,1 h 42 min,1 h 48 min,1 h 54 min,2 h ,2 h 6 min,2 h 12 min,2 h 18 min,2 h 24 min,2 h 30 min,2 h 36 min,2 h 42 min,2 h 48 min,2 h 54 min,3 h ,3 h 6 min,3 h 12 min,3 h 18 min,3 h 24 min,3 h 30 min,3 h 36 min,3 h 42 min,3 h 48 min,3 h 54 min,4 h ,4 h 6 min,4 h 12 min,4 h 18 min,4 h 24 min,4 h 30 min,4 h 36 min,4 h 42 min,4 h 48 min,4 h 54 min,5 h ,5 h 6 min,5 h 12 min,5 h 18 min,5 h 24 min,5 h 30 min,5 h 36 min,5 h 42 min,5 h 48 min,5 h 54 min,6 h ,6 h 6 min,6 h 12 min,6 h 18 min,6 h 24 min,6 h 30 min,6 h 36 min,6 h 42 min,6 h 48 min,6 h 54 min,7 h ,7 h 6 min,7 h 12 min,7 h 18 min,7 h 24 min,7 h 30 min,7 h 36 min,7 h 42 min,7 h 48 min,7 h 54 min,8 h ,8 h 6 min,8 h 12 min,8 h 18 min,8 h 24 min,8 h 30 min,8 h 36 min,8 h 42 min,8 h 48 min,8 h 54 min,9 h ,9 h 6 min,9 h 12 min,9 h 18 min,9 h 24 min,9 h 30 min,9 h 36 min,9 h 42 min,9 h 48 min,9 h 54 min,10 h ,10 h 6 min,10 h 12 min,10 h 18 min,10 h 24 min,10 h 30 min,10 h 36 min,10 h 42 min,10 h 48 min,10 h 54 min,11 h ,11 h 6 min,11 h 12 min,11 h 18 min,11 h 24 min,11 h 30 min,11 h 36 min,11 h 42 min,11 h 48 min,11 h 54 min,12 h ,12 h 6 min,12 h 12 min,12 h 18 min,12 h 24 min,12 h 30 min,12 h 36 min,12 h 42 min,12 h 48 min,12 h 54 min,13 h ,13 h 6 min,13 h 12 min,13 h 18 min,13 h 24 min,13 h 30 min,13 h 36 min,13 h 42 min,13 h 48 min,13 h 54 min,14 h ,14 h 6 min,14 h 12 min,14 h 18 min,14 h 24 min,14 h 30 min,14 h 36 min,14 h 42 min,14 h 48 min,14 h 54 min,15 h ,15 h 6 min,15 h 12 min,15 h 18 min,15 h 24 min,15 h 30 min,15 h 36 min,15 h 42 min,15 h 48 min,15 h 54 min,16 h ,16 h 6 min,16 h 12 min,16 h 18 min,16 h 24 min,16 h 30 min,16 h 36 min,16 h 42 min,16 h 48 min,16 h 54 min,17 h ,17 h 6 min,17 h 12 min,17 h 18 min,17 h 24 min,17 h 30 min,17 h 36 min,17 h 42 min,17 h 48 min,17 h 54 min,18 h ,18 h 6 min,18 h 12 min,18 h 18 min,18 h 24 min,18 h 30 min,18 h 36 min,18 h 42 min,18 h 48 min,18 h 54 min,19 h ,19 h 6 min,19 h 12 min,19 h 18 min,19 h 24 min,19 h 30 min,19 h 36 min,19 h 42 min,19 h 48 min,19 h 54 min,20 h ,20 h 6 min,20 h 12 min,20 h 18 min,20 h 24 min,20 h 30 min,20 h 36 min,20 h 42 min,20 h 48 min,20 h 54 min,21 h 
A01,Sample X1,27434,26331,25061,23819,23740,23699,23028,23509,23436,22872,23106,23231,23350,23390,23113,23650,24125,23596,23889,23583,23708,23685,24446,23900,23763,24581,23596,23963,24338,23676,23592,24209,24141,24187,23992,23984,24197,24491,24728,24242,24041,23951,24091,24676,24329,24391,24245,24636,24606,24402,24784,24769,24618,24291,24387,23973,23994,24560,24696,24708,24431,24652,24322,24327,24764,24740,24579,24590,24534,24265,24122,24098,24759,24433,24277,24479,24532,24386,24474,24294,24394,24298,24139,24736,24726,24655,24703,24571,24812,24487,24804,24797,24362,24529,24569,24796,24810,24587,24777,24749,24757,24680,24746,24567,25068,24367,24864,24460,24998,24537,24999,24450,24928,24921,24886,24420,24685,24848,24625,24772,25160,25058,24787,25121,24734,24761,24882,24930,24997,25049,25070,24734,24893,24972,24611,24989,24734,24992,25125,25084,24744,24838,24879,25374,25185,24793,25090,25190,25027,25095,25344,24980,25260,25018,25006,25315,25362,25095,24774,25027,25075,25182,25244,24957,25238,25123,25411,25633,25445,25248,25370,25337,25144,25068,25390,25547,25543,25350,24961,24984,25206,25219,25351,25420,25100,24966,25369,25422,25449,25147,25425,25471,25244,25075,25202,25269,25302,25147,25404,25454,25302,25122,25089,25493,24873,25370,25258,25509,25586,25097,25451
A02,Sample X2,27092,25714,24094,23485,23495,23459,23433,23045,23225,23107,23403,22516,22894,22868,23162,23142,23067,23342,23651,23216,23269,23066,23201,23209,23257,23152,23343,22680,23021,23120,23469,23237,22983,23270,23330,22973,23483,23542,23364,23638,23497,23835,23596,23208,23870,23841,23710,23641,24021,23918,24382,23788,23842,24079,24107,23939,24204,24235,24365,24242,23935,24418,24254,24453,24296,24395,24739,24541,24505,24088,24187,24501,24548,24946,24679,24492,24750,24461,24775,24937,24513,24919,24801,24665,24545,24984,24743,25173,24736,25177,24892,25059,24789,25106,25286,24901,24584,24681,24758,24832,25068,25133,25213,25238,25184,24993,25171,25150,25105,25152,25030,24859,25080,25187,25376,24940,25068,25054,25160,25177,25709,25128,25150,25291,24879,25089,24993,25040,24965,25393,25389,25213,25602,24825,25227,25545,25262,24990,25377,25399,25412,25042,25287,25211,25377,25648,25200,25477,25025,25754,25667,25411,25739,25309,25540,25508,25923,25066,25219,25408,25593,25660,25395,25532,25643,25569,25403,25514,25783,25925,25888,25102,25618,25693,25739,25764,25836,26031,25880,25821,25807,25906,25589,25532,26178,25921,25814,25582,25666,25351,25560,25540,25958,25645,25884,25280,25676,25682,25430,25761,25703,25567,25530,25647,25685,25683,25641,25653,25958,25272,25890
A03,Sample X3,27328,25882,24757,23584,23735,23110,23168,23137,23035,22980,22838,22861,23153,22984,22890,23553,23104,23652,22785,22977,23325,22834,23120,23035,22844,22929,23958,23150,23030,22979,23493,22906,23601,23671,23471,23492,22817,24194,23440,23567,23824,23450,23277,23387,22934,23722,23232,23649,23586,23041,24045,24108,23624,23177,23865,23641,23775,23383,23462,23949,23848,23190,23487,23384,23939,23901,23807,23746,24130,23945,23803,23757,24078,23982,23661,23926,23914,23679,23663,23757,23966,23988,24046,24067,24156,24152,24446,24053,24026,24675,24263,24504,24183,24218,23987,24529,24092,24388,24219,24385,24670,24622,24450,24040,25224,24738,24351,24423,24264,24492,24429,24437,24741,24313,24480,24584,24677,24472,25031,24378,24325,24530,24670,24650,24695,25040,24931,24959,24448,24884,24831,24640,24756,24827,24693,25169,24626,25130,24907,25017,24838,24716,24963,24986,24774,25167,24946,24893,25144,24760,25125,25306,25152,25038,25144,24956,25097,25613,25113,25402,25087,25361,25244,25214,24763,25174,25325,25174,25045,25684,25319,24944,25368,25415,25438,25381,25404,25320,25335,25414,25305,25742,25418,25710,25256,25555,25161,25496,25251,25270,25756,25309,25500,25108,24798,25132,25396,25481,25313,25555,25159,25203,24958,25747,25408,25541,24992,25210,25620,25557,25790
A04,Sample X4,27807,27756,26247,25078,24652,25063,24992,24173,23990,24082,24890,24280,25098,25063,24431,23843,24517,25112,25365,25157,25286,24900,24236,24392,26119,24907,24737,24594,24300,25431,24734,25260,24639,24467,24508,24567,24366,25329,24504,24031,24238,24411,24310,25097,24541,25082,24795,24767,24482,24776,24749,24807,24381,24890,24489,25447,25299,24516,24388,24471,25580,24741,24811,25199,25046,25477,24754,24925,25431,25255,25383,25307,24750,25460,25126,25358,25009,25270,25192,25431,25236,25188,25643,25456,25072,25051,25454,25474,25343,25120,25388,25665,25348,25457,25202,25697,25836,25315,25828,25549,25183,25395,25497,25165,25327,25485,25297,25258,25489,25598,25665,25741,25586,25626,25659,25806,25748,25353,25184,25498,25439,25742,25656,25442,25505,25568,25710,25574,25745,26012,25619,25519,25479,25835,25548,25623,26144,25718,25984,25738,26089,25604,25499,25981,26024,25870,25535,25758,25840,25348,25673,25739,26126,25839,25524,25599,25501,25898,26394,26069,25269,26419,25631,25970,25813,25825,25942,25440,25868,25412,26164,25754,26003,25835,25998,25698,26350,25633,25954,26021,25855,26141,25813,25833,25896,26298,26036,25478,25518,25962,26135,25980,25814,25975,25927,26064,25987,25651,25868,25940,25673,25987,26241,25757,25626,26243,26162,26241,25724,25988,26267
A05,Sample X5,28502,27645,25854,24674,24564,24431,24672,24083,23991,23980,24390,23853,23901,24015,24025,24576,23536,23859,23849,23460,23956,24237,23741,24202,23600,23582,23960,23380,23727,23732,24021,23855,24072,24086,24009,24102,23902,24810,23885,24010,23895,24305,24315,24731,24231,23785,24267,24049,24353,24347,24372,24602,24382,24012,24599,24354,24681,24395,24328,24614,24335,24648,24662,24553,24275,24697,24547,24873,24702,24712,24818,24944,24855,24928,24463,24535,24605,24713,24483,24550,25194,25351,25003,24611,24664,25246,25222,25165,25002,25034,25131,24807,25334,25322,24966,25282,25116,24716,24934,25274,25154,25425,25695,25287,25222,25304,25271,25454,25397,25344,24761,25283,25776,25367,25125,25380,25465,25391,25223,25176,25236,25380,25427,25357,25608,25354,25516,25285,25407,25466,25188,25685,25556,25589,25299,25708,25867,25470,25757,25434,25371,25340,25477,25770,25785,25825,25864,25803,25801,25369,25990,25635,25633,25529,25632,25663,25680,25834,25659,25568,25937,25745,25829,25532,25768,25392,26158,25716,25844,26076,25945,25600,25854,25676,25491,25690,25771,25861,25777,25939,25359,25638,26017,26129,25817,26072,25355,25557,25330,25336,25891,25986,25646,25815,25496,26170,25466,25694,25905,25621,25626,25926,25897,25523,25692,25754,25423,25630,25902,25727,25926
A06,Sample X6,28460,26919,25443,25326,24696,24163,24257,23895,23891,24160,23924,23567,23673,23983,23896,24024,23593,24036,23844,23839,24169,24448,24503,24533,24185,23964,24402,24842,24633,25044,24387,24925,24681,24750,25062,24625,24411,25216,24776,24483,24915,24694,25067,24743,24585,24925,24957,24879,24890,24806,24788,25300,24873,24910,24405,24923,25070,24928,25097,25008,25260,25119,25051,25083,25454,25222,25231,25182,24933,25218,25279,25234,25215,25119,25507,25696,25542,24778,25499,25294,25528,25644,25630,25334,25414,25386,25206,25636,25591,25676,25357,25522,25474,25580,25550,25760,25511,25440,25651,25269,25560,25977,25696,25676,25549,25586,25594,25924,25697,25376,25352,25487,25728,25723,25390,25527,25947,25611,25608,25440,25233,25569,25368,25918,26001,25554,25656,25333,25691,25831,25356,25302,25476,25807,25489,25561,25943,25701,25872,25771,25478,25442,25578,25786,25638,25994,25712,25805,25592,25829,25401,25450,25822,25523,25764,25010,25783,25760,25735,25721,25826,25807,25773,25678,25734,25662,25506,25549,25841,25781,25956,26231,25461,26174,25994,25784,26171,26081,25923,25709,25288,25942,25976,25541,25369,25425,26034,25766,25900,25826,26154,25990,25664,26093,25767,25814,26073,26025,25884,25795,25757,25622,25798,25903,25556,25611,26003,25498,25652,25662,25662
A07,Sample X7,29114,27695,26216,25113,25883,24830,24759,24619,24394,24588,24756,24559,24221,24685,24258,24154,24918,25082,24308,24123,24670,24536,25238,24975,25066,24371,24666,24705,24539,25371,24799,24839,25023,24238,25332,24937,24874,24737,24736,24708,24675,25776,25080,25408,25631,24277,25518,24774,24845,25047,24766,24711,25411,24940,25291,24725,25483,25050,25231,25026,24905,25227,25120,25349,25851,26012,25750,25903,25831,26229,26117,26597,26664,26408,26501,26377,26406,26582,27071,26585,27071,26847,26924,26975,27264,26968,27542,27260,27565,27712,26933,27857,27869,27353,27676,27839,27692,27571,27817,27835,27542,28077,27730,27913,27778,28057,28295,27807,28332,28257,28534,28129,28741,28645,28421,28310,28826,28323,28230,28789,27913,28392,28197,28598,28384,28299,28487,28519,28767,28522,28541,29076,28318,28786,28545,28440,28817,28603,28676,28535,28538,28370,28252,28893,28903,28908,28314,29092,28676,28483,28389,28662,28651,29073,28707,28823,28711,29113,28816,29079,28592,28949,28760,28960,28542,28761,28284,28746,28602,28747,28833,28468,28865,28476,28815,28706,28650,28527,28796,28529,28779,29056,28687,29153,28642,28991,28359,28164,28377,29025,28669,28360,28417,28419,28394,28665,27963,28646,28169,28304,28350,28304,28766,27759,28533,28343,28157,28031,28380,28463,28617
A08,Sample X8,28506,27121,25466,25163,24774,24373,24470,23755,23817,23712,23797,23782,23824,24228,23875,23954,23814,23853,23994,24364,23669,24398,24053,24009,23868,23953,23639,24198,23657,24058,23884,23826,23948,23854,24117,23840,24467,23962,23800,24644,24012,24153,23810,24180,24443,23774,24571,24332,23921,24349,24457,24442,24464,24669,24592,24604,24609,24805,25003,25297,24912,25028,25232,24958,25315,25335,25411,24817,25594,25427,25587,25517,25305,25040,25653,25585,25101,25327,25640,25595,25581,25561,25349,25726,25774,25652,26147,25305,25711,25811,25917,25637,25677,25919,25939,25910,25914,26318,26034,26052,25920,26589,25954,25885,26097,25858,26147,26225,26089,25892,25829,26155,26424,26267,26070,26365,26347,25978,26097,25743,26100,26034,25908,26087,26241,26450,26020,26501,26417,26186,26542,26159,26353,26008,26660,26602,26868,26767,26464,26433,26708,26782,26240,26705,26223,26667,26737,26659,26866,26664,26645,26709,26797,26573,26442,26662,26438,26661,26699,26383,26546,26727,26541,26647,26630,26740,27052,27242,26486,26618,27222,26944,27037,26890,26602,26730,26977,26686,26750,26989,26482,26843,27153,26576,26647,26697,26781,27065,26783,26430,27049,26740,26974,27005,26832,26819,26551,27094,27164,26818,26639,26965,26899,27176,26631,26991,26761,26831,26797,26604,26629
A09,Sample X9,27791,26379,25507,24060,23454,23564,23310,23188,23312,23121,23519,23058,23098,23452,22940,22811,23181,23017,23117,23141,22921,23296,22906,22961,22966,23351,23095,23326,23020,22910,23020,23105,23079,23309,23508,23261,22963,23415,23544,23344,23166,23316,23563,23657,23592,23204,23283,23425,23069,23117,23331,23557,23185,23103,23534,23443,23480,23319,23789,24022,23560,23646,23540,23580,23780,24068,23834,23530,24046,23940,23833,23637,23854,23865,24253,23926,23685,24403,23928,24073,23905,23974,24201,23594,24093,24145,24530,24083,24578,24358,24350,24194,24091,24264,24077,24163,23838,24489,24325,24190,24253,24462,24116,24444,24313,24698,24127,24115,24227,24186,24417,24292,24412,24680,24451,24258,24416,25018,24714,24433,24674,24610,25032,24875,24421,24792,24733,24992,24437,24893,24712,24957,24224,24708,24760,24978,25045,25118,24747,25112,24965,25116,24877,24797,24847,25105,25430,25104,25206,25448,25286,24747,25378,25480,25117,25682,25618,25334,25192,25005,25565,24900,25910,25342,25304,25100,25246,25603,25474,25477,25471,26035,25867,25468,25795,25723,25660,25844,25558,25717,25511,25789,25836,25583,25788,26101,25456,25979,26132,26010,26264,25532,25920,25715,25988,25593,25587,25583,25459,25988,25840,25572,25834,25795,25285,25804,26033,25724,25869,25968,25743
