User: USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test ID: 69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Name: LD PI Assay SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date: 9/23/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time: 4:06:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID1: Vananz plate 3 190923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID2: HeLa death assay n5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fluorescence (FI), multichromatic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,


Well,Content, Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1)
,Time,0 h ,0 h 6 min,0 h 12 min,0 h 18 min,0 h 24 min,0 h 30 min,0 h 36 min,0 h 42 min,0 h 48 min,0 h 54 min,1 h ,1 h 6 min,1 h 12 min,1 h 18 min,1 h 24 min,1 h 30 min,1 h 36 min,1 h 42 min,1 h 48 min,1 h 54 min,2 h ,2 h 6 min,2 h 12 min,2 h 18 min,2 h 24 min,2 h 30 min,2 h 36 min,2 h 42 min,2 h 48 min,2 h 54 min,3 h ,3 h 6 min,3 h 12 min,3 h 18 min,3 h 24 min,3 h 30 min,3 h 36 min,3 h 42 min,3 h 48 min,3 h 54 min,4 h ,4 h 6 min,4 h 12 min,4 h 18 min,4 h 24 min,4 h 30 min,4 h 36 min,4 h 42 min,4 h 48 min,4 h 54 min,5 h ,5 h 6 min,5 h 12 min,5 h 18 min,5 h 24 min,5 h 30 min,5 h 36 min,5 h 42 min,5 h 48 min,5 h 54 min,6 h ,6 h 6 min,6 h 12 min,6 h 18 min,6 h 24 min,6 h 30 min,6 h 36 min,6 h 42 min,6 h 48 min,6 h 54 min,7 h ,7 h 6 min,7 h 12 min,7 h 18 min,7 h 24 min,7 h 30 min,7 h 36 min,7 h 42 min,7 h 48 min,7 h 54 min,8 h ,8 h 6 min,8 h 12 min,8 h 18 min,8 h 24 min,8 h 30 min,8 h 36 min,8 h 42 min,8 h 48 min,8 h 54 min,9 h ,9 h 6 min,9 h 12 min,9 h 18 min,9 h 24 min,9 h 30 min,9 h 36 min,9 h 42 min,9 h 48 min,9 h 54 min,10 h ,10 h 6 min,10 h 12 min,10 h 18 min,10 h 24 min,10 h 30 min,10 h 36 min,10 h 42 min,10 h 48 min,10 h 54 min,11 h ,11 h 6 min,11 h 12 min,11 h 18 min,11 h 24 min,11 h 30 min,11 h 36 min,11 h 42 min,11 h 48 min,11 h 54 min,12 h ,12 h 6 min,12 h 12 min,12 h 18 min,12 h 24 min,12 h 30 min,12 h 36 min,12 h 42 min,12 h 48 min,12 h 54 min,13 h ,13 h 6 min,13 h 12 min,13 h 18 min,13 h 24 min,13 h 30 min,13 h 36 min,13 h 42 min,13 h 48 min,13 h 54 min,14 h ,14 h 6 min,14 h 12 min,14 h 18 min,14 h 24 min,14 h 30 min,14 h 36 min,14 h 42 min,14 h 48 min,14 h 54 min,15 h ,15 h 6 min,15 h 12 min,15 h 18 min,15 h 24 min,15 h 30 min,15 h 36 min,15 h 42 min,15 h 48 min,15 h 54 min,16 h ,16 h 6 min,16 h 12 min,16 h 18 min,16 h 24 min,16 h 30 min,16 h 36 min,16 h 42 min,16 h 48 min,16 h 54 min,17 h ,17 h 6 min,17 h 12 min,17 h 18 min,17 h 24 min,17 h 30 min,17 h 36 min,17 h 42 min,17 h 48 min,17 h 54 min,18 h ,18 h 6 min,18 h 12 min,18 h 18 min,18 h 24 min,18 h 30 min,18 h 36 min,18 h 42 min,18 h 48 min,18 h 54 min,19 h ,19 h 6 min,19 h 12 min,19 h 18 min,19 h 24 min,19 h 30 min,19 h 36 min,19 h 42 min,19 h 48 min,19 h 54 min,20 h ,20 h 6 min,20 h 12 min,20 h 18 min,20 h 24 min,20 h 30 min,20 h 36 min,20 h 42 min,20 h 48 min,20 h 54 min,21 h ,21 h 6 min,21 h 12 min,21 h 18 min,21 h 24 min,21 h 30 min,21 h 36 min,21 h 42 min,21 h 48 min,21 h 54 min,22 h ,22 h 6 min,22 h 12 min,22 h 18 min
A01,Sample X1,18101,18829,18787,18780,18142,18329,17298,17910,17582,17224,17058,17620,16995,17479,17061,17228,16965,16825,16725,16696,16984,17123,17240,16986,17678,16814,16547,16601,16230,17289,16433,16751,16586,16480,16963,16395,16630,16483,16330,16350,16435,16803,16664,16777,16251,16778,16451,15948,16422,16496,16084,16367,16656,16528,16513,16265,16432,16138,16294,15960,16576,16300,16495,15791,16475,16265,17579,16309,17007,16206,16908,16014,16104,16229,16932,16833,16241,15796,15963,16211,16034,16123,16138,15974,15929,16048,15992,15610,16427,15756,15709,15906,15730,15638,16200,15874,16054,16011,16493,15817,16061,15879,16195,16302,15587,15972,15815,15663,16003,16295,15504,15865,16005,16130,15804,15696,15785,16153,15531,15809,16095,15960,16327,15610,15637,16046,15870,16037,16005,16106,15962,16124,15993,15517,15924,15521,16099,15746,16015,15812,15930,15458,15651,15792,15610,15890,15666,15641,15626,15963,15508,15777,15420,15805,15677,15570,15694,15681,15431,15714,15531,15780,15615,15730,15407,15311,15728,15569,15442,15502,15561,15766,15757,15458,16011,15694,15669,15748,15541,15829,15665,15695,15692,15687,15819,15413,15934,15513,15948,15603,15526,15892,15828,16173,15797,15773,15790,15880,15660,15588,15678,15819,15809,16103,15905,15939,15957,16057,16049,16196,16117,15952,16235,16122,15944,16120,15879,15857,16137,16018,15964,16090,15916,16173
A02,Sample X2,18722,18531,18371,17677,17880,17436,17489,17163,17146,17003,16967,17040,17118,16962,16672,16801,16942,16528,16941,16583,16597,16312,16549,16359,16422,16474,16454,16351,16607,16206,16346,16310,16462,16389,16105,16186,16214,16123,15844,16283,16063,15834,16309,16133,16244,16044,15828,16150,16351,16153,16110,15901,16279,15989,16297,16229,16293,16016,16092,15887,16231,16078,16157,15969,16462,15730,16218,15955,16251,16202,15962,16204,16168,16233,16079,16527,16087,16169,16020,16277,16297,16400,16309,16075,16443,16447,16286,16515,16294,16290,16234,16055,16462,16435,16443,16395,16606,16585,16307,16056,16586,16344,16857,16482,16472,16640,16506,15987,16436,16112,16427,16568,16218,16414,16313,16400,16306,16096,16388,16486,16577,16345,16678,16336,16600,16535,16431,16332,16883,16553,16503,16603,16551,16387,16590,16416,16650,16563,16154,16368,16288,16432,16375,16493,16364,16504,16393,16391,16618,16318,16579,16406,16694,16246,16469,16448,16037,16416,16610,16665,16406,16332,16494,16291,16298,16650,16465,16732,16171,16398,16828,16268,16348,16396,16501,16680,16480,16396,16291,16429,16282,16625,16329,16275,16525,16362,16330,16457,16478,16298,16245,16319,16344,16462,16519,16195,16616,16338,16584,16308,16619,16282,16555,16463,16324,16449,16340,16374,16432,16556,16202,16481,16221,16145,16492,16465,16328,16438,16319,16292,16310,16211,16071,16616
A03,Sample X3,19282,18947,18304,17943,17869,17688,17707,17539,17751,17573,17416,17155,17353,17371,17322,16996,17032,17227,17236,16845,17436,16709,16855,17268,17013,17029,16829,16840,17232,17124,16693,16950,16806,16648,16942,16919,16684,16921,16853,17018,16839,17042,16973,17187,16930,17033,16804,16855,17125,16704,16570,17012,16731,16879,17075,16742,16712,17314,16616,16891,16977,17090,16974,17001,16942,16761,17016,17194,17353,16948,16888,17297,16891,17251,17304,17516,17595,17027,17302,17306,17063,17624,17089,17586,17341,17765,17604,17923,17585,17833,17626,17791,17892,17906,17871,17962,17870,17896,18012,18144,18119,18101,18209,18005,18451,18482,18293,18082,18495,18712,18325,18271,18477,18706,18615,18809,18549,18469,18859,18795,18171,18592,19061,18883,18857,18828,18980,19069,19010,19169,18914,18999,19282,19114,18829,18871,18996,18922,19357,18995,18969,19350,19246,19376,18967,19502,19347,19118,19218,19396,19222,19485,19609,18832,18878,19342,19288,19393,19248,19401,19344,19248,19540,19460,19415,19699,19481,19555,19585,19397,19796,19803,19607,19765,19693,19831,19714,19569,19627,19523,19367,19335,19819,19451,19709,19417,19367,19376,19804,19608,19510,19561,19598,19760,19529,19445,19607,19631,19696,19201,19579,19424,19599,19468,19449,19357,19464,19540,19694,19413,19530,19384,19550,19402,19371,19563,19611,19460,19468,19401,19293,19498,19467,19353
A04,Sample X4,19248,19376,19147,19068,18552,18286,18578,18140,17800,18265,17639,17972,18075,17684,17988,17640,17122,17671,17443,17516,17357,17629,17727,17462,17232,17170,17195,17397,17585,17421,17294,17430,17504,17040,17730,17219,17209,16987,17502,17479,17433,17467,17552,17767,17338,17785,17758,17826,17585,17966,17614,17595,17780,17897,17846,17953,17730,17741,18097,17869,18122,17946,17997,18029,18027,17978,17829,18266,18044,18177,18283,18149,18203,17857,18360,18144,18039,18423,18699,18163,18320,18421,18360,18456,18379,18323,18720,18324,18450,18456,18696,18570,18401,18779,18680,18662,18866,18765,18614,18800,18873,18680,19063,18885,18851,18599,18755,18913,19394,19096,18760,18768,18619,18949,18714,18928,19159,19249,18930,18920,18828,18975,19078,18935,19059,19208,18921,18596,18600,18843,19045,19329,18899,19391,19189,18860,18974,18999,18812,19131,18931,19148,19099,19225,19086,19234,19097,19383,19095,18983,18920,19030,18974,19020,18766,19122,19008,19126,18749,19302,19123,19098,19219,19127,19055,18919,18834,19197,18697,19141,19018,18978,18951,19030,18932,19226,19191,18981,19335,19226,19009,19028,19040,18972,19092,18909,19208,19188,19014,18744,18976,18925,19092,18967,19038,18936,18580,18756,18511,19051,18769,18939,18893,18673,19144,18479,18844,18922,18923,18509,18627,18707,18916,18810,18506,18702,19053,18618,19052,18477,18682,18216,18602,18394
A05,Sample X5,17418,17196,17240,17108,16602,16248,16177,16254,16415,15701,15873,15678,16006,15641,15748,15618,15609,15698,15469,15400,15686,15800,15387,15454,15582,15610,15380,15209,15204,15350,15268,15757,15381,15366,15431,15333,15091,15394,15208,15375,15248,15331,15215,15020,15354,15048,15162,15040,15162,15131,15120,14885,14920,14880,15039,15042,14842,15050,14780,14813,15290,14567,15035,14929,14943,14808,14985,14680,15214,14663,14622,14713,14747,14938,14866,14890,14701,14849,14704,14889,14920,14785,15012,15012,14718,14750,14735,14760,14955,14626,14872,14801,15036,14806,14816,14807,14799,14996,14376,14880,14723,14686,14716,14611,14711,14510,14819,14721,14568,14857,14670,15017,14876,14860,14506,14577,14849,14881,14752,14669,14811,14803,14647,14785,14710,14893,14737,14637,14524,14603,14778,14693,14785,14558,14479,14925,14671,14868,14824,14739,14583,14526,14370,14289,14842,14518,14498,14464,14348,14528,14548,14654,14727,14429,14600,14649,14641,14669,14788,14361,14572,14518,14480,14638,14723,14445,14279,14240,14465,14418,14811,14521,14384,14178,14653,14359,14518,14396,14639,14494,14527,14379,14594,14784,14416,14822,14341,14254,14286,14316,14415,14390,14679,14217,14178,14485,14162,14519,14361,14148,14444,14220,14020,14310,14335,14167,14237,13996,14229,14133,14260,14176,14229,14014,14264,14277,14681,14249,14277,14344,14054,14262,14149,13998
A06,Sample X6,19365,19645,19376,18866,18666,18478,18540,18070,18143,18008,17858,17860,17685,17737,17630,17573,17592,17658,17338,17469,17266,17318,17313,17237,17115,16802,17243,17139,17331,17082,16745,16721,16542,16729,17399,16995,17042,16875,16781,16730,17005,17191,16711,17081,16802,16925,16733,17035,16852,16951,17013,17098,16902,17106,17195,17061,17352,17257,17291,17346,17400,17517,17613,17463,17801,17428,17498,17620,17810,17773,17815,17799,17825,17925,17797,18048,18044,18415,18640,18444,18470,18788,18472,18736,18719,18858,18676,19004,18944,18902,18951,18652,18975,19366,19075,19127,19177,19092,19303,19296,19260,19292,19708,19102,19113,19163,19395,19274,19281,19204,19678,19345,20122,19733,19626,19762,19745,19796,19766,19797,19746,19586,19864,19596,20099,19886,19933,19628,19957,19674,19679,20021,20170,19916,20230,19755,19871,20024,20012,20193,20087,20151,19894,19880,19889,20021,19852,20037,19901,19934,19887,19932,20037,19997,19831,20041,19559,19991,19871,20051,20053,20097,19832,20027,19911,20012,19792,19862,19977,20124,20025,20037,19807,19693,19783,20070,19839,20149,20169,19755,19620,19667,19944,19877,19832,19577,19896,19751,19544,19640,19451,19832,19351,19614,19753,19771,19718,19824,19701,19487,19680,19602,19668,19677,19454,19100,19636,19775,19097,19403,19377,19605,19672,19391,19400,19470,19595,19290,19225,19485,19303,19636,19093,19188
A07,Sample X7,18733,18873,18540,18449,18194,17603,17628,17767,17355,17281,17261,17370,17331,17191,17117,17290,17362,17361,16975,17050,17188,16877,17250,17143,17206,17034,16715,17010,16848,17003,16594,16789,16815,16713,16784,16552,16563,17055,16827,16658,16632,16858,16795,16623,16787,16672,16783,16725,16841,16508,16692,16504,16763,16852,16635,16724,16725,16523,16658,16503,16709,16392,16473,16617,16191,16340,16292,16709,16591,16379,16687,16454,16522,16673,16358,16813,16509,16327,16585,16694,16425,16366,16667,16560,16367,16425,16733,16704,16522,16596,16294,16598,16447,16601,16420,16296,16033,16424,16470,16145,16549,16505,16334,16385,16471,16365,16411,16478,16491,16608,16596,16615,16518,16486,16470,16555,16561,16433,16604,16137,16042,16222,16345,16326,16447,16438,16332,16309,16426,16411,16391,16240,16517,15903,16128,16151,16281,16212,16216,16235,16094,16118,16299,16153,16069,15960,16126,16340,16041,15975,16308,16420,16050,15963,15812,16025,15994,16091,16242,16124,16113,15848,16227,15875,15908,15640,15810,16075,16108,16241,16011,16214,15951,15959,16040,16127,16160,15811,16113,16007,15807,15961,15745,15640,16220,15644,15778,15894,15580,15733,15901,16051,15651,15823,16242,15970,15904,15640,15820,15927,15571,15512,15784,15576,15730,15634,16025,15640,15424,15575,15824,15424,15561,15522,15881,15728,15602,15756,15708,15859,15694,15711,15595,15423
A08,Sample X8,19039,19394,19028,18486,18198,18015,17850,17852,17771,17466,17440,17356,17776,17654,17458,17339,17633,17212,17636,17232,17452,17427,17026,17283,17327,17516,17230,17241,17177,17481,17166,16820,17201,17020,17190,16964,17304,17139,17039,17060,17170,17023,16897,16989,17031,16998,16776,16792,16812,16917,17158,17165,16989,16799,16840,17124,17196,17417,16873,17033,16951,16940,17428,17280,17346,17310,17279,17527,17026,17373,17027,17021,17033,17498,17270,17730,17305,17243,17349,17571,17716,17537,17568,17671,17573,17681,17824,17778,17435,18020,17937,17779,17753,18329,18208,18069,18110,18094,18219,18265,18074,18442,18600,18104,18293,18446,18533,18489,18654,18470,18824,18548,18734,18896,18663,18401,18977,18814,18708,18800,18934,18639,19078,18914,18797,18806,19054,18793,18611,18810,18787,18960,18949,18693,18704,18718,18833,18866,18943,18892,18745,18451,18736,18790,18790,18674,19284,18720,18857,18888,18694,18930,18857,18581,18634,18456,18418,18752,18556,18467,18807,18231,18761,18502,18324,18463,18381,18582,18272,18777,18521,18816,18623,18603,18510,18392,18329,18475,18265,18403,18420,18254,18275,18271,18462,18500,18309,18607,18129,18699,18309,18376,18357,18030,18215,18003,18215,18384,18325,18380,18106,18121,17894,18074,17668,17977,17958,18169,18196,17794,17977,17649,17798,17761,18052,17864,17703,17603,17405,17551,17771,18023,17714,17935
A09,Sample X9,19279,18891,18890,18459,18273,17725,17942,17735,17576,17518,17048,17553,17414,17108,17272,17041,17007,16986,17171,17077,17020,16853,17024,16911,16720,16840,16663,16826,16478,16832,16744,16777,17085,16843,17067,16903,16819,16653,16909,17142,16801,16754,16740,16647,16759,16718,16596,16567,16983,16763,16420,16616,16657,16856,16768,16486,17075,16917,16699,16806,16848,16847,16660,16840,16911,16579,16951,16798,16870,16894,17107,16923,17103,16952,17063,17147,17321,17442,17257,17329,17432,17267,17705,17790,17426,17506,17497,17813,17761,17939,17709,17874,17524,17846,17946,18163,17762,18107,18182,17973,17885,17908,18285,18278,17910,18066,18368,18121,17821,18234,18313,18216,18481,18546,18464,18485,18485,18071,18625,18295,18587,18375,18180,18501,18496,18609,18481,18442,18558,18178,18628,18470,18783,18444,18527,18562,18889,18949,18413,18695,18837,18784,18939,18742,18527,18608,18646,18596,18856,18942,18617,18777,18789,18659,18464,18753,18639,18808,18510,18989,18710,18409,18395,18804,18624,18570,18714,18638,18466,18615,18821,18714,18709,18824,18917,18790,18720,18621,18455,18453,18634,18338,18623,18470,18433,18616,18380,18820,18722,18480,18288,18776,18198,18355,18216,18169,18412,18527,18598,18195,18223,18280,18424,18271,18107,18469,18460,18559,17998,18429,17988,17959,18361,18235,18238,18113,18240,18320,17967,18350,18190,18266,18113,18111
