Well,Content, Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1)
,Time,0 h ,0 h 6 min,0 h 12 min,0 h 18 min,0 h 24 min,0 h 30 min,0 h 36 min,0 h 42 min,0 h 48 min,0 h 54 min,1 h ,1 h 6 min,1 h 12 min,1 h 18 min,1 h 24 min,1 h 30 min,1 h 36 min,1 h 42 min,1 h 48 min,1 h 54 min,2 h ,2 h 6 min,2 h 12 min,2 h 18 min,2 h 24 min,2 h 30 min,2 h 36 min,2 h 42 min,2 h 48 min,2 h 54 min,3 h ,3 h 6 min,3 h 12 min,3 h 18 min,3 h 24 min,3 h 30 min,3 h 36 min,3 h 42 min,3 h 48 min,3 h 54 min,4 h ,4 h 6 min,4 h 12 min,4 h 18 min,4 h 24 min,4 h 30 min,4 h 36 min,4 h 42 min,4 h 48 min,4 h 54 min,5 h ,5 h 6 min,5 h 12 min,5 h 18 min,5 h 24 min,5 h 30 min,5 h 36 min,5 h 42 min,5 h 48 min,5 h 54 min,6 h ,6 h 6 min,6 h 12 min,6 h 18 min,6 h 24 min,6 h 30 min,6 h 36 min,6 h 42 min,6 h 48 min,6 h 54 min,7 h ,7 h 6 min,7 h 12 min,7 h 18 min,7 h 24 min,7 h 30 min,7 h 36 min,7 h 42 min,7 h 48 min,7 h 54 min,8 h ,8 h 6 min,8 h 12 min,8 h 18 min,8 h 24 min,8 h 30 min,8 h 36 min,8 h 42 min,8 h 48 min,8 h 54 min,9 h ,9 h 6 min,9 h 12 min,9 h 18 min,9 h 24 min,9 h 30 min,9 h 36 min,9 h 42 min,9 h 48 min,9 h 54 min,10 h ,10 h 6 min,10 h 12 min,10 h 18 min,10 h 24 min,10 h 30 min,10 h 36 min,10 h 42 min,10 h 48 min,10 h 54 min,11 h ,11 h 6 min,11 h 12 min,11 h 18 min,11 h 24 min,11 h 30 min,11 h 36 min,11 h 42 min,11 h 48 min,11 h 54 min,12 h ,12 h 6 min,12 h 12 min,12 h 18 min,12 h 24 min,12 h 30 min,12 h 36 min,12 h 42 min,12 h 48 min,12 h 54 min,13 h ,13 h 6 min,13 h 12 min,13 h 18 min,13 h 24 min,13 h 30 min,13 h 36 min,13 h 42 min,13 h 48 min,13 h 54 min,14 h ,14 h 6 min,14 h 12 min,14 h 18 min,14 h 24 min,14 h 30 min,14 h 36 min,14 h 42 min,14 h 48 min,14 h 54 min,15 h ,15 h 6 min,15 h 12 min,15 h 18 min,15 h 24 min,15 h 30 min,15 h 36 min,15 h 42 min,15 h 48 min,15 h 54 min,16 h ,16 h 6 min,16 h 12 min,16 h 18 min,16 h 24 min,16 h 30 min,16 h 36 min,16 h 42 min,16 h 48 min,16 h 54 min,17 h ,17 h 6 min,17 h 12 min,17 h 18 min,17 h 24 min,17 h 30 min,17 h 36 min,17 h 42 min,17 h 48 min,17 h 54 min,18 h ,18 h 6 min,18 h 12 min,18 h 18 min,18 h 24 min,18 h 30 min,18 h 36 min,18 h 42 min,18 h 48 min,18 h 54 min,19 h ,19 h 6 min,19 h 12 min,19 h 18 min,19 h 24 min,19 h 30 min,19 h 36 min,19 h 42 min,19 h 48 min,19 h 54 min,20 h ,20 h 6 min,20 h 12 min,20 h 18 min,20 h 24 min,20 h 30 min,20 h 36 min,20 h 42 min,20 h 48 min,20 h 54 min,21 h ,21 h 6 min,21 h 12 min,21 h 18 min,21 h 24 min,21 h 30 min,21 h 36 min,21 h 42 min,21 h 48 min,21 h 54 min,22 h ,22 h 6 min,22 h 12 min,22 h 18 min,22 h 24 min,22 h 30 min,22 h 36 min,22 h 42 min,22 h 48 min,22 h 54 min,23 h ,23 h 6 min,23 h 12 min,23 h 18 min,23 h 24 min,23 h 30 min,23 h 36 min,23 h 42 min,23 h 48 min,23 h 54 min,24 h ,24 h 6 min,24 h 12 min,24 h 18 min,24 h 24 min,24 h 30 min,24 h 36 min,24 h 42 min,24 h 48 min,24 h 54 min
A01,Sample X1,15112,14081,13805,13709,13611,13771,13816,13462,13783,13913,13938,14070,13876,14392,13884,14289,14045,14362,14404,14384,14688,14327,14415,14409,14632,14769,14603,14916,14814,14954,15020,15241,15278,15185,15365,15902,15841,16164,16396,16814,16750,16902,17322,17514,18112,18210,18560,18834,19117,19437,19575,20138,20093,20630,21045,21050,21098,21302,21642,21696,22180,22066,22441,22819,22816,23067,23347,23338,23690,23626,23699,23978,24257,24046,24471,24524,24846,24659,24995,25242,25260,25437,25729,25606,26255,25807,26065,26307,26672,26534,26634,26790,26997,27266,27240,27307,27403,27785,27554,28000,27916,27677,28138,27909,28138,28541,28368,28296,28367,28490,28629,28298,28367,28623,28772,28625,28328,28908,28595,28667,28677,28756,28768,28898,28744,29029,28700,28549,28947,28612,28823,28663,28670,28425,28556,28732,28951,28685,28367,28666,28654,28450,28527,28447,28798,28338,28329,28239,28338,28497,28608,28414,28432,28262,28422,28140,28164,28122,28173,27801,28000,27713,27734,27570,27645,27961,27645,27601,27655,27414,27578,27090,27582,26951,27253,27134,26829,27282,26750,26989,27024,26841,26826,26849,26752,26571,26659,26472,26226,26572,25989,26084,26300,26312,26055,25986,25928,26150,25856,25625,25974,25764,25703,25742,25243,25549,25538,25795,25371,25140,25403,25325,25343,24914,25259,24893,25282,25057,24978,25096,24774,24781,24639,24721,24909,24529,24593,24905,24662,24643,24258,24382,24544,24510,24247,24278,24166,24023,24100,24181,23753,23971,23828,23964,23973,23849,23885,23616,23644,23920
A02,Sample X2,15166,14050,13686,13543,13394,13188,13340,13429,13345,13297,13179,13368,13241,13126,13449,13061,13346,13245,13174,13474,13244,13150,13293,13366,13265,13315,13573,12989,13363,13522,13434,13482,13346,13472,13755,13596,13772,13573,13580,13912,13895,13906,14281,14141,14430,14438,14780,14681,14784,15123,15339,15363,15655,15839,15763,16099,16371,16734,16693,16847,17217,17575,17710,18153,17875,18282,18223,18625,18423,18772,19048,18847,19153,19181,19124,19297,19252,19378,19462,19677,19693,19704,19799,19800,19802,19930,20025,19917,20481,20123,20327,20282,20518,20881,20464,20704,21007,20702,20652,20988,21118,21210,21168,21462,21045,21283,21274,21664,21456,21673,21806,21578,22061,22013,21959,22045,22067,22400,22476,22651,23061,22849,22890,23056,22925,23045,23090,23033,23149,23327,23458,23670,23670,23790,23781,23835,24521,23973,23967,24213,24386,24296,24721,24387,24764,24754,24635,25119,24994,25378,25130,25316,25265,25531,25395,25545,25287,25697,25657,25433,25564,25611,25976,25574,25694,26036,25941,25443,25950,26088,26102,26008,25955,26012,25946,26056,26053,26035,25936,26001,26425,26206,25837,26404,26109,26188,26312,25802,26375,26023,26110,26193,26191,26371,26398,26103,25713,26136,26129,26131,25981,25855,26070,26129,25803,26272,25769,26175,26542,26043,25942,25890,25837,26104,25879,26007,26181,26005,25721,25951,25834,25807,25868,25617,25991,26117,25599,25717,25982,25817,25739,25685,25600,25514,25666,25335,25532,25621,25746,25301,25677,25301,25511,25572,25557,25593,25649,25529,25149,25250
A03,Sample X3,15799,14890,14342,14086,13932,13909,13898,13952,14008,13865,13873,13863,13924,13795,13887,13778,13743,13858,13947,13703,13789,13733,14042,13854,13841,13766,13818,13847,13632,13740,13671,13786,14059,13710,13908,14030,13974,14095,14395,14007,14537,14303,14233,14111,14229,14645,14715,14854,15077,15087,15197,15459,15114,15512,15927,15850,15985,16031,16292,16418,16749,17114,16900,17291,17314,17427,17629,17948,18270,18456,18809,19006,18918,19211,19440,19663,19752,19960,19902,20324,20737,20598,20544,20865,21240,21308,21258,21513,21525,21827,22094,22048,22188,22384,22413,22696,22774,22806,22821,22665,23271,23131,23264,23274,23490,23475,23467,23854,23918,23798,23719,24112,24147,23865,24083,24013,24336,24254,24139,24260,24468,24302,24363,24624,24545,24442,24856,24827,24882,24649,24945,24857,24704,24955,24696,24866,24935,24612,25087,24883,25116,25491,25160,25040,25151,25018,24886,24943,25059,25171,25161,25029,25153,25186,25059,25338,25004,25316,24985,24928,25210,24891,25089,24999,24994,24977,25110,25208,25066,25089,24804,24845,24804,24907,24946,24824,24864,24861,24967,24699,24599,24646,24593,24624,24706,24857,24419,24812,24588,24630,24629,24781,24234,24429,24321,24540,24434,24469,24429,24285,24284,24135,24133,24414,24372,24078,24346,24097,24200,24172,24099,24285,24258,23980,24086,24239,24080,23777,24370,24212,24565,24019,24078,24212,24402,24214,23766,24026,23907,23968,23989,24094,23867,23943,23726,23753,23627,23868,23737,23736,23794,23755,23561,23617,23512,23649,23837,23676,23684,23504
A04,Sample X4,15422,14565,13887,13810,13593,13450,13576,13562,13491,13483,13669,13536,13507,13464,13474,13534,13441,13729,13642,13563,13689,13450,13557,13398,13666,13456,13651,13664,13390,13455,13564,13677,13690,13777,13843,13745,13307,13946,13828,14069,13859,14075,13780,13878,14054,13890,14049,14334,14047,14454,14236,14097,14183,14398,14318,14317,14286,14424,14960,14297,14637,14508,14463,14531,14937,14716,14994,14572,14687,14699,14889,14742,14957,15030,15013,15016,14982,15054,15126,15062,15134,14963,15121,15275,15099,15129,15262,15135,15180,15066,15086,15311,15355,15143,15355,15323,15484,15326,15626,15442,15439,15566,15447,15562,15557,15509,15530,15465,15480,15666,15629,15734,15791,15700,15556,15572,15628,15717,15582,15742,15876,15745,15606,15711,15732,15736,15639,16061,15934,15867,15776,15833,15788,16103,15750,15978,16168,15967,15951,16091,15649,16161,16130,16023,15965,16046,15967,15900,16033,16152,15898,16077,16032,15821,16015,16192,16138,16064,16091,16019,16124,15905,16188,15985,16087,16030,16004,15841,15969,15892,16107,16028,15909,15898,16140,15897,15847,16187,16063,16155,16053,15931,15859,15894,15981,16018,16021,15805,15908,15926,16062,16154,16109,15793,16103,15930,16048,15926,15854,15859,15943,15931,15853,15892,15933,15785,15920,15902,15785,15844,15879,15760,15834,15914,15827,15871,15874,15929,15903,15842,15784,15845,15835,15860,15999,15994,15983,15789,15780,16181,15891,15544,15832,15879,15763,15689,15899,15765,15838,15690,15735,15719,15629,15839,15707,15904,15858,15633,15939,15603
A05,Sample X5,14969,14216,13415,13196,12912,12813,12712,12951,12948,12874,12694,12780,12682,12910,12914,12841,12959,12763,12964,13079,12864,13046,12738,12557,12829,12701,12707,12814,12689,12965,12839,12811,12944,12811,12762,12841,12844,12805,12927,12965,13225,13078,13135,13024,13137,13082,12850,13206,13315,12988,12864,12894,13008,13020,13034,12858,13090,13229,13004,13369,13128,13054,13176,13144,13047,13174,13128,13100,13131,13075,13181,13006,13322,13167,13255,13183,12972,13237,13294,13086,13403,13355,13084,13141,13390,13273,13304,13469,13234,13364,13265,13018,13496,13110,13268,13120,13324,13205,13040,13169,13095,13293,13261,13116,13222,13466,13218,13191,13304,13148,13364,13336,13508,13457,13639,13546,13290,13356,13303,13357,13338,13437,13424,13576,13374,13411,13368,13429,13409,13554,13557,13420,13264,13374,13338,13399,13725,13220,13717,13697,13527,13286,13593,13549,13354,13463,13358,13573,13629,13509,13508,13533,13460,13601,13270,13435,13395,13559,13368,13321,13403,13557,13544,13494,13579,13696,13774,13507,13734,13593,13527,13476,13829,13488,13354,13793,13762,13620,13577,13470,13800,13612,13546,13529,13556,13600,13530,13459,13605,13612,13660,13501,13485,13623,13627,13707,13649,13651,13605,13422,13707,13513,13648,13518,13478,13688,13712,13579,13642,13655,13653,13377,13772,13951,13670,13776,13924,13770,13624,13705,13815,13804,13756,13758,13762,13794,14149,13584,13496,13736,13772,13904,13818,13756,13854,13748,13959,13757,13985,13649,13464,13950,13801,13611,13767,13657,13924,13600,13855,13769
A06,Sample X6,15489,14610,13960,13607,13363,13607,13854,13471,13375,13531,13766,13655,13433,13178,13725,13544,13495,13469,13533,13461,13494,13486,13421,13381,13347,13439,13399,13633,13472,13533,13527,13706,13825,13747,13713,13729,13677,13566,13827,13941,13843,13754,14003,14065,13970,14006,14022,13768,14354,14456,14130,14170,14623,14642,14623,14507,14719,14755,14886,14625,14730,15391,14958,14953,14992,15413,15139,15330,15235,15563,15464,15435,15467,15754,15612,15623,15787,15644,15708,15837,15698,15911,15830,15751,15934,15998,15931,15983,15872,16039,15945,15787,15970,16228,16134,16076,16135,16238,16178,16337,16178,16157,16363,16297,16457,16104,16142,16321,16476,16250,16473,16272,16673,16569,16245,16512,16620,16373,16581,16385,16522,16617,17021,16648,16519,16738,16684,16598,16595,16685,16982,16801,16550,16401,16587,16970,16986,16769,16759,16712,16858,16800,16698,17009,17027,16952,17158,17056,16972,17117,17027,17089,17206,17078,17287,17373,16962,17059,17104,17458,17225,17348,17057,17225,17364,17210,17234,17257,17239,17450,17304,17255,17332,17246,17216,17093,17495,17218,17376,17606,17098,17482,17229,17454,17343,17429,17517,17415,17406,17340,17302,17343,17335,17495,17243,17169,17439,17432,17352,17357,17441,17255,17395,17368,17247,17285,17505,17430,17462,17423,17544,17626,17500,17261,17300,17428,17418,17685,17344,17245,17387,17108,17426,17707,17342,17716,17548,17348,17451,17555,17460,17429,17266,17603,17353,17514,17785,17645,17394,17412,17408,17281,17591,17811,17404,17668,17509,17531,17546,17698
A07,Sample X7,15563,14200,13947,13649,13452,13647,13603,13643,13612,13430,13577,13606,13674,13789,13981,13865,13739,14053,14054,14148,14261,14362,14422,14530,14566,14626,14942,14988,15261,15526,15822,15870,16255,16197,16400,16999,17206,17409,17490,17889,18198,18198,18622,18858,18825,19492,19503,19939,20017,20500,20629,20934,21340,21620,21786,22329,22406,22261,22688,23063,23359,23467,23507,23968,24107,24029,24696,24832,25330,25322,24960,25308,25439,25417,25839,25481,25950,25837,25861,26264,26466,26520,26553,26639,26785,26837,26740,27257,26997,27274,26809,27328,27219,27309,27424,27157,27152,27288,27345,27483,27447,27490,27491,27498,27555,27750,27529,27312,27572,27567,27605,27620,27235,27216,27787,27541,27561,27621,27108,27634,27266,27448,27473,27273,27238,27308,27141,26993,27162,27058,27259,27705,27154,26954,27146,27225,27333,27003,26860,27223,27280,26963,26700,26921,26868,26637,26928,26754,26782,26444,26487,26542,26606,26675,26350,26370,26308,26217,26526,26382,26203,25957,26452,25621,26043,25968,25951,26029,25836,25664,25635,25688,25924,25756,25674,25329,25906,25379,25502,25204,25436,25184,25103,25057,25378,25157,25385,25367,25063,24604,24751,25034,24971,25003,24805,24578,24726,24629,24863,24469,24895,24337,24170,24479,24592,24175,24048,24172,24601,24281,24224,24333,23844,23957,23781,23571,23863,23941,23963,23832,23681,23925,23545,23807,23751,23727,23731,23720,23643,23334,23727,23335,23727,23487,23408,23042,23349,23319,23130,23062,22915,23412,23075,23027,23224,23138,22693,22974,23157,23207
A08,Sample X8,15241,14619,13835,13693,13568,13558,13624,13497,13690,13784,13451,13456,13569,13789,13526,13606,13770,13701,13627,13811,14035,14033,14440,14113,14300,14877,14809,14775,15032,15068,15399,15546,15689,15986,16338,16475,16580,17179,17432,17449,17882,18180,18260,18747,19028,19161,19387,19555,19711,19987,19939,20651,20577,20764,20564,21253,20993,21193,21516,21574,21508,21643,21551,21938,21910,21955,22074,22392,22415,22165,22331,22553,22498,22254,22880,22837,22534,22935,22929,22966,23042,23401,23365,23127,23175,23558,23288,23642,23593,23748,23586,23886,23840,23840,23716,23794,24313,24042,24209,24434,24297,24474,24535,24494,24505,24407,24402,24661,24558,24865,24961,25077,25011,25149,25105,25253,25188,25226,25577,25543,25677,25446,25351,25571,26082,25677,25524,26156,25880,26400,26656,26087,26108,26323,26220,26709,26803,26517,26720,26691,27075,26965,26973,26840,26785,26760,27174,27347,27597,27255,27130,27282,27383,27744,27565,27220,27764,27419,27388,27633,27636,27768,28263,28164,28058,28052,28201,27961,28244,28139,28295,28132,28578,28328,28493,28317,28460,28393,28608,28632,28942,28621,28760,28734,28652,28633,28800,28896,29189,28709,29151,29188,28829,28977,28840,29234,29309,29327,29505,29123,29102,29145,29135,29300,29107,29184,29281,29209,29210,29442,29304,29391,29499,29365,29330,29461,29385,29213,29296,29329,29346,29324,29550,29026,29522,29439,29300,29585,29676,29379,29296,28872,29763,29515,29407,29411,29687,29175,29259,29383,29659,29243,29527,29390,29568,29407,29796,29628,29588,29555
A09,Sample X9,14810,13766,13092,13009,12837,12773,12720,12861,12969,12913,13039,12925,13046,13027,13120,12869,12827,12925,13248,13027,13104,13203,13239,13055,12912,12859,13109,13101,13013,13216,13106,13003,13388,13048,13129,13243,13269,13262,13244,13538,13628,13608,13517,13472,13692,13710,13786,13694,13781,13526,13836,13834,13799,13784,13995,13957,13784,13886,14176,14179,14197,14210,14287,14169,14138,14234,14189,14451,14533,14396,14469,14396,14680,14783,14637,14703,14745,14921,14768,14919,14927,14984,14979,15085,15100,15228,15299,15385,15518,15369,15621,15570,15701,15881,15740,15771,15792,15966,16094,15945,16016,16301,16239,16339,16284,16299,16439,16356,16360,16505,16431,16682,16631,16653,16534,16733,16752,16730,17017,17039,16997,17084,17002,17486,17189,17282,17148,17443,17504,17401,17278,17601,17491,17859,17800,17847,17581,17793,17896,18029,18207,18029,18077,18507,18346,18348,18634,18406,18451,18615,18591,18487,18730,18973,19019,18879,19086,19033,18815,19052,19188,19107,19246,19543,19532,19188,19316,19671,19610,19751,19505,19676,19704,19891,20177,19823,19666,19828,19866,19766,19948,19915,19885,19895,19922,19997,20093,20019,20038,20346,20059,19880,20384,20328,20294,20271,20123,20245,20353,20582,20131,20343,20543,20359,20745,20398,20323,20441,20655,20735,20585,20247,20336,20632,20673,20438,20660,20635,20444,20539,20853,20837,20952,20844,20627,20630,20672,20699,20974,20746,20850,21161,20879,20837,20793,20821,20822,20948,20871,20889,20968,21027,21080,20833,20822,20793,21212,20859,21093,21254
