Well,Content, Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1)
,Time,0 h ,0 h 6 min,0 h 12 min,0 h 18 min,0 h 24 min,0 h 30 min,0 h 36 min,0 h 42 min,0 h 48 min,0 h 54 min,1 h ,1 h 6 min,1 h 12 min,1 h 18 min,1 h 24 min,1 h 30 min,1 h 36 min,1 h 42 min,1 h 48 min,1 h 54 min,2 h ,2 h 6 min,2 h 12 min,2 h 18 min,2 h 24 min,2 h 30 min,2 h 36 min,2 h 42 min,2 h 48 min,2 h 54 min,3 h ,3 h 6 min,3 h 12 min,3 h 18 min,3 h 24 min,3 h 30 min,3 h 36 min,3 h 42 min,3 h 48 min,3 h 54 min,4 h ,4 h 6 min,4 h 12 min,4 h 18 min,4 h 24 min,4 h 30 min,4 h 36 min,4 h 42 min,4 h 48 min,4 h 54 min,5 h ,5 h 6 min,5 h 12 min,5 h 18 min,5 h 24 min,5 h 30 min,5 h 36 min,5 h 42 min,5 h 48 min,5 h 54 min,6 h ,6 h 6 min,6 h 12 min,6 h 18 min,6 h 24 min,6 h 30 min,6 h 36 min,6 h 42 min,6 h 48 min,6 h 54 min,7 h ,7 h 6 min,7 h 12 min,7 h 18 min,7 h 24 min,7 h 30 min,7 h 36 min,7 h 42 min,7 h 48 min,7 h 54 min,8 h ,8 h 6 min,8 h 12 min,8 h 18 min,8 h 24 min,8 h 30 min,8 h 36 min,8 h 42 min,8 h 48 min,8 h 54 min,9 h ,9 h 6 min,9 h 12 min,9 h 18 min,9 h 24 min,9 h 30 min,9 h 36 min,9 h 42 min,9 h 48 min,9 h 54 min,10 h ,10 h 6 min,10 h 12 min,10 h 18 min,10 h 24 min,10 h 30 min,10 h 36 min,10 h 42 min,10 h 48 min,10 h 54 min,11 h ,11 h 6 min,11 h 12 min,11 h 18 min,11 h 24 min,11 h 30 min,11 h 36 min,11 h 42 min,11 h 48 min,11 h 54 min,12 h ,12 h 6 min,12 h 12 min,12 h 18 min,12 h 24 min,12 h 30 min,12 h 36 min,12 h 42 min,12 h 48 min,12 h 54 min,13 h ,13 h 6 min,13 h 12 min,13 h 18 min,13 h 24 min,13 h 30 min,13 h 36 min,13 h 42 min,13 h 48 min,13 h 54 min,14 h ,14 h 6 min,14 h 12 min,14 h 18 min,14 h 24 min,14 h 30 min,14 h 36 min,14 h 42 min,14 h 48 min,14 h 54 min,15 h ,15 h 6 min,15 h 12 min,15 h 18 min,15 h 24 min,15 h 30 min,15 h 36 min,15 h 42 min,15 h 48 min,15 h 54 min,16 h ,16 h 6 min,16 h 12 min,16 h 18 min,16 h 24 min,16 h 30 min,16 h 36 min,16 h 42 min,16 h 48 min,16 h 54 min,17 h ,17 h 6 min,17 h 12 min,17 h 18 min,17 h 24 min,17 h 30 min,17 h 36 min,17 h 42 min,17 h 48 min,17 h 54 min,18 h ,18 h 6 min,18 h 12 min,18 h 18 min,18 h 24 min,18 h 30 min,18 h 36 min,18 h 42 min,18 h 48 min,18 h 54 min,19 h ,19 h 6 min,19 h 12 min,19 h 18 min,19 h 24 min,19 h 30 min,19 h 36 min,19 h 42 min,19 h 48 min,19 h 54 min,20 h ,20 h 6 min,20 h 12 min,20 h 18 min,20 h 24 min,20 h 30 min,20 h 36 min,20 h 42 min,20 h 48 min
A01,Sample X1,16391,15204,14693,14560,14222,14319,14209,14324,14110,14215,14578,14273,14338,14436,14447,14593,14432,14353,14397,14452,14594,14375,14506,14416,14389,14879,14912,14633,14763,14661,14474,14211,14673,14800,14750,14822,14815,14615,14682,14741,14797,14768,14855,15057,14798,14815,14984,15001,14832,14733,14992,14986,14984,15061,15217,15011,14832,14925,15093,15173,14953,15315,15009,14993,15194,15045,15001,15355,15404,15130,15237,15276,15393,15503,15179,15323,15500,15428,15521,15571,15526,15428,15530,15685,15662,15659,15881,15570,15665,15704,15655,15826,15933,15877,15945,15862,16147,16181,16116,16095,16287,16176,16183,16135,16370,16560,16537,16404,16364,16458,16630,16462,16826,16776,16949,16673,16908,16886,16787,16919,17124,16813,16964,16902,17142,17045,17281,17382,17209,17420,17370,17338,17664,17487,17419,17573,17549,17436,17742,17651,17705,17625,17960,17807,17906,17864,17723,18040,18148,18189,18105,18033,18166,17867,17880,18325,18268,18144,18277,18303,18351,18393,18171,18481,18526,18214,18165,18236,18266,18443,18375,18125,18658,18298,18434,18200,18425,18482,18328,18413,18291,18402,18492,18452,18510,18510,18237,18465,18513,18499,18571,18429,18609,18629,18546,18797,18923,18868,18450,18686,18534,18874,18867,18717,18878,18537,18868,18711,18994
A02,Sample X2,16534,15518,15194,14956,14544,14887,14886,14433,14560,14458,14719,14641,14575,14786,14918,15028,15005,15234,14862,14869,15187,15307,15147,15013,15739,15596,14872,15983,15693,15703,15788,15385,15347,15877,15720,16234,15876,16458,16121,16670,16902,16847,16921,16853,17456,17278,17804,17823,17894,18217,18317,18754,18953,19104,19288,19353,19681,19867,20118,20500,20469,20568,21058,21576,21511,21494,21808,22100,22420,22415,22572,22864,22911,23421,23531,23408,23938,23804,24183,24707,24475,24616,24756,24932,24903,25552,25287,25754,25991,25730,26143,26181,26469,26494,26729,26475,26975,26885,27239,26978,27207,27221,27555,27537,27196,27619,27573,28215,28059,27890,28093,28030,27998,28046,28120,27975,28583,28487,28435,28244,28420,28514,28486,28202,28577,28654,28363,28576,28594,28998,28915,28451,28357,28767,28433,28607,28613,28491,28216,28444,28293,28795,28749,28666,28422,28885,28391,28550,28691,28610,28468,28394,28686,28444,28427,28314,28459,28306,28352,28221,27909,27922,28145,27924,28016,28112,27923,28038,27909,27805,27807,27807,27944,28214,27980,27862,28177,27681,27906,27583,27750,27866,27547,27632,27636,27624,27545,27413,27533,27673,27578,27545,27289,27256,27083,27379,27179,27014,27068,27220,27232,27498,26963,27416,27192,27083,26968,27063,26836
A03,Sample X3,16349,15156,14773,14531,14509,14422,14601,14279,14399,14520,14421,14306,14378,14443,14446,14451,14579,14441,14298,14607,14702,14764,14666,14595,14740,14571,14681,14860,14598,14619,14955,15051,14886,15221,15515,15277,15413,15678,15953,15852,16146,16404,16479,16483,16635,16879,16908,17297,17245,17252,17532,17832,17894,18026,18362,18266,18500,18785,18717,18927,18851,19276,19369,19341,19510,20067,20141,20204,20131,20535,20614,20667,21012,21036,21253,21202,21330,21558,21981,22071,21823,22254,22269,22190,22313,22563,23012,22744,23501,23566,23738,23796,23975,24034,23922,24052,24395,24402,24659,24868,24588,25378,25265,25066,25630,25222,25614,25821,26211,26011,26091,26354,26499,26440,26400,26938,27292,27301,27469,27449,27507,27234,27566,27741,28020,27892,27751,28048,28090,28254,28501,28386,28738,28523,28633,28638,29221,28650,29190,28785,29321,28964,29242,29212,29288,29330,29533,29817,29984,29405,29890,29703,29852,30041,30219,30109,30232,30240,30133,30014,30468,30147,30354,30504,30909,30416,30383,30409,30676,30787,30940,30677,30611,30820,31100,30851,31186,30851,30958,30820,31121,30834,31317,31439,30886,31158,30942,31299,31304,31083,31288,31128,31206,31214,31521,31268,31413,31160,31403,31092,31228,31256,31556,31444,31374,31379,31434,31312,31470
A04,Sample X4,16474,15200,14860,14720,14430,14397,14396,14378,14303,14589,14472,14467,14468,14734,14697,14457,14314,14707,14504,14635,14325,14780,14773,14952,15090,15072,15089,15512,15085,15395,15461,15709,16156,15977,16193,16246,16332,16948,17016,16846,17593,17686,17841,18243,18201,18460,18613,19018,18852,19248,19705,19820,20082,19960,20364,20423,20763,20859,21121,21327,21177,21769,21622,21580,21775,22042,21971,22158,22128,22573,22596,22507,22698,22555,22877,23015,23019,22936,23252,22716,23307,23480,23179,23525,23645,23456,23388,23721,23819,23948,23702,24068,23780,23850,23958,24378,24290,24495,24312,24456,24410,24644,24547,24797,24719,24930,24788,24905,25232,25468,25127,25543,25594,25235,25524,25400,25722,25512,25624,25597,25863,26008,26273,26225,26014,25797,26231,26103,26566,26040,26125,26190,26379,26337,26432,26384,26265,26289,26530,26418,26254,26423,26513,26667,26412,26363,26721,26587,26961,26314,26641,26642,26656,26755,26546,26523,26659,26689,26960,26429,26582,26407,26727,26789,26664,26683,26425,26443,26553,26308,26729,26699,26444,26315,26830,26207,26573,26187,26165,26210,25897,26279,26139,26181,26088,26086,26000,26125,25995,26166,26176,26003,25951,25607,25832,25720,25765,25707,25599,25677,25775,25549,25626,25849,25420,25674,25558,25390,25456
A05,Sample X5,16186,15063,14209,13954,14132,13954,13978,13996,14004,13741,13817,14109,14048,14073,13738,13790,13945,13820,14010,14071,14109,14113,14264,13899,13865,14174,14110,14313,14012,13748,14209,13813,13874,14113,14104,14127,13715,13995,14274,13768,13985,14510,14103,14011,14213,14086,14255,13762,13877,13696,13956,14428,14315,14176,14246,14425,14355,14176,14304,14307,14472,14219,14198,14235,14302,14168,14208,14013,14182,14111,14227,14084,13942,14300,14124,14336,14018,14541,14498,14412,14433,14250,14306,14302,13998,14352,14057,13978,14345,14127,14491,14370,14249,14362,14467,14394,14262,14240,14257,14435,14216,14203,14363,14546,14554,14442,14611,14419,14287,14355,14326,14568,14589,14312,14421,14298,14364,14696,14399,14181,14315,14325,14263,14263,14470,14577,14244,14543,14294,14471,14458,14493,14629,14345,14514,14519,14456,14493,14518,14342,14544,14253,14560,14641,14579,14829,14194,14596,14637,14602,14390,14305,14333,14712,14656,14497,14388,14866,14400,14773,14881,14331,14595,14730,14466,14709,14671,14786,14723,14551,14782,14536,14848,14765,14525,14427,14701,14645,15007,14681,14704,14827,14445,14786,14785,14500,15016,14708,14811,14794,14928,14927,14736,14757,14750,14876,14847,15088,14825,14947,15177,14645,14900,14911,15073,14875,15106,14970,15064
A06,Sample X6,16385,15317,14719,14833,14543,14547,14744,14709,14590,14603,14698,14702,14545,14856,14548,14811,14774,14739,14768,15047,15004,14748,14977,14769,14821,14972,14866,14827,14974,15010,15079,14751,14839,14819,15083,15168,14918,14819,15105,15139,15084,15125,15073,15006,14865,15288,15264,15377,15187,15260,15022,15225,15172,15340,15382,15168,15234,15298,15296,15427,15310,15224,15313,15270,15447,15573,15366,15565,15700,15704,15539,15699,16001,15439,15932,15845,15972,15907,16016,15927,16079,16000,16117,16336,16186,16456,16355,16653,16431,16763,16928,16705,16853,17344,17354,17419,17347,17460,17511,17797,17916,17925,17882,18107,18210,18478,18509,18329,18551,18727,18618,19087,19343,18984,19354,19171,19572,19464,19265,19622,19718,20066,20001,20000,20031,20149,20447,20219,20558,20641,20724,20691,20861,21068,20681,20856,21220,20920,21506,21458,21390,21500,21482,21449,21720,21702,21848,21986,21943,21642,21985,21940,22214,22438,21998,22732,22184,22457,22389,22275,22590,22587,22661,22512,22561,22389,22638,22976,22552,22816,22884,22843,23032,22707,22852,22883,23222,23018,23007,23129,23343,23543,22917,23284,23362,23059,23101,23475,23427,23138,23190,23335,23179,23492,23488,23305,23392,23367,23485,23824,23617,23548,23691,23532,23578,23574,23738,23737,23520
A07,Sample X7,16755,15437,15110,15001,14652,14670,14494,14592,14581,14692,14610,14499,14640,14858,14682,14448,14649,14734,14532,14519,14803,14663,14839,14775,14841,15161,14656,14633,14828,14805,14905,14839,14859,14744,14857,15124,14866,14614,14853,14833,14762,14646,15025,15346,15293,15039,15172,15314,14806,15374,15192,15441,15513,15433,15347,15523,15526,15416,15759,15650,15828,15790,15528,15877,15899,15995,15878,16298,15848,16113,16243,16341,16181,16502,16412,16402,16603,16673,16635,16562,16822,16779,16814,16981,17008,17034,17089,17127,17126,17255,17371,17414,17387,17482,17474,17575,17699,17811,17725,17426,17652,17815,17751,17586,18062,17944,17616,17931,17786,18222,18252,18104,18211,18379,18396,18580,18341,18429,18567,18646,18607,18693,18556,18677,18742,18656,18953,18752,19155,19011,18787,19093,19171,18982,19213,18970,19335,19090,19384,19249,19172,19366,19262,19348,19710,19641,19582,19397,19641,19365,19725,19865,19894,19713,19702,20022,19712,19597,19750,19660,19755,19767,20088,19973,20234,20034,19941,19959,20134,20268,20140,20314,20271,20486,20134,20545,20275,20186,20237,20599,20424,20531,20543,20424,20488,20399,20457,20709,20646,20584,20445,20497,21010,20716,20907,20908,20814,20910,20987,20731,21052,20932,20981,21109,21196,21250,20786,21141,21040
A08,Sample X8,16924,15796,15446,15025,14950,14769,14692,14791,14659,14821,14651,14912,14948,14830,14874,14922,14789,14721,15031,15162,15065,15130,14778,14943,14905,15069,15079,15137,15080,15295,15090,15123,15327,15189,15326,15225,15403,15314,15506,15262,15428,15763,15563,15668,15689,15556,15820,15946,15829,15762,15824,15945,16223,16224,16487,16386,16626,16678,16684,17037,17109,16958,17066,17470,17336,17713,18049,18028,18000,18030,18357,18362,18554,18727,19055,19205,19245,19577,19266,19582,19961,19854,20033,20056,20145,20191,20444,20604,20834,20635,20989,20910,21223,21193,21410,21643,21423,21894,21672,21903,22246,22235,22106,22529,22356,22783,22752,22886,23037,23086,23057,23233,23430,23097,23417,23664,23562,23795,23596,23849,23927,23684,24077,24015,24140,24052,24345,24185,24475,24137,24271,24403,24364,24462,24561,24496,24498,24707,24470,24412,24750,24991,24664,24643,24711,24659,24675,25019,24602,25072,24509,24706,24706,24710,24658,24880,24477,24556,24724,24594,24820,24516,24650,24766,24411,24740,24752,24578,24452,24152,24592,24378,24568,24697,24305,24578,24315,24307,24175,24154,24268,24297,24381,24215,24314,24305,24011,24135,24126,24324,23665,24016,23720,23955,23971,23741,23547,23725,23716,23756,23831,23578,23214,23556,23639,23059,23385,23515,23346
A09,Sample X9,16307,15067,14588,14472,14193,14211,14239,14203,14259,14290,14467,14303,14539,14356,14180,14344,14319,14283,14148,14328,14616,14428,14372,14443,14257,14465,14543,14198,14533,14443,14882,14532,14279,14637,14382,14475,14649,14468,14739,14768,14824,14646,14661,14595,14839,14678,14672,15033,15213,14791,14574,14627,15122,14925,15108,15067,15193,14805,15211,15395,15280,15476,15527,15401,15637,15596,15853,15748,16038,15976,15663,16106,15872,16100,16144,15986,16344,16411,16408,16545,16709,16615,16862,16887,17035,16906,16998,17025,17551,17372,17594,17467,17798,17698,18027,17833,18009,18034,18132,18563,18571,18577,18281,18526,18602,18941,19113,18880,18809,19063,19115,19158,19353,19186,19397,19586,19596,19830,19618,19634,19761,19660,19918,19821,19893,19866,19857,19719,19895,19927,20241,20087,20075,20220,20028,20390,20532,19917,20322,20490,20107,20437,20596,20521,20327,20206,20574,20573,20613,20909,20807,20873,20655,20317,20776,20975,20614,20617,20636,20916,20523,21023,21264,20699,20539,20699,21117,20660,20513,20732,20606,20732,20785,20759,20972,20613,20728,20635,20676,20850,20714,20884,20826,20504,20565,20611,20696,20578,20830,20618,20740,20647,20455,20748,20402,20532,20624,20389,20751,20514,20354,20556,20393,20412,20609,20314,20229,20372,20199
