Well,Content, Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1)
,Time,0 h ,0 h 6 min,0 h 12 min,0 h 18 min,0 h 24 min,0 h 30 min,0 h 36 min,0 h 42 min,0 h 48 min,0 h 54 min,1 h ,1 h 6 min,1 h 12 min,1 h 18 min,1 h 24 min,1 h 30 min,1 h 36 min,1 h 42 min,1 h 48 min,1 h 54 min,2 h ,2 h 6 min,2 h 12 min,2 h 18 min,2 h 24 min,2 h 30 min,2 h 36 min,2 h 42 min,2 h 48 min,2 h 54 min,3 h ,3 h 6 min,3 h 12 min,3 h 18 min,3 h 24 min,3 h 30 min,3 h 36 min,3 h 42 min,3 h 48 min,3 h 54 min,4 h ,4 h 6 min,4 h 12 min,4 h 18 min,4 h 24 min,4 h 30 min,4 h 36 min,4 h 42 min,4 h 48 min,4 h 54 min,5 h ,5 h 6 min,5 h 12 min,5 h 18 min,5 h 24 min,5 h 30 min,5 h 36 min,5 h 42 min,5 h 48 min,5 h 54 min,6 h ,6 h 6 min,6 h 12 min,6 h 18 min,6 h 24 min,6 h 30 min,6 h 36 min,6 h 42 min,6 h 48 min,6 h 54 min,7 h ,7 h 6 min,7 h 12 min,7 h 18 min,7 h 24 min,7 h 30 min,7 h 36 min,7 h 42 min,7 h 48 min,7 h 54 min,8 h ,8 h 6 min,8 h 12 min,8 h 18 min,8 h 24 min,8 h 30 min,8 h 36 min,8 h 42 min,8 h 48 min,8 h 54 min,9 h ,9 h 6 min,9 h 12 min,9 h 18 min,9 h 24 min,9 h 30 min,9 h 36 min,9 h 42 min,9 h 48 min,9 h 54 min,10 h ,10 h 6 min,10 h 12 min,10 h 18 min,10 h 24 min,10 h 30 min,10 h 36 min,10 h 42 min,10 h 48 min,10 h 54 min,11 h ,11 h 6 min,11 h 12 min,11 h 18 min,11 h 24 min,11 h 30 min,11 h 36 min,11 h 42 min,11 h 48 min,11 h 54 min,12 h ,12 h 6 min,12 h 12 min,12 h 18 min,12 h 24 min,12 h 30 min,12 h 36 min,12 h 42 min,12 h 48 min,12 h 54 min,13 h ,13 h 6 min,13 h 12 min,13 h 18 min,13 h 24 min,13 h 30 min,13 h 36 min,13 h 42 min,13 h 48 min,13 h 54 min,14 h ,14 h 6 min,14 h 12 min,14 h 18 min,14 h 24 min,14 h 30 min,14 h 36 min,14 h 42 min,14 h 48 min,14 h 54 min,15 h ,15 h 6 min,15 h 12 min,15 h 18 min,15 h 24 min,15 h 30 min,15 h 36 min,15 h 42 min,15 h 48 min,15 h 54 min,16 h ,16 h 6 min,16 h 12 min,16 h 18 min,16 h 24 min,16 h 30 min,16 h 36 min,16 h 42 min,16 h 48 min,16 h 54 min,17 h ,17 h 6 min,17 h 12 min,17 h 18 min,17 h 24 min,17 h 30 min,17 h 36 min,17 h 42 min,17 h 48 min,17 h 54 min,18 h ,18 h 6 min,18 h 12 min,18 h 18 min,18 h 24 min,18 h 30 min,18 h 36 min,18 h 42 min,18 h 48 min,18 h 54 min,19 h ,19 h 6 min,19 h 12 min,19 h 18 min,19 h 24 min,19 h 30 min,19 h 36 min,19 h 42 min,19 h 48 min,19 h 54 min,20 h ,20 h 6 min,20 h 12 min,20 h 18 min,20 h 24 min,20 h 30 min,20 h 36 min,20 h 42 min,20 h 48 min,20 h 54 min,21 h ,21 h 6 min,21 h 12 min,21 h 18 min,21 h 24 min,21 h 30 min,21 h 36 min
A01,Sample X1,15453,15012,14411,13918,14047,13783,13808,13619,13769,13741,13776,13566,13707,13822,13709,13662,13701,13553,13646,13946,13714,13714,13765,13557,13540,13755,13413,13546,13402,13698,13791,13742,13585,13502,13405,13404,13678,13810,13965,13816,13772,13632,13915,13782,13794,13997,13785,13679,13921,13994,13897,14103,13985,14052,14134,14125,13928,14053,14327,14274,14236,14150,14148,14236,14422,14382,14413,14136,14150,14342,14441,14444,14656,14671,14539,14758,14696,14571,14862,14966,14922,15022,14840,15263,15137,14921,15278,15345,15373,15475,15411,15593,15517,15648,15498,15742,15658,15735,15737,15746,15946,16005,15904,16428,16026,16244,16440,15990,16424,16397,16664,16846,16611,16577,16923,16834,17002,16750,16917,16947,17055,17391,17439,17242,17463,17582,17357,17515,17578,17614,17741,17614,17866,18034,18333,18107,18141,17990,18158,18606,18578,18391,18864,18750,18798,18859,19078,18742,18958,19124,19231,19391,19418,19499,19538,19486,19490,19487,19841,19791,20155,19810,20280,20135,20325,20101,20260,20405,20452,20467,20486,20499,20578,20429,20592,20848,20896,20934,20993,21333,21061,21245,21070,21413,21326,21013,21385,21431,21481,21472,21963,21682,21740,21928,21879,22046,21918,22012,22069,22110,22463,22366,22467,22513,22472,22513,22465,22556,22701,22478,22558,22491,22748,23018,23041,22791,22876
A02,Sample X2,16273,15934,15267,15262,14843,14665,14618,14720,14843,15055,14863,15214,15233,15422,15270,15590,15572,15615,16019,16104,16041,16173,16769,16741,16666,17126,17269,17343,18012,18158,18083,18069,18675,18804,19303,19396,19539,19941,20059,20617,20962,21235,21429,21650,21978,22089,22270,22583,22705,23272,23224,23590,23410,23899,23876,23979,24300,24247,24566,24699,24685,24938,25291,25042,25114,25254,25427,25720,25989,25820,25940,25769,26180,25913,26112,25995,25914,26026,26043,26468,26212,26496,26418,26466,26224,26072,26376,26467,26616,26696,26422,26173,26462,26516,26386,26607,26500,26323,26446,26441,26864,26343,26428,26605,26346,26410,26588,26504,26679,26639,26767,26267,26455,26435,26384,26461,26489,26201,26672,26441,26645,26148,26290,26225,26337,26579,26484,26446,26314,26093,26030,26517,26105,26448,26274,26286,26193,26460,26284,26369,26600,26569,26558,26288,26425,26204,25972,26190,26161,26153,26159,26539,26102,26269,25992,26159,26109,25939,26183,25811,25772,25907,26005,25707,26047,26097,25734,25955,25936,25560,25629,25391,25952,25690,25562,25436,25652,25451,25492,25434,25279,25477,25289,25079,25441,25587,25470,25428,25310,25377,25098,25444,25093,25228,25056,25161,25058,25283,25047,24971,24945,24691,24841,24660,24886,24788,24841,24729,24690,24757,24714,24560,24701,25038,24543,24647,24295
A03,Sample X3,15536,14862,14039,13856,13862,13810,13844,13661,13556,13812,13654,13518,13717,13900,13576,13683,13732,13567,13728,13763,13641,13666,14056,13847,13907,13967,13959,13780,14320,14129,14125,14236,14406,14513,14685,14727,14679,14938,15138,15359,15429,15597,15793,16167,16276,16416,16505,16609,16779,16997,17109,17456,17415,17694,17656,17945,18047,17919,18602,18469,18590,19015,19034,18932,19196,19714,19433,19693,19988,19954,19922,20139,20228,20374,20569,20633,20634,20815,21103,21251,21334,21488,21456,21461,21474,21769,21757,21903,22244,22152,22179,22412,22416,22524,22704,22620,22978,22928,23057,23176,23464,23393,23445,23573,23513,23742,23679,23797,23994,24106,24158,24110,24085,24283,24657,24663,24733,24599,24959,24963,24984,25099,24989,24985,25408,25261,25497,25794,25732,25938,25654,26016,25957,26282,26281,26174,26496,26581,26682,26760,26466,26725,26965,26996,26820,26974,27063,27103,27286,27374,27519,27320,27453,27622,27708,27454,27941,27601,27685,27625,27679,27790,27969,28002,27903,28066,28117,27909,28121,28452,28326,28153,28395,28403,28242,28640,28546,28635,27934,28618,28381,28507,28388,28560,28397,28390,28498,28633,28453,28578,28423,28715,28586,28472,28758,28474,28828,28233,28567,28917,28538,28599,28537,28508,28395,28471,28425,28638,28582,28903,28696,28360,28278,28389,27999,28736,28916
A04,Sample X4,15774,14913,14494,14077,14149,14065,13819,13749,14137,13896,14174,14146,14194,13844,14000,14011,14101,13806,13846,14151,14045,14221,14396,14092,14111,14439,14439,14555,14812,14664,14956,15087,15143,15265,15587,15604,15676,16083,16191,16542,16483,17034,16892,17104,17146,17255,17665,17636,17970,17935,17947,17809,18181,18664,18524,18490,18673,18885,19025,18983,19226,19207,19322,19446,19508,19643,19669,19531,19619,19943,19781,19675,20045,19981,19942,20073,20057,20308,20261,20212,20420,20387,20302,20255,20481,20440,20439,20708,20471,20599,20484,20885,20422,20607,20743,20707,20747,20453,20856,20878,20890,21256,21002,20963,21087,21031,21273,21276,21089,21481,21422,21608,21366,21831,21544,21769,21401,21787,21774,21733,22088,22095,21978,22215,21939,22003,22400,22174,22207,22195,22343,22593,22694,22608,22604,22742,22655,22945,22855,23055,23080,23109,23378,23344,23512,23146,23452,23382,23222,23360,23231,23426,23604,23092,23474,23846,23711,23587,23608,23531,23322,23342,23283,23469,23506,23616,23772,23167,23839,23830,23861,23531,23678,23610,23668,23951,23933,23632,23751,23882,24007,23846,23772,24293,23783,24394,23743,23736,23749,24015,24173,24025,23940,23899,23842,23838,23859,23739,24260,23564,24204,23756,23733,23819,23894,23876,23742,23764,23728,23625,23848,23698,23856,23516,23659,23357,23733
A05,Sample X5,16469,15362,14908,14591,14415,14489,14354,14426,14348,14116,14571,14326,14251,14507,14375,14558,14066,14303,14108,14345,14020,14069,14363,14230,14409,14110,14301,14222,14182,14213,14596,14222,14318,14067,14079,13994,14093,13909,14283,13914,14082,14440,14214,13957,14196,14048,14249,14109,14237,14192,14319,13924,13950,14072,14001,14080,14352,13969,14301,14267,14227,14280,14099,13837,14401,14182,13943,14169,14110,14146,14173,14051,13919,14076,14195,13925,14017,13930,14071,14025,14009,14184,14137,14063,14113,14111,14206,14261,14022,14055,13979,13807,14157,14149,14216,14157,14063,14032,14383,14293,14425,14225,14095,14193,14366,14324,14305,14282,13973,14017,14353,14325,14177,14326,14592,14232,14457,14377,14223,14432,14255,14546,14413,14405,14387,14286,14199,14399,14374,14456,14401,14378,14505,14638,14841,14405,14477,14603,14743,14583,14596,14670,14508,14514,14351,14506,14490,14554,14689,14586,14643,14708,14701,14752,14450,14632,14581,14605,14480,14877,14675,14575,14823,14637,14553,14672,14549,14964,14632,14661,14592,14481,14396,14625,14722,14588,14707,14761,14602,14861,14775,14894,14509,14635,14845,14872,14827,14604,14587,14676,14919,14898,14647,14621,14568,14672,14928,14895,14797,14832,14806,14975,14759,14782,14710,14845,14716,14616,14764,14990,14825,14859,14889,14886,14868,14794,14896
A06,Sample X6,16403,15318,15104,14916,14671,14893,14569,14601,14447,14642,14588,14489,14598,14673,14665,14474,14498,14517,14382,14222,14411,14357,14846,14552,14300,14242,14696,14428,14319,14446,14354,14331,14630,14727,14494,14252,14387,14397,14635,14697,14588,14591,14734,14634,15314,14882,15038,14713,15039,15054,15163,15271,15419,15200,15361,15710,15889,15847,15789,15875,16127,16293,16311,16501,16623,16735,16787,17092,17065,17546,17471,17459,17507,17655,17826,18046,18313,18084,18520,18380,18711,18688,18765,19012,19251,18898,19631,19528,19884,19939,19771,20140,20386,20284,20520,20511,20602,20977,21019,21036,21137,21224,21071,21401,21501,21592,21833,21768,21988,22219,21946,22239,22479,22381,22707,22493,22840,22643,23059,23214,23434,23294,23267,23406,23505,23961,23670,23512,23727,23758,24321,23972,24240,24049,24385,24386,24515,24539,24532,24616,24574,24918,24789,25200,25118,24994,25273,25115,25192,25402,25317,25173,25186,25345,25332,25576,25462,25536,25809,25266,25701,25730,25231,25929,25479,25643,25577,25736,25642,25692,25615,25897,25635,25710,25763,25844,25917,25612,26131,26000,25933,26095,26146,25921,26035,25969,26193,26120,26116,25829,26082,26096,26038,26310,26359,26118,26121,26026,26522,26147,25792,26114,26138,26234,25821,25985,25985,26228,26161,26207,25897,26032,25934,26286,26005,25909,25743
A07,Sample X7,16158,15240,14865,14789,14483,14295,14187,14368,14432,14468,14185,14397,14349,14183,14502,14246,14097,14156,13918,14163,14118,14041,13957,13984,14081,13939,13762,14106,14321,13901,13787,13955,14009,14128,14095,13966,14098,14164,13931,14019,13882,14291,14052,13988,13895,14223,14075,14125,14287,14303,14174,13900,14242,14111,14171,14157,14459,14277,14174,14271,14613,14470,14615,14601,14542,14722,14479,14516,14510,14707,14465,14688,14911,14966,14595,14734,14942,14778,14917,14836,14958,15107,14999,15032,15149,15224,15107,15359,15096,15092,15466,14908,15091,15367,15504,15373,15260,15620,15527,15460,15790,15617,15604,15395,15471,15626,15741,15685,15779,15498,15679,15870,15714,15944,15840,15786,15702,15651,15764,16109,16124,16037,16202,15929,16285,16064,16062,16391,16315,16067,16188,16294,16082,16591,16511,16356,16417,16643,16572,16544,16528,16636,16488,16598,16761,16858,16677,16618,16921,16919,16970,16840,16829,16627,16985,16672,16630,16924,16825,16975,16835,16832,16981,17031,17019,17173,16922,17041,16830,17243,17243,17076,17058,16988,17070,17148,17385,17116,17141,17003,17105,17231,17350,17173,17342,17174,17219,17109,17176,17404,17287,17310,17318,17357,17194,17381,17314,17383,17319,17153,17469,17306,17582,17459,17336,17251,17474,17459,17315,17380,17323,17470,17637,17385,17604,17420,17498
A08,Sample X8,16551,15361,14859,14731,14401,14651,14009,14283,14408,14334,14154,14236,14435,14389,14318,14011,14372,14334,14144,14203,14080,14436,14226,14351,14013,14101,14279,14195,14333,14112,14284,14252,14172,14155,14148,14191,14429,14408,14447,14415,14691,14720,14659,14894,14821,15114,15147,15183,15224,15264,15678,15851,15784,15794,15939,16137,16468,16849,16717,16745,17092,17043,17202,17524,17487,17772,18059,18225,18446,18339,18564,18690,18488,18833,19073,19326,19339,19330,19661,19465,19923,20197,20040,20075,20477,20522,20945,20852,20895,21162,21348,21541,21864,21939,21733,21933,22148,21806,22304,22145,22304,22453,22647,22366,22974,23113,22820,22857,23292,23233,23166,23516,23426,23452,23579,23709,23763,23858,23694,23884,23755,24148,23881,23695,24239,23969,24248,23999,24072,24014,24392,24443,24361,24740,24650,24790,24567,24815,24980,24872,24740,25013,24843,24949,25001,24848,24959,24816,24878,25018,24864,24796,24901,24930,25009,24659,24781,24704,25071,24730,24759,24743,24599,24866,24967,24425,24757,24712,24890,24355,24338,24478,24338,24598,24327,24724,24323,24488,24398,24243,23993,24132,24039,24236,24225,24256,23850,24050,23975,24157,24264,23784,24046,23700,23495,23830,23966,23647,23645,23512,23212,23452,23225,23301,23330,23523,23285,23231,23287,23361,23189,23038,22610,23038,22983,22796,22822
A09,Sample X9,15644,14778,14376,13872,13831,14074,13809,13939,13936,13761,13994,13867,14058,13846,14252,13919,13926,14031,14185,14055,13849,14155,14159,14263,14059,14135,14136,14243,14340,14385,14319,14565,14637,14621,14786,14634,14857,14711,14905,15118,15067,15129,15210,15425,15329,15509,15700,15720,15835,15857,15986,16238,16274,16305,16492,16800,16837,16811,17004,17001,17255,17437,17414,17577,17759,17732,17753,18424,17920,18296,18468,18429,18512,18889,18870,19113,18843,19045,19034,19215,19366,19487,19808,19817,19889,19750,19982,19895,20078,20271,20242,20343,20592,20564,20547,20686,21079,21177,21027,20947,21036,21194,21425,21272,21177,21163,21374,21533,21448,21787,21712,21450,21874,21965,21667,21857,21990,21943,21593,22075,21956,22014,22037,22045,22113,22066,22062,22186,22214,22427,22260,22611,22403,22332,22343,22573,22796,22443,22683,22443,22521,22495,22227,22625,22637,22579,22686,22535,22377,22393,22808,22426,22701,22731,22554,22365,22482,22452,22303,22295,22593,22561,22498,22682,22394,22373,22221,22116,22218,22399,22326,22389,22377,22313,22199,22366,22339,22418,22123,22271,21913,22283,21889,22211,21913,22206,22143,22036,21799,21774,22034,21676,21785,21782,21648,21776,21968,21631,21636,21928,21910,21469,21438,21647,21268,21442,21545,21272,21804,21399,21396,21751,21296,21549,21258,21439,21326
