Well,Content, Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1)
,Time,0 h ,0 h 6 min,0 h 12 min,0 h 18 min,0 h 24 min,0 h 30 min,0 h 36 min,0 h 42 min,0 h 48 min,0 h 54 min,1 h ,1 h 6 min,1 h 12 min,1 h 18 min,1 h 24 min,1 h 30 min,1 h 36 min,1 h 42 min,1 h 48 min,1 h 54 min,2 h ,2 h 6 min,2 h 12 min,2 h 18 min,2 h 24 min,2 h 30 min,2 h 36 min,2 h 42 min,2 h 48 min,2 h 54 min,3 h ,3 h 6 min,3 h 12 min,3 h 18 min,3 h 24 min,3 h 30 min,3 h 36 min,3 h 42 min,3 h 48 min,3 h 54 min,4 h ,4 h 6 min,4 h 12 min,4 h 18 min,4 h 24 min,4 h 30 min,4 h 36 min,4 h 42 min,4 h 48 min,4 h 54 min,5 h ,5 h 6 min,5 h 12 min,5 h 18 min,5 h 24 min,5 h 30 min,5 h 36 min,5 h 42 min,5 h 48 min,5 h 54 min,6 h ,6 h 6 min,6 h 12 min,6 h 18 min,6 h 24 min,6 h 30 min,6 h 36 min,6 h 42 min,6 h 48 min,6 h 54 min,7 h ,7 h 6 min,7 h 12 min,7 h 18 min,7 h 24 min,7 h 30 min,7 h 36 min,7 h 42 min,7 h 48 min,7 h 54 min,8 h ,8 h 6 min,8 h 12 min,8 h 18 min,8 h 24 min,8 h 30 min,8 h 36 min,8 h 42 min,8 h 48 min,8 h 54 min,9 h ,9 h 6 min,9 h 12 min,9 h 18 min,9 h 24 min,9 h 30 min,9 h 36 min,9 h 42 min,9 h 48 min,9 h 54 min,10 h ,10 h 6 min,10 h 12 min,10 h 18 min,10 h 24 min,10 h 30 min,10 h 36 min,10 h 42 min,10 h 48 min,10 h 54 min,11 h ,11 h 6 min,11 h 12 min,11 h 18 min,11 h 24 min,11 h 30 min,11 h 36 min,11 h 42 min,11 h 48 min,11 h 54 min,12 h ,12 h 6 min,12 h 12 min,12 h 18 min,12 h 24 min,12 h 30 min,12 h 36 min,12 h 42 min,12 h 48 min,12 h 54 min,13 h ,13 h 6 min,13 h 12 min,13 h 18 min,13 h 24 min,13 h 30 min,13 h 36 min,13 h 42 min,13 h 48 min,13 h 54 min,14 h ,14 h 6 min,14 h 12 min,14 h 18 min,14 h 24 min,14 h 30 min,14 h 36 min,14 h 42 min,14 h 48 min,14 h 54 min,15 h ,15 h 6 min,15 h 12 min,15 h 18 min,15 h 24 min,15 h 30 min,15 h 36 min,15 h 42 min,15 h 48 min,15 h 54 min,16 h ,16 h 6 min,16 h 12 min,16 h 18 min,16 h 24 min,16 h 30 min,16 h 36 min,16 h 42 min,16 h 48 min,16 h 54 min,17 h ,17 h 6 min,17 h 12 min,17 h 18 min,17 h 24 min,17 h 30 min,17 h 36 min,17 h 42 min,17 h 48 min,17 h 54 min,18 h ,18 h 6 min,18 h 12 min,18 h 18 min,18 h 24 min,18 h 30 min,18 h 36 min,18 h 42 min,18 h 48 min,18 h 54 min,19 h ,19 h 6 min,19 h 12 min,19 h 18 min,19 h 24 min,19 h 30 min,19 h 36 min,19 h 42 min,19 h 48 min,19 h 54 min,20 h ,20 h 6 min,20 h 12 min,20 h 18 min,20 h 24 min,20 h 30 min,20 h 36 min,20 h 42 min,20 h 48 min,20 h 54 min,21 h ,21 h 6 min,21 h 12 min,21 h 18 min,21 h 24 min,21 h 30 min,21 h 36 min,21 h 42 min,21 h 48 min,21 h 54 min,22 h ,22 h 6 min,22 h 12 min,22 h 18 min,22 h 24 min,22 h 30 min
A01,Sample X1,16649,16303,15893,15669,15564,15464,15270,15415,15123,15113,15296,15495,15119,15139,15027,15061,14938,15215,15071,14864,14964,14910,15104,14868,15015,14788,14991,14813,14873,14867,15112,15015,15118,14783,14953,14898,14878,15123,15316,15126,15288,15221,15553,15566,15648,15889,15692,16025,16048,16353,16310,16290,16860,16703,16663,16950,17399,17474,17711,17804,17971,18354,18328,18449,18703,19087,19211,19139,19304,19873,19971,20286,20246,20737,20812,21092,21539,21436,21907,21886,21955,22192,22257,22583,22590,22772,23209,23473,23545,23498,23558,24013,24327,24207,24402,24792,24681,25004,25344,25121,25082,25811,25427,25457,26230,26226,26203,26539,26533,26542,26683,26901,27087,27118,27197,27197,27368,27278,27227,27450,27308,27737,27622,27699,27708,27766,27931,27859,27972,28102,27891,27987,28206,28625,28311,28213,28113,28337,28438,28292,28548,28662,28321,28463,28396,28674,28817,28681,28752,28472,28605,28829,28819,28783,28317,28965,28651,28601,28784,28450,28695,29045,28811,28544,28695,28666,28781,28596,28860,28681,28768,28711,28911,28283,28369,28806,28674,28481,28662,28449,28539,28550,28238,28501,28772,28651,28486,28496,28126,28366,28501,28291,28252,28127,28063,28276,27793,28266,28140,28038,27743,27700,28002,27932,28321,28349,27970,27967,28059,28237,28440,28208,27880,28155,28034,27966,28301,27964,27947,28207,28021,27977,28178,27996,28059,27957
A02,Sample X2,15992,15846,15409,15598,15176,14966,14941,14960,15106,15356,15120,15024,15296,15633,15823,15447,15033,15536,15684,15608,15628,15550,15524,15374,15823,15764,15528,15326,15422,15644,15435,15633,15452,15376,15336,15387,15566,15315,15227,15501,15378,15213,15497,15594,14893,15253,15438,14739,15411,15492,15471,15770,15875,15954,16182,15844,16068,16073,15959,16399,16612,16568,16483,16411,16734,16837,17032,16868,17019,17104,17448,17428,17476,17643,17652,17850,17817,17916,17976,18392,18388,18743,18551,18900,18623,18578,19050,18957,19098,19168,19395,19330,19456,19362,19721,19615,20004,19708,20009,20055,20098,20042,20056,20339,20242,20393,20352,20479,20542,20383,20542,20793,20378,20672,20761,20814,20893,20592,20780,20756,20882,20785,21028,20689,20906,20750,20640,20972,21041,20947,20994,21003,21118,21078,20648,20837,20889,21169,20882,20816,21176,21300,20957,20999,20871,20909,20962,20890,21080,20903,20920,20484,20832,20859,21152,20972,20812,20624,20881,20737,20505,20593,20614,20619,20815,20929,20750,20850,20671,20638,20542,20793,20793,20545,20652,20335,20492,20457,20246,20725,20674,20404,20293,20391,20348,20358,20133,20292,20565,20145,19890,20250,20135,20417,20240,20121,20165,20179,20128,19979,20361,20233,20162,20091,20002,20379,20216,20265,20370,20100,20301,20164,20187,20167,20251,20362,20050,20310,20077,19888,20000,20248,20083,20184,20100,20062
A03,Sample X3,16204,15718,15130,15251,14966,14667,14577,14800,14917,14875,14753,14855,14484,14639,14746,14658,14947,14660,14750,14529,14653,14890,14627,14691,14765,14639,14703,14852,14956,14748,14681,14875,15111,14802,14871,14995,15015,15173,15263,15366,15207,15380,15399,15659,15452,15629,15699,15927,15895,15793,16104,16382,16165,16342,16578,16786,16884,16723,17172,17283,17373,17797,17712,17978,18188,18383,18291,18540,18880,19216,19587,19549,19845,19970,19922,20500,20511,20787,20971,21278,21440,21417,21731,21778,22243,22307,22123,22325,22525,23000,22792,23108,23274,23394,23382,23396,23588,23528,23954,24051,24006,24375,24410,24114,24526,24351,24447,24394,24534,24489,24803,24715,24480,24713,24954,24744,25102,24908,24808,25006,24883,24694,25166,25157,25106,24785,24845,24817,24748,25060,24758,24865,24844,24879,24940,24790,24616,24643,24770,24881,24747,24591,24493,24689,24208,24640,24398,24345,24150,24199,24520,24183,24407,24026,24007,24408,23830,23813,23807,23798,23823,23918,24009,23756,23814,23641,23740,23649,23926,23829,23650,23454,23520,23620,23290,23217,23190,23261,23272,23209,23030,22941,23302,22691,23181,22804,23082,22697,22827,22678,22833,22910,22567,22614,22200,22694,22605,22417,22430,22404,22135,22234,22414,22422,21996,22375,22195,22115,22309,22463,22083,22170,22508,21996,22162,22089,22176,21923,22315,21886,22041,22102,21890,21975,21939,22108
A04,Sample X4,16689,16194,15447,15316,14814,14935,14828,14823,14979,15030,14665,14595,14617,14685,14769,14855,14797,14442,14543,14433,14935,14738,14910,14657,15155,14738,15149,14867,14606,14759,14910,15081,14955,14995,14876,15124,14943,15136,14582,14682,14830,15112,15212,15064,14913,15018,15467,15073,15314,15327,15213,15139,15123,15044,15554,15185,15402,15182,15465,15400,15739,15567,16022,16025,16256,16158,16307,16001,16251,16236,16296,16425,16392,16551,16406,16884,16529,16534,16587,16842,16832,16954,16709,16895,17070,17148,17165,17163,16971,16842,16780,16913,16984,16977,16914,17019,17173,17242,17112,17007,17195,17033,17231,17132,17305,17204,17134,17710,17404,17233,17442,17184,17354,17277,17422,17499,17508,17330,17471,17421,17499,17567,17623,17545,17415,17486,17679,17584,17652,17655,17562,17453,17465,17883,17930,17610,17637,17656,17771,17585,17774,17629,17823,17592,17619,17617,17590,17728,17816,17520,17599,17888,17711,17854,17768,17934,17726,17700,17837,17940,17422,17574,17673,17742,17728,17945,17593,17928,17718,17776,17891,17579,17752,17690,17716,17438,17909,17699,17718,17757,17682,17962,17658,17653,17815,18032,17996,17598,17737,17907,17720,17630,17619,17594,17987,17874,17723,17726,17673,17676,17772,17940,17885,17777,17730,17708,17799,17765,17812,18042,18163,18016,18102,18000,18209,17927,18137,17989,17916,17913,17991,18001,18141,17843,18030,17927
A05,Sample X5,16035,15908,15325,15191,14774,14708,14967,14826,14753,14847,14662,14681,14861,15062,14664,14823,14773,14696,14788,14675,14593,14607,14692,14999,14636,15099,15172,14994,14934,14773,14999,14612,15014,14552,15033,14835,15302,14808,15055,14894,15023,15473,14911,15073,14441,14658,15092,14571,14693,14831,14928,14852,14568,14804,14991,15425,14509,14832,14883,15040,14992,14656,15121,14988,14495,14659,14877,14626,14800,14880,14602,14460,14739,14662,14968,14770,14840,14464,14809,14819,14962,14880,14628,14404,14649,14637,14916,15006,15248,14819,15122,14707,15011,14985,14736,14927,15073,14776,14703,15381,15280,15043,15285,14976,15307,15331,15037,15167,14971,15120,14734,15016,15028,14763,15065,15053,15266,15183,15135,15231,14976,15016,15117,15264,15324,15220,15308,14926,15201,15203,15214,15126,15771,15494,15464,15464,15484,15555,15405,15330,15576,15552,15519,15487,15722,15610,15559,15796,15715,15743,15542,15874,15807,15719,15651,15869,15685,15593,15487,15647,15697,15700,15830,15743,15753,15954,15978,15791,15748,15690,15718,15836,15719,15732,15893,16028,15866,15783,15761,15676,15912,15885,15819,15921,15816,15741,15819,15751,15782,15870,15595,16107,16143,15843,15860,16050,15811,16036,16072,16131,16026,15966,15950,15672,16130,15992,15981,15954,16132,15981,16193,16162,16025,16110,16038,16002,16218,16065,16145,15746,16239,16170,16096,16058,16336,15986
A06,Sample X6,16630,16625,15776,15313,15137,14962,14856,14900,14907,14825,14663,15076,14873,15176,14795,14648,14884,14814,14825,14811,14730,14875,14753,14615,14526,14607,14468,14577,14658,14675,14536,14504,14656,14482,14656,14739,14538,14544,14507,14700,14500,14654,14748,14748,14706,14531,15151,14984,14789,14858,15005,15115,15189,15396,15231,15426,15712,15632,15635,15711,15729,15775,15887,15856,15884,16100,15951,15913,16144,16274,16411,16237,16057,16314,16292,16155,16517,16575,16430,16454,16603,16478,16692,16638,16884,16801,17038,17038,16968,17367,17044,17182,17294,17503,17473,17557,17673,17468,17602,17779,17928,17872,17964,18186,17935,18333,18037,18256,18175,18426,18434,18466,18809,18594,18707,18411,18628,18721,18733,18828,19101,18959,19203,18941,19156,19119,19212,19441,19178,19388,19395,19384,19264,19210,19695,19668,19463,19654,19438,19682,19663,19835,19620,19848,19842,19804,19757,19918,20129,19937,19970,20010,19904,19968,19812,19906,19917,20132,20069,20345,20054,20256,19923,20160,20125,20117,20320,20309,20450,20168,20195,20370,20105,20067,20048,20060,20468,20226,20148,20381,20403,20042,20304,20558,20347,20410,20474,20319,20371,20400,20291,20170,20215,20360,20340,20209,20443,20546,20240,20329,20473,20685,20301,20122,20237,20305,20578,20619,20630,20291,20448,20525,20618,20732,20748,20513,20440,20664,20497,20613,20309,20823,20690,20800,20729,20718
A07,Sample X7,16469,16239,15622,15689,15071,14850,14954,15267,15324,14860,14979,14933,14854,15089,15135,14924,14908,14815,14754,15101,14899,14930,15070,14932,14732,14532,15012,14710,15090,14888,14674,14912,14740,14831,14810,15007,14929,15033,14995,15064,15075,14994,15316,15233,15270,14933,15115,15099,15095,15499,15181,15354,15522,15720,15778,15501,16159,16170,16114,16362,16627,16660,17102,17454,17360,17663,17986,18377,18684,19048,19178,19226,19567,19604,19672,20221,20725,20985,21231,21350,21601,21957,22168,22502,23036,22912,23350,23684,23695,24174,24579,24642,24833,25101,25290,25568,25687,26161,26160,26625,26624,26776,27318,27518,27446,27633,27984,28206,28344,28440,28652,28866,28811,29072,29207,29520,29362,29450,29738,29960,29734,29846,29760,29977,30222,30351,29948,30466,30167,30262,30189,30471,30763,30592,30432,30660,30433,30252,30318,30725,30549,30915,30586,30581,30578,30706,30505,30421,30688,30825,30612,30319,30694,30809,30845,30484,30749,30792,30609,30447,30358,30317,30431,30478,30259,30257,30173,30538,30407,30034,30103,30532,29867,29888,30235,30141,29791,29962,29964,29707,29657,30195,30004,29459,29484,29607,29439,29350,29572,29101,29542,29774,29201,28994,29228,29246,28771,28922,28959,29088,28572,28725,29395,28747,28959,28975,28459,28818,28761,28512,28560,28737,28459,28695,28545,28459,28486,28602,28328,28024,28209,28586,28342,28351,28256,28289
A08,Sample X8,16957,16334,16147,15546,15784,15436,15424,14969,14947,15262,15234,15042,14985,15027,15164,14933,14821,15037,15092,15016,14757,15033,15125,15079,15147,15048,15093,14990,15062,15108,14876,14814,15120,14833,15012,14889,14967,14870,14817,15042,14871,15082,14895,14913,15018,15331,14987,15223,15163,15134,15210,15594,15355,15424,15735,15402,15682,15683,15663,15702,15654,15530,15643,15988,15738,15752,15855,15747,15894,16003,15685,15743,15842,15827,15902,15890,15902,16106,15898,16003,15909,15903,16085,15903,16095,16105,16018,15965,16079,16121,16059,16137,16342,16291,15959,16072,16079,16249,16205,16138,16216,16530,16280,16307,16431,16282,16535,16615,16564,16468,16405,16480,16540,16334,16381,16606,16348,16439,16699,16664,16746,16298,16755,16536,16907,16639,16527,16532,16554,16772,16845,16972,16764,17014,16910,16706,16939,16790,16733,17194,16878,16853,16881,16796,16627,16772,16737,17009,17006,17065,16987,16981,16927,16891,17256,16992,16819,17261,16946,17190,17164,17117,17055,17215,16933,17022,16820,17161,17103,17191,17388,17016,17132,17033,17169,17152,17055,17478,17197,17320,17390,17298,17049,17324,17270,17279,17293,17261,17210,17196,17197,17287,17247,17190,17253,17302,17250,17229,17243,17469,17534,17228,17311,17442,17401,17438,17396,17284,17306,17291,17572,17575,17518,17675,17740,17370,17614,17509,17814,17820,17507,17690,17749,17513,17850,17607
A09,Sample X9,16034,15436,14830,14424,14489,14454,14209,14336,14396,14421,14339,14242,14176,14404,14228,14270,14234,14028,14254,14088,14281,14034,14138,14082,14415,13921,14169,14335,14280,13989,14079,14292,14557,14182,14264,14424,14368,14279,14519,14522,14552,14876,14583,14781,14850,15087,15510,15223,15393,15715,15975,16298,16269,16701,17131,17108,17319,17672,17785,17823,18364,18673,18780,19252,19540,19672,20022,20342,20212,20780,21234,21152,21718,21788,21974,22206,22348,22571,23133,22851,23435,23674,23576,23734,24136,23989,24375,24336,24719,24991,25155,25057,25304,25049,25447,25611,25390,25533,26127,25715,26168,26027,26211,26146,26252,26309,26535,26383,26728,26694,26432,26589,26580,26811,26821,26854,27087,26549,26844,27055,26912,26918,26780,27064,26739,26898,27132,27285,27108,26934,26969,26844,26638,26751,26912,26668,26575,26748,26823,26698,26849,26742,26485,26405,26375,26762,26333,26365,26184,26790,26276,26259,26329,26541,26317,26250,26023,26050,26019,26304,25977,25933,26359,25965,25724,26044,25875,25629,25760,25747,25360,25597,25615,25492,25523,25373,25659,25393,25445,25222,25131,24952,25138,25029,24690,25139,24921,25026,24869,24879,24902,24820,24911,25047,24829,24596,24613,24701,24629,24401,24602,24540,24486,24390,24364,24411,24675,24486,24435,24202,24299,24446,24687,24256,24269,24433,24310,24200,24125,23957,24304,24197,23961,24085,24168,24016
