Well,Content, Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1), Raw Data (535-15/617-20 1)
,Time,0 h ,0 h 6 min,0 h 12 min,0 h 18 min,0 h 24 min,0 h 30 min,0 h 36 min,0 h 42 min,0 h 48 min,0 h 54 min,1 h ,1 h 6 min,1 h 12 min,1 h 18 min,1 h 24 min,1 h 30 min,1 h 36 min,1 h 42 min,1 h 48 min,1 h 54 min,2 h ,2 h 6 min,2 h 12 min,2 h 18 min,2 h 24 min,2 h 30 min,2 h 36 min,2 h 42 min,2 h 48 min,2 h 54 min,3 h ,3 h 6 min,3 h 12 min,3 h 18 min,3 h 24 min,3 h 30 min,3 h 36 min,3 h 42 min,3 h 48 min,3 h 54 min,4 h ,4 h 6 min,4 h 12 min,4 h 18 min,4 h 24 min,4 h 30 min,4 h 36 min,4 h 42 min,4 h 48 min,4 h 54 min,5 h ,5 h 6 min,5 h 12 min,5 h 18 min,5 h 24 min,5 h 30 min,5 h 36 min,5 h 42 min,5 h 48 min,5 h 54 min,6 h ,6 h 6 min,6 h 12 min,6 h 18 min,6 h 24 min,6 h 30 min,6 h 36 min,6 h 42 min,6 h 48 min,6 h 54 min,7 h ,7 h 6 min,7 h 12 min,7 h 18 min,7 h 24 min,7 h 30 min,7 h 36 min,7 h 42 min,7 h 48 min,7 h 54 min,8 h ,8 h 6 min,8 h 12 min,8 h 18 min,8 h 24 min,8 h 30 min,8 h 36 min,8 h 42 min,8 h 48 min,8 h 54 min,9 h ,9 h 6 min,9 h 12 min,9 h 18 min,9 h 24 min,9 h 30 min,9 h 36 min,9 h 42 min,9 h 48 min,9 h 54 min,10 h ,10 h 6 min,10 h 12 min,10 h 18 min,10 h 24 min,10 h 30 min,10 h 36 min,10 h 42 min,10 h 48 min,10 h 54 min,11 h ,11 h 6 min,11 h 12 min,11 h 18 min,11 h 24 min,11 h 30 min,11 h 36 min,11 h 42 min,11 h 48 min,11 h 54 min,12 h ,12 h 6 min,12 h 12 min,12 h 18 min,12 h 24 min,12 h 30 min,12 h 36 min,12 h 42 min,12 h 48 min,12 h 54 min,13 h ,13 h 6 min,13 h 12 min,13 h 18 min,13 h 24 min,13 h 30 min,13 h 36 min,13 h 42 min,13 h 48 min,13 h 54 min,14 h ,14 h 6 min,14 h 12 min,14 h 18 min,14 h 24 min,14 h 30 min,14 h 36 min,14 h 42 min,14 h 48 min,14 h 54 min,15 h ,15 h 6 min,15 h 12 min,15 h 18 min,15 h 24 min,15 h 30 min,15 h 36 min,15 h 42 min,15 h 48 min,15 h 54 min,16 h ,16 h 6 min,16 h 12 min,16 h 18 min,16 h 24 min,16 h 30 min,16 h 36 min,16 h 42 min,16 h 48 min,16 h 54 min,17 h ,17 h 6 min,17 h 12 min,17 h 18 min,17 h 24 min,17 h 30 min,17 h 36 min,17 h 42 min,17 h 48 min,17 h 54 min,18 h ,18 h 6 min,18 h 12 min,18 h 18 min,18 h 24 min,18 h 30 min,18 h 36 min,18 h 42 min,18 h 48 min,18 h 54 min,19 h ,19 h 6 min,19 h 12 min,19 h 18 min,19 h 24 min,19 h 30 min,19 h 36 min,19 h 42 min,19 h 48 min,19 h 54 min,20 h ,20 h 6 min,20 h 12 min,20 h 18 min,20 h 24 min,20 h 30 min,20 h 36 min,20 h 42 min,20 h 48 min,20 h 54 min,21 h ,21 h 6 min,21 h 12 min,21 h 18 min,21 h 24 min,21 h 30 min,21 h 36 min,21 h 42 min,21 h 48 min,21 h 54 min,22 h ,22 h 6 min,22 h 12 min,22 h 18 min,22 h 24 min,22 h 30 min,22 h 36 min,22 h 42 min,22 h 48 min,22 h 54 min,23 h ,23 h 6 min,23 h 12 min,23 h 18 min,23 h 24 min,23 h 30 min,23 h 36 min,23 h 42 min,23 h 48 min,23 h 54 min,24 h ,24 h 6 min,24 h 12 min,24 h 18 min,24 h 24 min,24 h 30 min,24 h 36 min
A01,Sample X1,20281,19882,19205,18444,18168,18438,17951,18060,17928,18025,18021,18245,17954,17921,18116,17988,17705,17865,18082,17976,18092,17900,18097,18287,18366,18208,18198,18117,18640,18523,18480,18711,18711,18711,18840,19096,19310,19115,19096,19257,19741,19651,19822,20163,19976,20587,20645,20366,20808,21177,21217,21343,21744,21470,22094,21935,22154,22221,22644,22742,22761,22736,23378,23452,23519,23607,23740,24037,24052,24257,24276,24753,25312,24735,25342,25146,25533,25798,25824,26118,26477,26249,26499,26755,26664,26553,26872,26878,27042,27034,26992,27703,27779,27400,27523,27707,28003,28126,28066,27659,28145,28075,28239,28167,28120,28598,28448,28394,28440,28231,28402,28620,28706,28796,28975,28847,28916,29046,29111,29036,29183,29062,29251,28671,28966,29138,29432,29189,29277,29167,29255,29007,29001,29110,28934,28880,28835,29320,29159,28914,28947,29067,29078,28719,29106,28898,29324,28981,28787,29044,28865,28902,28776,28769,29087,28685,28465,28895,28416,28625,28475,28610,28793,28572,28404,28615,28420,28331,28835,28449,28370,28722,28449,28069,28692,28475,28217,28401,28408,28327,28146,28226,27820,28285,27769,27733,27933,28329,27712,27964,27629,27971,27974,27919,27901,27525,27812,27628,27784,27873,27898,27586,27280,27661,27555,27448,27398,27690,27552,27366,27377,27305,27446,27372,27053,27423,27462,27149,27333,27049,27307,26803,27142,27132,26880,26908,26996,26949,26528,26996,27023,26847,26797,26831,26430,26635,26719,26126,26684,26387,26362,26375,26269,26501,26394,26296,26036
A02,Sample X2,18845,18550,17999,17360,17065,16932,16791,16951,16702,16884,16698,16744,16953,16800,16961,16652,16720,16842,16680,16894,16851,16752,16830,16813,16802,16739,16874,16573,17064,16788,16724,16980,16753,16973,17067,16598,16900,16565,16544,16847,16963,16779,16561,16769,16622,16675,16878,16819,16723,16890,16975,16903,17049,17257,17202,17141,17248,17170,17299,17064,17264,17023,17520,17261,17347,17381,17630,17520,17704,17719,17627,17748,17857,17687,17948,18184,18275,18193,18193,18145,18279,18377,18176,18299,18539,18505,18608,18741,18707,18699,18578,18699,18811,18746,18773,18877,18782,19156,18847,18979,19027,18931,19135,19003,19187,18942,19279,18973,19187,19084,19414,19189,19175,19389,19153,19139,19285,19264,19593,19364,19277,19271,19335,19335,19466,19483,19491,19804,19332,19430,19546,19277,19485,19548,19535,19516,19382,19398,19343,19682,19626,19564,19705,19733,19507,19685,19678,19510,19606,19581,19583,19649,19452,19807,19665,19752,19679,19443,19707,19584,19538,19325,19438,19618,19495,19455,19457,19554,19609,19500,19496,19399,19796,19603,19596,19512,19601,19632,19542,19660,19553,19572,19615,19560,19702,19379,19390,19585,19531,19384,19493,19654,19636,19276,19603,19533,19625,19671,19402,19647,19639,19478,19447,19507,19661,19282,19518,19222,19537,19418,19463,19511,19435,19481,19418,19371,19486,19277,19437,19429,19328,19392,19396,19419,19167,19374,19337,19267,19382,19243,19064,19075,19377,19424,19656,19436,19192,19278,19228,19197,19095,19347,18901,19127,19182,19302,19373
A03,Sample X3,20015,19992,19778,19343,19000,19141,19028,18950,19200,19118,19416,19417,19236,19403,19556,19579,19836,19728,20116,20216,20197,20311,20473,20491,20780,20730,20810,21408,21081,21160,21367,21482,21770,21907,21853,22003,22169,22365,22247,22451,22434,22907,22866,23079,23004,22927,23212,23288,23257,23499,23339,23343,23561,23632,23623,23742,23654,23797,23752,23794,23771,23909,24165,24227,23930,24224,24022,24254,23994,24561,24399,24545,24365,24453,24381,24618,24425,24785,24797,24987,24469,24867,24931,24958,24872,24762,24717,25187,25069,25063,24908,25232,25020,24912,24957,25126,24785,24962,25046,25149,24825,25454,24700,25044,25104,25148,25015,25312,24828,25395,25523,25087,25196,25131,25400,25273,25125,25021,25001,25096,25395,25218,24991,25161,24897,25177,24940,24990,24736,25051,24895,24861,24918,24607,24563,24380,24649,24766,24895,24817,24534,24793,24224,24561,24728,24509,24183,24269,24646,24177,23935,24319,23944,24195,23899,24100,24107,23893,24201,23876,24017,23771,23901,23742,23903,23883,23321,23702,23640,23605,23709,23622,23654,23571,23342,23403,23368,23350,23580,23182,23534,23348,23315,23185,23071,23171,23233,23265,23189,23273,22921,23259,22841,23053,23161,23042,22980,23069,22852,22826,22765,22702,22505,22519,22889,22834,22571,22391,22517,22776,22352,22288,22463,22393,22236,22426,22401,22282,22354,21981,22174,22228,22083,22199,21746,22149,21978,21483,22256,21827,21734,21495,21836,21605,21650,21673,21692,22026,21423,21316,21325,21519,21486,21381,21428,21473,21368
A04,Sample X4,18699,18550,17798,17402,16916,17050,16828,16601,16659,16777,16825,16765,17118,16780,16751,16898,17604,16654,16830,16704,17279,16939,16753,17176,17019,16743,17387,17043,16810,16936,16969,16747,17046,16763,17395,17048,16593,16830,17264,17232,16909,17192,16709,17268,17305,17549,17249,17462,17454,17374,17065,17080,17034,17104,17228,17281,17524,17217,17418,17980,17737,17716,17819,18119,18154,18017,18040,18333,18356,18238,18351,18321,18187,18619,18558,18470,18594,18484,18526,18642,18733,18859,18681,18568,18775,18689,18954,18925,18674,19034,18876,19259,19044,18883,18875,18878,19009,19194,19120,18973,19115,19182,18895,19148,18912,19092,19298,19199,19094,19158,18923,19155,19162,19256,19201,19067,19242,19120,19406,18941,19450,18973,19418,19444,19351,19509,19243,19291,19486,19205,19219,19123,19496,19366,19199,19292,19327,19065,19165,19295,19313,19401,19329,19147,19039,19047,19001,19287,19038,19144,19259,19154,19127,19144,18925,19351,19149,19292,19315,18930,19247,19294,19026,19246,19055,19424,19203,19379,18947,19119,19172,19201,19216,19105,19349,19226,19102,19001,19071,19101,19190,19265,19316,19569,19200,19547,19237,19121,19300,19266,18982,19298,19320,19104,19217,19101,19344,18873,19262,19206,19210,19289,19286,19147,19599,19140,19065,19210,19043,19154,19143,19380,19269,19139,19110,19257,18939,19420,19186,19205,19166,19166,19154,19092,19168,19046,19055,19285,18826,19407,18820,19134,19217,19185,19159,18887,18904,19388,19139,19020,19013,18864,19141,19297,19218,18823,19052
A05,Sample X5,18671,18544,17441,17270,16788,16439,16483,16623,16438,16405,16617,16534,16565,16123,16353,16140,16361,16448,16546,16439,16560,16490,16544,16719,16293,16468,16333,16560,16645,16217,16513,16674,16564,16467,16728,16543,16483,16454,16643,16494,16339,16412,16530,16290,16878,16966,16761,16578,16701,16904,16973,16664,16750,16804,16812,16614,16868,16850,16824,16623,16717,16655,16513,16835,16777,16748,16534,16677,16960,16841,16823,16626,16687,16948,16894,16712,16856,16644,16728,16814,16788,16805,17160,16894,16885,16769,17062,16726,17003,16729,16723,17017,16710,16962,16897,17160,17085,16916,16804,16845,16915,16863,16834,16805,16793,16983,16569,16963,16642,16849,16802,16910,16600,16702,16953,16920,16789,16577,16808,16649,16842,16835,16862,16893,16840,16679,16584,16553,16779,16995,16614,16927,16843,16863,16896,17223,16885,16772,16892,16942,16871,16942,17005,17073,16829,16945,16747,16918,16938,16858,17152,16791,16896,16993,16636,17063,16842,16779,16726,16952,16816,17078,16823,16739,16978,16808,16863,16971,17084,16837,16840,16870,17029,16915,17044,16894,16807,17104,16889,17236,17193,16995,16875,16981,16858,16862,16983,16784,17022,17093,17202,16977,17078,16909,16946,16793,16927,16973,16851,16882,16960,17081,16918,16945,16980,17004,17182,16975,17107,17087,17127,16922,16864,16984,17040,16934,17227,17142,17208,17086,17198,16956,17039,17020,17288,17131,16988,17341,17309,17283,16980,17171,17110,17040,17128,17210,16982,16992,17086,17031,17086,16897,17159,17051,17185,16815,16988
A06,Sample X6,19672,19054,18371,17845,17829,17542,17351,17201,17168,17395,17146,17458,17454,17260,17410,17378,17317,17247,17625,17299,17304,17255,17409,17336,17455,17287,17663,17388,17583,17523,17493,17097,17335,17456,17530,17222,16885,17363,17410,17476,17304,17330,17426,17642,17590,17572,17917,17650,17971,17705,17800,17925,18047,17875,18029,18010,17997,18085,17867,18408,18034,18129,18606,18563,18359,18402,18290,18653,18726,18730,18390,18712,18796,18966,18832,19015,19250,19244,19172,19379,19520,19383,19425,19420,19586,19657,19660,19822,20080,20073,19637,20084,20100,20084,20410,20694,20476,20596,20315,20363,20576,20567,20718,20745,20708,21029,21089,21221,21038,21395,21401,21371,21241,21270,21701,21430,21554,21657,21685,21918,22018,21876,22015,22153,22051,22465,22088,22335,22056,22370,22288,22285,22565,22192,22547,22448,22802,22412,22448,22593,22554,22765,22747,22973,23013,22958,22896,23058,23268,23288,23292,23163,23571,23501,22783,23451,23227,23343,23225,22926,23496,23583,23541,23815,23608,23921,23462,23277,23655,23790,23636,23797,23983,23807,23771,23775,23816,23569,23927,23934,24108,24211,23952,24026,23895,24049,24149,24161,24320,24596,24060,24060,24437,24170,24669,24605,24598,24627,24344,24396,24400,24395,24391,24378,24578,24673,24577,24426,24590,24479,24863,24722,24422,24877,24677,24551,24504,24642,24608,24498,24594,24852,24576,24873,24829,25221,24980,24694,25218,24859,24981,24789,24999,24905,24783,24818,25107,25099,25166,24740,24830,24895,24940,24781,24856,24981,25078
A07,Sample X7,18883,18569,17994,17490,17148,17193,17155,17180,16998,16987,17127,17105,16878,17206,16988,17176,17031,17225,16993,17175,16865,17082,16996,17326,17159,17057,17282,17192,17122,17053,17118,17149,16775,17241,17012,17119,17129,17233,17045,16948,17438,17303,17515,17331,17751,17449,17511,17413,17438,17462,17729,17541,17803,17798,18097,18119,18485,18199,18615,18579,18400,18704,18990,18612,19163,19114,19341,19720,19743,19916,19685,19975,20018,20447,20492,20526,20745,21426,21208,21498,21771,21848,22001,22179,21996,22314,22498,22667,22974,23211,23318,23160,23660,23855,24065,24232,24278,24471,25025,24784,25158,25475,25300,25479,25582,25463,25585,25920,25972,26066,26289,26467,26512,26858,26670,26974,27148,27087,26881,27038,27375,27463,27691,27635,28147,28008,28277,28057,28374,28077,28274,28419,28098,28078,28472,28436,28402,28530,28697,28634,28440,28770,28736,28906,28825,29004,29030,28989,29445,29018,29094,28994,29010,29032,28921,28687,29378,29140,29072,28972,29401,29611,29324,29295,29304,29435,29137,29270,29128,29132,29434,29189,29034,29612,29574,29721,29269,29593,29496,29479,29434,29407,29080,29809,29105,29317,29430,29380,29166,29091,29256,29221,29688,29502,29153,29196,29282,29556,29164,29200,29076,29219,29132,29150,28863,28891,29189,29513,28881,29109,29091,28540,29301,28767,28878,28806,28976,29004,28731,28884,28614,28700,28760,28707,28775,28726,28668,28715,28735,28434,28694,29000,28783,28402,28390,27995,28467,28381,28410,28466,28426,28199,28127,28320,28274,27818,28229
A08,Sample X8,18522,17866,17609,16775,16699,16772,16701,16967,16556,16403,16642,16634,16639,16856,16726,17077,16895,17097,17077,16829,17057,17003,17086,16985,17096,16911,17125,17190,17216,17243,17303,17318,17620,17418,17611,17564,17608,17414,17759,17753,17786,17987,17698,18136,18193,18085,18265,18489,18326,18404,18439,18456,18777,18746,18831,19216,18841,18950,18994,18894,19214,19078,19162,19169,19224,19309,19267,19646,19329,19472,19701,19467,19293,19468,19408,19493,19699,19399,19688,19733,19708,19506,19620,19917,19540,19518,19444,19732,19504,19919,19708,19885,19877,19730,19908,19702,19534,19822,19777,19498,19784,19840,19774,19833,19776,19815,19475,19768,19789,20036,19834,20023,19592,19983,19547,20033,19638,19626,19697,19922,19798,19937,19695,19750,19808,19775,19635,19611,19712,19702,19609,19802,19644,19549,19834,19571,19600,19896,19638,19550,19778,19833,19743,19427,19748,19521,19358,19509,19785,19437,19582,19683,19304,19740,19326,19431,19474,19293,19419,19585,19521,19524,19461,19508,19475,19721,19505,19269,19431,19699,19490,19601,19190,19428,19097,19766,19331,19439,19413,19649,19524,19421,19372,19489,19186,19358,19471,19129,19386,19361,19481,19549,19374,19405,19011,19417,19850,19438,19243,19465,19157,19434,19184,19157,19188,19203,19079,19137,19313,19294,19009,19231,19292,19000,19019,19150,19103,19121,19248,19067,19097,19173,19186,19186,19026,18809,19248,19253,18691,19036,18823,19199,19036,18972,19102,18937,19006,18874,18781,19138,18953,19023,18871,18896,18812,18741,18778
A09,Sample X9,18891,18667,17771,17435,17510,17068,16961,17079,16913,16820,17237,17268,17097,16996,17200,16966,17283,16952,17120,16888,17010,17335,16932,17075,17156,17193,17277,17160,17452,17442,17721,17620,17802,18075,18325,18436,18707,18865,18996,19160,19357,19864,19913,19981,20357,20665,20829,20999,21097,21884,21612,21739,22235,22387,22347,22890,23049,23060,23542,24008,24153,24327,24686,24751,24971,25237,25312,25883,25152,26144,26479,26555,26634,26804,26893,27159,27476,27397,27493,27767,27939,28195,28629,28181,28270,28617,28772,28569,28541,28872,28707,28990,29108,29130,29130,29025,29275,29315,29138,29387,29053,29311,29537,29408,29524,29204,29247,29257,29267,29097,28683,28943,28992,29006,29079,28973,28939,29093,28718,29163,28663,28882,28620,28443,28624,28767,28899,28688,28612,28491,28477,28121,28154,28631,27990,28030,28200,27835,27678,27696,27897,27542,27913,27734,27755,27814,27621,27432,27486,27262,27538,27284,27420,27106,26796,26767,26630,26924,27012,26855,26884,26624,26547,26524,26557,26648,26352,25842,26478,26029,26015,26279,25963,26008,26166,25846,25654,25857,25927,25637,25883,25713,25485,25658,25601,25384,25509,25241,25197,25319,25345,25136,25041,25109,24990,24958,24928,25148,24896,25114,24641,24947,24706,24684,24669,24911,24584,24643,24375,24262,24551,24581,24393,24306,24607,24232,23976,24172,24048,24375,24186,24000,24092,23745,24059,23761,23680,23688,23766,23760,23952,23657,23444,23584,23981,23176,23459,23590,23610,23173,23381,23525,23620,23243,23206,23281,23070
