			Database Name	ODA												
			Database Link	http://localhost/ODA/OdaService.asmx												
			Evaluation GUID	0cbcdfc6-a078-47ba-a2d9-793290baaf39												
			Plate Name	210921_THP1_1.5h_n2_A594												
			Measurement	Measurement1												
			Evaluation	Evaluation9												
			Population	Population - Cells												

			[Data]													
Cell Type	Strain	Replicate	Row	Column	Plane	Timepoint	Field	Object No	X	Y	Bounding Box	Cells - Total Spot Area	Cells - Relative Spot Intensity	Cells - Number of Spots	Cells - Number of Spots per Area of Cell	Cells - Spots per Cell Mean
THP1 (Cas9)	non-infected	1	2	2	1	0	1	1	297	96	[282,81,314,111]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	1	2	1014	195	[994,174,1034,215]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	1	3	23	435	[8,420,41,451]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	1	4	388	489	[375,475,400,507]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	1	5	952	546	[936,522,971,567]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	1	6	1109	622	[1092,587,1129,640]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	1	7	252	607	[241,596,264,620]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	1	8	1303	675	[1292,658,1318,688]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	1	9	488	852	[475,838,502,866]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	1	10	778	894	[759,882,791,906]	40	0.298459	1	40	660.625
THP1 (Cas9)	non-infected	1	2	2	1	0	1	11	834	953	[812,932,859,999]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	1	12	639	119	[621,103,658,137]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	1	13	353	647	[340,633,367,670]	45	0.2982	1	45	831.533
THP1 (Cas9)	non-infected	1	2	2	1	0	2	1	140	188	[127,152,152,248]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	2	2	525	194	[511,170,540,213]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	2	3	626	206	[614,194,642,219]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	2	4	1314	215	[1294,190,1334,231]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	2	5	452	207	[439,194,467,229]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	2	6	1311	279	[1285,256,1333,303]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	2	7	376	318	[361,303,390,341]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	2	8	560	324	[548,313,571,338]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	2	9	478	370	[467,359,491,389]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	2	10	720	388	[703,360,762,416]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	2	11	117	412	[102,396,137,433]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	2	12	236	433	[225,424,245,449]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	2	13	1153	587	[1141,576,1165,602]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	2	14	609	617	[586,605,628,632]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	2	15	894	709	[879,694,909,725]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	2	16	323	770	[307,753,339,785]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	2	17	968	900	[952,885,983,919]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	2	18	619	925	[607,914,632,936]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	2	19	53	962	[28,940,78,997]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	3	1	196	74	[183,61,213,99]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	3	2	71	500	[58,487,88,514]	0	NaN	0	0	NaN
