			Database Name	ODA											
			Database Link	http://localhost/ODA/OdaService.asmx											
			Evaluation GUID	1a299737-f8e7-468d-9263-f3ff0c593462											
			Plate Name	210921_THP1_5h_n2_A594											
			Measurement	Measurement1											
			Evaluation	Evaluation1											
			Population	Population - Cells											

			[Data]												
Cell Type	Strain	Replicate	Row	Column	Plane	Field	Object No	X	Y	Bounding Box	Cells - Total Spot Area	Cells - Relative Spot Intensity	Cells - Number of Spots	Cells - Number of Spots per Area of Cell	Cells - Spots per Cell Mean
THP1 (Cas9)	non-infected	1	2	2	1	1	1	8	578	[1,564,16,602]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	1	2	1156	77	[1140,62,1171,101]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	1	3	727	89	[714,75,740,113]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	1	4	1126	156	[1108,137,1139,208]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	1	5	50	190	[12,166,84,218]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	1	6	1256	213	[1233,197,1273,229]	49	0.351004	1	49	1244.59
THP1 (Cas9)	non-infected	1	2	2	1	1	7	99	266	[83,250,114,282]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	1	8	946	268	[929,250,963,288]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	1	9	157	280	[137,258,179,302]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	1	10	734	280	[719,265,756,322]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	1	11	1327	354	[1313,340,1342,374]	45	0.298805	1	45	960.422
THP1 (Cas9)	non-infected	1	2	2	1	1	12	775	363	[764,347,787,383]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	1	13	672	380	[644,368,684,420]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	1	14	1342	432	[1305,407,1358,449]	84	0.3156	1	84	1163.85
THP1 (Cas9)	non-infected	1	2	2	1	1	15	124	424	[110,410,141,440]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	1	16	1109	481	[1096,466,1125,496]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	1	17	757	509	[744,492,771,523]	50	0.283469	1	50	743.86
THP1 (Cas9)	non-infected	1	2	2	1	1	18	1016	548	[1001,537,1032,559]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	1	19	672	550	[661,539,686,563]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	1	20	866	557	[846,537,883,580]	34	0.302312	1	34	1482.74
THP1 (Cas9)	non-infected	1	2	2	1	1	21	781	612	[767,599,796,625]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	1	22	58	657	[45,644,77,671]	45	0.280073	1	45	1128.91
THP1 (Cas9)	non-infected	1	2	2	1	1	23	149	662	[131,645,165,679]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	1	24	1069	680	[1047,665,1091,695]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	1	25	589	763	[573,746,612,795]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	1	26	834	817	[814,797,882,836]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	1	27	627	824	[594,808,646,840]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	1	28	429	890	[408,853,444,918]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	1	29	893	926	[879,913,907,948]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	1	30	1204	985	[1187,960,1226,1016]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	1	31	953	484	[927,445,974,504]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	2	1	1001	25	[983,10,1025,41]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	2	2	1125	31	[1107,17,1142,45]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	2	3	1065	54	[1045,34,1082,76]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	2	4	1246	65	[1230,49,1285,84]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	2	5	120	96	[92,76,143,121]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	2	6	64	112	[48,95,99,132]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	2	7	1289	107	[1276,95,1324,125]	56	0.301335	1	56	840.232
THP1 (Cas9)	non-infected	1	2	2	1	2	8	950	112	[939,101,960,132]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	2	9	1335	225	[1312,204,1358,247]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	2	10	1306	270	[1287,252,1324,288]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	2	11	170	308	[152,278,184,324]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	2	12	1341	299	[1324,283,1358,319]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	2	13	1215	307	[1194,286,1238,331]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	2	14	57	343	[43,326,71,361]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	2	15	1025	346	[1008,332,1057,360]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	2	16	1106	378	[1090,363,1128,394]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	2	17	810	389	[788,366,841,413]	77	0.283622	1	77	682.948
THP1 (Cas9)	non-infected	1	2	2	1	2	18	648	391	[634,382,661,403]	45	0.291667	1	45	1033.53
THP1 (Cas9)	non-infected	1	2	2	1	2	19	1275	398	[1256,382,1293,415]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	2	20	1304	425	[1288,409,1325,442]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	2	21	571	451	[554,432,588,469]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	2	22	491	542	[454,502,509,562]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	2	23	900	538	[884,522,918,557]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	2	24	1208	603	[1194,589,1222,626]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	2	25	1062	691	[1044,674,1082,709]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	2	26	1218	719	[1203,705,1233,733]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	2	27	774	721	[753,711,791,732]	30	0.292961	1	30	664.167
THP1 (Cas9)	non-infected	1	2	2	1	2	28	1343	790	[1328,767,1358,820]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	2	29	990	798	[932,789,1027,809]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	2	30	739	814	[725,796,752,837]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	2	31	504	828	[484,813,524,844]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	2	32	746	892	[731,876,762,909]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	2	33	1093	180	[1077,136,1110,203]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	2	34	584	569	[569,557,595,581]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	3	1	1341	60	[1320,42,1358,76]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	3	2	667	75	[651,59,683,95]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	3	3	878	126	[861,113,944,162]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	3	4	140	230	[124,213,156,253]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	3	5	670	231	[657,218,684,244]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	3	6	945	333	[930,320,957,354]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	3	7	1003	348	[987,328,1019,366]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	3	8	1110	363	[1098,348,1124,378]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	3	9	618	367	[607,355,631,381]	47	0.293595	1	47	929.191
THP1 (Cas9)	non-infected	1	2	2	1	3	10	64	485	[51,471,76,505]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	3	11	994	637	[981,625,1007,649]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	3	12	330	675	[307,661,374,695]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	3	13	1318	696	[1289,663,1337,714]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	3	14	1318	821	[1305,810,1329,836]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	3	15	738	844	[720,826,756,861]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	3	16	1322	857	[1308,843,1358,885]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	3	17	1146	873	[1135,859,1158,887]	37	0.301172	1	37	1037.49
THP1 (Cas9)	non-infected	1	2	2	1	3	18	31	878	[16,863,52,893]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	3	19	306	882	[293,869,322,897]	0	NaN	0	0	NaN
