			Database Name	ODA															
			Database Link	http://localhost/ODA/OdaService.asmx															
			Evaluation GUID	1a299737-f8e7-468d-9263-f3ff0c593462															
			Plate Name	210921_THP1_5h_n2_A594															
			Measurement	Measurement1															
			Evaluation	Evaluation1															
			Population	Population - Spots															

			[Data]																
Cell Type	Strain	Replicate	Row	Column	Plane	Field	Object No	X	Y	Bounding Box	Spots - Relative Spot  Intensity	Spots - Corrected Spot  Intensity	Spots - Uncorrected Spot  Peak Intensity	Spots - Spot Contrast	Spots - Spot Background Intensity	Spots - Spot Area [px²]	Spots - Region Intensity	Spots - Spot To Region Intensity	Spots - Object No in Cells
THP1 (Cas9)	non-infected	1	2	2	1	1	1	1248	221	[1245,218,1253,225]	0.351004	35.0553	184.768	0.480606	64.8162	49	38.7551	44.3221	6
THP1 (Cas9)	non-infected	1	2	2	1	1	2	1330	365	[1327,362,1336,368]	0.298805	15.4655	88.5942	0.418796	36.2922	45	23.6967	29.3689	11
THP1 (Cas9)	non-infected	1	2	2	1	1	3	1313	427	[1310,424,1323,435]	0.3156	27.135	163.82	0.471454	58.8441	84	40.714	55.9842	14
THP1 (Cas9)	non-infected	1	2	2	1	1	4	764	498	[760,494,767,503]	0.283469	12.3386	81.5035	0.446482	31.1886	50	25.2184	24.4635	17
THP1 (Cas9)	non-infected	1	2	2	1	1	5	861	574	[859,572,864,578]	0.302312	65.1142	378.973	0.432125	150.273	34	67.7797	32.6629	20
THP1 (Cas9)	non-infected	1	2	2	1	1	6	60	650	[58,648,65,654]	0.280073	19.999	113.292	0.375744	51.4075	45	27.5072	32.717	22
THP1 (Cas9)	non-infected	1	2	2	1	2	1	1311	104	[1309,102,1322,110]	0.301335	38.3842	289.489	0.529723	88.9964	56	43.3464	49.5893	7
THP1 (Cas9)	non-infected	1	2	2	1	2	2	832	396	[827,391,836,403]	0.283622	10.2449	69.4162	0.4569	25.8769	77	15.0064	52.5682	17
THP1 (Cas9)	non-infected	1	2	2	1	2	3	643	396	[641,394,651,399]	0.291667	25.6682	170.318	0.464127	62.3368	45	44.0805	26.2036	18
THP1 (Cas9)	non-infected	1	2	2	1	2	4	785	721	[783,719,789,723]	0.292961	17.6168	112.095	0.450016	42.517	30	30.5867	17.2789	27
THP1 (Cas9)	non-infected	1	2	2	1	3	1	620	362	[617,360,627,367]	0.293595	17.6938	118.019	0.469806	42.5722	47	31.4543	26.4386	9
THP1 (Cas9)	non-infected	1	2	2	1	3	2	1152	877	[1149,874,1155,880]	0.301172	23.1069	138.23	0.44105	53.6165	37	30.5223	28.0109	17
THP1 (Cas9)	non-infected	1	2	2	1	3	3	359	948	[357,946,362,953]	0.324445	19.7685	114.613	0.47152	41.1619	37	29.4113	24.8692	23
THP1 (Cas9)	non-infected	1	2	2	1	3	4	587	964	[585,961,591,967]	0.339084	18.5232	104.663	0.48704	36.104	34	22.1668	28.4113	24
THP1 (Cas9)	non-infected	1	2	2	1	3	5	1043	946	[1039,943,1050,952]	0.308185	22.7838	136.282	0.454241	51.1451	61	26.7945	51.8693	25
THP1 (Cas9)	non-infected	1	2	2	1	4	1	9	176	[7,174,12,180]	0.314195	26.038	164.853	0.487259	56.834	34	23.6093	37.4975	5
THP1 (Cas9)	non-infected	1	2	2	1	4	2	1275	183	[1271,179,1286,193]	0.285882	18.9753	133.098	0.474793	47.3993	76	29.4983	48.8884	6
THP1 (Cas9)	non-infected	1	2	2	1	4	3	980	240	[976,238,985,245]	0.30021	18.6596	125.102	0.484029	43.4957	47	24.8181	35.3372	7
THP1 (Cas9)	non-infected	1	2	2	1	4	4	1074	545	[1072,543,1080,549]	0.299961	12.3564	80.3679	0.471874	28.837	42	20.7088	25.0603	14
THP1 (Cas9)	non-infected	1	2	2	1	4	5	310	988	[306,985,316,992]	0.323623	32.3267	232.124	0.549108	67.5633	53	45.6171	37.5586	23
THP1 (Cas9)	non-infected	1	2	2	1	5	1	683	347	[679,344,685,350]	0.320304	32.961	211.551	0.50305	69.9444	32	41.9972	25.1148	7
THP1 (Cas9)	non-infected	1	2	2	1	5	2	661	445	[656,440,664,458]	0.31701	26.5296	153.549	0.457469	57.1574	112	34.1814	86.928	11
THP1 (Cas9)	non-infected	1	2	2	1	5	3	791	467	[789,465,794,471]	0.358082	37.4763	206.464	0.508985	67.1823	33	30.6213	40.3875	13
THP1 (Cas9)	non-infected	1	2	2	1	5	4	906	631	[902,628,911,635]	0.302672	32.7718	197.499	0.446868	75.5031	51	46.3345	36.0716	16
THP1 (Cas9)	non-infected	1	2	2	1	5	5	700	717	[698,714,703,720]	0.304117	20.9441	133.609	0.472004	47.9244	29	29.6293	20.4993	19
THP1 (Cas9)	non-infected	1	2	2	1	5	6	518	821	[515,819,520,829]	0.347476	41.349	195.492	0.431435	77.6492	51	41.6185	50.6697	22
THP1 (Cas9)	non-infected	1	2	2	1	5	7	261	916	[258,913,266,921]	0.286632	24.9947	138.907	0.381376	62.2068	57	55.4039	25.7148	25
THP1 (Cas9)	non-infected	1	2	2	1	5	8	266	927	[263,924,269,930]	0.30983	28.7645	163.575	0.437075	64.0751	34	55.4039	17.6521	25
THP1 (Cas9)	non-infected	1	2	2	1	5	9	1321	906	[1318,901,1325,911]	0.316242	24.3687	143.665	0.46333	52.6884	53	32.0605	40.2845	27
THP1 (Cas9)	non-infected	1	2	2	1	6	1	1257	201	[1255,199,1259,204]	0.326458	15.3513	104.979	0.536451	31.6724	24	14.8389	24.8286	13
THP1 (Cas9)	non-infected	1	2	2	1	6	2	1245	208	[1242,206,1247,211]	0.294722	6.78886	45.0647	0.470046	16.2459	25	14.8389	11.4376	13
THP1 (Cas9)	non-infected	1	2	2	1	6	3	375	316	[372,312,380,320]	0.338509	12.3125	62.2254	0.442313	24.0602	49	15.6312	38.5966	19
THP1 (Cas9)	non-infected	1	2	2	1	6	4	828	411	[825,408,835,420]	0.353159	87.8938	466.912	0.487224	160.985	78	51.5408	133.015	23
THP1 (Cas9)	non-infected	1	2	2	1	6	5	471	467	[469,464,477,475]	0.282563	19.4215	136.209	0.468394	49.312	56	30.9786	35.1083	26
THP1 (Cas9)	non-infected	1	2	2	1	6	6	586	519	[582,515,592,525]	0.343006	29.2725	180.512	0.526008	56.0686	62	26.1711	69.3474	29
THP1 (Cas9)	non-infected	1	2	2	1	6	7	1149	907	[1144,904,1156,911]	0.305238	22.066	126.29	0.430926	50.225	66	29.5969	49.2063	45
THP1 (Cas9)	non-infected	1	2	2	1	6	8	519	872	[516,868,524,875]	0.3313	24.1248	124.341	0.43718	48.6938	52	38.7866	32.3434	46
THP1 (Cas9)	non-infected	1	2	2	1	6	9	557	884	[554,881,560,888]	0.310571	15.8396	111.454	0.520354	35.1619	42	18.3815	36.192	47
THP1 (Cas9)	non-infected	1	2	2	1	6	10	1013	889	[1010,884,1019,899]	0.299624	20.7381	143.206	0.494205	48.4758	85	35.4509	49.7235	48
THP1 (Cas9)	non-infected	1	2	2	1	6	11	1033	932	[1031,930,1043,936]	0.295459	21.523	134.35	0.447169	51.3229	57	25.3813	48.3353	52
THP1 (Cas9)	non-infected	1	2	2	1	7	1	688	343	[684,341,690,351]	0.379215	130.177	659.323	0.511469	213.104	49	51.6013	123.615	14
THP1 (Cas9)	non-infected	1	2	2	1	7	2	434	603	[429,600,440,608]	0.316634	18.4028	109.947	0.469251	39.7172	61	35.3268	31.7766	25
THP1 (Cas9)	non-infected	1	2	2	1	8	1	872	58	[869,52,875,63]	0.284625	13.9708	84.9762	0.415206	35.1141	53	38.4772	19.2439	2
THP1 (Cas9)	non-infected	1	2	2	1	8	2	1136	113	[1133,108,1139,117]	0.297762	17.383	129.758	0.519826	40.9958	42	28.9952	25.1795	3
THP1 (Cas9)	non-infected	1	2	2	1	8	3	1180	119	[1177,116,1185,126]	0.303867	19.8041	125.84	0.470013	45.3695	49	28.9952	33.4676	3
THP1 (Cas9)	non-infected	1	2	2	1	8	4	765	318	[761,316,767,321]	0.286044	14.6007	94.2164	0.442169	36.4429	28	26.0735	15.6795	8
THP1 (Cas9)	non-infected	1	2	2	1	8	5	425	416	[423,414,427,418]	0.331387	39.8505	243.987	0.50428	80.4033	18	23.5937	30.4025	13
THP1 (Cas9)	non-infected	1	2	2	1	8	6	1334	469	[1328,464,1337,473]	0.306274	24.2887	158.308	0.484209	55.015	54	24.4127	53.7256	14
THP1 (Cas9)	non-infected	1	2	2	1	8	7	237	586	[235,584,239,588]	0.377781	123.608	796.37	0.592807	203.588	13	35.6404	45.0868	18
THP1 (Cas9)	non-infected	1	2	2	1	8	8	550	647	[546,645,552,651]	0.393192	63.5732	339.247	0.551345	98.1117	34	32.468	66.5728	21
THP1 (Cas9)	non-infected	1	2	2	1	8	9	457	738	[453,735,461,743]	0.293196	17.4798	105.374	0.428681	42.1382	51	25.2462	35.311	25
THP1 (Cas9)	non-infected	1	2	2	1	8	10	891	882	[886,877,896,888]	0.338726	31.9606	195.397	0.51593	62.3948	75	38.87	61.6682	31
THP1 (Cas9)	non-infected	1	2	2	1	8	11	429	887	[427,884,433,891]	0.291366	14.1973	97.02	0.475036	34.5293	38	20.2046	26.7017	33
THP1 (Cas9)	non-infected	1	2	2	1	9	1	459	148	[455,145,462,151]	0.351586	27.1507	139.552	0.471875	50.0729	43	42.1816	27.6775	7
THP1 (Cas9)	non-infected	1	2	2	1	9	2	256	327	[254,325,260,330]	0.301829	16.2046	101.103	0.459061	37.4835	32	32.8211	15.7992	11
THP1 (Cas9)	non-infected	1	2	2	1	9	3	962	387	[959,382,971,395]	0.306766	29.011	214.772	0.532271	65.5595	84	32.4117	75.1865	13
THP1 (Cas9)	non-infected	1	2	2	1	9	4	853	447	[844,442,856,456]	0.292622	37.394	200.68	0.378887	90.3954	87	59.1557	54.9953	17
THP1 (Cas9)	non-infected	1	2	2	1	9	5	1294	468	[1291,466,1297,482]	0.290924	48.0945	323.241	0.467733	117.222	78	41.4754	90.4481	18
THP1 (Cas9)	non-infected	1	2	2	1	9	6	198	673	[196,671,201,678]	0.350013	85.3435	434.168	0.465166	158.486	39	52.4282	63.4849	25
