Database Name	ODA
Database Location	http://localhost/ODA/OdaService.asmx
Evaluation Signature	7fdfdec8-327e-475c-a0e8-8faba38de59f
Plate Name	210302 GP2 n1 HeLa24h 3 channels
Measurement	Measurement1
Evaluation	Evaluation5

[Data]
Row	Column	Plane	Timepoint	Spots - Number of Objects	Cells - Number of Objects	Cells - Number of Spots	Number of Analyzed Fields	Height [µm]	Time [s]	Vananz GP2 3H n1	HeLa	15000 cells	3h infection	
1	1	1	0	10	1424	0.00702247191011	9	0	0					
1	2	1	0	565	1475	0.383050847458	9	0	0					
1	3	1	0	65	1368	0.047514619883	9	0	0					
1	4	1	0	319	1439	0.221681723419	9	0	0					
1	5	1	0	40	1481	0.0270087778528	9	0	0					
1	6	1	0	9	466	0.019313304721	9	0	0					
1	7	1	0	382	1366	0.279648609078	9	0	0					
1	8	1	0	26	315	0.0825396825397	9	0	0					
1	9	1	0	14	355	0.0394366197183	9	0	0					
1	10	1	0	22	352	0.0625	9	0	0					
1	11	1	0	186	686	0.271137026239	9	0	0					
1	12	1	0	19	491	0.0386965376782	9	0	0					
2	1	1	0	236	1376	0.171511627907	9	0	0					
2	2	1	0	64	998	0.064128256513	9	0	0					
2	3	1	0	70	1327	0.0527505651846	9	0	0					
2	4	1	0	280	1603	0.174672489083	9	0	0					
2	5	1	0	20	26	0.769230769231	9	0	0					
2	6	1	0	19	1618	0.0117428924598	9	0	0					
2	7	1	0	16	1341	0.0119313944817	9	0	0					
2	8	1	0	1772	1391	1.27390366643	9	0	0					
2	9	1	0	1502	1376	1.09156976744	9	0	0					
2	10	1	0	33	1577	0.0209258084971	9	0	0					
2	11	1	0	14	1166	0.0120068610635	9	0	0					
2	12	1	0	776	481	1.61330561331	9	0	0					
3	1	1	0	116	1493	0.0776959142666	9	0	0					
3	2	1	0	73	903	0.0808416389812	9	0	0					
3	3	1	0	57	56	1.01785714286	9	0	0					
3	4	1	0	161	621	0.259259259259	9	0	0					
3	5	1	0	32	40	0.8	9	0	0					
3	6	1	0	23	1512	0.0152116402116	9	0	0					
3	7	1	0	83	729	0.113854595336	9	0	0					
3	8	1	0	65	773	0.0840879689521	9	0	0					
3	9	1	0	29	795	0.0364779874214	9	0	0					
3	10	1	0	549	1735	0.316426512968	9	0	0					
3	11	1	0	10	32	0.3125	9	0	0					
3	12	1	0	2739	1065	2.57183098592	9	0	0					
4	1	1	0	43	1246	0.0345104333868	9	0	0					
4	2	1	0	33	1597	0.020663744521	9	0	0					
4	3	1	0	61	1262	0.0483359746434	9	0	0					
4	4	1	0	65	1425	0.0456140350877	9	0	0					
4	5	1	0	986	1217	0.810188989318	9	0	0					
4	6	1	0	10	1549	0.00645577792124	9	0	0					
4	7	1	0	57	1879	0.0303352847259	9	0	0					
4	8	1	0	23	1528	0.0150523560209	9	0	0					
4	9	1	0	12	27	0.444444444444	9	0	0					
4	10	1	0	56	1666	0.0336134453782	9	0	0					
4	11	1	0	5	28	0.178571428571	9	0	0					
4	12	1	0	45	181	0.24861878453	9	0	0					
5	1	1	0	215	1705	0.126099706745	9	0	0					
5	2	1	0	26	1484	0.0175202156334	9	0	0					
5	3	1	0	77	169	0.455621301775	9	0	0					
5	4	1	0	33	1412	0.0233711048159	9	0	0					
5	5	1	0	14	1672	0.00837320574163	9	0	0					
5	6	1	0	20	1612	0.0124069478908	9	0	0					
5	7	1	0	7	1705	0.00410557184751	9	0	0					
5	8	1	0	62	1652	0.0375302663438	9	0	0					
5	9	1	0	289	1446	0.199861687414	9	0	0					
5	10	1	0	375	1602	0.234082397004	9	0	0					
5	11	1	0	2430	1772	1.37133182844	9	0	0					
5	12	1	0	33	1026	0.0321637426901	9	0	0					
6	1	1	0	61	1409	0.0432931156849	9	0	0					
6	2	1	0	22	1353	0.0162601626016	9	0	0					
6	3	1	0	31	89	0.348314606742	9	0	0					
6	4	1	0	9	1352	0.00665680473373	9	0	0					
6	5	1	0	31	1461	0.0212183436003	9	0	0					
6	6	1	0	23	1658	0.0138721351025	9	0	0					
6	7	1	0	22	1483	0.0148347943358	9	0	0					
6	8	1	0	52	1606	0.0323785803238	9	0	0					
6	9	1	0	288	1492	0.193029490617	9	0	0					
6	10	1	0	48	1128	0.0425531914894	9	0	0					
6	11	1	0	14	1619	0.00864731315627	9	0	0					
6	12	1	0	32	709	0.0451339915374	9	0	0					
7	1	1	0	14	1760	0.00795454545455	9	0	0					
7	2	1	0	39	1369	0.0284879474069	9	0	0					
7	3	1	0	275	295	0.932203389831	9	0	0					
7	4	1	0	133	633	0.210110584518	9	0	0					
7	5	1	0	28	1513	0.0185062789161	9	0	0					
7	6	1	0	28	1388	0.0201729106628	9	0	0					
7	7	1	0	355	1890	0.187830687831	9	0	0					
7	8	1	0	57	1688	0.0337677725118	9	0	0					
7	9	1	0	29	1554	0.0186615186615	9	0	0					
7	10	1	0	62	576	0.107638888889	9	0	0					
7	11	1	0	122	1357	0.0899042004422	9	0	0					
7	12	1	0	52	578	0.0899653979239	9	0	0					
8	1	1	0	30	1752	0.0171232876712	9	0	0					
8	2	1	0	37	486	0.0761316872428	9	0	0					
8	3	1	0	210	646	0.325077399381	9	0	0					
8	4	1	0	125	145	0.862068965517	9	0	0					
8	5	1	0	34	53	0.641509433962	9	0	0					
8	6	1	0	73	1323	0.0551776266062	9	0	0					
8	7	1	0	211	1587	0.1329552615	9	0	0					
8	8	1	0	33	1334	0.0247376311844	9	0	0					
8	9	1	0	321	1654	0.19407496977	9	0	0					
8	10	1	0	13	1480	0.00878378378378	9	0	0					
8	11	1	0	30	1356	0.0221238938053	9	0	0					
8	12	1	0	10	1425	0.00701754385965	9	0	0					
