Database Name	ODA
Database Location	http://localhost/ODA/OdaService.asmx
Evaluation Signature	17125ce9-2c8d-4889-b10a-38abd8b5f73c
Plate Name	210302 GP2 n1 3 channels
Measurement	Measurement1
Evaluation	Evaluation4

[Data]
Row	Column	Plane	Timepoint	Spots - Number of Objects	Cells - Number of Objects	Cells - Number of Spots	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	4719	955	4.94136125654	9	0	0					
1	2	1	0	2129	984	2.16361788618	9	0	0					
1	3	1	0	5410	945	5.72486772487	9	0	0					
1	4	1	0	2337	973	2.40184994861	9	0	0					
1	5	1	0	12	1055	0.0113744075829	9	0	0					
1	6	1	0	2167	806	2.68858560794	9	0	0					
1	7	1	0	3230	979	3.29928498468	9	0	0					
1	8	1	0	1354	1033	1.31074540174	9	0	0					
1	9	1	0	3867	1018	3.79862475442	9	0	0					
1	10	1	0	1565	997	1.56970912738	9	0	0					
1	11	1	0	6408	870	7.36551724138	9	0	0					
1	12	1	0	755	957	0.788923719958	9	0	0					
2	1	1	0	349	798	0.437343358396	9	0	0					
2	2	1	0	4765	963	4.94807892004	9	0	0					
2	3	1	0	2058	886	2.32279909707	9	0	0					
2	4	1	0	1708	874	1.95423340961	9	0	0					
2	5	1	0	704	849	0.829210836278	9	0	0					
2	6	1	0	20	984	0.020325203252	9	0	0					
2	7	1	0	3055	972	3.14300411523	9	0	0					
2	8	1	0	2467	1077	2.29062209842	9	0	0					
2	9	1	0	2461	953	2.58237145855	9	0	0					
2	10	1	0	3301	937	3.52294557097	9	0	0					
2	11	1	0	411	760	0.540789473684	9	0	0					
2	12	1	0	2240	623	3.59550561798	9	0	0					
3	1	1	0	8135	772	10.5375647668	9	0	0					
3	2	1	0	1079	876	1.23173515982	9	0	0					
3	3	1	0	3432	1012	3.39130434783	9	0	0					
3	4	1	0	235	988	0.237854251012	9	0	0					
3	5	1	0	432	833	0.518607442977	9	0	0					
3	6	1	0	5000	823	6.07533414338	9	0	0					
3	7	1	0	873	966	0.903726708075	9	0	0					
3	8	1	0	2664	1086	2.45303867403	9	0	0					
3	9	1	0	2187	1056	2.07102272727	9	0	0					
3	10	1	0	2460	893	2.75475923852	9	0	0					
3	11	1	0	2529	943	2.68186638388	9	0	0					
3	12	1	0	434	958	0.453027139875	9	0	0					
4	1	1	0	750	765	0.980392156863	9	0	0					
4	2	1	0	2620	944	2.77542372881	9	0	0					
4	3	1	0	2077	944	2.20021186441	9	0	0					
4	4	1	0	4141	837	4.94743130227	9	0	0					
4	5	1	0	999	1068	0.935393258427	9	0	0					
4	6	1	0	96	1192	0.0805369127517	9	0	0					
4	7	1	0	2862	1158	2.47150259067	9	0	0					
4	8	1	0	2057	1177	1.7476635514	9	0	0					
4	9	1	0	7082	1280	5.5328125	9	0	0					
4	10	1	0	6675	1150	5.80434782609	9	0	0					
4	11	1	0	1264	849	1.48881036514	9	0	0					
4	12	1	0	632	762	0.829396325459	9	0	0					
5	1	1	0	1363	758	1.7981530343	9	0	0					
5	2	1	0	1982	858	2.31002331002	9	0	0					
5	3	1	0	2086	935	2.23101604278	9	0	0					
5	4	1	0	6287	1094	5.74680073126	9	0	0					
5	5	1	0	77	1073	0.071761416589	9	0	0					
5	6	1	0	4422	1055	4.19146919431	9	0	0					
5	7	1	0	56	1162	0.0481927710843	9	0	0					
5	8	1	0	1692	1130	1.49734513274	9	0	0					
5	9	1	0	4982	1191	4.18303946264	9	0	0					
5	10	1	0	1604	1038	1.54527938343	9	0	0					
5	11	1	0	1402	1029	1.36248785228	9	0	0					
5	12	1	0	1877	861	2.1800232288	9	0	0					
