Database Name	ODA
Database Location	http://localhost/ODA/OdaService.asmx
Evaluation Signature	9946bd8d-ea33-4427-a2ac-0e0c3c12d230
Plate Name	210317 GP3 HeLa 3h n1
Measurement	Measurement1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Spots - Number of Objects	Cells - Number of Objects	Cells - Number of Spots	Number of Analyzed Fields	Height [µm]	Time [s]	Vananz GP2 3H n1	HeLa	15000 cells	3h infection	
1	1	1	0	788	504	1.56349206349	9	0	0					
1	2	1	0	252	527	0.478178368121	9	0	0					
1	3	1	0	219	591	0.370558375635	9	0	0					
1	4	1	0	156	489	0.319018404908	9	0	0					
1	5	1	0	67	483	0.138716356108	9	0	0					
1	6	1	0	172	479	0.359081419624	9	0	0					
1	7	1	0	1361	482	2.82365145228	9	0	0					
1	8	1	0	258	370	0.697297297297	9	0	0					
1	9	1	0	1825	359	5.08356545961	9	0	0					
1	10	1	0	666	325	2.04923076923	9	0	0					
1	11	1	0	115	316	0.363924050633	9	0	0					
1	12	1	0	208	241	0.863070539419	9	0	0					
2	1	1	0	469	466	1.00643776824	9	0	0					
2	2	1	0	324	667	0.485757121439	9	0	0					
2	3	1	0	594	648	0.916666666667	9	0	0					
2	4	1	0	639	720	0.8875	9	0	0					
2	5	1	0	6343	583	10.8799313894	9	0	0					
2	6	1	0	1888	522	3.61685823755	9	0	0					
2	7	1	0	228	848	0.268867924528	9	0	0					
2	8	1	0	358	610	0.586885245902	9	0	0					
2	9	1	0	238	440	0.540909090909	9	0	0					
2	10	1	0	4553	515	8.84077669903	9	0	0					
2	11	1	0	53	339	0.156342182891	9	0	0					
2	12	1	0	1281	254	5.04330708661	9	0	0					
3	1	1	0	1283	545	2.35412844037	9	0	0					
3	2	1	0	174	754	0.230769230769	9	0	0					
3	3	1	0	753	665	1.13233082707	9	0	0					
3	4	1	0	411	846	0.485815602837	9	0	0					
3	5	1	0	236	618	0.381877022654	9	0	0					
3	6	1	0	1507	786	1.91730279898	9	0	0					
3	7	1	0	3600	707	5.09193776521	9	0	0					
3	8	1	0	2236	833	2.68427370948	9	0	0					
3	9	1	0	157	721	0.217753120666	9	0	0					
3	10	1	0	1757	545	3.22385321101	9	0	0					
3	11	1	0	1908	495	3.85454545455	9	0	0					
3	12	1	0	88	224	0.392857142857	9	0	0					
4	1	1	0	1586	488	3.25	9	0	0					
4	2	1	0	5816	728	7.98901098901	9	0	0					
4	3	1	0	2170	785	2.76433121019	9	0	0					
4	4	1	0	415	867	0.478662053057	9	0	0					
4	5	1	0	303	849	0.356890459364	9	0	0					
4	6	1	0	164	732	0.224043715847	9	0	0					
4	7	1	0	253	940	0.26914893617	9	0	0					
4	8	1	0	246	991	0.248234106963	9	0	0					
4	9	1	0	335	574	0.58362369338	9	0	0					
4	10	1	0	288	525	0.548571428571	9	0	0					
4	11	1	0	154	437	0.352402745995	9	0	0					
4	12	1	0	2103	237	8.87341772152	9	0	0					
5	1	1	0	62	463	0.133909287257	9	0	0					
5	2	1	0	1707	703	2.42816500711	9	0	0					
5	3	1	0	1215	777	1.56370656371	9	0	0					
5	4	1	0	3164	809	3.91100123609	9	0	0					
5	5	1	0	257	846	0.30378250591	9	0	0					
5	6	1	0	1068	720	1.48333333333	9	0	0					
5	7	1	0	59	642	0.0919003115265	9	0	0					
5	8	1	0	862	633	1.36176935229	9	0	0					
5	9	1	0	269	527	0.510436432638	9	0	0					
5	10	1	0	212	588	0.360544217687	9	0	0					
5	11	1	0	265	553	0.479204339964	9	0	0					
5	12	1	0	1132	330	3.4303030303	9	0	0					
6	1	1	0	2743	466	5.88626609442	9	0	0					
6	2	1	0	955	800	1.19375	9	0	0					
6	3	1	0	1807	697	2.59253945481	9	0	0					
6	4	1	0	1871	797	2.34755332497	9	0	0					
6	5	1	0	2629	659	3.98937784522	9	0	0					
6	6	1	0	1119	606	1.84653465347	9	0	0					
6	7	1	0	1165	690	1.6884057971	9	0	0					
6	8	1	0	1041	665	1.56541353383	9	0	0					
6	9	1	0	282	662	0.425981873112	9	0	0					
6	10	1	0	2074	566	3.66431095406	9	0	0					
6	11	1	0	75	570	0.131578947368	9	0	0					
6	12	1	0	922	400	2.305	9	0	0					
7	1	1	0	77	574	0.134146341463	9	0	0					
7	2	1	0	5614	735	7.6380952381	9	0	0					
7	3	1	0	186	644	0.288819875776	9	0	0					
7	4	1	0	143	629	0.227344992051	9	0	0					
7	5	1	0	610	652	0.935582822086	9	0	0					
7	6	1	0	1013	559	1.81216457961	9	0	0					
7	7	1	0	84	587	0.143100511073	9	0	0					
7	8	1	0	898	616	1.45779220779	9	0	0					
7	9	1	0	1683	679	2.47864506627	9	0	0					
7	10	1	0	4182	648	6.4537037037	9	0	0					
7	11	1	0	212	699	0.303290414878	9	0	0					
7	12	1	0	248	525	0.472380952381	9	0	0					
8	1	1	0	40	420	0.0952380952381	9	0	0					
8	2	1	0	127	606	0.209570957096	9	0	0					
8	3	1	0	74	457	0.161925601751	9	0	0					
8	4	1	0	215	450	0.477777777778	9	0	0					
8	5	1	0	1893	434	4.36175115207	9	0	0					
8	6	1	0	1540	487	3.16221765914	9	0	0					
8	7	1	0	90	354	0.254237288136	9	0	0					
8	8	1	0	139	361	0.385041551247	9	0	0					
8	9	1	0	95	318	0.298742138365	9	0	0					
8	10	1	0	66	374	0.176470588235	9	0	0					
8	11	1	0	65	393	0.165394402036	9	0	0					
8	12	1	0	60	276	0.217391304348	9	0	0					
