Database Name	ODA
Database Location	http://localhost/ODA/OdaService.asmx
Evaluation Signature	08b513a6-e88e-44c7-9369-9d053ed07f1f
Plate Name	GPV-1 HeLa 3h n1
Measurement	Measurement1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Spots - Number of Objects	Cells - Number of Objects	Cells - Number of Spots	Number of Analyzed Fields	Height [µm]	Time [s]	Vananz GP2 3H n1	HeLa	15000 cells	3h infection	
1	1	1	0	774	715	1.08251748252	9	0	0					
1	2	1	0	1289	689	1.87082728592	9	0	0					
1	3	1	0	2562	699	3.6652360515	9	0	0					
1	4	1	0	1376	620	2.21935483871	9	0	0					
1	5	1	0	1056	718	1.47075208914	9	0	0					
1	6	1	0	1080	721	1.49791955617	9	0	0					
1	7	1	0	1435	758	1.89313984169	9	0	0					
1	8	1	0	1508	702	2.14814814815	9	0	0					
1	9	1	0	1490	732	2.03551912568	9	0	0					
1	10	1	0	1091	594	1.8367003367	9	0	0					
1	11	1	0	606	519	1.1676300578	9	0	0					
1	12	1	0	889	629	1.413354531	9	0	0					
2	1	1	0	1808	954	1.89517819706	9	0	0					
2	2	1	0	1767	979	1.80490296221	9	0	0					
2	3	1	0	3176	1130	2.81061946903	9	0	0					
2	4	1	0	2301	971	2.36972193615	9	0	0					
2	5	1	0	4040	965	4.18652849741	9	0	0					
2	6	1	0	7229	1184	6.10557432432	9	0	0					
2	7	1	0	3118	1071	2.91129785247	9	0	0					
2	8	1	0	6580	1065	6.17840375587	9	0	0					
2	9	1	0	2319	1024	2.2646484375	9	0	0					
2	10	1	0	1341	1026	1.30701754386	9	0	0					
2	11	1	0	1451	905	1.60331491713	9	0	0					
2	12	1	0	567	610	0.929508196721	9	0	0					
3	1	1	0	950	1120	0.848214285714	9	0	0					
3	2	1	0	1569	1153	1.36079791847	9	0	0					
3	3	1	0	3364	1283	2.621979735	9	0	0					
3	4	1	0	4274	900	4.74888888889	9	0	0					
3	5	1	0	2535	1254	2.02153110048	9	0	0					
3	6	1	0	2069	1328	1.55798192771	9	0	0					
3	7	1	0	4047	1291	3.1347792409	9	0	0					
3	8	1	0	4537	1079	4.20481927711	9	0	0					
3	9	1	0	3277	1321	2.48069644209	9	0	0					
3	10	1	0	2823	1373	2.0560815732	9	0	0					
3	11	1	0	2110	1132	1.86395759717	9	0	0					
3	12	1	0	42	574	0.0731707317073	9	0	0					
4	1	1	0	925	969	0.954592363261	9	0	0					
4	2	1	0	1904	1325	1.43698113208	9	0	0					
4	3	1	0	2595	1216	2.13404605263	9	0	0					
4	4	1	0	3856	1252	3.07987220447	9	0	0					
4	5	1	0	5707	1286	4.43779160187	9	0	0					
4	6	1	0	4325	1499	2.88525683789	9	0	0					
4	7	1	0	4182	1513	2.76404494382	9	0	0					
4	8	1	0	2808	1508	1.86206896552	9	0	0					
4	9	1	0	1952	1366	1.4289897511	9	0	0					
4	10	1	0	2602	1352	1.92455621302	9	0	0					
4	11	1	0	4734	867	5.46020761246	9	0	0					
4	12	1	0	660	748	0.882352941176	9	0	0					
5	1	1	0	40	924	0.04329004329	9	0	0					
5	2	1	0	1435	1289	1.11326609775	9	0	0					
5	3	1	0	3038	1421	2.13793103448	9	0	0					
5	4	1	0	2889	1334	2.16566716642	9	0	0					
5	5	1	0	4369	1251	3.49240607514	9	0	0					
5	6	1	0	1840	1476	1.24661246612	9	0	0					
5	7	1	0	1929	1395	1.38279569892	9	0	0					
5	8	1	0	4988	1303	3.82808902533	9	0	0					
5	9	1	0	1942	1174	1.65417376491	9	0	0					
5	10	1	0	2587	1358	1.90500736377	9	0	0					
5	11	1	0	1346	1152	1.16840277778	9	0	0					
5	12	1	0	516	634	0.813880126183	9	0	0					
6	1	1	0	1755	1007	1.74280039722	9	0	0					
6	2	1	0	1677	1121	1.49598572703	9	0	0					
