well,sample_id,replicate,plate_number,strain_group
A01,NE46,2,GPV1,NEBRASKA
A02,NE1561,3,GPV1,NEBRASKA
A03,JE2,1,GPV1,CONTROL
A04,NE1553,1,GPV1,NEBRASKA
A05,NE743,3,GPV1,NEBRASKA
A06,NE172,1,GPV1,NEBRASKA
A07,NE1166,2,GPV1,NEBRASKA
A08,NE704,1,GPV1,NEBRASKA
A09,NE362,2,GPV1,NEBRASKA
A10,NE188,3,GPV1,NEBRASKA
A11,NE1183,3,GPV1,NEBRASKA
A12,NE1919,3,GPV1,NEBRASKA
B01,NE573,2,GPV1,NEBRASKA
B02,NE1020,1,GPV1,NEBRASKA
B03,NE573,1,GPV1,NEBRASKA
B04,NE1561,1,GPV1,NEBRASKA
B05,NE581,3,GPV1,NEBRASKA
B06,NE873,3,GPV1,NEBRASKA
B07,NE172,2,GPV1,NEBRASKA
B08,NE1532,3,GPV1,NEBRASKA
B09,NE1553,2,GPV1,NEBRASKA
B10,NE472,1,GPV1,NEBRASKA
B11,NE1671,3,GPV1,NEBRASKA
B12,NE1561,2,GPV1,NEBRASKA
C01,NE1183,2,GPV1,NEBRASKA
C02,NE1462,1,GPV1,NEBRASKA
C03,NE46,3,GPV1,NEBRASKA
C04,NE573,3,GPV1,NEBRASKA
C05,NE1671,1,GPV1,NEBRASKA
C06,NE440,3,GPV1,NEBRASKA
C07,NE1380,1,GPV1,NEBRASKA
C08,NE214,1,GPV1,NEBRASKA
C09,NE214,2,GPV1,NEBRASKA
C10,NE1,3,GPV1,NEBRASKA
C11,NE362,1,GPV1,NEBRASKA
C12,Non infected,2,GPV1,CONTROL
D01,NE704,3,GPV1,NEBRASKA
D02,NE472,2,GPV1,NEBRASKA
D03,NE362,3,GPV1,NEBRASKA
D04,NE119,3,GPV1,NEBRASKA
D05,NE1532,2,GPV1,NEBRASKA
D06,NE873,2,GPV1,NEBRASKA
D07,JE2,2,GPV1,CONTROL
D08,NE172,3,GPV1,NEBRASKA
D09,NE117,3,GPV1,NEBRASKA
D10,NE119,1,GPV1,NEBRASKA
D11,NE1919,1,GPV1,NEBRASKA
D12,NE472,3,GPV1,NEBRASKA
E01,Non infected,1,GPV1,CONTROL
E02,NE440,2,GPV1,NEBRASKA
E03,NE369,2,GPV1,NEBRASKA
E04,NE119,2,GPV1,NEBRASKA
E05,NE873,1,GPV1,NEBRASKA
E06,NE440,1,GPV1,NEBRASKA
E07,NE743,1,GPV1,NEBRASKA
E08,NE1140,2,GPV1,NEBRASKA
E09,NE117,2,GPV1,NEBRASKA
E10,NE1553,3,GPV1,NEBRASKA
E11,NE1166,1,GPV1,NEBRASKA
E12,NE369,3,GPV1,NEBRASKA
F01,NE581,1,GPV1,NEBRASKA
F02,NE369,1,GPV1,NEBRASKA
F03,NE186,2,GPV1,NEBRASKA
F04,NE46,1,GPV1,NEBRASKA
F05,NE66,2,GPV1,NEBRASKA
F06,NE66,1,GPV1,NEBRASKA
F07,NE186,3,GPV1,NEBRASKA
F08,NE1140,3,GPV1,NEBRASKA
F09,NE117,1,GPV1,NEBRASKA
F10,NE188,2,GPV1,NEBRASKA
F11,Non infected,3,GPV1,CONTROL
F12,NE704,2,GPV1,NEBRASKA
G01,NE1671,2,GPV1,NEBRASKA
G02,NE581,2,GPV1,NEBRASKA
G03,NE1020,3,GPV1,NEBRASKA
G04,NE1462,2,GPV1,NEBRASKA
G05,NE66,3,GPV1,NEBRASKA
G06,NE186,1,GPV1,NEBRASKA
G07,NE1532,1,GPV1,NEBRASKA
G08,NE1140,1,GPV1,NEBRASKA
G09,NE188,1,GPV1,NEBRASKA
G10,NE1380,2,GPV1,NEBRASKA
G11,JE2,3,GPV1,CONTROL
G12,NE214,3,GPV1,NEBRASKA
H01,NE743,2,GPV1,NEBRASKA
H02,NE1462,3,GPV1,NEBRASKA
H03,NE1020,2,GPV1,NEBRASKA
H04,NE1166,3,GPV1,NEBRASKA
H05,NE1380,3,GPV1,NEBRASKA
H06,NE1183,1,GPV1,NEBRASKA
H07,NE1,2,GPV1,NEBRASKA
H08,NE1919,2,GPV1,NEBRASKA
H09,NE1,1,GPV1,NEBRASKA
H10,Complete lysis,1,GPV1,CONTROL
H11,Complete lysis,2,GPV1,CONTROL
H12,Complete lysis,3,GPV1,CONTROL
