well,sample_id,replicate,plate_number
B02,Non infected,2,GP-C1
B03,BPH3370-C4,1,GP-C1
B04,NE873,3,GP-C1
B05,BPH3370-A4,1,GP-C1
B06,NE188,1,GP-C1
B07,NE1140,2,GP-C1
B08,JE2,1,GP-C1
B09,BPH3370-E2,2,GP-C1
B10,BPH3370-F3,3,GP-C1
B11,NE1532,3,GP-C1
C02,BPH3370-G3,3,GP-C1
C03,TOX-4,4,GP-C1
C04,JE2,5,GP-C1
C05,BPH3370-D4,1,GP-C1
C06,BPH3370-D3,1,GP-C1
C07,BPH3370-D3,3,GP-C1
C08,BPH3370-E2,3,GP-C1
C09,TOX-4,1,GP-C1
C10,NE873,1,GP-C1
C11,NE117,1,GP-C1
D02,Non infected,3,GP-C1
D03,BPH3370,5,GP-C1
D04,NE873,2,GP-C1
D05,JE2,2,GP-C1
D06,TOX-4,2,GP-C1
D07,BPH3370-G3,2,GP-C1
D08,BPH3370-A4,3,GP-C1
D09,BPH3370-C4,3,GP-C1
D10,JE2,3,GP-C1
D11,NE119,2,GP-C1
E02,NE119,3,GP-C1
E03,NE188,3,GP-C1
E04,NE1532,2,GP-C1
E05,NE188,2,GP-C1
E06,BPH3370-D4,3,GP-C1
E07,NE117,3,GP-C1
E08,BPH3370-D3,2,GP-C1
E09,BPH3370,1,GP-C1
E10,NE1140,1,GP-C1
E11,BPH3370,4,GP-C1
F02,NE119,1,GP-C1
F03,BPH3370-G3,1,GP-C1
F04,JE2,4,GP-C1
F05,BPH3370,3,GP-C1
F06,BPH3370-A4,2,GP-C1
F07,BPH3370-E2,1,GP-C1
F08,BPH3370-F3,1,GP-C1
F09,BPH3370-D4,2,GP-C1
F10,BPH3370,2,GP-C1
F11,NE1532,1,GP-C1
G02,NE117,2,GP-C1
G03,BPH3370-F3,2,GP-C1
G04,Non infected,1,GP-C1
G05,NE1140,3,GP-C1
G06,TOX-4,3,GP-C1
G07,TOX-4,5,GP-C1
G08,BPH3370-C4,2,GP-C1
G09,Complete lysis,1,GP-C1
G10,Complete lysis,2,GP-C1
G11,Complete lysis,3,GP-C1
