well,sample_id,replicate,plate_number
A01,BPH3524,2,GP9
A02,BPH3258,3,GP9
A03,BPH2704,1,GP9
A04,BPH3216,1,GP9
A05,JE2,3,GP9
A06,BPH3276,1,GP9
A07,BPH2784,2,GP9
A08,BPH3733,1,GP9
A09,BPH3481,2,GP9
A10,BPH3396,3,GP9
A11,JE2,1,GP9
A12,BPH2860,3,GP9
B01,BPH3453,3,GP9
B02,BPH3548,2,GP9
B03,BPH2752,1,GP9
B04,BPH3548,1,GP9
B05,BPH3708,1,GP9
B06,BPH3258,1,GP9
B07,BPH3708,2,GP9
B08,TOX-4,3,GP9
B09,BPH3276,2,GP9
B10,BPH2966,3,GP9
B11,BPH3216,2,GP9
B12,BPH3541,1,GP9
C01,BPH3270,3,GP9
C02,BPH3258,2,GP9
C03,BPH2860,2,GP9
C04,BPH2965,1,GP9
C05,BPH3708,3,GP9
C06,BPH3688,1,GP9
C07,BPH3270,1,GP9
C08,BPH3524,1,GP9
C09,BPH2924,1,GP9
C10,BPH3455,1,GP9
C11,BPH3455,2,GP9
C12,BPH2705,3,GP9
D01,BPH3481,1,GP9
D02,Non infected,2,GP9
D03,TOX-4,2,GP9
D04,BPH3541,3,GP9
D05,BPH3489,1,GP9
D06,BPH2923,3,GP9
D07,BPH2966,2,GP9
D08,Non infected,3,GP9
D09,BPH2704,2,GP9
D10,BPH3276,3,GP9
D11,BPH2787,3,GP9
D12,BPH2923,1,GP9
E01,BPH3453,2,GP9
E02,BPH3541,2,GP9
E03,Non infected,1,GP9
E04,BPH3501,3,GP9
E05,BPH3489,2,GP9
E06,BPH2923,2,GP9
E07,BPH3501,2,GP9
E08,BPH3481,3,GP9
E09,Non infected,1,GP9
E10,BPH2761,2,GP9
E11,BPH2787,2,GP9
E12,BPH3216,3,GP9
F01,BPH2784,1,GP9
F02,BPH3501,1,GP9
F03,BPH3733,2,GP9
F04,TOX-4,1,GP9
F05,BPH3336,3,GP9
F06,Non infected,3,GP9
F07,Non infected,2,GP9
F08,BPH2965,2,GP9
F09,BPH3688,3,GP9
F10,BPH3396,1,GP9
F11,BPH2761,3,GP9
F12,BPH2787,1,GP9
G01,BPH3336,1,GP9
G02,BPH3524,3,GP9
G03,JE2,2,GP9
G04,BPH3455,3,GP9
G05,BPH3336,2,GP9
G06,BPH2752,3,GP9
G07,BPH2965,3,GP9
G08,BPH3688,2,GP9
G09,BPH3270,2,GP9
G10,BPH3733,3,GP9
G11,BPH2761,1,GP9
G12,BPH3396,2,GP9
H01,BPH2924,2,GP9
H02,BPH2704,3,GP9
H03,BPH3453,1,GP9
H04,BPH3489,3,GP9
H05,BPH2966,1,GP9
H06,BPH2752,2,GP9
H07,BPH2784,3,GP9
H08,BPH2924,3,GP9
H09,BPH2860,1,GP9
H10,BPH2705,2,GP9
H11,BPH3548,3,GP9
H12,BPH2705,1,GP9
