well,sample_id,replicate,plate_number
B02,TOX-4,3,P1
B03,BPH2705,1,P1
B04,BPH2979,3,P1
B05,BPH2704,1,P1
B06,BPH2978,1,P1
B07,BPH2763,2,P1
B08,BPH2981,1,P1
B09,BPH2728,2,P1
B10,BPH2729,3,P1
B11,BPH2977,3,P1
C02,BPH2730,3,P1
C03,BPH2982,2,P1
C04,BPH2980,3,P1
C05,BPH2727,1,P1
C06,BPH2726,1,P1
C07,BPH2726,3,P1
C08,BPH2728,3,P1
C09,BPH2982,1,P1
C10,BPH2979,1,P1
C11,BPH2764,1,P1
D02,TOX-4,1,P1
D03,Non infected,2,P1
D04,BPH2979,2,P1
D05,BPH2980,2,P1
D06,BPH2982,3,P1
D07,BPH2730,2,P1
D08,BPH2704,3,P1
D09,BPH2705,3,P1
D10,BPH2981,2,P1
D11,BPH2976,2,P1
E02,BPH2976,3,P1
E03,BPH2978,3,P1
E04,BPH2977,2,P1
E05,BPH2978,2,P1
E06,BPH2727,3,P1
E07,BPH2764,3,P1
E08,BPH2726,2,P1
E09,Non infected,1,P1
E10,BPH2763,1,P1
E11,JE2,3,P1
F02,BPH2976,1,P1
F03,BPH2730,1,P1
F04,BPH2980,1,P1
F05,JE2,2,P1
F06,BPH2704,2,P1
F07,BPH2728,1,P1
F08,BPH2729,1,P1
F09,BPH2727,2,P1
F10,Non infected,3,P1
F11,BPH2977,1,P1
G02,BPH2764,2,P1
G03,BPH2729,2,P1
G04,TOX-4,2,P1
G05,BPH2763,3,P1
G06,JE2,1,P1
G07,BPH2981,3,P1
G08,BPH2705,2,P1
G09,Complete lysis,1,P1
G10,Complete lysis,2,P1
G11,Complete lysis,3,P1
B02,TOX-4,3,P2
B03,BPH2904,1,P2
B04,BPH3734,3,P2
B05,BPH2902,1,P2
B06,BPH3733,1,P2
B07,BPH3337,2,P2
B08,BPH3752,1,P2
B09,BPH2962,2,P2
B10,BPH2963,3,P2
B11,BPH3706,3,P2
C02,BPH3336,3,P2
C03,BPH3757,2,P2
C04,BPH3747,3,P2
C05,BPH2943,1,P2
C06,BPH2942,1,P2
C07,BPH2942,3,P2
C08,BPH2962,3,P2
C09,BPH3757,1,P2
C10,BPH3734,1,P2
C11,BPH3427,1,P2
D02,TOX-4,1,P2
D03,Non infected,2,P2
D04,BPH3734,2,P2
D05,BPH3747,2,P2
D06,BPH3757,3,P2
D07,BPH3336,2,P2
D08,BPH2902,3,P2
D09,BPH2904,3,P2
D10,BPH3752,2,P2
D11,BPH3535,2,P2
E02,BPH3535,3,P2
E03,BPH3733,3,P2
E04,BPH3706,2,P2
E05,BPH3733,2,P2
E06,BPH2943,3,P2
E07,BPH3427,3,P2
E08,BPH2942,2,P2
E09,Non infected,1,P2
E10,BPH3337,1,P2
E11,JE2,3,P2
F02,BPH3535,1,P2
F03,BPH3336,1,P2
F04,BPH3747,1,P2
F05,JE2,2,P2
F06,BPH2902,2,P2
F07,BPH2962,1,P2
F08,BPH2963,1,P2
F09,BPH2943,2,P2
F10,Non infected,3,P2
F11,BPH3706,1,P2
G02,BPH3427,2,P2
G03,BPH2963,2,P2
G04,TOX-4,2,P2
G05,BPH3337,3,P2
G06,JE2,1,P2
G07,BPH3752,3,P2
G08,BPH2904,2,P2
G09,Complete lysis,1,P2
G10,Complete lysis,2,P2
G11,Complete lysis,3,P2
