variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	intercept	notes
EW033_RS00005	4.29E-01	9.04E-03	8.89E-03	8.01E-01	2.95E-01	-6.75E-01		
EW033_RS00010	1.43E-01	5.95E-01	6.19E-01	2.22E-01	4.44E-01	-3.64E-01		
EW033_RS00015	3.57E-02	2.16E-01	3.49E-01	7.86E-01	8.32E-01	-3.60E-01		
EW033_RS00020	1.43E-01	4.57E-01	3.57E-01	4.10E-01	4.42E-01	-3.90E-01		
EW033_RS00025	4.11E-01	2.17E-02	2.01E-02	7.21E-01	3.01E-01	-6.28E-01		
EW033_RS00030	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS00035	1.79E-01	4.38E-01	4.22E-01	3.27E-01	4.04E-01	-3.90E-01		
EW033_RS00040	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS00050	5.00E-01	1.92E-02	1.92E-02	7.14E-01	2.96E-01	-6.89E-01		
EW033_RS00055	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS00060	1.07E-01	1.24E-01	1.17E-01	7.83E-01	4.92E-01	-4.16E-01		
EW033_RS00065	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS00070	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS00075	2.50E-01	4.88E-03	3.73E-03	1.01E+00	3.32E-01	-5.84E-01		
EW033_RS00080	1.07E-01	9.99E-01	9.99E-01	8.00E-04	5.04E-01	-3.32E-01		
EW033_RS00085	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS00095	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS00115	5.18E-01	2.70E-02	2.74E-02	6.75E-01	2.98E-01	-6.82E-01		
EW033_RS00120	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS00125	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS00130	7.14E-02	9.42E-01	9.49E-01	3.88E-02	6.05E-01	-3.35E-01		
EW033_RS00135	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS00140	7.14E-02	5.32E-01	4.81E-01	4.27E-01	6.02E-01	-3.62E-01		
EW033_RS00615	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS00620	6.43E-01	3.27E-01	3.50E-01	3.04E-01	3.22E-01	-5.27E-01		
EW033_RS00625	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
