id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
BPH2710_00624	0	2	10421	1	100	100%
SAUSA300_1327	0	2	10421	0	99.93%	100%
BPH3753_01758	1	1	10295	1	100	100%
BPH3482_00805	2	1	8206	1	100	100%
BPH2779_02215	3	1	2757	1	100	100%
BPH2710_01180	4	1	2733	1	100	100%
BPH2710_02354	5	3	2478	1	100	100%
SAUSA300_2109	5	3	1293	0	100.00%	52%
SAUSA300_2110	5	3	1102	0	100.00%	44%
BPH3590_02386	6	1	2438	1	100	100%
BPH2710_00330	7	2	2391	1	100	100%
SAUSA300_0181	7	2	2391	0	97.95%	100%
SAUSA300_2589	8	2	2271	1	100	100%
BPH2881_01957	8	2	2265	0	99.16%	99%
BPH2710_02120	9	2	2186	1	100	100%
SAUSA300_1702	9	2	2186	0	99.95%	100%
BPH2982_01699	10	2	2066	1	100	100%
SAUSA300_1393	10	2	2066	0	99.81%	100%
BPH3368_00307	11	1	1759	1	100	100%
BPH2902_01618	12	1	1560	1	100	100%
BPH2781_01791	13	2	1509	1	100	100%
SAUSA300_1930	13	2	1509	0	97.75%	100%
BPH2781_02522	14	2	1499	1	100	100%
SAUSA300_0445	14	2	1499	0	100.00%	100%
BPH2710_00229	15	1	1482	1	100	100%
BPH2763_01237	16	2	1479	1	100	100%
SAUSA300_0283	16	2	1479	0	99.73%	100%
BPH3348_02203	17	1	1465	1	100	100%
BPH2718_01515	18	2	1438	1	100	100%
SAUSA300_1157	18	2	1436	0	100.00%	99%
BPH2763_02324	19	2	1399	1	100	100%
SAUSA300_0547	19	2	1381	0	95.66%	98%
BPH3338_02244	20	1	1393	1	100	100%
SAUSA300_1750	21	3	1370	1	100	100%
BPH3316_02581	21	3	1117	0	99.73%	81%
BPH2727_02728	21	3	955	0	99.48%	69%
BPH3477_00468	22	1	1307	1	100	100%
BPH2947_01901	23	2	1274	1	100	100%
SAUSA300_1687	23	2	1274	0	99.76%	100%
BPH2902_01620	24	2	1261	1	100	100%
SAUSA300_1928	24	2	1261	0	95.40%	100%
BPH2781_01793	25	1	1260	1	100	100%
BPH2869_01938	26	2	1256	1	100	100%
SAUSA300_0955	26	2	1256	0	99.92%	100%
SAUSA300_2343	27	1	1229	1	100	100%
BPH2781_00361	28	2	1217	1	100	100%
SAUSA300_0870	28	2	1217	0	99.84%	100%
BPH2718_01812	29	2	1207	1	100	100%
SAUSA300_0528	29	2	1198	0	99.75%	99%
BPH3270_01743	30	1	1200	1	100	100%
BPH3328_00075	31	2	1188	1	100	100%
SAUSA300_1127	31	2	1188	0	99.83%	100%
BPH2728_01456	32	2	1183	1	100	100%
SAUSA300_0527	32	2	1136	0	99.91%	96%
BPH3348_01089	33	2	1168	1	100	100%
SAUSA300_0481	33	2	1168	0	99.91%	100%
BPH2781_00360	34	2	1158	1	100	100%
SAUSA300_0869	34	2	1158	0	100.00%	100%
BPH2869_02439	35	1	1154	1	100	100%
SAUSA300_0548	36	2	1154	1	100	100%
BPH2780_00047	36	2	1137	0	100.00%	98%
BPH2718_01263	37	2	1150	1	100	100%
SAUSA300_1014	37	2	1150	0	99.91%	100%
BPH2787_01682	38	2	1146	1	100	100%
SAUSA300_1333	38	2	1146	0	99.83%	100%
BPH3757_02608	39	1	1115	1	100	100%
BPH2787_01903	40	2	1065	1	100	100%
SAUSA300_1649	40	2	1065	0	100.00%	100%
BPH2710_01509	41	2	1057	1	100	100%
SAUSA300_1096	41	2	1057	0	100.00%	100%
BPH3362_00048	42	2	1055	1	100	100%
SAUSA300_2213	42	2	1055	0	99.91%	100%
BPH3636_01923	43	2	1055	1	100	100%
SAUSA300_0097	43	2	1050	0	94.29%	99%
BPH3511_02567	44	1	1031	1	100	100%
BPH2787_00006	45	2	1018	1	100	100%
SAUSA300_2441	45	2	1018	0	99.80%	100%
BPH2709_00558	46	2	1009	1	100	100%
SAUSA300_1243	46	2	1009	0	98.12%	100%
BPH2781_01512	47	2	1009	1	100	100%
SAUSA300_0279	47	2	1009	0	99.31%	100%
SAUSA300_1766	48	1	997	1	100	100%
BPH3750_00293	49	1	996	1	100	100%
BPH2902_01412	50	1	995	1	100	100%
BPH2787_00167	51	2	993	1	100	100%
SAUSA300_2578	51	2	993	0	98.79%	100%
