id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
BPH2823_00701	0	16	10623	1	100	100%
BPH2876_00618	0	16	10623	0	99.98%	100%
BPH2702_00469	0	16	10470	0	92.28%	98%
BPH2816_00990	0	16	10470	0	92.30%	98%
BPH3541_00276	0	16	9532	0	92.05%	89%
BPH2847_02085	0	16	9188	0	95.72%	86%
BPH3482_00805	0	16	8206	0	97.89%	77%
BPH3676_01870	0	16	7468	0	96.33%	70%
BPH3660_01923	0	16	7266	0	96.12%	68%
BPH3236_02713	0	16	672	0	99.26%	6%
BPH3258_02689	0	16	665	0	99.25%	6%
BPH3316_02766	0	16	665	0	99.25%	6%
BPH3368_02795	0	16	665	0	99.10%	6%
BPH3435_02791	0	16	665	0	99.25%	6%
BPH3443_02821	0	16	665	0	99.10%	6%
BPH3483_02811	0	16	665	0	99.25%	6%
BPH2710_00624	1	56	10421	1	100	100%
BPH2726_02007	1	56	10421	0	100.00%	100%
BPH2727_00735	1	56	10421	0	99.99%	100%
BPH2780_00822	1	56	10421	0	100.00%	100%
BPH2781_01368	1	56	10421	0	99.99%	100%
BPH2787_01688	1	56	10421	0	99.97%	100%
BPH2827_01651	1	56	10421	0	99.96%	100%
BPH2869_01669	1	56	10421	0	99.97%	100%
BPH2896_01313	1	56	10421	0	100.00%	100%
BPH2947_01190	1	56	10421	0	99.99%	100%
BPH2948_01043	1	56	10421	0	99.99%	100%
BPH2981_01633	1	56	10421	0	99.99%	100%
BPH2982_01634	1	56	10421	0	99.99%	100%
BPH3208_00488	1	56	10421	0	99.97%	100%
BPH3220_00211	1	56	10421	0	99.97%	100%
BPH3250_01491	1	56	10421	0	99.97%	100%
BPH3260_00844	1	56	10421	0	99.97%	100%
BPH3262_00195	1	56	10421	0	99.97%	100%
BPH3332_01552	1	56	10421	0	100.00%	100%
BPH3366_00607	1	56	10421	0	100.00%	100%
BPH3376_01738	1	56	10421	0	100.00%	100%
BPH3382_01551	1	56	10421	0	100.00%	100%
BPH3403_02030	1	56	10421	0	99.99%	100%
BPH3439_00941	1	56	10421	0	99.99%	100%
BPH3473_01204	1	56	10421	0	99.97%	100%
BPH3511_00693	1	56	10421	0	99.98%	100%
BPH3533_01216	1	56	10421	0	99.98%	100%
BPH3545_00861	1	56	10421	0	99.98%	100%
BPH3638_01783	1	56	10421	0	99.97%	100%
BPH3646_01851	1	56	10421	0	99.97%	100%
BPH3648_01782	1	56	10421	0	99.97%	100%
BPH3668_01860	1	56	10421	0	99.97%	100%
BPH3672_01657	1	56	10421	0	99.96%	100%
BPH3682_01486	1	56	10421	0	99.95%	100%
BPH3684_01295	1	56	10421	0	99.97%	100%
BPH3686_00946	1	56	10421	0	99.96%	100%
BPH3688_00607	1	56	10421	0	99.97%	100%
BPH3692_01266	1	56	10421	0	99.97%	100%
BPH3694_01145	1	56	10421	0	99.97%	100%
BPH3698_01274	1	56	10421	0	99.97%	100%
BPH3700_01675	1	56	10421	0	99.96%	100%
BPH3704_01418	1	56	10421	0	99.97%	100%
BPH3706_01819	1	56	10421	0	99.97%	100%
BPH3708_00018	1	56	10421	0	99.97%	100%
BPH3710_01137	1	56	10421	0	99.97%	100%
BPH3712_01155	1	56	10421	0	99.97%	100%
BPH3735_01237	1	56	10421	0	99.99%	100%
BPH3755_01326	1	56	10421	0	99.97%	100%
BPH2763_00043	1	56	10401	0	91.97%	99%
BPH2764_01645	1	56	10401	0	91.97%	99%
BPH3485_00549	1	56	10344	0	95.05%	99%
BPH3547_01199	1	56	10344	0	95.03%	99%
BPH3640_01651	1	56	10344	0	95.02%	99%
BPH3737_01908	1	56	10344	0	95.05%	99%
BPH3276_01529	1	56	10107	0	99.95%	96%
BPH3204_00645	1	56	7213	0	99.94%	69%
BPH3753_01758	2	1	10295	1	100	100%
BPH2784_00682	3	2	9912	1	100	100%
BPH2860_00621	3	2	9912	0	99.99%	100%
BPH2779_02215	4	20	2757	1	100	100%
BPH3332_01527	4	20	2757	0	99.96%	100%
BPH3370_00744	4	20	2757	0	100.00%	100%
BPH3401_02166	4	20	2757	0	100.00%	100%
BPH3403_01744	4	20	2757	0	100.00%	100%
BPH3417_00290	4	20	2757	0	99.96%	100%
