id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
BPH2710_00624	0	61	10421	1	100	100%
BPH2726_02007	0	61	10421	0	100.00%	100%
BPH2727_00735	0	61	10421	0	99.99%	100%
BPH2780_00822	0	61	10421	0	100.00%	100%
BPH2781_01368	0	61	10421	0	99.99%	100%
BPH2787_01688	0	61	10421	0	99.97%	100%
BPH2869_01669	0	61	10421	0	99.97%	100%
BPH2896_01313	0	61	10421	0	100.00%	100%
BPH2947_01190	0	61	10421	0	99.99%	100%
BPH2948_01043	0	61	10421	0	99.99%	100%
BPH2981_01633	0	61	10421	0	99.99%	100%
BPH2982_01634	0	61	10421	0	99.99%	100%
BPH3208_00488	0	61	10421	0	99.97%	100%
BPH3220_00211	0	61	10421	0	99.97%	100%
BPH3250_01491	0	61	10421	0	99.97%	100%
BPH3260_00844	0	61	10421	0	99.97%	100%
BPH3262_00195	0	61	10421	0	99.97%	100%
BPH3332_01552	0	61	10421	0	100.00%	100%
BPH3366_00607	0	61	10421	0	100.00%	100%
BPH3376_01738	0	61	10421	0	100.00%	100%
BPH3382_01551	0	61	10421	0	100.00%	100%
BPH3403_02030	0	61	10421	0	99.99%	100%
BPH3439_00941	0	61	10421	0	99.99%	100%
BPH3473_01204	0	61	10421	0	99.97%	100%
BPH3511_00693	0	61	10421	0	99.98%	100%
BPH3533_01216	0	61	10421	0	99.98%	100%
BPH3545_00861	0	61	10421	0	99.98%	100%
BPH3638_01783	0	61	10421	0	99.97%	100%
BPH3646_01851	0	61	10421	0	99.97%	100%
BPH3648_01782	0	61	10421	0	99.97%	100%
BPH3668_01860	0	61	10421	0	99.97%	100%
BPH3672_01657	0	61	10421	0	99.96%	100%
BPH3682_01486	0	61	10421	0	99.95%	100%
BPH3684_01295	0	61	10421	0	99.97%	100%
BPH3686_00946	0	61	10421	0	99.96%	100%
BPH3688_00607	0	61	10421	0	99.97%	100%
BPH3692_01266	0	61	10421	0	99.97%	100%
BPH3694_01145	0	61	10421	0	99.97%	100%
BPH3698_01274	0	61	10421	0	99.97%	100%
BPH3700_01675	0	61	10421	0	99.96%	100%
BPH3704_01418	0	61	10421	0	99.97%	100%
BPH3706_01819	0	61	10421	0	99.97%	100%
BPH3708_00018	0	61	10421	0	99.97%	100%
BPH3710_01137	0	61	10421	0	99.97%	100%
BPH3712_01155	0	61	10421	0	99.97%	100%
BPH3735_01237	0	61	10421	0	99.99%	100%
BPH3755_01326	0	61	10421	0	99.97%	100%
BPH2763_00043	0	61	10401	0	91.97%	99%
BPH2764_01645	0	61	10401	0	91.97%	99%
BPH3485_00549	0	61	10344	0	95.05%	99%
BPH3547_01199	0	61	10344	0	95.03%	99%
BPH3640_01651	0	61	10344	0	95.02%	99%
BPH3737_01908	0	61	10344	0	95.05%	99%
BPH2847_02085	0	61	9188	0	93.42%	88%
BPH3676_01870	0	61	7468	0	99.97%	71%
BPH3660_01923	0	61	7266	0	99.82%	69%
BPH3204_00645	0	61	7213	0	99.94%	69%
BPH3368_02795	0	61	665	0	99.70%	6%
BPH3435_02791	0	61	665	0	99.85%	6%
BPH3443_02821	0	61	665	0	99.70%	6%
BPH3483_02811	0	61	665	0	99.85%	6%
BPH3753_01758	1	1	10295	1	100	100%
BPH3482_00805	2	1	8206	1	100	100%
BPH2779_02215	3	20	2757	1	100	100%
BPH3332_01527	3	20	2757	0	99.96%	100%
BPH3370_00744	3	20	2757	0	100.00%	100%
BPH3401_02166	3	20	2757	0	100.00%	100%
BPH3403_01744	3	20	2757	0	100.00%	100%
BPH3417_00290	3	20	2757	0	99.96%	100%
BPH3433_01930	3	20	2757	0	100.00%	100%
BPH3463_01892	3	20	2757	0	99.96%	100%
BPH3465_01299	3	20	2757	0	99.96%	100%
BPH3493_02045	3	20	2757	0	100.00%	100%
BPH3523_02031	3	20	2757	0	100.00%	100%
BPH3527_01618	3	20	2757	0	100.00%	100%
BPH3529_02157	3	20	2757	0	100.00%	100%
BPH3547_02138	3	20	2757	0	100.00%	100%
BPH3739_01939	3	20	2757	0	100.00%	100%
BPH3741_01055	3	20	2757	0	99.96%	100%
BPH3743_01440	3	20	2757	0	99.96%	100%
BPH3744_00829	3	20	2757	0	99.96%	100%
BPH3745_02015	3	20	2757	0	99.96%	100%
BPH3748_01490	3	20	2757	0	100.00%	100%
BPH2710_01180	4	16	2733	1	100	100%
BPH2780_02184	4	16	2733	0	100.00%	100%
BPH2896_01782	4	16	2733	0	100.00%	100%
BPH3346_01353	4	16	2733	0	99.96%	100%
BPH3356_00150	4	16	2733	0	99.96%	100%
BPH3372_02215	4	16	2733	0	100.00%	100%
BPH3376_01047	4	16	2733	0	100.00%	100%
BPH3382_01261	4	16	2733	0	100.00%	100%
BPH3415_01961	4	16	2733	0	100.00%	100%
BPH3435_01078	4	16	2733	0	100.00%	100%
BPH3483_01503	4	16	2733	0	100.00%	100%
BPH3485_01934	4	16	2733	0	100.00%	100%
BPH3511_01749	4	16	2733	0	100.00%	100%
BPH3545_02032	4	16	2733	0	100.00%	100%
BPH3547_02140	4	16	2733	0	100.00%	100%
BPH3737_01780	4	16	2733	0	99.96%	100%
BPH2710_02354	5	23	2478	1	100	100%
BPH2726_01832	5	23	2478	0	100.00%	100%
BPH2727_01763	5	23	2478	0	100.00%	100%
BPH2780_01885	5	23	2478	0	100.00%	100%
BPH2781_01769	5	23	2478	0	100.00%	100%
BPH2896_01393	5	23	2478	0	100.00%	100%
BPH2981_01922	5	23	2478	0	100.00%	100%
BPH2982_01923	5	23	2478	0	100.00%	100%
BPH3332_01136	5	23	2478	0	100.00%	100%
BPH3362_01351	5	23	2478	0	100.00%	100%
BPH3366_02091	5	23	2478	0	100.00%	100%
BPH3368_00892	5	23	2478	0	99.96%	100%
BPH3376_00479	5	23	2478	0	100.00%	100%
BPH3382_02110	5	23	2478	0	100.00%	100%
BPH3403_01477	5	23	2478	0	100.00%	100%
BPH3415_01252	5	23	2478	0	100.00%	100%
BPH3435_01044	5	23	2478	0	99.96%	100%
BPH3483_01205	5	23	2478	0	100.00%	100%
BPH3735_01128	5	23	2478	0	100.00%	100%
BPH2801_02076	5	23	2477	0	95.07%	99%
BPH2802_02127	5	23	2477	0	95.07%	99%
BPH2803_01994	5	23	2477	0	95.03%	99%
BPH3348_02679	5	23	1293	0	99.92%	52%
BPH3590_02386	6	2	2438	1	100	100%
BPH3568_02056	6	2	2432	0	100.00%	99%
BPH2710_00330	7	73	2391	1	100	100%
BPH2763_01341	7	73	2391	0	97.91%	100%
BPH2764_00336	7	73	2391	0	97.95%	100%
BPH2780_00881	7	73	2391	0	100.00%	100%
BPH2781_01013	7	73	2391	0	100.00%	100%
BPH2787_00388	7	73	2391	0	100.00%	100%
BPH2866_01666	7	73	2391	0	98.24%	100%
BPH2867_00469	7	73	2391	0	98.20%	100%
BPH2869_00366	7	73	2391	0	100.00%	100%
BPH2896_00153	7	73	2391	0	100.00%	100%
BPH2947_01018	7	73	2391	0	99.96%	100%
BPH2948_02121	7	73	2391	0	99.96%	100%
BPH2982_00831	7	73	2391	0	100.00%	100%
BPH3202_00069	7	73	2391	0	99.96%	100%
BPH3208_00573	7	73	2391	0	100.00%	100%
BPH3220_00296	7	73	2391	0	100.00%	100%
BPH3250_00499	7	73	2391	0	100.00%	100%
BPH3260_00068	7	73	2391	0	100.00%	100%
BPH3262_00550	7	73	2391	0	100.00%	100%
BPH3306_00418	7	73	2391	0	100.00%	100%
BPH3362_01385	7	73	2391	0	100.00%	100%
BPH3366_00184	7	73	2391	0	100.00%	100%
BPH3372_00033	7	73	2391	0	100.00%	100%
BPH3382_00067	7	73	2391	0	100.00%	100%
BPH3403_00387	7	73	2391	0	99.96%	100%
BPH3415_01127	7	73	2391	0	100.00%	100%
BPH3435_00537	7	73	2391	0	100.00%	100%
BPH3483_01025	7	73	2391	0	100.00%	100%
BPH3533_00104	7	73	2391	0	100.00%	100%
BPH3632_00068	7	73	2391	0	100.00%	100%
BPH3636_00043	7	73	2391	0	100.00%	100%
BPH3638_00138	7	73	2391	0	100.00%	100%
BPH3640_00138	7	73	2391	0	100.00%	100%
BPH3643_00576	7	73	2391	0	100.00%	100%
BPH3644_00690	7	73	2391	0	100.00%	100%
BPH3646_00401	7	73	2391	0	100.00%	100%
BPH3648_00417	7	73	2391	0	100.00%	100%
BPH3650_00417	7	73	2391	0	100.00%	100%
BPH3652_00542	7	73	2391	0	100.00%	100%
BPH3658_00011	7	73	2391	0	100.00%	100%
BPH3662_00244	7	73	2391	0	100.00%	100%
BPH3664_00757	7	73	2391	0	99.96%	100%
BPH3666_00042	7	73	2391	0	100.00%	100%
BPH3668_00030	7	73	2391	0	100.00%	100%
BPH3670_00027	7	73	2391	0	100.00%	100%
BPH3672_00401	7	73	2391	0	100.00%	100%
BPH3674_00416	7	73	2391	0	100.00%	100%
BPH3676_00121	7	73	2391	0	100.00%	100%
BPH3682_00164	7	73	2391	0	100.00%	100%
BPH3684_00204	7	73	2391	0	100.00%	100%
BPH3688_00138	7	73	2391	0	100.00%	100%
BPH3692_00220	7	73	2391	0	100.00%	100%
BPH3694_00138	7	73	2391	0	100.00%	100%
BPH3696_00121	7	73	2391	0	100.00%	100%
BPH3698_00121	7	73	2391	0	100.00%	100%
BPH3700_00069	7	73	2391	0	100.00%	100%
BPH3702_00042	7	73	2391	0	100.00%	100%
BPH3704_00491	7	73	2391	0	100.00%	100%
BPH3706_00224	7	73	2391	0	100.00%	100%
BPH3708_00753	7	73	2391	0	100.00%	100%
BPH3710_00121	7	73	2391	0	100.00%	100%
BPH3712_00069	7	73	2391	0	100.00%	100%
BPH3753_00304	7	73	2391	0	100.00%	100%
BPH3755_00210	7	73	2391	0	100.00%	100%
BPH3757_00615	7	73	2391	0	100.00%	100%
BPH3482_01542	7	73	2390	0	98.03%	99%
BPH3508_01364	7	73	2390	0	98.08%	99%
BPH3660_00042	7	73	2310	0	99.87%	96%
BPH3686_00118	7	73	1265	0	99.21%	52%
BPH3686_00117	7	73	1127	0	100.00%	47%
BPH2726_00154	7	73	1032	0	99.22%	43%
BPH2727_00688	7	73	1032	0	99.22%	43%
BPH3376_00315	7	73	1032	0	99.22%	43%
BPH2881_01957	8	2	2265	1	100	100%
BPH2882_00727	8	2	2265	0	99.96%	100%
BPH2710_02120	9	54	2186	1	100	100%
BPH2718_01720	9	54	2186	0	99.95%	100%
BPH2727_02015	9	54	2186	0	100.00%	100%
BPH2780_02147	9	54	2186	0	100.00%	100%
BPH2798_02107	9	54	2186	0	100.00%	100%
BPH2799_02138	9	54	2186	0	100.00%	100%
BPH2800_02125	9	54	2186	0	100.00%	100%
BPH2896_02446	9	54	2186	0	100.00%	100%
BPH2946_02106	9	54	2186	0	99.95%	100%
BPH3208_02471	9	54	2186	0	99.95%	100%
BPH3220_02455	9	54	2186	0	99.95%	100%
BPH3236_02456	9	54	2186	0	99.86%	100%
BPH3250_02284	9	54	2186	0	99.95%	100%
