ID	QUERY	SEQUENCE	STRAND	IDENT	LENGTH	COVER	MISMATCH	GAPS	qSTART	qEND	sSTART	sEND	EVALUE	BITSCORE
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	EW033_RS00005	SAUSA300_0001	plus	99.192	1362	100	11	0	1	1362	1	1362	0.0	2407
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	EW033_RS00010	SAUSA300_0002	plus	99.559	1134	100	5	0	1	1134	1	1134	0.0	2023
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	EW033_RS00015	SAUSA300_0003	plus	100.000	246	100	0	0	1	246	1	246	6.02e-126	444
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	EW033_RS00020	SAUSA300_0004	plus	99.820	1113	100	2	0	1	1113	1	1113	0.0	1999
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	EW033_RS00025	SAUSA300_0005	plus	99.535	1935	100	9	0	1	1935	1	1935	0.0	3450
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	EW033_RS00030	SAUSA300_0006	plus	97.857	2660	99	48	2	1	2651	1	2660	0.0	4540
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	EW033_RS00035	SAUSA300_0007	plus	98.278	813	100	14	0	1	813	19	831	0.0	1404
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	EW033_RS00040	SAUSA300_0008	plus	98.878	1515	100	17	0	1	1515	1	1515	0.0	2656
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	EW033_RS00050	SAUSA300_0009	plus	99.534	1287	100	6	0	1	1287	1	1287	0.0	2295
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	EW033_RS00055	SAUSA300_0010	plus	96.264	696	100	26	0	1	696	1	696	0.0	1139
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	EW033_RS00060	SAUSA300_0011	plus	99.697	330	100	1	0	1	330	1	330	8.82e-170	591
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	EW033_RS00065	SAUSA300_0012	plus	96.285	969	100	36	0	1	969	1	969	0.0	1586
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	EW033_RS00070	SAUSA300_0013	plus	99.042	939	100	9	0	1	939	1	939	0.0	1654
