id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
BPH3202_contig00023:0-22318	0	197	22318	1	100	100%
BPH3202_contig00023:0-22318	0	197	22318	0	100.00%	100%
BPH3202_contig00023:0-22318	0	197	22318	0	100.00%	100%
BPH3202_contig00023:0-22318	0	197	22318	0	100.00%	100%
BPH3202_contig00023:0-22318	0	197	22318	0	100.00%	100%
BPH3202_contig00023:0-22318	0	197	22318	0	100.00%	100%
BPH3202_contig00023:0-22318	0	197	22318	0	100.00%	100%
BPH3483_contig00003:0-22229	0	197	22229	0	99.92%	99%
BPH3415_contig00002:0-22087	0	197	22087	0	99.98%	98%
BPH3415_contig00002:0-22087	0	197	22087	0	99.98%	98%
BPH3415_contig00002:0-22087	0	197	22087	0	99.98%	98%
BPH3415_contig00002:0-22087	0	197	22087	0	99.98%	98%
BPH3415_contig00002:0-22087	0	197	22087	0	99.98%	98%
BPH3415_contig00002:0-22087	0	197	22087	0	99.98%	98%
BPH3415_contig00002:0-22087	0	197	22087	0	99.98%	98%
BPH3415_contig00002:0-22087	0	197	22087	0	99.98%	98%
BPH2907_contig00002:0-19777	0	197	19777	0	99.98%	88%
BPH2907_contig00002:0-19777	0	197	19777	0	99.98%	88%
BPH2907_contig00002:0-19777	0	197	19777	0	99.98%	88%
BPH2907_contig00002:0-19777	0	197	19777	0	99.98%	88%
BPH3362_contig00003:0-19757	0	197	19757	0	99.98%	88%
BPH3453_contig00032:0-19757	0	197	19757	0	99.99%	88%
BPH3650_contig00025:23146-42903	0	197	19757	0	100.00%	88%
BPH3650_contig00025:23146-42903	0	197	19757	0	100.00%	88%
BPH3650_contig00025:23146-42903	0	197	19757	0	100.00%	88%
BPH3650_contig00025:23146-42903	0	197	19757	0	100.00%	88%
BPH3650_contig00025:23146-42903	0	197	19757	0	100.00%	88%
BPH3757_contig00024:0-19757	0	197	19757	0	100.00%	88%
BPH3757_contig00024:0-19757	0	197	19757	0	100.00%	88%
BPH3757_contig00024:0-19757	0	197	19757	0	100.00%	88%
BPH3320_contig00009:0-19637	0	197	19637	0	99.92%	87%
BPH3320_contig00009:0-19637	0	197	19637	0	99.92%	87%
BPH3320_contig00009:0-19637	0	197	19637	0	99.92%	87%
BPH3306_contig00014:0-19623	0	197	19623	0	100.00%	87%
BPH3306_contig00014:0-19623	0	197	19623	0	100.00%	87%
BPH3306_contig00014:0-19623	0	197	19623	0	100.00%	87%
BPH3306_contig00014:0-19623	0	197	19623	0	100.00%	87%
BPH3306_contig00014:0-19623	0	197	19623	0	100.00%	87%
BPH3435_contig00015:0-19623	0	197	19623	0	99.98%	87%
BPH3435_contig00015:0-19623	0	197	19623	0	99.98%	87%
BPH3435_contig00015:0-19623	0	197	19623	0	99.98%	87%
BPH3435_contig00015:0-19623	0	197	19623	0	99.98%	87%
BPH3435_contig00015:0-19623	0	197	19623	0	99.98%	87%
BPH3435_contig00015:0-19623	0	197	19623	0	99.98%	87%
BPH3435_contig00015:0-19623	0	197	19623	0	99.98%	87%
BPH3435_contig00015:0-19623	0	197	19623	0	99.98%	87%
BPH3435_contig00015:0-19623	0	197	19623	0	99.98%	87%
BPH3435_contig00015:0-19623	0	197	19623	0	99.98%	87%
BPH3435_contig00015:0-19623	0	197	19623	0	99.98%	87%
BPH3435_contig00015:0-19623	0	197	19623	0	99.98%	87%
BPH3435_contig00015:0-19623	0	197	19623	0	99.98%	87%
BPH3435_contig00015:0-19623	0	197	19623	0	99.98%	87%
BPH3435_contig00015:0-19623	0	197	19623	0	99.98%	87%
BPH3435_contig00015:0-19623	0	197	19623	0	99.98%	87%
BPH3435_contig00015:0-19623	0	197	19623	0	99.98%	87%
BPH3644_contig00024:23144-42767	0	197	19623	0	100.00%	87%
BPH3644_contig00024:23144-42767	0	197	19623	0	100.00%	87%
BPH3644_contig00024:23144-42767	0	197	19623	0	100.00%	87%
BPH3644_contig00024:23144-42767	0	197	19623	0	100.00%	87%
BPH3644_contig00024:23144-42767	0	197	19623	0	100.00%	87%
BPH3368_contig00031:0-19379	0	197	19379	0	99.93%	86%
BPH3368_contig00031:0-19379	0	197	19379	0	99.93%	86%
BPH3443_contig00015:0-19379	0	197	19379	0	99.93%	86%
BPH3527_contig00001:158066-177445	0	197	19379	0	99.93%	86%
BPH3527_contig00001:158066-177445	0	197	19379	0	99.93%	86%
BPH3527_contig00001:158066-177445	0	197	19379	0	99.93%	86%
BPH3662_contig00024:0-19379	0	197	19379	0	99.95%	86%
BPH3662_contig00024:0-19379	0	197	19379	0	99.95%	86%
BPH3662_contig00024:0-19379	0	197	19379	0	99.95%	86%
BPH3662_contig00024:0-19379	0	197	19379	0	99.95%	86%
BPH3662_contig00024:0-19379	0	197	19379	0	99.95%	86%
BPH3662_contig00024:0-19379	0	197	19379	0	99.95%	86%
BPH3662_contig00024:0-19379	0	197	19379	0	99.95%	86%
BPH3662_contig00024:0-19379	0	197	19379	0	99.95%	86%
BPH3662_contig00024:0-19379	0	197	19379	0	99.95%	86%
BPH3662_contig00024:0-19379	0	197	19379	0	99.95%	86%
BPH3662_contig00024:0-19379	0	197	19379	0	99.95%	86%
BPH3226_contig00029:0-17031	0	197	17031	0	99.99%	76%
BPH3292_contig00029:15183-32214	0	197	17031	0	99.99%	76%
BPH3702_contig00073:0-12177	0	197	12177	0	100.00%	54%
BPH3702_contig00073:0-12177	0	197	12177	0	100.00%	54%
BPH3702_contig00073:0-12177	0	197	12177	0	100.00%	54%
BPH3702_contig00073:0-12177	0	197	12177	0	100.00%	54%
BPH3469_contig00074:3304-14733	0	197	11429	0	99.99%	51%
BPH3469_contig00074:3304-14733	0	197	11429	0	99.99%	51%
BPH3636_contig00028:0-10867	0	197	10867	0	100.00%	48%
BPH3634_contig00045:0-9574	0	197	9574	0	100.00%	42%
BPH3455_contig00055:0-8085	0	197	8085	0	100.00%	36%
BPH3348_contig00094:0-7421	0	197	7421	0	99.96%	33%
BPH3658_contig00112:0-5670	0	197	5670	0	100.00%	25%
BPH3670_contig00120:0-5541	0	197	5541	0	100.00%	24%
BPH3670_contig00120:0-5541	0	197	5541	0	100.00%	24%
BPH3670_contig00120:0-5541	0	197	5541	0	100.00%	24%
BPH3670_contig00120:0-5541	0	197	5541	0	100.00%	24%
BPH3652_contig00115:0-5162	0	197	5162	0	100.00%	23%
BPH3652_contig00115:0-5162	0	197	5162	0	100.00%	23%
BPH3457_contig00005:0-4672	0	197	4672	0	100.00%	20%
BPH3660_contig00021:0-4446	0	197	4446	0	99.78%	19%
BPH3660_contig00021:0-4446	0	197	4446	0	99.78%	19%
BPH3660_contig00021:0-4446	0	197	4446	0	99.78%	19%
BPH3660_contig00021:0-4446	0	197	4446	0	99.78%	19%
BPH3660_contig00021:0-4446	0	197	4446	0	99.78%	19%
BPH3660_contig00021:0-4446	0	197	4446	0	99.78%	19%
BPH3660_contig00021:0-4446	0	197	4446	0	99.78%	19%
BPH3660_contig00021:0-4446	0	197	4446	0	99.78%	19%
BPH3660_contig00021:0-4446	0	197	4446	0	99.78%	19%
BPH3702_contig00110:0-4266	0	197	4266	0	100.00%	19%
BPH3676_contig00026:0-4231	0	197	4231	0	100.00%	18%
BPH3676_contig00026:0-4231	0	197	4231	0	100.00%	18%
BPH3356_contig00127:0-4062	0	197	4062	0	99.98%	18%
BPH3658_contig00131:0-3715	0	197	3715	0	100.00%	16%
BPH3658_contig00131:0-3715	0	197	3715	0	100.00%	16%
BPH3658_contig00131:0-3715	0	197	3715	0	100.00%	16%
BPH3643_contig00130:0-3651	0	197	3651	0	100.00%	16%
BPH3643_contig00130:0-3651	0	197	3651	0	100.00%	16%
BPH3670_contig00145:0-3270	0	197	3270	0	100.00%	14%
