id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
BPH2710_00624	0	66	10421	1	100	100%
BPH2726_02007	0	66	10421	0	100.00%	100%
BPH2727_00735	0	66	10421	0	99.99%	100%
BPH2780_00822	0	66	10421	0	100.00%	100%
BPH2781_01368	0	66	10421	0	99.99%	100%
BPH2787_01688	0	66	10421	0	99.97%	100%
BPH2827_01651	0	66	10421	0	99.96%	100%
BPH2869_01669	0	66	10421	0	99.97%	100%
BPH2896_01313	0	66	10421	0	100.00%	100%
BPH2947_01190	0	66	10421	0	99.99%	100%
BPH2948_01043	0	66	10421	0	99.99%	100%
BPH2981_01633	0	66	10421	0	99.99%	100%
BPH2982_01634	0	66	10421	0	99.99%	100%
BPH3208_00488	0	66	10421	0	99.97%	100%
BPH3220_00211	0	66	10421	0	99.97%	100%
BPH3250_01491	0	66	10421	0	99.97%	100%
BPH3260_00844	0	66	10421	0	99.97%	100%
BPH3262_00195	0	66	10421	0	99.97%	100%
BPH3332_01552	0	66	10421	0	100.00%	100%
BPH3366_00607	0	66	10421	0	100.00%	100%
BPH3376_01738	0	66	10421	0	100.00%	100%
BPH3382_01551	0	66	10421	0	100.00%	100%
BPH3403_02030	0	66	10421	0	99.99%	100%
BPH3439_00941	0	66	10421	0	99.99%	100%
BPH3473_01204	0	66	10421	0	99.97%	100%
BPH3511_00693	0	66	10421	0	99.98%	100%
BPH3533_01216	0	66	10421	0	99.98%	100%
BPH3545_00861	0	66	10421	0	99.98%	100%
BPH3638_01783	0	66	10421	0	99.97%	100%
BPH3646_01851	0	66	10421	0	99.97%	100%
BPH3648_01782	0	66	10421	0	99.97%	100%
BPH3668_01860	0	66	10421	0	99.97%	100%
BPH3672_01657	0	66	10421	0	99.96%	100%
BPH3682_01486	0	66	10421	0	99.95%	100%
BPH3684_01295	0	66	10421	0	99.97%	100%
BPH3686_00946	0	66	10421	0	99.96%	100%
BPH3688_00607	0	66	10421	0	99.97%	100%
BPH3692_01266	0	66	10421	0	99.97%	100%
BPH3694_01145	0	66	10421	0	99.97%	100%
BPH3698_01274	0	66	10421	0	99.97%	100%
BPH3700_01675	0	66	10421	0	99.96%	100%
BPH3704_01418	0	66	10421	0	99.97%	100%
BPH3706_01819	0	66	10421	0	99.97%	100%
BPH3708_00018	0	66	10421	0	99.97%	100%
BPH3710_01137	0	66	10421	0	99.97%	100%
BPH3712_01155	0	66	10421	0	99.97%	100%
BPH3735_01237	0	66	10421	0	99.99%	100%
BPH3755_01326	0	66	10421	0	99.97%	100%
BPH2763_00043	0	66	10401	0	91.97%	99%
BPH2764_01645	0	66	10401	0	91.97%	99%
BPH3485_00549	0	66	10344	0	95.05%	99%
BPH3547_01199	0	66	10344	0	95.03%	99%
BPH3640_01651	0	66	10344	0	95.02%	99%
BPH3737_01908	0	66	10344	0	95.05%	99%
BPH3276_01529	0	66	10107	0	99.95%	96%
BPH2847_02085	0	66	9188	0	93.42%	88%
BPH3676_01870	0	66	7468	0	99.97%	71%
BPH3660_01923	0	66	7266	0	99.82%	69%
BPH3204_00645	0	66	7213	0	99.94%	69%
BPH3236_02713	0	66	672	0	99.85%	6%
BPH3258_02689	0	66	665	0	99.85%	6%
BPH3316_02766	0	66	665	0	99.85%	6%
BPH3368_02795	0	66	665	0	99.70%	6%
BPH3435_02791	0	66	665	0	99.85%	6%
BPH3443_02821	0	66	665	0	99.70%	6%
BPH3483_02811	0	66	665	0	99.85%	6%
BPH3753_01758	1	1	10295	1	100	100%
BPH3482_00805	2	1	8206	1	100	100%
BPH2779_02215	3	20	2757	1	100	100%
BPH3332_01527	3	20	2757	0	99.96%	100%
BPH3370_00744	3	20	2757	0	100.00%	100%
BPH3401_02166	3	20	2757	0	100.00%	100%
BPH3403_01744	3	20	2757	0	100.00%	100%
BPH3417_00290	3	20	2757	0	99.96%	100%
BPH3433_01930	3	20	2757	0	100.00%	100%
BPH3463_01892	3	20	2757	0	99.96%	100%
BPH3465_01299	3	20	2757	0	99.96%	100%
BPH3493_02045	3	20	2757	0	100.00%	100%
BPH3523_02031	3	20	2757	0	100.00%	100%
BPH3527_01618	3	20	2757	0	100.00%	100%
BPH3529_02157	3	20	2757	0	100.00%	100%
BPH3547_02138	3	20	2757	0	100.00%	100%
BPH3739_01939	3	20	2757	0	100.00%	100%
BPH3741_01055	3	20	2757	0	99.96%	100%
BPH3743_01440	3	20	2757	0	99.96%	100%
BPH3744_00829	3	20	2757	0	99.96%	100%
BPH3745_02015	3	20	2757	0	99.96%	100%
BPH3748_01490	3	20	2757	0	100.00%	100%
BPH2710_01180	4	16	2733	1	100	100%
BPH2780_02184	4	16	2733	0	100.00%	100%
BPH2896_01782	4	16	2733	0	100.00%	100%
BPH3346_01353	4	16	2733	0	99.96%	100%
BPH3356_00150	4	16	2733	0	99.96%	100%
BPH3372_02215	4	16	2733	0	100.00%	100%
BPH3376_01047	4	16	2733	0	100.00%	100%
BPH3382_01261	4	16	2733	0	100.00%	100%
BPH3415_01961	4	16	2733	0	100.00%	100%
BPH3435_01078	4	16	2733	0	100.00%	100%
BPH3483_01503	4	16	2733	0	100.00%	100%
BPH3485_01934	4	16	2733	0	100.00%	100%
BPH3511_01749	4	16	2733	0	100.00%	100%
BPH3545_02032	4	16	2733	0	100.00%	100%
BPH3547_02140	4	16	2733	0	100.00%	100%
BPH3737_01780	4	16	2733	0	99.96%	100%
BPH2710_02354	5	27	2478	1	100	100%
BPH2726_01832	5	27	2478	0	100.00%	100%
BPH2727_01763	5	27	2478	0	100.00%	100%
BPH2780_01885	5	27	2478	0	100.00%	100%
BPH2781_01769	5	27	2478	0	100.00%	100%
BPH2827_02152	5	27	2478	0	99.92%	100%
BPH2896_01393	5	27	2478	0	100.00%	100%
BPH2981_01922	5	27	2478	0	100.00%	100%
BPH2982_01923	5	27	2478	0	100.00%	100%
BPH3332_01136	5	27	2478	0	100.00%	100%
BPH3362_01351	5	27	2478	0	100.00%	100%
BPH3366_02091	5	27	2478	0	100.00%	100%
BPH3368_00892	5	27	2478	0	99.96%	100%
BPH3376_00479	5	27	2478	0	100.00%	100%
BPH3382_02110	5	27	2478	0	100.00%	100%
BPH3403_01477	5	27	2478	0	100.00%	100%
BPH3415_01252	5	27	2478	0	100.00%	100%
BPH3435_01044	5	27	2478	0	99.96%	100%
