Start	End	ConsistencyIndex	Counts	MinimumNumberChangesOnTree
92	93	0.3333333333333333	355:32	3
104	105	0.16666666666666666	260:127	6
218	219	0.2	259:128	5
288	289	0.25	194:193	4
398	399	0.5	160:227	2
410	411	0.16666666666666666	280:107	6
422	423	0.2	283:104	5
470	471	0.3333333333333333	324:63	3
518	519	0.5	371:16	2
677	678	0.3333333333333333	334:53	3
764	765	0.25	208:179	4
791	792	0.16666666666666666	294:93	6
803	804	0.2	199:188	5
974	975	0.5	372:15	2
1073	1074	0.5	353:34	2
1124	1125	0.5	349:38	2
1172	1173	0.25	194:193	4
1366	1367	0.5	353:34	2
1400	1401	0.3333333333333333	162:225	3
1407	1408	0.16666666666666666	294:93	6
1413	1414	0.125	270:117	8
1436	1437	0.2	278:109	5
1437	1438	0.5	381:6	2
1445	1446	0.5	349:38	2
1455	1456	0.5	370:17	2
1485	1486	0.5	371:16	2
1494	1495	0.25	163:224	4
1527	1528	0.5	380:7	2
1546	1547	0.3333333333333333	347:40	3
1752	1753	0.3333333333333333	165:222	3
1771	1772	0.25	313:74	4
1875	1876	0.5	353:34	2
1986	1987	0.2	324:63	5
2064	2065	0.125	306:81	8
2076	2077	0.25	204:183	4
2088	2089	0.2	328:59	5
2181	2182	0.16666666666666666	345:42	6
2211	2212	0.5	384:3	2
2460	2461	0.5	353:34	2
2472	2473	0.25	248:139	4
2484	2485	0.2	345:42	5
2499	2500	0.5	356:31	2
2541	2542	0.1111111111111111	273:114	9
2736	2737	0.5	354:33	2
2778	2779	0.16666666666666666	362:25	6
2822	2823	0.2	356:31	5
2829	2830	0.14285714285714285	363:24	7
2846	2847	0.25	357:30	4
2848	2849	0.058823529411764705	217:170	17
2868	2869	0.2	341:46	5
2918	2919	0.1111111111111111	344:43	9
2921	2922	0.5	371:16	2
2925	2926	0.038461538461538464	202:185	26
2993	2994	0.14285714285714285	354:33	7
3014	3015	0.16666666666666666	357:30	6
3046	3047	0.3333333333333333	355:32	3
3065	3066	0.5	375:12	2
3076	3077	0.3333333333333333	371:16	3
3084	3085	0.08333333333333333	180:207	12
3104	3105	0.5	371:16	2
3139	3140	0.5	349:38	2
3215	3216	0.5	379:8	2
3703	3704	0.5	349:38	2
