"total_conv_events","conv_summary","operon_id","operon_label","operon_locus_tags","NCTC8325_chrom","BeginTU","EndTUshort","mutated_features","mutated_features_types","mutated_genes"
26,"PI:13,GC:5,mortality:8","TU-U1095","agrB, agrD, S872, agrC, S873, agrA","SAOUHSC_02261, SAOUHSC_02262, new_2094581_2094652_1, SAOUHSC_02264, new_2095898_2096005_1, SAOUHSC_02265","NC_007795",2093760,2096611,"SAOUHSC_02265,SAOUHSC_02264,new_2095898_2096005_1","NCTC8325_operons","agrA,agrC"
26,"PI:13,GC:5,mortality:8","TU-U1096","agrB, agrD, S872, agrC, S873, agrA, NA, S875, S876","SAOUHSC_02261, SAOUHSC_02262, new_2094581_2094652_1, SAOUHSC_02264, new_2095898_2096005_1, SAOUHSC_02265, SAOUHSC_02266, new_2096812_2096960_1, new_2096962_2097246_1","NC_007795",2093833,2097206,"SAOUHSC_02265,new_2096812_2096960_1,SAOUHSC_02264,new_2095898_2096005_1","NCTC8325_operons","agrA,agrC"
14,"PI:3,GC:5,mortality:6","TU-U222","S179, secE, nusG, S180, rplK, S181, rplA, S182, S183, rplJ, rplL, S184, NA, S185, rpoB, S186, rpoC","new_517496_517696_1, SAOUHSC_00516, SAOUHSC_00517, new_518477_518656_1, SAOUHSC_00518, new_519080_519286_1, SAOUHSC_00519, new_519980_520054_1, new_520056_520250_1, SAOUHSC_00520, SAOUHSC_00521, new_521163_521284_1, SAOUHSC_00523, new_521969_522300_1, SAOUHSC_00524, new_525712_525874_1, SAOUHSC_00525","NC_007795",517496,529534,"SAOUHSC_00524,SAOUHSC_00525,SAOUHSC_00523,SAOUHSC_00517,new_521969_522300_1,new_520056_520250_1,SAOUHSC_00521","NCTC8325_operons","rpoB,rpoC,rsmC,nusG,rplL"
14,"PI:3,GC:5,mortality:6","TU-U223","S183, rplJ, rplL, S184, NA, S185, rpoB, S186, rpoC, NA, S187, rpsL, rpsG, S188, fusA, S189, tuf","new_520056_520250_1, SAOUHSC_00520, SAOUHSC_00521, new_521163_521284_1, SAOUHSC_00523, new_521969_522300_1, SAOUHSC_00524, new_525712_525874_1, SAOUHSC_00525, SAOUHSC_00526, new_529863_529959_1, SAOUHSC_00527, SAOUHSC_00528, new_530910_531031_1, SAOUHSC_00529, new_533114_533329_1, SAOUHSC_00530","NC_007795",520056,534515,"SAOUHSC_00524,SAOUHSC_00525,SAOUHSC_00523,SAOUHSC_00529,new_521969_522300_1,new_520056_520250_1,SAOUHSC_00521","NCTC8325_operons","rpoB,rpoC,rsmC,fusA,rplL"
14,"PI:3,GC:5,mortality:6","TU-U225","NA, S185, rpoB, S186, rpoC, NA, S187, rpsL, rpsG, S188, fusA, S189, tuf","SAOUHSC_00523, new_521969_522300_1, SAOUHSC_00524, new_525712_525874_1, SAOUHSC_00525, SAOUHSC_00526, new_529863_529959_1, SAOUHSC_00527, SAOUHSC_00528, new_530910_531031_1, SAOUHSC_00529, new_533114_533329_1, SAOUHSC_00530","NC_007795",521286,534515,"SAOUHSC_00524,SAOUHSC_00525,SAOUHSC_00523,SAOUHSC_00529,new_521969_522300_1","NCTC8325_operons","rpoB,rpoC,rsmC,fusA"
13,"PI:6,GC:3,mortality:4","TU-U196","veg, S153, ipk, purR, yabJ, S154, spoVG","SAOUHSC_00465, new_466540_466773_1, SAOUHSC_00466, SAOUHSC_00467, SAOUHSC_00468, new_468858_468928_1, SAOUHSC_00469","NC_007795",466175,469337,"SAOUHSC_00469,SAOUHSC_00468,new_468858_468928_1,SAOUHSC_00466,SAOUHSC_00465","NCTC8325_operons","spoVG,yabJ,ipk,veg"
13,"PI:5,GC:4,mortality:4","TU-U1201","S967, rplC, rplD, rplW, rplB, S966, rpsS, rplV, rpsC, rplP, rpmC, rpsQ, rplN, rplX, rplE, rpsN, rpsH, rplF, rplR, rpsE, rpmD, rplO, secY, adk, S965, infA, rpmJ, rpsM, rpsK, rpoA, rplQ, S964","new_2317804_2318365_-1, SAOUHSC_02512, SAOUHSC_02511, SAOUHSC_02510, SAOUHSC_02509, new_2315284_2315349_-1, SAOUHSC_02508, SAOUHSC_02507, SAOUHSC_02506, SAOUHSC_02505, SAOUHSC_02504, SAOUHSC_02503, SAOUHSC_02502, SAOUHSC_02501, SAOUHSC_02500, SAOUHSC_02499, SAOUHSC_02498, SAOUHSC_02496, SAOUHSC_02495, SAOUHSC_02494, SAOUHSC_02493, SAOUHSC_02492, SAOUHSC_02491, SAOUHSC_02490, new_2306793_2306984_-1, SAOUHSC_02489, SAOUHSC_02488, SAOUHSC_02487, SAOUHSC_02486, SAOUHSC_02485, SAOUHSC_02484, new_2304089_2304223_-1","NC_007795",2318365,2304070,"SAOUHSC_02511,SAOUHSC_02507,SAOUHSC_02486,new_2315284_2315349_-1,new_2317804_2318365_-1,SAOUHSC_02493,SAOUHSC_02509,SAOUHSC_02502,SAOUHSC_02500","NCTC8325_operons","rplD,rplV,rpsK,rpsJ,rpmD,rplB,rplN,rplE"
12,"PI:3,GC:4,mortality:5","TU-U226","S185, rpoB, S186, rpoC, NA, S187, rpsL, rpsG, S188, fusA, S189, tuf","new_521969_522300_1, SAOUHSC_00524, new_525712_525874_1, SAOUHSC_00525, SAOUHSC_00526, new_529863_529959_1, SAOUHSC_00527, SAOUHSC_00528, new_530910_531031_1, SAOUHSC_00529, new_533114_533329_1, SAOUHSC_00530","NC_007795",521969,534515,"SAOUHSC_00524,SAOUHSC_00525,SAOUHSC_00529,new_521969_522300_1","NCTC8325_operons","rpoB,rpoC,fusA"
11,"PI:5,GC:2,mortality:4","TU-U55","S48, lmrP, S49, NA, NA","new_147204_147347_1, SAOUHSC_00143, new_148599_149044_1, SAOUHSC_00144, SAOUHSC_00145","NC_007795",147160,156860,"SAOUHSC_00144,SAOUHSC_00143,new_148599_149044_1,SAOUHSC_00145","NCTC8325_operons","ausA,-"
11,"PI:5,GC:2,mortality:4","TU-U56","S48, lmrP, S49, NA, NA","new_147204_147347_1, SAOUHSC_00143, new_148599_149044_1, SAOUHSC_00144, SAOUHSC_00145","NC_007795",147204,156860,"SAOUHSC_00144,SAOUHSC_00143,new_148599_149044_1,SAOUHSC_00145","NCTC8325_operons","ausA,-"
